"","projection_year_id","variable","fmort","fmsy_0","fmsy_1","fmsy_2","fmsy_3","fmsy_4","fmsy_5","fmsy_6"
"1","2013","DBSRA",0.447852015597853,0.00879016828327402,0.106162515807834,0.447852015597853,0.305360358005533,0.134887508283989,0.0569741253820679,0.0238034297694822
"2","2014","DBSRA",0.452146195669988,0.00887445185051969,0.107180443480173,0.452146195669988,0.308288272402473,0.136180862405171,0.0575204155523074,0.0240316663525601
"3","2015","DBSRA",0.475315445677769,0.0093292038656329,0.112672672574918,0.475315445677769,0.324085835505211,0.143159154996276,0.0604679243475722,0.0252631169124856
"4","2016","DBSRA",0.464788811437101,0.00912259346038907,0.110177352837468,0.464788811437101,0.316908427146264,0.139988662481143,0.0591287637360511,0.0247036240663448
"5","2017","DBSRA",0.465289211335273,0.00913241500670496,0.110295971734446,0.465289211335273,0.317249616393448,0.140139376764118,0.0591924228143776,0.0247302204272362
"6","2013","amo",0.036113272196462,0.000708809447787833,0.00856058630284725,0.036113272196462,0.0246232267414089,0.0108768725670676,0.0045942008217409,0.00191942808904665
"7","2014","amo",0.150737845987096,0.00295859120141731,0.0357321356164521,0.150737845987096,0.102778062870067,0.0454003816911536,0.0191763275322698,0.00801174853654955
"8","2015","amo",0.0452135743905678,0.000887424670961612,0.0107177965908218,0.0452135743905678,0.0308281146042916,0.0136177714462556,0.00575190859163795,0.00240311108390666
"9","2016","amo",0.141497918247079,0.00277723549254187,0.0335418273436327,0.141497918247079,0.0964779736790645,0.042617429318122,0.0180008571017567,0.00752064441426267
"10","2017","amo",0.106281242105867,0.00208602388942879,0.0251937775251008,0.106281242105867,0.0724660758652524,0.0320106004342753,0.0135207180108772,0.00564887059602296
"11","2013","pdsi",0.135742912269555,0.00266427971864377,0.0321776135145459,0.135742912269555,0.0925540197290648,0.0408840924357786,0.0172687259050259,0.00721476462397958
"12","2014","pdsi",0.177861464987023,0.00349095717758131,0.042161740777437,0.177861464987023,0.121271845904999,0.0535696814935904,0.0226268969522921,0.00945337464846305
"13","2015","pdsi",0.162196148882078,0.00318348783508135,0.0384483057348239,0.162196148882078,0.110590713817896,0.0488514813241519,0.0206340116847748,0.00862075976958833
"14","2016","pdsi",0.152344286024611,0.00299012143411681,0.0361129393416499,0.152344286024611,0.103873386967951,0.0458842216345303,0.0193806930658132,0.00809713116581118
"15","2017","pdsi",0.170984025082751,0.00335597094996335,0.0405314560022752,0.170984025082751,0.116582579276319,0.0514982813440974,0.0217519737415736,0.00908783725652649
"16","2013","bassB",0.0372638118769092,0.000731391544229253,0.00883331966734927,0.0372638118769092,0.0254077028551357,0.0112234009408881,0.00474056834879855,0.00198057951747992
"17","2014","bassB",0.0533557707844215,0.00104723477341677,0.01264788961992,0.0533557707844215,0.0363797341553602,0.0160701006650036,0.0067877295817692,0.0028358705519459
"18","2015","bassB",0.097796339610287,0.00191948735904441,0.0231824466302015,0.097796339610287,0.0666807879275985,0.029455052360804,0.0124412991809934,0.00519789622587345
"19","2016","bassB",0.120435722384261,0.00236383946081407,0.0285490716489885,0.120435722384261,0.0821170699763827,0.0362737554705627,0.0153214001692967,0.00640118422975867
"20","2017","bassB",0.151703367098848,0.00297754186538166,0.0359610106615992,0.151703367098848,0.103436387187204,0.0456911847520396,0.0192991576613395,0.00806306618875183
"21","2013","menhadenC",0.123071108516191,0.00241556522464735,0.0291737851975416,0.123071108516191,0.0839139636481791,0.0370675012980269,0.0156566645304726,0.00654125556252498
"22","2014","menhadenC",0.250064639725133,0.00490811738771763,0.0592773736484374,0.250064639725133,0.17050236518207,0.0753163879756763,0.0318123255921988,0.0132909887244384
"23","2015","menhadenC",0.254063506830453,0.00498660473079967,0.060225297912472,0.254063506830453,0.173228925403681,0.0765207974703514,0.0323210471071407,0.0135035293605946
"24","2016","menhadenC",0.0357493091514664,0.000701665801442659,0.00847430951682848,0.0357493091514664,0.0243750646658798,0.0107672513829776,0.00454789874998995,0.00190008337588582
"25","2017","menhadenC",0.241739076753893,0.00474470827707088,0.0573038139015564,0.241739076753893,0.164825720216876,0.0728088310034186,0.0307531773644822,0.0128484832838572
"26","2013","menhadenE",0.0326639841182182,0.000641108909196354,0.00774293875995633,0.0326639841182182,0.0222713877281788,0.00983798950296688,0.00415539477732377,0.00173609769493068
"27","2014","menhadenE",0.280390954718699,0.00550334394229541,0.0664661721416182,0.280390954718699,0.191179852568304,0.0844503003450486,0.03567033049704,0.0149028388087858
"28","2015","menhadenE",0.278963065537965,0.00547531819773832,0.0661276935762842,0.278963065537965,0.190206270366515,0.0840202377194784,0.0354886795623975,0.0148269461954929
"29","2016","menhadenE",0.013334504753901,0.000261721588110832,0.00316092039875245,0.013334504753901,0.00909190760265326,0.00401618851274705,0.00169636781636979,0.00070873176041553
"30","2017","menhadenE",0.260179528307344,0.00510664629840145,0.0616750898171811,0.260179528307344,0.177399031694839,0.0783628677723636,0.0330991053994509,0.0138285972013621
"31","2013","menhadenCPUE",0.106091528565596,0.00208230030689144,0.0251488062711676,0.106091528565596,0.0723367228813247,0.0319534610537575,0.013496583335463,0.00563878728105534
"32","2014","menhadenCPUE",0.0636052726616386,0.00124840579237534,0.0150775156284351,0.0636052726616386,0.0433681844773429,0.0191571243273272,0.00809163440907418,0.00338063375409611
"33","2015","menhadenCPUE",0.209359734258911,0.00410918614136563,0.0496283489270784,0.209359734258911,0.142748410588042,0.0630565720497741,0.0266339936724421,0.01112751435167
