"","case","projection_year","amo","pdsi","bassB","menhadenC","menhadenE","menhadenCPUE","bassCPUE","herringCPUE","menhadenV"
"1","scenario A",2013,"-0.23lm","0.07lm","-8.89973181025246e-07lm","-8.8465331372329e-07*lm","-0.00467359132336775*lm","3.72647286011724e-06lm","-0.0000372213000198151lm","-8.31738259925263e-07lm","-1.8724004899607e-09*^lm"
"2","scenario A",2014,"-0.31lm","0.08lm","-9.43759019967567e-07lm","-9.20037625736446e-07*lm","-0.01*lm","5.79515571276419e-06lm","-0.0000435755783191645lm","-8.5283598672967e-07lm","-1.91661178810963e-09*lm"
"3","scenario A",2015,"-0.4*lm","0.07lm","-1.03737663051563e-06lm","-9.85842866260897e-07*lm","-0.01*lm","8.16573857759392e-06lm","-0.0000506075507159042lm","-9.97744627405462e-07*lm","-2.06335003656327e-09*lm"
"4","scenario A",2016,"-0.36*lm","0.06lm","-9.69724850019613e-07lm","-8.72429286743612e-07*lm","-0.01*lm","8.22505074874734e-06*lm","-0.0000479098460270267lm","-9.57049684732905e-07*lm","-1.82548192197816e-09*lm"
"5","scenario A",2017,"-0.1lm","0.1lm","-6.09238534445317e-07lm","-7.367439351871e-07*~lm","-0.00141883087946467lm","-3.5787699882001e-08lm","-0.0000284649789217979lm","-5.83397920386084e-07*lm","-1.45477872375382e-09*^lm"
