EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:34:41 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.687708E-06
1985,3,11,0.005140336
1986,1,1,1.892386E-06
1986,3,11,0.003322632
1987,1,1,2.152078E-06
1987,3,11,0.003433523
1988,1,1,2.546439E-06
1988,3,11,0.004114761
1989,1,1,3.025765E-06
1989,3,11,0.005336685
1990,1,1,3.414526E-06
1990,3,11,0.01657993
1991,1,1,4.061566E-06
1991,3,11,0.01380832
1992,1,1,5.040175E-06
1992,3,11,0.01800395
1993,1,1,6.335337E-06
1993,3,11,0.02219504
1994,1,1,7.823504E-06
1994,3,11,0.02081734
1995,1,1,9.517756E-06
1995,3,11,0.02360369
1996,1,1,1.097913E-05
1996,3,11,0.02776876
1997,1,1,1.207134E-05
1997,3,11,0.01912396
1998,1,1,1.257775E-05
1998,3,11,0.02230045
1999,1,1,1.239146E-05
1999,3,11,0.0176183
2000,1,1,1.160752E-05
2000,3,11,0.01242567
2001,1,1,1.079097E-05
2001,3,11,0.006840095
2002,1,1,1.068102E-05
2002,3,11,0.00647504
2003,1,1,1.023439E-05
2003,3,11,0.003167919
2004,1,1,9.758062E-06
2004,3,11,0.003786469
2005,1,1,9.169979E-06
2005,3,11,0.003794635
2006,1,1,8.868876E-06
2006,3,11,0.004792669
2007,1,1,8.582801E-06
2007,3,11,0.005999539
2008,1,1,7.923637E-06
2008,3,11,0.006028485
2009,1,1,7.109196E-06
2009,3,11,0.005607905
2010,1,1,6.606793E-06
2010,3,11,0.00558797
2011,1,1,6.32802E-06
2011,3,11,0.009768997
2012,1,1,6.558219E-06
2012,3,11,0.0108873
2013,1,1,6.66929E-06
2013,3,11,0.007409278
2014,1,1,6.680905E-06
2014,3,11,0.01079172
2015,1,1,6.768906E-06
2015,3,11,0.008729874
2016,1,1,6.826287E-06
2016,3,11,0.01219152
2017,1,1,6.617933E-06
2017,3,11,0.01109697
