EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

year,fleet,group,value
1985,1,1,0.0001882295
1985,3,11,0.01893923
1986,1,1,0.0001882295
1986,3,11,0.01893923
1987,1,1,0.0001882295
1987,3,11,0.01893923
1988,1,1,0.0001882295
1988,3,11,0.01893923
1989,1,1,0.0001882295
1989,3,11,0.01893923
1990,1,1,0.0001882295
1990,3,11,0.01893923
1991,1,1,0.0001882295
1991,3,11,0.01893923
1992,1,1,0.0001882295
1992,3,11,0.01893923
1993,1,1,0.0001882295
1993,3,11,0.01893923
1994,1,1,0.0001882295
1994,3,11,0.01893923
1995,1,1,0.0001882295
1995,3,11,0.01893923
1996,1,1,0.0001882295
1996,3,11,0.01893923
1997,1,1,0.0001882295
1997,3,11,0.01893923
1998,1,1,0.0001882295
1998,3,11,0.01893923
1999,1,1,0.0001882295
1999,3,11,0.01893923
2000,1,1,0.0001882295
2000,3,11,0.01893923
2001,1,1,0.0001882295
2001,3,11,0.01893923
2002,1,1,0.0001882295
2002,3,11,0.01893923
2003,1,1,0.0001882295
2003,3,11,0.01893923
2004,1,1,0.0001882295
2004,3,11,0.01893923
2005,1,1,0.0001882295
2005,3,11,0.01893923
2006,1,1,0.0001882295
2006,3,11,0.01893923
2007,1,1,0.0001882295
2007,3,11,0.01893923
2008,1,1,0.0001882295
2008,3,11,0.01893923
2009,1,1,0.0001882295
2009,3,11,0.01893923
2010,1,1,0.0001882295
2010,3,11,0.01893923
2011,1,1,0.0001882295
2011,3,11,0.01893923
2012,1,1,0.0001882295
2012,3,11,0.01893923
2013,1,1,0.0001882295
2013,3,11,0.01893923
2014,1,1,0.0001882295
2014,3,11,0.01893923
2015,1,1,0.0001882295
2015,3,11,0.01893923
2016,1,1,0.0001882295
2016,3,11,0.01893923
2017,1,1,0.0001882295
2017,3,11,0.01893923
