EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"7/22/2022 9:37:25 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
114,1,1,3.874681E-07
114,3,11,0.0004670489
115,1,1,4.062533E-07
115,3,11,0.0004685832
116,1,1,4.236418E-07
116,3,11,0.0004697645
117,1,1,4.371999E-07
117,3,11,0.0004708157
118,1,1,4.492206E-07
118,3,11,0.0004717691
119,1,1,4.620932E-07
119,3,11,0.0004724458
120,1,1,4.751194E-07
120,3,11,0.0004728099
121,1,1,4.865176E-07
121,3,11,0.0004728769
122,1,1,4.950388E-07
122,3,11,0.0004727186
123,1,1,5.020545E-07
123,3,11,0.0004723348
124,1,1,5.09453E-07
124,3,11,0.0004716388
125,1,1,5.155402E-07
125,3,11,0.0004705958
126,1,1,5.171123E-07
126,3,11,0.0004693021
127,1,1,5.15573E-07
127,3,11,0.000467821
128,1,1,5.15618E-07
128,3,11,0.0004660599
129,1,1,5.18477E-07
129,3,11,0.0004639337
130,1,1,5.110952E-07
130,3,11,0.0004615225
131,1,1,4.813701E-07
131,3,11,0.0004596389
132,1,1,4.531729E-07
132,3,11,0.0004589039
133,1,1,4.372172E-07
133,3,11,0.0004592183
134,1,1,4.341037E-07
134,3,11,0.0004605893
135,1,1,4.425985E-07
135,3,11,0.0004627127
136,1,1,4.581021E-07
136,3,11,0.0004653449
137,1,1,4.755924E-07
137,3,11,0.0004684525
138,1,1,4.924995E-07
138,3,11,0.0004719501
139,1,1,5.066958E-07
139,3,11,0.0004757799
140,1,1,5.17145E-07
140,3,11,0.0004801112
141,1,1,5.246818E-07
141,3,11,0.0004849224
142,1,1,5.293132E-07
142,3,11,0.0004904991
143,1,1,5.329348E-07
143,3,11,0.0004970407
144,1,1,5.374736E-07
144,3,11,0.0005044604
145,1,1,5.444565E-07
145,3,11,0.0005125123
146,1,1,5.554015E-07
146,3,11,0.0005200127
147,1,1,5.675922E-07
147,3,11,0.0005263907
148,1,1,5.776188E-07
148,3,11,0.0005317252
149,1,1,5.843394E-07
149,3,11,0.0005361556
150,1,1,5.875027E-07
150,3,11,0.0005397346
151,1,1,5.873539E-07
151,3,11,0.0005424825
152,1,1,5.839774E-07
152,3,11,0.0005444856
153,1,1,5.7866E-07
153,3,11,0.000545872
154,1,1,5.732651E-07
154,3,11,0.0005466745
155,1,1,5.634374E-07
155,3,11,0.0005469854
156,1,1,5.465732E-07
156,3,11,0.0005472932
157,1,1,5.268914E-07
157,3,11,0.0005478556
158,1,1,5.077625E-07
158,3,11,0.0005490337
159,1,1,4.935808E-07
159,3,11,0.0005510946
160,1,1,4.880935E-07
160,3,11,0.0005540928
161,1,1,4.925171E-07
161,3,11,0.0005579175
162,1,1,5.058554E-07
162,3,11,0.0005625815
163,1,1,5.289861E-07
163,3,11,0.0005679913
164,1,1,5.6301E-07
164,3,11,0.0005729973
165,1,1,6.02306E-07
165,3,11,0.0005772082
166,1,1,6.416587E-07
166,3,11,0.0005804393
167,1,1,6.78202E-07
167,3,11,0.0005826791
168,1,1,7.117312E-07
168,3,11,0.000583911
169,1,1,7.37285E-07
169,3,11,0.0005842375
170,1,1,7.474159E-07
170,3,11,0.0005839685
171,1,1,7.411576E-07
171,3,11,0.0005833764
172,1,1,7.278766E-07
172,3,11,0.0005826715
173,1,1,7.180022E-07
173,3,11,0.0005816679
174,1,1,7.145449E-07
174,3,11,0.0005802438
175,1,1,7.193887E-07
175,3,11,0.0005782321
176,1,1,7.306874E-07
176,3,11,0.0005755837
177,1,1,7.287801E-07
177,3,11,0.0005723767
178,1,1,6.77635E-07
178,3,11,0.0005696269
179,1,1,6.317572E-07
179,3,11,0.0005684137
180,1,1,6.131921E-07
180,3,11,0.0005681873
181,1,1,6.208405E-07
181,3,11,0.0005684349
182,1,1,6.453178E-07
182,3,11,0.0005688817
183,1,1,6.770354E-07
183,3,11,0.0005693532
184,1,1,7.068431E-07
184,3,11,0.0005698155
185,1,1,7.297372E-07
185,3,11,0.0005704277
186,1,1,7.454906E-07
186,3,11,0.0005712114
187,1,1,7.528353E-07
187,3,11,0.0005723877
188,1,1,7.544643E-07
188,3,11,0.0005741885
189,1,1,7.543178E-07
189,3,11,0.0005766238
190,1,1,7.575409E-07
190,3,11,0.0005794472
191,1,1,7.668832E-07
191,3,11,0.0005818124
192,1,1,7.760796E-07
192,3,11,0.0005835156
193,1,1,7.812339E-07
193,3,11,0.0005845395
194,1,1,7.814462E-07
194,3,11,0.000584874
195,1,1,7.719562E-07
195,3,11,0.0005846416
196,1,1,7.526066E-07
196,3,11,0.0005842468
197,1,1,7.304421E-07
197,3,11,0.0005836046
198,1,1,7.040594E-07
198,3,11,0.0005829408
199,1,1,6.756975E-07
199,3,11,0.0005825632
200,1,1,6.518169E-07
200,3,11,0.0005825447
201,1,1,6.372304E-07
201,3,11,0.0005826809
202,1,1,6.33705E-07
202,3,11,0.000582653
203,1,1,6.414219E-07
203,3,11,0.0005821344
204,1,1,6.587894E-07
204,3,11,0.0005808786
205,1,1,6.811672E-07
205,3,11,0.0005788608
206,1,1,7.042313E-07
206,3,11,0.0005761674
207,1,1,7.230696E-07
207,3,11,0.0005729071
208,1,1,7.342455E-07
208,3,11,0.0005691386
209,1,1,7.356064E-07
209,3,11,0.0005649104
210,1,1,7.240958E-07
210,3,11,0.000560316
211,1,1,6.980633E-07
211,3,11,0.0005554619
212,1,1,6.652E-07
212,3,11,0.0005504409
213,1,1,6.300737E-07
213,3,11,0.0005453058
214,1,1,5.800917E-07
214,3,11,0.000540245
215,1,1,5.210845E-07
215,3,11,0.0005361505
216,1,1,4.762155E-07
216,3,11,0.0005335005
217,1,1,4.5363E-07
217,3,11,0.0005321553
218,1,1,4.421619E-07
218,3,11,0.0005316472
219,1,1,4.392996E-07
219,3,11,0.0005319151
220,1,1,4.439334E-07
220,3,11,0.0005328001
221,1,1,4.541322E-07
221,3,11,0.0005342031
222,1,1,4.673452E-07
222,3,11,0.000536229
223,1,1,4.800482E-07
223,3,11,0.000539082
224,1,1,4.910754E-07
224,3,11,0.0005426895
225,1,1,4.991519E-07
225,3,11,0.0005470333
226,1,1,5.035463E-07
226,3,11,0.0005522696
227,1,1,5.052882E-07
227,3,11,0.0005582722
228,1,1,5.049707E-07
228,3,11,0.0005644666
229,1,1,5.015957E-07
229,3,11,0.0005706387
230,1,1,4.95636E-07
230,3,11,0.0005762503
231,1,1,4.870068E-07
231,3,11,0.0005810313
232,1,1,4.750024E-07
232,3,11,0.0005849715
233,1,1,4.601078E-07
233,3,11,0.000588524
234,1,1,4.451227E-07
234,3,11,0.0005915831
235,1,1,4.31059E-07
235,3,11,0.0005942155
236,1,1,4.17919E-07
236,3,11,0.0005966894
237,1,1,4.05267E-07
237,3,11,0.0005993692
238,1,1,3.950246E-07
238,3,11,0.0006025729
239,1,1,3.880408E-07
239,3,11,0.000606099
240,1,1,3.850066E-07
240,3,11,0.0006098235
241,1,1,3.853854E-07
241,3,11,0.0006134791
242,1,1,3.886049E-07
242,3,11,0.0006169666
243,1,1,3.947872E-07
243,3,11,0.0006200508
244,1,1,4.021684E-07
244,3,11,0.0006228041
245,1,1,4.109072E-07
245,3,11,0.0006253021
246,1,1,4.21889E-07
246,3,11,0.0006274944
247,1,1,4.3578E-07
247,3,11,0.000629099
248,1,1,4.52176E-07
248,3,11,0.0006300644
249,1,1,4.712013E-07
249,3,11,0.0006302951
250,1,1,4.865528E-07
250,3,11,0.0006299022
251,1,1,4.914401E-07
251,3,11,0.0006299285
252,1,1,4.958563E-07
252,3,11,0.000630856
253,1,1,5.070726E-07
253,3,11,0.0006327124
254,1,1,5.291043E-07
254,3,11,0.0006352739
255,1,1,5.642457E-07
255,3,11,0.0006380704
256,1,1,6.11613E-07
256,3,11,0.0006405371
257,1,1,6.651194E-07
257,3,11,0.0006425081
258,1,1,7.129565E-07
258,3,11,0.0006442925
259,1,1,7.515478E-07
259,3,11,0.0006467579
260,1,1,7.911135E-07
260,3,11,0.0006498409
261,1,1,8.349841E-07
261,3,11,0.000653405
262,1,1,8.81556E-07
262,3,11,0.0006575361
263,1,1,9.298922E-07
263,3,11,0.0006624763
264,1,1,9.84288E-07
264,3,11,0.0006681134
265,1,1,1.047504E-06
265,3,11,0.0006737008
266,1,1,1.113887E-06
266,3,11,0.0006789344
267,1,1,1.17727E-06
267,3,11,0.0006836159
268,1,1,1.229641E-06
268,3,11,0.0006878392
269,1,1,1.273628E-06
269,3,11,0.0006917387
270,1,1,1.315915E-06
270,3,11,0.000694758
271,1,1,1.35264E-06
271,3,11,0.0006968249
272,1,1,1.382287E-06
272,3,11,0.0006979609
273,1,1,1.407661E-06
273,3,11,0.0006981506
274,1,1,1.430252E-06
274,3,11,0.0006974216
275,1,1,1.450522E-06
275,3,11,0.0006958735
276,1,1,1.465115E-06
276,3,11,0.0006935967
277,1,1,1.47045E-06
277,3,11,0.0006907089
278,1,1,1.454787E-06
278,3,11,0.0006871496
279,1,1,1.387348E-06
279,3,11,0.0006833178
280,1,1,1.301564E-06
280,3,11,0.0006798551
281,1,1,1.229774E-06
281,3,11,0.0006770492
282,1,1,1.184779E-06
282,3,11,0.0006748449
283,1,1,1.165722E-06
283,3,11,0.0006730761
284,1,1,1.166773E-06
284,3,11,0.0006717099
285,1,1,1.179732E-06
285,3,11,0.0006706945
286,1,1,1.198342E-06
286,3,11,0.0006702077
287,1,1,1.224365E-06
287,3,11,0.0006700864
288,1,1,1.251639E-06
288,3,11,0.0006702447
289,1,1,1.276754E-06
289,3,11,0.0006707268
290,1,1,1.303529E-06
290,3,11,0.0006711837
291,1,1,1.328434E-06
291,3,11,0.0006713034
292,1,1,1.341904E-06
292,3,11,0.0006710704
293,1,1,1.338241E-06
293,3,11,0.0006706371
294,1,1,1.31589E-06
294,3,11,0.0006702102
295,1,1,1.27585E-06
295,3,11,0.0006702424
296,1,1,1.229458E-06
296,3,11,0.0006712067
297,1,1,1.19064E-06
297,3,11,0.000673055
298,1,1,1.16236E-06
298,3,11,0.0006755745
299,1,1,1.142338E-06
299,3,11,0.0006787736
300,1,1,1.128893E-06
300,3,11,0.0006825711
301,1,1,1.121115E-06
301,3,11,0.0006870648
302,1,1,1.120024E-06
302,3,11,0.000692095
303,1,1,1.122498E-06
303,3,11,0.0006977108
304,1,1,1.132302E-06
304,3,11,0.0007038172
305,1,1,1.154053E-06
305,3,11,0.0007090732
306,1,1,1.178884E-06
306,3,11,0.0007131372
307,1,1,1.200566E-06
307,3,11,0.0007158977
308,1,1,1.215533E-06
308,3,11,0.0007173757
309,1,1,1.221325E-06
309,3,11,0.0007176982
310,1,1,1.212031E-06
310,3,11,0.0007170843
311,1,1,1.18594E-06
311,3,11,0.0007159416
312,1,1,1.148939E-06
312,3,11,0.000714458
313,1,1,1.105645E-06
313,3,11,0.0007127922
314,1,1,1.061626E-06
314,3,11,0.0007110014
315,1,1,1.018759E-06
315,3,11,0.0007091785
316,1,1,9.771028E-07
316,3,11,0.0007075442
317,1,1,9.412939E-07
317,3,11,0.0007062312
318,1,1,9.148951E-07
318,3,11,0.0007051925
319,1,1,8.994882E-07
319,3,11,0.0007043632
320,1,1,8.918329E-07
320,3,11,0.0007036841
321,1,1,8.865624E-07
321,3,11,0.0007037174
322,1,1,8.873906E-07
322,3,11,0.000704938
323,1,1,9.036362E-07
323,3,11,0.000707309
324,1,1,9.389512E-07
324,3,11,0.0007099058
325,1,1,9.850361E-07
325,3,11,0.0007123442
326,1,1,1.036645E-06
326,3,11,0.0007141327
327,1,1,1.088435E-06
327,3,11,0.0007149757
328,1,1,1.136074E-06
328,3,11,0.0007147191
329,1,1,1.172768E-06
329,3,11,0.0007134355
330,1,1,1.192852E-06
330,3,11,0.0007113295
331,1,1,1.195179E-06
331,3,11,0.0007085802
332,1,1,1.180495E-06
332,3,11,0.0007053369
333,1,1,1.148687E-06
333,3,11,0.0007017585
334,1,1,1.097572E-06
334,3,11,0.0006980303
335,1,1,1.03933E-06
335,3,11,0.0006944329
336,1,1,9.905143E-07
336,3,11,0.0006908318
337,1,1,9.512996E-07
337,3,11,0.0006872443
338,1,1,9.204927E-07
338,3,11,0.0006836848
339,1,1,8.982771E-07
339,3,11,0.0006801757
340,1,1,8.868626E-07
340,3,11,0.0006766297
341,1,1,8.809188E-07
341,3,11,0.0006729723
342,1,1,8.639307E-07
342,3,11,0.0006695637
343,1,1,8.40787E-07
343,3,11,0.0006671185
344,1,1,8.294909E-07
344,3,11,0.000665343
345,1,1,8.31022E-07
345,3,11,0.0006640234
346,1,1,8.423303E-07
346,3,11,0.0006628612
347,1,1,8.57496E-07
347,3,11,0.0006615958
348,1,1,8.683102E-07
348,3,11,0.0006601542
349,1,1,8.697359E-07
349,3,11,0.0006586593
350,1,1,8.611037E-07
350,3,11,0.0006571405
351,1,1,8.424929E-07
351,3,11,0.0006557899
352,1,1,8.174748E-07
352,3,11,0.0006547155
353,1,1,7.90257E-07
353,3,11,0.0006539556
354,1,1,7.658386E-07
