Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
2001, 4523.05, 13564.63, 0, 6.768466, 0.7658787, 13.56509, 0, 67.43652, 2.013342, 9.450704, 18.88403, 27.15038, 3.205121, 59.33667, 1358.015, 1226.978, 1776.813, 33.66349, 0.4735381, 0.2933799, 2861.96, 0.6334023, 3.002024, 3.265634, 0.9904389, -0.002739168, 0.1777019, 0.1887747, 0.1852576, 
2002, 2188.715, 6062.412, 0, 6.5893, 0.6322853, 13.02987, 0, 68.63392, 5.304406, 5.810213, 19.02001, 20.86663, 6.174281, 64.32296, 362.3911, 395.8231, 535.8212, 17.30162, 0.3365016, 0.2798649, 1254.603, 0.5527968, 2.712935, 3.254033, 0.9074556, -0.009052482, 0.08141597, 0.08539456, 0.08410086, 
2003, 7524.304, 20481.79, 0, 7.431244, 0.8538852, 13.95102, 0, 66.64498, 1.563732, 9.555134, 16.52193, 22.59276, 2.853254, 70.1461, 2608.204, 2885.91, 3964.842, 55.40568, 0.5236393, 0.2924642, 4558.266, 0.6083364, 2.736054, 3.030349, 0.8747031, 0.009762441, 0.2109655, 0.2197544, 0.2170557, 
2004, 8137.311, 22872.23, 0, 7.173374, 0.7077617, 13.71393, 0, 66.17079, 1.260144, 10.974, 18.33647, 23.12502, 2.758879, 62.25034, 2896.996, 2499.102, 3682.441, 58.70723, 0.8130463, 0.299522, 4941.636, 0.609, 2.820413, 3.075909, 0.9249907, 0.02614317, 0.2142123, 0.2246289, 0.2213819, 
2005, 6015.405, 17931.39, 0, 6.969334, 0.749291, 13.3396, 0, 66.21757, 1.673839, 11.05038, 17.99167, 24.56021, 2.962165, 62.77567, 1997.136, 1715.763, 2520.708, 47.19858, 1.113938, 0.2996094, 3779.164, 0.6314806, 2.999321, 3.018087, 1.022887, 0.06988769, 0.1953048, 0.2068169, 0.2031681, 
2006, 7010.715, 20161.06, 0, 7.274649, 0.808952, 13.45716, 0, 65.9871, 1.558497, 10.91365, 16.65854, 22.76961, 2.84723, 68.84213, 2402.192, 2514.567, 3495.57, 55.69624, 1.798145, 0.2974545, 4345.833, 0.6208398, 2.882592, 2.945278, 1.013344, 0.1925796, 0.207863, 0.2182002, 0.214978, 
2007, 6051.923, 17789.64, 0, 6.829006, 0.5808495, 13.68232, 0, 66.73052, 1.530041, 10.64726, 21.85342, 27.56793, 3.090792, 49.94698, 2028.666, 1497.108, 2318.407, 43.29682, 1.43099, 0.2969724, 3761.375, 0.6300039, 2.988149, 3.249089, 1.041713, 0.09281409, 0.1893086, 0.2001545, 0.1966991, 
2008, 3938.342, 11659.67, 0, 6.984164, 0.9022089, 13.23481, 0, 66.78969, 3.125946, 8.963181, 14.94493, 22.78026, 3.766276, 74.16176, 1091.354, 1341.091, 1782.245, 33.70503, 0.7601196, 0.2924744, 2481.005, 0.6292384, 2.980216, 3.085468, 1.029976, 0.01888907, 0.1530261, 0.1619005, 0.1590643, 
2009, 6486.724, 18485.87, 0, 7.228025, 0.8377656, 13.62583, 0, 66.49962, 1.667571, 10.14119, 16.88406, 23.52911, 2.909164, 68.45585, 2176.866, 2257.858, 3150.428, 49.94583, 0.9705474, 0.2951271, 4016.575, 0.6203931, 2.860871, 3.113113, 0.9753241, 0.04148671, 0.2031426, 0.2131797, 0.2100549, 
2010, 7503.23, 21352.37, 0, 6.957959, 0.6320608, 13.6737, 0, 66.37918, 1.3471, 11.01, 20.06793, 25.11735, 2.87415, 55.60475, 2639.545, 2112.798, 3187.606, 53.4976, 0.7851356, 0.2991087, 4568.301, 0.6168284, 2.905377, 3.237907, 1.010903, 0.01269283, 0.2043758, 0.2150429, 0.2116767, 
2011, 5050.795, 15111.26, 0, 7.089776, 0.8807717, 13.21732, 0, 66.23414, 2.135276, 10.44273, 15.43853, 23.73778, 3.158836, 71.11753, 1567.838, 1799.554, 2432.822, 43.26797, 0.7252452, 0.2964902, 3214.106, 0.6404344, 3.025123, 3.082946, 1.060945, 0.01979217, 0.1824726, 0.1934206, 0.18994, 
2012, 4267.113, 12903.51, 0, 6.550365, 0.6870325, 13.39133, 0, 67.23492, 2.409204, 9.727158, 19.4325, 26.99767, 3.526946, 56.87856, 1258.248, 957.1589, 1461.77, 31.63591, 0.9597169, 0.2937095, 2674.252, 0.6320592, 3.065384, 3.117419, 1.070603, 0.04942314, 0.1608313, 0.171237, 0.1678783, 
2013, 4288.896, 12699.29, 0, 6.898377, 0.8805857, 13.43239, 0, 67.35343, 2.43653, 8.998685, 16.17961, 25.42994, 3.357807, 67.89301, 1242.096, 1420.632, 1926.624, 33.88292, 0.5101903, 0.2903664, 2700.116, 0.6310786, 2.976208, 3.093128, 1.010234, 0.002713135, 0.1710128, 0.1813273, 0.1780628, 
2014, 5170.493, 15164.71, 0, 6.908888, 0.8093699, 13.60875, 0, 67.26145, 1.876034, 9.535502, 17.85625, 25.64257, 3.069608, 63.10883, 1625.748, 1540.633, 2203.87, 38.2622, 0.4496371, 0.2936178, 3235.372, 0.6261004, 2.935987, 3.164042, 0.9684555, -0.0006528087, 0.1887404, 0.1994132, 0.1960581, 
2015, 3919.372, 11890.84, 0, 6.627035, 0.8044998, 13.45701, 0, 67.6397, 2.358865, 9.112885, 17.65218, 26.9584, 3.407379, 61.95695, 1096.279, 1066.647, 1507.892, 29.80188, 0.2801633, 0.2916322, 2485.389, 0.6341466, 3.036007, 3.277828, 0.9882186, -0.01029015, 0.1645495, 0.1755332, 0.1720221, 
2016, 3088.381, 9343.217, 0, 6.347894, 0.7750691, 13.47419, 0, 68.43169, 2.934384, 8.036763, 17.85769, 27.81457, 3.903299, 60.33255, 741.3354, 762.1753, 1058.953, 22.94422, 0.2118308, 0.2858213, 1926.528, 0.6227457, 3.023239, 3.27633, 0.9748979, -0.01143936, 0.1394675, 0.1494941, 0.1462574, 
2017, 3154.276, 9161.546, 0, 6.514855, 0.8543128, 13.33859, 0, 68.51305, 3.576816, 7.202369, 15.98401, 24.54826, 4.244055, 68.48274, 758.367, 956.5586, 1264.634, 23.84995, 0.1695321, 0.2834435, 1915.568, 0.6004454, 2.898727, 3.197441, 0.9168251, -0.0144245, 0.1324738, 0.1409274, 0.1382223, 
