Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985:1, 5139.311, 15312.19, 0, 6.659618, 0.6244994, 13.59775, 0, 67.71603, 1.560502, 9.841582, 20.62952, 27.97616, 3.06084, 49.29335, 1629.759, 1602.82, 2264.545, 35.27557, 0.3689188, 0.2929672, 3197.472, 0.6221596, 2.979425, 3.229447, 0.9980974, -0.003622129, 0.1888949, 0.1999398, 0.19646, 
1985:2, 4639.371, 14005.36, 0, 6.512053, 0.5559723, 13.70318, 0, 68.03264, 1.561762, 9.6344, 22.77753, 30.19283, 3.15483, 43.43126, 1427.13, 1020.156, 1596.823, 30.75205, 0.3553133, 0.2919559, 2909.083, 0.6270426, 3.018807, 3.308125, 0.9946094, -0.003678221, 0.1809936, 0.1923323, 0.188735, 
1985:3, 4001.049, 12247.68, 0, 6.434292, 0.5026529, 13.86446, 0, 68.2226, 1.652845, 9.323165, 24.99933, 32.58701, 3.328042, 38.95647, 1163.266, 681.1979, 1147.581, 26.27579, 0.3362401, 0.290401, 2547.689, 0.6367553, 3.061118, 3.401517, 0.9838223, -0.003757428, 0.1682754, 0.1797777, 0.1760907, 
1985:4, 3343.117, 10289.2, 0, 6.592968, 0.4219589, 14.22599, 0, 68.15879, 1.738446, 8.86186, 28.47789, 35.72316, 3.61519, 32.81727, 891.9246, 424.0876, 777.4474, 21.84113, 0.312723, 0.2874624, 2185.519, 0.6537369, 3.077725, 3.574252, 0.9534796, -0.003343337, 0.150811, 0.1620216, 0.1583797, 
1985:5, 2792.067, 8668.216, 0, 5.911705, 0.6399713, 13.80888, 0, 68.34556, 2.85686, 8.437009, 21.70386, 29.63995, 4.053841, 52.2155, 636.5306, 211.0486, 458.5538, 20.65849, 0.2897538, 0.2892972, 1764.897, 0.6321113, 3.104587, 3.304505, 0.9856226, -0.006481003, 0.1278165, 0.1378123, 0.1345099, 
1985:6, 2506.365, 7700.852, 0, 6.072994, 0.8516884, 13.2702, 0, 67.67403, 3.992642, 8.138448, 15.75286, 23.07065, 4.421446, 72.27566, 494.5898, 336.4501, 526.0593, 21.29092, 0.2709734, 0.2921423, 1555.177, 0.6204912, 3.072518, 3.088001, 1.006189, -0.0107833, 0.1109843, 0.1195222, 0.1166726, 
1985:7, 2479.907, 7561.332, 0, 6.645031, 1.082263, 12.76415, 0, 66.66668, 4.728714, 8.11317, 11.51447, 19.025, 4.460356, 91.65816, 464.3304, 545.6317, 724.179, 25.78606, 0.2618181, 0.2957015, 1549.426, 0.624792, 3.049038, 2.944253, 1.00394, -0.01414541, 0.1074851, 0.1156712, 0.1129427, 
1985:8, 2861.364, 8760.171, 0, 6.963135, 1.170516, 12.82584, 0, 66.43847, 4.126928, 8.475092, 11.32285, 20.97141, 4.014949, 93.28643, 619.3909, 1090.217, 1334.946, 32.25115, 0.2653669, 0.2947445, 1836.087, 0.6416826, 3.061537, 2.932593, 0.982239, -0.01308993, 0.1281079, 0.1378938, 0.1346959, 
1985:9, 3706.378, 11175.1, 0, 7.141565, 1.105265, 13.17137, 0, 66.62756, 3.028999, 8.925248, 12.92151, 23.25464, 3.484616, 83.91341, 979.7269, 1749.167, 2145.474, 37.35017, 0.2777486, 0.2924706, 2393.504, 0.6457798, 3.015099, 2.969818, 0.9672523, -0.01060155, 0.1597843, 0.170511, 0.1670938, 
1985:10, 4614.36, 13570.2, 0, 7.214934, 0.9899285, 13.42482, 0, 66.83753, 2.326144, 9.206634, 14.548, 23.88036, 3.194124, 75.16025, 1369.48, 2105.243, 2665.023, 40.58046, 0.2938566, 0.2916294, 2935.19, 0.636099, 2.940862, 3.007236, 0.9580131, -0.008467941, 0.1809525, 0.1914039, 0.1881258, 
