Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985, 5185.809, 15462.55, 0, 6.889944, 0.8191317, 13.39927, 0, 66.88862, 1.885976, 10.11706, 17.10959, 25.00359, 3.056652, 64.92579, 1631.651, 1603.121, 2265.135, 40.24014, 0.7715414, 0.2951694, 3263.879, 0.6293874, 2.981706, 2.956546, 1.002402, 0.02716273, 0.189042, 0.2001254, 0.1966327, 
1986, 5175.95, 15390.91, 0, 6.906294, 0.8195578, 13.43634, 0, 66.94713, 1.87244, 10.01824, 17.16715, 25.0631, 3.058827, 64.66183, 1627.478, 1602.269, 2263.07, 40.08563, 0.4975978, 0.2950808, 3257.047, 0.6292664, 2.973551, 3.135683, 0.9916122, 0.001520193, 0.1888501, 0.1999064, 0.1964225, 
1987, 5183.47, 15384.75, 0, 6.908229, 0.8206969, 13.45652, 0, 66.98197, 1.875773, 9.9568, 17.21014, 25.09148, 3.05773, 64.68209, 1630.528, 1602.156, 2264.626, 39.83643, 0.5266467, 0.2950061, 3259.318, 0.6287913, 2.968041, 3.063163, 0.9817585, 0.004924435, 0.1889568, 0.1999764, 0.1965049, 
1988, 5183.256, 15393.54, 0, 6.907716, 0.8207414, 13.44751, 0, 66.96775, 1.879488, 9.976795, 17.18721, 25.07809, 3.05776, 64.73631, 1630.384, 1602.269, 2264.486, 39.98481, 0.5832652, 0.2950106, 3259.724, 0.6288952, 2.969857, 3.035377, 0.992354, 0.007901912, 0.1889928, 0.2000082, 0.1965379, 
1989, 5181.665, 15451.8, 0, 6.899632, 0.8171455, 13.39476, 0, 66.89201, 1.875464, 10.121, 17.08487, 24.99027, 3.0578, 64.77618, 1629.802, 1602.88, 2263.874, 40.37116, 0.614413, 0.2951503, 3262.111, 0.6295494, 2.982019, 2.971276, 1.011383, 0.01268938, 0.1890896, 0.20015, 0.1966644, 
1990, 5178.658, 15442.13, 0, 6.910589, 0.8173581, 13.39239, 0, 66.88654, 1.880331, 10.1128, 17.06957, 24.98902, 3.058696, 64.82383, 1628.272, 1603.789, 2264.595, 40.58677, 0.6634321, 0.2951161, 3261.43, 0.6297831, 2.98188, 2.984596, 1.02446, 0.02052898, 0.189118, 0.2001662, 0.1966846, 
1991, 5178.165, 15450.94, 0, 6.917948, 0.8165074, 13.38214, 0, 66.86752, 1.880995, 10.13488, 17.05464, 24.98042, 3.058939, 64.8357, 1627.97, 1604.269, 2264.994, 40.68416, 0.6756503, 0.295108, 3262.717, 0.6300923, 2.983875, 3.011853, 1.033948, 0.01741183, 0.1891887, 0.2002292, 0.19675, 
1992, 5177.606, 15415.16, 0, 6.930795, 0.8173528, 13.40936, 0, 66.90594, 1.874963, 10.0616, 17.10257, 25.0272, 3.059421, 64.70365, 1627.646, 1604.23, 2265.365, 40.58484, 0.5457408, 0.295002, 3261.46, 0.6299167, 2.977276, 3.100104, 1.033423, 0.003310666, 0.1892024, 0.2001978, 0.1967335, 
1993, 5181.147, 15424.72, 0, 6.938034, 0.8164368, 13.40961, 0, 66.89709, 1.86805, 10.07079, 17.10316, 25.02466, 3.058837, 64.62957, 1629.205, 1604.185, 2265.843, 40.57201, 0.4736268, 0.2949781, 3264.496, 0.6300723, 2.977086, 3.156009, 1.038296, -0.002066376, 0.1892837, 0.2002627, 0.1968038, 
1994, 5178.421, 15426.07, 0, 6.942636, 0.8157709, 13.40221, 0, 66.88076, 1.865671, 10.09295, 17.09662, 25.01962, 3.059295, 64.60498, 1628.082, 1604.063, 2265.065, 40.57807, 0.446839, 0.2949823, 3264.248, 0.6303561, 2.978915, 3.182125, 1.041453, -0.003176981, 0.1892772, 0.2002517, 0.1967941, 
1995, 5178.1, 15475.32, 0, 6.942733, 0.8142083, 13.35991, 0, 66.80437, 1.873095, 10.20568, 17.01519, 24.95464, 3.05908, 64.76296, 1627.952, 1604.523, 2264.729, 40.92779, 0.6013259, 0.2950726, 3267.907, 0.6311033, 2.988629, 3.14823, 1.061372, 0.003909523, 0.189365, 0.200363, 0.1968972, 
1996, 5181.149, 15493.28, 0, 6.940598, 0.8129014, 13.35321, 0, 66.79471, 1.865086, 10.2335, 17.01852, 24.94402, 3.058418, 64.68804, 1629.375, 1604.647, 2265.246, 40.90433, 0.5323744, 0.2950951, 3270.12, 0.6311575, 2.990318, 3.177209, 1.058146, 0.0003687422, 0.1894354, 0.2004421, 0.1969735, 
1997, 5179.809, 15474.59, 0, 6.945675, 0.8141509, 13.36354, 0, 66.80733, 1.875401, 10.19389, 17.03534, 24.96415, 3.058852, 64.78345, 1628.601, 1604.841, 2265.601, 40.82551, 0.6269817, 0.2950387, 3268.755, 0.6310571, 2.987485, 3.128571, 1.056915, 0.008436502, 0.1894169, 0.2004039, 0.1969419, 
1998, 5179.181, 15450.73, 0, 6.950967, 0.815866, 13.38167, 0, 66.82792, 1.882661, 10.14091, 17.07023, 24.99508, 3.05902, 64.83448, 1628.252, 1604.446, 2265.42, 40.64619, 0.6773866, 0.2949751, 3267.598, 0.6309103, 2.98324, 3.109266, 1.048958, 0.01119662, 0.189393, 0.2003596, 0.1969045, 
1999, 5180.41, 15425.84, 0, 6.954194, 0.816559, 13.40588, 0, 66.86632, 1.873814, 10.08324, 17.1129, 25.02911, 3.05896, 64.69524, 1628.826, 1604.165, 2265.635, 40.49504, 0.5393403, 0.2949135, 3266.674, 0.6305822, 2.977727, 3.182986, 1.040776, 0.0009473318, 0.1893746, 0.2003196, 0.1968718, 
2000, 5179.958, 15427.6, 0, 6.951209, 0.8160152, 13.40435, 0, 66.86884, 1.864261, 10.09531, 17.10055, 25.01972, 3.059043, 64.59094, 1628.741, 1603.968, 2265.196, 40.58154, 0.4321416, 0.2949328, 3266.265, 0.6305589, 2.978333, 3.242281, 1.045248, -0.005500538, 0.189339, 0.2002966, 0.1968448, 
2001, 5181.002, 15453.75, 0, 6.942494, 0.8151557, 13.3867, 0, 66.84263, 1.867496, 10.14552, 17.08698, 24.99905, 3.058502, 64.66498, 1629.303, 1603.946, 2265.034, 40.5918, 0.5068744, 0.2950023, 3267.596, 0.6306881, 2.982774, 3.201294, 1.041976, -0.001466222, 0.189357, 0.2003393, 0.1968791, 
2002, 5179.542, 15432.79, 0, 6.941617, 0.8154261, 13.40021, 0, 66.87112, 1.865252, 10.10638, 17.09876, 25.01374, 3.058953, 64.60902, 1628.633, 1603.903, 2264.977, 40.62147, 0.4499401, 0.2949843, 3265.153, 0.6303942, 2.979566, 3.16713, 1.042565, -0.002782294, 0.1893035, 0.200283, 0.1968239, 
2003, 5180.419, 15429.96, 0, 6.940714, 0.8160064, 13.4061, 0, 66.87678, 1.865693, 10.0947, 17.11782, 25.02458, 3.058668, 64.6149, 1629.072, 1603.729, 2265.026, 40.46816, 0.4561394, 0.2949834, 3265.405, 0.6303361, 2.978514, 3.194753, 1.032931, -0.002952798, 0.189291, 0.2002716, 0.1968122, 
2004, 5183.268, 15415.55, 0, 6.941118, 0.8172886, 13.42465, 0, 66.90338, 1.868961, 10.0446, 17.14431, 25.0468, 3.058233, 64.62778, 1630.234, 1603.587, 2265.68, 40.41393, 0.4749452, 0.2949399, 3265.484, 0.6300056, 2.974104, 3.174676, 1.030579, -0.002056868, 0.189272, 0.2002395, 0.1967847, 
2005, 5179.662, 15438.39, 0, 6.930298, 0.815777, 13.39997, 0, 66.87032, 1.865459, 10.11817, 17.11201, 25.0146, 3.058473, 64.62673, 1628.922, 1603.036, 2263.891, 40.4458, 0.4647271, 0.2950422, 3264.602, 0.6302735, 2.980577, 3.16101, 1.029451, -0.002389625, 0.189209, 0.2002168, 0.1967484, 
2006, 5180.565, 15412.14, 0, 6.932541, 0.8177149, 13.42361, 0, 66.90528, 1.870379, 10.05048, 17.15307, 25.04969, 3.058442, 64.647, 1629.214, 1603.006, 2264.492, 40.33297, 0.4873905, 0.2949848, 3263.348, 0.6299216, 2.974997, 3.169668, 1.021343, -0.001722152, 0.1891694, 0.2001579, 0.196696, 
2007, 5182.366, 15408.67, 0, 6.930188, 0.8179423, 13.43161, 0, 66.91925, 1.866316, 10.03469, 17.16229, 25.05566, 3.058101, 64.59487, 1630.042, 1602.976, 2264.816, 40.29375, 0.4393394, 0.2949799, 3263.518, 0.6297353, 2.97329, 3.203524, 1.017102, -0.004705597, 0.189168, 0.2001599, 0.1966972, 
