Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985:1, 5182.027, 15426.35, 0, 6.892592, 0.8211511, 13.41976, 0, 66.92236, 1.893672, 10.05048, 17.15627, 25.04769, 3.057508, 64.97305, 1629.88, 1602.651, 2264.595, 40.17429, 0.8142937, 0.2950903, 3260.127, 0.629122, 2.976895, 2.959891, 0.9977515, 0.03113987, 0.1889925, 0.2000537, 0.1965685, 
1985:2, 5207.257, 15483.21, 0, 6.901124, 0.8203751, 13.42871, 0, 66.91849, 1.885056, 10.04624, 17.12838, 25.01229, 3.053252, 64.917, 1640.562, 1605.762, 2272.211, 40.27046, 0.8027359, 0.2950523, 3274.73, 0.6288782, 2.97339, 2.957812, 1.006974, 0.02991758, 0.1893716, 0.2004085, 0.1969323, 
1985:3, 5165.502, 15396.11, 0, 6.892562, 0.8206292, 13.40718, 0, 66.90835, 1.895842, 10.07543, 17.12052, 25.03778, 3.060414, 64.95538, 1622.889, 1599.803, 2258.529, 40.24787, 0.7921671, 0.2951383, 3251.715, 0.6295061, 2.980564, 2.956863, 1.00377, 0.02884174, 0.1887316, 0.1998163, 0.1963225, 
1985:4, 5194.026, 15457.01, 0, 6.900198, 0.8203053, 13.4202, 0, 66.91101, 1.887417, 10.06086, 17.10548, 25.00857, 3.055552, 64.92332, 1634.942, 1604.497, 2268.405, 40.34848, 0.7848755, 0.2950874, 3267.721, 0.6291305, 2.975921, 2.955747, 1.010915, 0.02808619, 0.1891694, 0.2002232, 0.1967409, 
1985:5, 5156.125, 15366.88, 0, 6.894995, 0.8212792, 13.40934, 0, 66.91465, 1.898974, 10.06077, 17.11595, 25.04509, 3.062174, 64.97183, 1618.84, 1599.545, 2256.636, 40.30937, 0.7774526, 0.295137, 3246.349, 0.6296101, 2.980316, 2.955451, 1.005862, 0.02737758, 0.1885911, 0.1996786, 0.1961836, 
1985:6, 5164.369, 15393.48, 0, 6.891308, 0.8210579, 13.40704, 0, 66.9106, 1.89546, 10.07455, 17.13779, 25.04271, 3.060535, 64.98576, 1622.422, 1601.358, 2259.831, 40.22531, 0.7699808, 0.2951488, 3251.011, 0.6295079, 2.980709, 2.957465, 0.9984403, 0.02677093, 0.1887184, 0.1998041, 0.1963099, 
1985:7, 5201.955, 15539.17, 0, 6.877195, 0.8167133, 13.37529, 0, 66.85284, 1.875748, 10.2022, 17.10228, 24.96714, 3.053347, 64.90321, 1638.786, 1605.317, 2269.608, 40.20462, 0.7637192, 0.2952537, 3273.979, 0.6293749, 2.98718, 2.957878, 0.9989177, 0.02633382, 0.1892865, 0.2003897, 0.1968909, 
1985:8, 5199.335, 15516.77, 0, 6.883834, 0.817285, 13.3864, 0, 66.86674, 1.877738, 10.16797, 17.09408, 24.97551, 3.054049, 64.87959, 1637.56, 1604.495, 2268.55, 40.23208, 0.7587958, 0.2952128, 3272.103, 0.6293311, 2.984377, 2.95639, 1.002375, 0.02598448, 0.189246, 0.2003374, 0.1968424, 
1985:9, 5189.511, 15481.11, 0, 6.888879, 0.8180289, 13.39234, 0, 66.87672, 1.881948, 10.14209, 17.08351, 24.9844, 3.055959, 64.88228, 1633.279, 1603.176, 2265.634, 40.28745, 0.7551899, 0.2951926, 3266.399, 0.6294233, 2.983154, 2.954514, 1.006333, 0.0257254, 0.1890983, 0.2001876, 0.196693, 
1985:10, 5152.84, 15380.15, 0, 6.890549, 0.8202386, 13.3926, 0, 66.89137, 1.895608, 10.10963, 17.11568, 25.02941, 3.062452, 64.97031, 1617.616, 1598.915, 2255.016, 40.1899, 0.7500861, 0.2952076, 3245.734, 0.6298922, 2.984791, 2.955424, 0.9969636, 0.02539524, 0.1885376, 0.1996465, 0.196144, 
1985:11, 5193.076, 15537.93, 0, 6.872645, 0.8157741, 13.35788, 0, 66.83068, 1.874727, 10.24831, 17.088, 24.95115, 3.054634, 64.90158, 1635.163, 1603.9, 2266.194, 40.13686, 0.7453808, 0.295329, 3270.16, 0.6297153, 2.992048, 2.957333, 0.9941308, 0.02519771, 0.1891486, 0.2002787, 0.1967704, 
1985:12, 5223.686, 15572.46, 0, 6.893446, 0.8167425, 13.39449, 0, 66.85963, 1.869519, 10.16619, 17.06719, 24.94132, 3.049945, 64.84618, 1647.869, 1608.034, 2276.41, 40.25495, 0.7438198, 0.2951836, 3286.518, 0.6291568, 2.981126, 2.953783, 1.006397, 0.02518223, 0.1896127, 0.2006807, 0.1971944, 
1986:1, 5155.79, 15405.1, 0, 6.898335, 0.8167205, 13.38305, 0, 66.86166, 1.870966, 10.16927, 17.07316, 24.99537, 3.061728, 64.66406, 1619.284, 1598.513, 2254.599, 40.23824, 0.5038676, 0.2952715, 3250.184, 0.630395, 2.987922, 3.170577, 1.002329, 2.417628E-05, 0.1885237, 0.1996589, 0.1961478, 
1986:2, 5156.308, 15370.85, 0, 6.903936, 0.8192523, 13.41055, 0, 66.90531, 1.876102, 10.08485, 17.12418, 25.03805, 3.061954, 64.71926, 1619.274, 1600.461, 2257.27, 40.1763, 0.5018021, 0.2951758, 3248.435, 0.6299925, 2.98098, 3.16626, 0.9954108, 0.0002551824, 0.188544, 0.1996444, 0.1961451, 
1986:3, 5189.953, 15463.39, 0, 6.899045, 0.8173673, 13.41042, 0, 66.89794, 1.863637, 10.1116, 17.12052, 25.00759, 3.055948, 64.65376, 1633.658, 1604.922, 2267.593, 40.18988, 0.5005863, 0.2951637, 3266.925, 0.6294711, 2.979487, 3.159399, 0.9973888, 0.0005576359, 0.1890656, 0.2001464, 0.1966548, 
1986:4, 5168.917, 15390.08, 0, 6.903141, 0.8191275, 13.42218, 0, 66.9259, 1.873056, 10.05659, 17.15012, 25.05038, 3.059872, 64.68362, 1624.576, 1601.903, 2261.194, 40.13835, 0.4996887, 0.2951284, 3254.147, 0.6295607, 2.977427, 3.150675, 0.9926961, 0.0009010209, 0.1887483, 0.1998261, 0.1963347, 
1986:5, 5173.29, 15386.81, 0, 6.904741, 0.8198304, 13.43427, 0, 66.94494, 1.873472, 10.02275, 17.17891, 25.06899, 3.059201, 64.68703, 1626.372, 1602.608, 2262.927, 40.06679, 0.499134, 0.2950884, 3255.67, 0.629323, 2.974279, 3.144621, 0.9870974, 0.001315514, 0.1888163, 0.1998772, 0.1963917, 
1986:6, 5202.692, 15465.25, 0, 6.903793, 0.8181087, 13.4357, 0, 66.93736, 1.862655, 10.04239, 17.16447, 25.03651, 3.054054, 64.61432, 1638.922, 1605.836, 2271.303, 40.08603, 0.4996301, 0.2950714, 3272.075, 0.6289197, 2.972548, 3.135612, 0.9921362, 0.001796575, 0.1892626, 0.2003044, 0.1968263, 
1986:7, 5179.524, 15408.3, 0, 6.902344, 0.8186898, 13.43023, 0, 66.94093, 1.869976, 10.03785, 17.16581, 25.05675, 3.058131, 64.63908, 1629.05, 1602.017, 2263.352, 40.06538, 0.4984278, 0.2950969, 3259.05, 0.6292181, 2.974849, 3.127698, 0.9910187, 0.002012584, 0.188907, 0.1999669, 0.1964819, 
1986:8, 5174.859, 15373.84, 0, 6.907364, 0.8202223, 13.44697, 0, 66.9679, 1.874463, 9.983074, 17.18798, 25.08377, 3.059176, 64.65997, 1626.926, 1601.875, 2262.741, 40.03384, 0.4966173, 0.2950439, 3255.343, 0.6290688, 2.97087, 3.123072, 0.9886677, 0.002131759, 0.1888357, 0.1998787, 0.1963993, 
1986:9, 5175.508, 15359.73, 0, 6.910529, 0.8211123, 13.45946, 0, 66.98701, 1.876177, 9.945709, 17.20753, 25.10139, 3.0592, 64.66513, 1627.12, 1602.21, 2263.436, 39.99574, 0.495139, 0.2950043, 3254.894, 0.6289034, 2.967772, 3.119052, 0.9859868, 0.002275281, 0.188845, 0.1998734, 0.1963989, 
