,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
1,"striped bass 0",-1,-0.4566049,0.07568546,-1,-1,-0.05355943,-0.1300702,-0.7068401,-1,-1,-1,-1,-1,-1,-1,
2,"striped bass 2-5",-1,-1,-0.7742311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3,"striped bass 6+",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
4,"menhaden juv",-0.3009626,-0.04201138,0.1489992,-1,-1,-0.8189539,-0.6669077,-0.4984652,-0.5402725,-0.6312894,-1,-1,-1,-1,-1,
5,"menhaden adult",-0.8409206,-0.743889,-0.2198929,-1,-1,-0.9751494,-1,-0.8202919,-1,-0.9497187,-1,-1,-1,-1,-1,
6,"spiny dogfish",-1,-1,-1,-1,-1,-0.9485933,-1,-1,-1,-1,-1,-1,-1,-1,-1,
7,"bluefish juv",-1,-0.1474026,0.06051997,-1,-1,-1,-1,0.8726873,-1,-1,-1,-1,-1,-1,-1,
8,"bluefish adult",-1,-1,-0.9592394,-1,-1,-1,-1,-0.9786881,-1,-1,-1,-1,-1,-1,-1,
9,"weakfish juv",0.9591943,0.9285353,-1,-1,-1,-1,0.7600121,0.5596559,0.7744771,0.9513485,-1,-1,-1,-1,-1,
10,"weakfish adult",-1,-1,-1,-1,-1,-1,-1,-0.4471201,-1,-0.6450754,-1,-1,-1,-1,-1,
11,"Atlantic herring 0-1",-1,-0.1922199,0.8091377,-1,-1,0.9273725,-1,0.1090394,-1,-1,0.9269637,0.8793474,-1,-1,-1,
12,"Atlantic herring 2+",-1,-0.3614062,0.2668845,-1,-1,0.7168232,-1,-0.1946865,-1,-1,-0.2710048,0.03040102,-1,-1,-1,
13,anchovies,0.5810176,0.5259822,0.7098956,-1,-1,-0.5440651,0.9281594,0.5201747,0.9319094,0.6879405,0.6039314,0.7003226,-1,-1,-1,
14,benthos,-0.5811949,-0.8578687,-0.9378467,-1,-1,-0.7226925,-0.9797972,-0.9852116,-0.8353359,-0.944065,-0.4262643,-0.3112362,0.2062633,0.2462542,-0.9828041,
15,zooplankton,-0.8520692,-0.9927841,-0.9986542,0.7955141,0.8826897,-0.6864842,-0.9900183,-0.9957298,-0.7976825,-0.9419928,0.3564122,0.4794993,0.9292497,-0.4408058,0.6197508,
16,phytoplankton,-1,-0.9992865,-0.9968185,0.8289332,0.7554219,-1,-1,-0.9987839,-0.9982561,-0.9997904,-1,-1,0.6461588,0.8299943,0.926704,
17,Detritus,-1,-1,-1,0.6771677,0.5782864,-1,-1,-1,-1,-1,-1,-1,-0.009551834,0.8733936,0.5261683,
