,"Group name",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1,"striped bass 0",1,0.1214732,0,0.7217047,0.6874991,0.6008213,0.5401186,0.5562026,0.6296021,0.5444314,0.9199864,0.9482362,0.6825199,0.005401336,0.0001338551,5.953163E-07,
2,"striped bass 2-5",0.1214732,1,0,0.1091138,0.1972301,0,0.004931275,0.06890043,0,0,0.07197912,0.04274889,0.04896814,0.0002057297,1.218102E-07,9.73419E-08,
3,"striped bass 6+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"menhaden juv",0.7217047,0.1091138,0,1,0.9744727,0.05468584,0.8147814,0.8296182,0.945664,0.8211007,0.4797626,0.5708736,0.9488313,0.002532336,2.306616E-05,8.964015E-07,
5,"menhaden adult",0.6874991,0.1972301,0,0.9744727,1,0.02543803,0.8886685,0.9093694,0.8762444,0.8936821,0.4674754,0.5613244,0.9527249,0.002041764,1.644404E-05,9.673353E-07,
6,"spiny dogfish",0.6008213,0,0,0.05468584,0.02543803,1,0,0,0,0,0.7614651,0.7602522,0.02079348,0.006461822,0.0002097251,0,
7,"bluefish juv",0.5401186,0.004931275,0,0.8147814,0.8886685,0,1,0.9968436,0.7024454,0.9979119,0.3941672,0.4996441,0.8490266,0.001374827,1.084484E-05,1.039423E-06,
8,"bluefish adult",0.5562026,0.06890043,0,0.8296182,0.9093694,0,0.9968436,1,0.7098991,0.9960608,0.4052676,0.5087417,0.8649049,0.001352825,1.076865E-05,1.041657E-06,
9,"weakfish juv",0.6296021,0,0,0.945664,0.8762444,0,0.7024454,0.7098991,1,0.7204181,0.3794875,0.46595,0.9096078,0.002340525,1.448288E-05,7.773546E-07,
10,"weakfish adult",0.5444314,0,0,0.8211007,0.8936821,0,0.9979119,0.9960608,0.7204181,1,0.3982432,0.5037745,0.8640864,0.001365481,1.155133E-05,1.037032E-06,
11,"Atlantic herring 0-1",0.9199864,0.07197912,0,0.4797626,0.4674754,0.7614651,0.3941672,0.4052676,0.3794875,0.3982432,1,0.9789448,0.4764695,0.006990034,0.0003099643,4.230609E-07,
12,"Atlantic herring 2+",0.9482362,0.04274889,0,0.5708736,0.5613244,0.7602522,0.4996441,0.5087417,0.46595,0.5037745,0.9789448,1,0.5550703,0.006310629,0.0002066036,5.319817E-07,
13,anchovies,0.6825199,0.04896814,0,0.9488313,0.9527249,0.02079348,0.8490266,0.8649049,0.9096078,0.8640864,0.4764695,0.5550703,1,0.002399936,8.758087E-05,9.095064E-07,
14,benthos,0.005401336,0.0002057297,0,0.002532336,0.002041764,0.006461822,0.001374827,0.001352825,0.002340525,0.001365481,0.006990034,0.006310629,0.002399936,1,0.09871053,0.1319335,
15,zooplankton,0.0001338551,1.218102E-07,0,2.306616E-05,1.644404E-05,0.0002097251,1.084484E-05,1.076865E-05,1.448288E-05,1.155133E-05,0.0003099643,0.0002066036,8.758087E-05,0.09871053,1,0.9991834,
16,phytoplankton,5.953163E-07,9.73419E-08,0,8.964015E-07,9.673353E-07,0,1.039423E-06,1.041657E-06,7.773546E-07,1.037032E-06,4.230609E-07,5.319817E-07,9.095064E-07,0.1319335,0.9991834,1,
