,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,
1,"striped bass 0",,0.0001061207,6.677407E-05,,,0.0003302726,5.375992E-05,0.0002917308,,,,,,,,0.02071259,
2,"striped bass 2-5",,,3.338703E-05,,,,,,,,,,,,,0.04199927,
3,"striped bass 6+",,,,,,,,,,,,,,,,0.00975349,
4,"menhaden juv",0.001195236,0.008472333,0.00256557,,,0.001285817,0.0004836081,0.01884144,0.0001580076,0.001218854,,,,,,0.9870277,
5,"menhaden adult",0.001195236,0.008577707,0.007663752,,,0.0009884434,,0.03410803,,0.0008516779,,,,,,3.391525,
6,"spiny dogfish",,,,,,0.0003299429,,,,,,,,,,0.1799626,
7,"bluefish juv",,0.0001062269,3.335367E-05,,,,,0.006761391,,,,,,,,0.01196352,
8,"bluefish adult",,,3.338703E-05,,,,,0.0004824082,,,,,,,,0.2491,
9,"weakfish juv",0.000119653,0.0004244829,,,,,5.343711E-05,0.0007227547,1.233477E-05,0.000271249,,,,,,0.002582212,
10,"weakfish adult",,,,,,,,0.0009667487,,5.248166E-05,,,,,,0.02237293,
11,"Atlantic herring 0-1",,0.0001871252,0.000362326,,,0.003833037,,0.001960787,,,0.0002319189,0.0008715188,,,,0.01992183,
12,"Atlantic herring 2+",,0.002359772,0.00170767,,,0.03036944,,0.01975345,,,0.0002319189,0.001979299,,,,0.1184289,
13,anchovies,0.006760397,0.02515061,0.008547082,,,0.003629371,0.02365436,0.146363,0.00531297,0.02128938,0.002453078,0.01507699,,,,0.7365113,
14,benthos,0.0309303,0.03830957,0.003405479,,,0.1069636,0.001290238,0.02209476,0.002484173,0.008109745,0.01596998,0.09815391,0.2009337,16.37576,1.514885,107.6388,
15,zooplankton,0.008794494,0.001697932,6.677407E-05,1.113545,3.694985,0.1149673,0.0005913589,0.005917642,0.002900595,0.00784734,0.07064864,0.4342173,1.360779,3.859765,548.0506,691.8193,
16,phytoplankton,,0.0001061207,0.0001001611,0.7980409,1.448609,,,0.001066836,1.435938E-05,1.749389E-05,,,0.3083636,41.55578,1027.246,531.247,
17,Detritus,,,,0.737061,1.338422,,,,,,,,0.1193666,74.92794,417.9503,,
18,Import,0.01118756,0.02313432,0.009047885,2.118918E-07,0,0.2287164,0.02720251,0.4304452,0.001306703,0.008220782,0.000584265,0.003590982,0,44.65699,101.4593,0,
19,Sum,0.06018287,0.1086323,0.0336336,2.648647,6.482016,0.4914137,0.05332928,0.6897762,0.01218914,0.047879,0.0901198,0.55389,1.989443,181.3762,2096.222,1336.497,
