Pane,"Biomass",,,"Production/biomass",,,"Consumption/biomass",,,"Production / consumption",
Data,"Regression","Entered","Estimated","Regression","Entered","Estimated","Regression","Entered","Estimated","Entered","Estimated"
1,-4.21041679382324,0.0043247495777905,,-30.5126399993896,2.06900000572205,,-14.1939783096313,12.331184387207,,0.167785987257957,
2,-3.50610619783401,0.219699993729591,,-25.6548109054565,0.656000018119812,,-10.8010206222534,3.13899993896484,,0.208983764052391,
3,-2.80179560184479,0.0184799991548061,,-20.7969818115234,0.33500000834465,,-7.40806293487549,1.82000005245209,,0.184065937995911,
4,-2.09748500585556,0.012699999846518,,-15.9391527175903,1.30999994277954,,-4.01510524749756,3.76999998092651,,0.347480088472366,
5,-1.39317440986633,0.00122171267867088,,-11.0813236236572,1.45299994945526,,-0.622147560119629,9.97709369659424,,0.145633593201637,
6,-0.688863813877106,0.0361580476164818,,-6.22349452972412,0.582000017166138,,2.7708101272583,3.00437474250793,,0.193717524409294,
7,0.0154467821121216,0.271499991416931,,-1.36566543579102,0.321000009775162,,6.16376781463623,1.80999994277954,,0.177348077297211,
8,0.719757378101349,0.00832237116992474,,3.49216365814209,1.37100005149841,,9.55672550201416,10.8286199569702,,0.126608937978745,
9,1.42406797409058,0.149700000882149,,8.3499927520752,0.823000013828278,,12.9496831893921,3.70000004768372,,0.222432434558868,
10,2.1283785700798,0.00841541681438684,,13.2078218460083,1.13199996948242,,16.34264087677,7.15150308609009,,0.158288404345512,
11,2.83268916606903,0.271299988031387,,18.0656509399414,2.20000004768372,,19.7355985641479,7.33300018310547,,0.30001363158226,
12,3.53699976205826,1.7039999961853,,22.9234800338745,1.4539999961853,,23.1285562515259,3.80399990081787,,0.38222923874855,
13,4.24131035804749,0.281720697879791,,27.7813091278076,1.76400005817413,,26.5215139389038,9.40167808532715,,0.187626078724861,
14,4.94562095403671,13.5590000152588,,32.6391382217407,45.8499984741211,,29.9144716262817,154.600006103516,,0.296571791172028,
15,5.64993155002594,14.5459995269775,,37.4969673156738,2.43159508705139,,33.3074293136597,12.4691495895386,,0.195008888840675,
16,6.35424214601517,8.5959997177124,,42.3547964096069,186.43620300293,,,,,,
3.40282346638529E+38,,,,,,,,,,,
