EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/7/2022 12:31:06 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

timestep,fleet,group,value
115,1,1,6.492273E-07
115,3,11,0.001734903
116,1,1,6.602344E-07
116,3,11,0.001734976
117,1,1,6.712933E-07
117,3,11,0.001735044
118,1,1,6.823952E-07
118,3,11,0.001735109
119,1,1,6.935309E-07
119,3,11,0.00173517
120,1,1,7.046917E-07
120,3,11,0.001735228
121,1,1,7.159131E-07
121,3,11,0.001967238
122,1,1,7.271331E-07
122,3,11,0.001967205
123,1,1,7.383221E-07
123,3,11,0.001967172
124,1,1,7.494597E-07
124,3,11,0.00196714
125,1,1,7.605295E-07
125,3,11,0.001967109
126,1,1,7.715149E-07
126,3,11,0.001967077
127,1,1,7.823974E-07
127,3,11,0.001967046
128,1,1,7.931556E-07
128,3,11,0.001967015
129,1,1,8.037658E-07
129,3,11,0.001966983
130,1,1,8.142015E-07
130,3,11,0.00196695
131,1,1,8.244344E-07
131,3,11,0.001966917
132,1,1,8.344341E-07
132,3,11,0.001966882
133,1,1,8.443002E-07
133,3,11,0.002314105
134,1,1,8.540387E-07
134,3,11,0.002314128
135,1,1,8.6364E-07
135,3,11,0.002314148
136,1,1,8.730648E-07
136,3,11,0.002314166
137,1,1,8.82267E-07
137,3,11,0.002314182
138,1,1,8.91199E-07
138,3,11,0.002314195
139,1,1,8.998147E-07
139,3,11,0.002314207
140,1,1,9.080697E-07
140,3,11,0.002314216
141,1,1,9.15928E-07
141,3,11,0.002314223
142,1,1,9.233592E-07
142,3,11,0.002314228
143,1,1,9.303389E-07
143,3,11,0.002314232
144,1,1,9.368488E-07
144,3,11,0.002314232
145,1,1,9.430356E-07
145,3,11,0.001594019
146,1,1,9.489249E-07
146,3,11,0.001593968
147,1,1,9.545826E-07
147,3,11,0.001593917
148,1,1,9.600564E-07
148,3,11,0.001593866
149,1,1,9.653872E-07
149,3,11,0.001593814
150,1,1,9.706094E-07
150,3,11,0.001593763
151,1,1,9.757522E-07
151,3,11,0.00159371
152,1,1,9.808398E-07
152,3,11,0.001593658
153,1,1,9.858921E-07
153,3,11,0.001593605
154,1,1,9.909257E-07
154,3,11,0.001593552
155,1,1,9.959523E-07
155,3,11,0.001593499
156,1,1,1.00098E-06
156,3,11,0.001593446
157,1,1,1.005804E-06
157,3,11,0.001858648
158,1,1,1.010354E-06
158,3,11,0.001858614
159,1,1,1.014574E-06
159,3,11,0.00185858
160,1,1,1.018443E-06
160,3,11,0.001858546
161,1,1,1.021946E-06
161,3,11,0.001858512
162,1,1,1.025069E-06
162,3,11,0.001858478
163,1,1,1.027798E-06
163,3,11,0.001858443
164,1,1,1.030115E-06
164,3,11,0.001858409
165,1,1,1.032003E-06
165,3,11,0.001858374
166,1,1,1.033442E-06
166,3,11,0.001858339
167,1,1,1.034413E-06
167,3,11,0.001858303
168,1,1,1.034895E-06
168,3,11,0.001858267
169,1,1,1.035099E-06
169,3,11,0.001468555
170,1,1,1.035018E-06
170,3,11,0.001468494
171,1,1,1.034635E-06
171,3,11,0.001468434
172,1,1,1.033897E-06
172,3,11,0.001468375
173,1,1,1.03276E-06
173,3,11,0.001468317
174,1,1,1.031178E-06
174,3,11,0.00146826
175,1,1,1.029107E-06
175,3,11,0.001468203
176,1,1,1.026503E-06
176,3,11,0.001468147
177,1,1,1.023326E-06
177,3,11,0.001468092
178,1,1,1.01954E-06
178,3,11,0.001468037
179,1,1,1.015117E-06
179,3,11,0.001467983
180,1,1,1.010037E-06
180,3,11,0.001467929
181,1,1,1.00489E-06
181,3,11,0.001035714
182,1,1,9.995515E-07
182,3,11,0.001035673
183,1,1,9.940046E-07
183,3,11,0.001035632
184,1,1,9.882199E-07
184,3,11,0.00103559
185,1,1,9.822057E-07
185,3,11,0.001035548
186,1,1,9.759875E-07
186,3,11,0.001035506
187,1,1,9.696006E-07
187,3,11,0.001035465
188,1,1,9.63087E-07
188,3,11,0.001035423
189,1,1,9.564924E-07
189,3,11,0.001035381
190,1,1,9.498629E-07
190,3,11,0.00103534
191,1,1,9.432438E-07
191,3,11,0.001035299
192,1,1,9.366779E-07
192,3,11,0.001035259
193,1,1,9.3053E-07
193,3,11,0.0005702413
194,1,1,9.248396E-07
194,3,11,0.0005701952
195,1,1,9.196685E-07
195,3,11,0.0005701504
196,1,1,9.15016E-07
196,3,11,0.0005701068
197,1,1,9.108692E-07
197,3,11,0.0005700643
198,1,1,9.072112E-07
198,3,11,0.000570023
199,1,1,9.040207E-07
199,3,11,0.0005699827
200,1,1,9.012734E-07
200,3,11,0.0005699433
201,1,1,8.989434E-07
201,3,11,0.000569905
202,1,1,8.970036E-07
202,3,11,0.0005698676
203,1,1,8.954258E-07
203,3,11,0.0005698309
204,1,1,8.941811E-07
204,3,11,0.0005697951
205,1,1,8.930028E-07
205,3,11,0.0005397387
206,1,1,8.918128E-07
206,3,11,0.00053971
207,1,1,8.905354E-07
207,3,11,0.0005396815
208,1,1,8.89137E-07
208,3,11,0.0005396532
209,1,1,8.875966E-07
209,3,11,0.0005396252
210,1,1,8.858939E-07
210,3,11,0.0005395976
211,1,1,8.840227E-07
211,3,11,0.0005395702
212,1,1,8.819811E-07
212,3,11,0.0005395432
213,1,1,8.797713E-07
213,3,11,0.0005395166
214,1,1,8.773985E-07
214,3,11,0.0005394903
215,1,1,8.74871E-07
215,3,11,0.0005394645
216,1,1,8.721993E-07
216,3,11,0.0005394391
217,1,1,8.694974E-07
217,3,11,0.0002640862
218,1,1,8.667787E-07
218,3,11,0.0002640678
219,1,1,8.640675E-07
219,3,11,0.0002640499
220,1,1,8.613891E-07
220,3,11,0.0002640325
221,1,1,8.587688E-07
221,3,11,0.0002640156
222,1,1,8.562303E-07
222,3,11,0.0002639991
223,1,1,8.53779E-07
223,3,11,0.0002639831
224,1,1,8.514319E-07
224,3,11,0.0002639675
225,1,1,8.492022E-07
225,3,11,0.0002639522
226,1,1,8.470982E-07
226,3,11,0.0002639374
227,1,1,8.45124E-07
227,3,11,0.0002639229
228,1,1,8.43279E-07
228,3,11,0.0002639087
229,1,1,8.414534E-07
229,3,11,0.0003156216
230,1,1,8.396584E-07
230,3,11,0.0003156047
231,1,1,8.378904E-07
231,3,11,0.0003155883
232,1,1,8.361331E-07
232,3,11,0.0003155723
233,1,1,8.34365E-07
233,3,11,0.0003155568
234,1,1,8.325563E-07
234,3,11,0.0003155416
235,1,1,8.306818E-07
235,3,11,0.0003155269
236,1,1,8.287236E-07
236,3,11,0.0003155126
237,1,1,8.266672E-07
237,3,11,0.0003154986
238,1,1,8.245022E-07
238,3,11,0.0003154849
239,1,1,8.222212E-07
239,3,11,0.0003154716
240,1,1,8.198209E-07
240,3,11,0.0003154585
241,1,1,8.174163E-07
241,3,11,0.0003162796
242,1,1,8.150379E-07
242,3,11,0.0003162672
243,1,1,8.127117E-07
243,3,11,0.0003162552
244,1,1,8.104499E-07
244,3,11,0.0003162435
245,1,1,8.082561E-07
245,3,11,0.0003162322
246,1,1,8.061281E-07
246,3,11,0.0003162211
247,1,1,8.040491E-07
247,3,11,0.0003162104
248,1,1,8.020081E-07
248,3,11,0.0003161999
249,1,1,7.999938E-07
249,3,11,0.0003161897
250,1,1,7.979945E-07
250,3,11,0.0003161798
251,1,1,7.959986E-07
251,3,11,0.00031617
252,1,1,7.939955E-07
252,3,11,0.0003161606
253,1,1,7.919152E-07
253,3,11,0.0003994683
254,1,1,7.897656E-07
254,3,11,0.0003994513
255,1,1,7.87552E-07
255,3,11,0.0003994347
256,1,1,7.852798E-07
256,3,11,0.0003994185
257,1,1,7.829531E-07
257,3,11,0.0003994027
