EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:21:42 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.671168E-06
1985,3,11,0.005140369
1986,1,1,1.821153E-06
1986,3,11,0.003322865
1987,1,1,1.959901E-06
1987,3,11,0.003433691
1988,1,1,2.091963E-06
1988,3,11,0.004114476
1989,1,1,2.174161E-06
1989,3,11,0.005334764
1990,1,1,2.195757E-06
1990,3,11,0.01656317
1991,1,1,2.281561E-06
1991,3,11,0.01378412
1992,1,1,2.325244E-06
1992,3,11,0.01795912
1993,1,1,2.30367E-06
1993,3,11,0.02212357
1994,1,1,2.181215E-06
1994,3,11,0.02074021
1995,1,1,1.962776E-06
1995,3,11,0.023508
1996,1,1,1.671164E-06
1996,3,11,0.02764572
1997,1,1,1.406964E-06
1997,3,11,0.01905457
1998,1,1,1.223307E-06
1998,3,11,0.0222195
1999,1,1,1.076915E-06
1999,3,11,0.01756948
2000,1,1,1.015582E-06
2000,3,11,0.01240529
2001,1,1,1.124483E-06
2001,3,11,0.006837801
2002,1,1,1.334395E-06
2002,3,11,0.006476453
2003,1,1,1.519166E-06
2003,3,11,0.003171169
2004,1,1,1.656076E-06
2004,3,11,0.003791085
2005,1,1,1.720678E-06
2005,3,11,0.003799987
2006,1,1,1.736685E-06
2006,3,11,0.004799515
2007,1,1,1.713448E-06
2007,3,11,0.006008223
2008,1,1,1.664281E-06
2008,3,11,0.006037478
2009,1,1,1.602968E-06
2009,3,11,0.005616431
2010,1,1,1.546165E-06
2010,3,11,0.005596237
2011,1,1,1.508914E-06
2011,3,11,0.009779071
2012,1,1,1.547516E-06
2012,3,11,0.01089574
2013,1,1,1.584431E-06
2013,3,11,0.007415556
2014,1,1,1.603605E-06
2014,3,11,0.01079653
2015,1,1,1.592457E-06
2015,3,11,0.008733077
2016,1,1,1.594064E-06
2016,3,11,0.01219062
2017,1,1,1.61554E-06
2017,3,11,0.01109499
