Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
2008,0.9901427,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,1.181405,1,
February,0.9912739,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,1.00501,1,
March,0.9923972,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,1.317058,1,
April,0.9935093,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,2.041149,1,
May,0.9946071,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,3,1,
June,0.9956875,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,3.958851,1,
July,0.9967473,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,4.682942,1,
August,0.9977831,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,4.99499,1,
September,0.9987921,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,4.818595,1,
October,0.9997709,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,4.196944,1,
November,1.000716,0.9233885,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,3.28224,1,
December,1.001625,0.9373993,0.9617769,0.8931121,0.9421622,0.9599469,0.6449338,2.298434,1,
2009,1.002495,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,1.181405,1,
February,1.003321,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,1.00501,1,
March,1.004102,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,1.317058,1,
April,1.004833,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,2.041149,1,
May,1.005512,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,3,1,
June,1.006135,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,3.958851,1,
July,1.0067,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,4.682942,1,
August,1.007202,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,4.99499,1,
September,1.00764,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,4.818595,1,
October,1.00801,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,4.196944,1,
November,1.008308,0.9373993,1.604202,0.9647119,1.16299,0.6822683,0.1654032,3.28224,1,
December,1.008531,1.427556,1.604202,0.9647119,1.16299,0.6822683,0.1654032,2.298434,1,
2010,1.008677,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,1.181405,1,
February,1.008742,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,1.00501,1,
March,1.008723,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,1.317058,1,
April,1.008616,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,2.041149,1,
May,1.00842,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,3,1,
June,1.008129,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,3.958851,1,
July,1.007743,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,4.682942,1,
August,1.007267,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,4.99499,1,
September,1.006705,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,4.818595,1,
October,1.006065,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,4.196944,1,
November,1.005351,1.427556,1.184887,0.5076151,1.032296,0.6666668,0.7377675,3.28224,1,
December,1.004569,0.5558885,1.184887,0.5076151,1.032296,0.6666668,0.7377675,2.298434,1,
2011,1.003727,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,1.181405,1,
February,1.002828,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,1.00501,1,
March,1.00188,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,1.317058,1,
April,1.000888,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,2.041149,1,
May,0.9998586,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,3,1,
June,0.9987968,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,3.958851,1,
July,0.9977088,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,4.682942,1,
August,0.9966006,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,4.99499,1,
September,0.9954779,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,4.818595,1,
October,0.9943468,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,4.196944,1,
November,0.9932131,0.5558885,0.8403282,1.03991,1.128444,0.7434304,0.8253284,3.28224,1,
December,0.9920825,1.300094,0.8403282,1.03991,1.128444,0.7434304,0.8253284,2.298434,1,
2012,0.9909612,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,1.181405,1,
February,0.989855,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,1.00501,1,
March,0.9887696,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,1.317058,1,
April,0.987711,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,2.041149,1,
May,0.9866851,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,3,1,
June,0.9856979,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,3.958851,1,
July,0.984755,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,4.682942,1,
August,0.9838625,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,4.99499,1,
September,0.9830262,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,4.818595,1,
October,0.9822521,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,4.196944,1,
November,0.9815459,1.300094,0.5796663,1.348988,1.318637,1.427165,0.2518832,3.28224,1,
December,0.9809136,0.7173288,0.5796663,1.348988,1.318637,1.427165,0.2518832,2.298434,1,
2013,0.9803611,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,1.181405,1,
February,0.9798942,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,1.00501,1,
March,0.9795189,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,1.317058,1,
April,0.9792411,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,2.041149,1,
May,0.9790664,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,3,1,
June,0.979001,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,3.958851,1,
July,0.9790508,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,4.682942,1,
August,0.9792213,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,4.99499,1,
September,0.9795188,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,4.818595,1,
October,0.9799469,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,4.196944,1,
November,0.9805,0.7173288,1.899911,1.031057,0.9153462,0.9874599,1.278334,3.28224,1,
December,0.981171,0.8872286,1.899911,1.031057,0.9153462,0.9874599,1.278334,2.298434,1,
2014,0.9819523,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,1.181405,1,
February,0.9828362,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,1.00501,1,
March,0.9838155,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,1.317058,1,
April,0.9848827,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,2.041149,1,
May,0.98603,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,3,1,
June,0.9872502,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,3.958851,1,
July,0.9885358,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,4.682942,1,
August,0.9898793,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,4.99499,1,
September,0.991273,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,4.818595,1,
October,0.9927096,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,4.196944,1,
November,0.9941816,0.8872286,1.341888,1.052735,1.061956,1.154686,1.088238,3.28224,1,
December,0.9956816,1.324593,1.341888,1.052735,1.061956,1.154686,1.088238,2.298434,1,
2015,0.9972019,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,1.181405,1,
February,0.9987351,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,1.00501,1,
March,1.000274,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,1.317058,1,
April,1.00181,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,2.041149,1,
May,1.003337,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,3,1,
June,1.004847,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,3.958851,1,
July,1.006333,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,4.682942,1,
August,1.007786,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,4.99499,1,
September,1.0092,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,4.818595,1,
October,1.010567,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,4.196944,1,
November,1.01188,1.324593,0.664884,0.5813218,1.069222,0.644435,2.259646,3.28224,1,
December,1.01313,0.7583883,0.664884,0.5813218,1.069222,0.644435,2.259646,2.298434,1,
2016,1.014311,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,1.181405,1,
February,1.015415,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,1.00501,1,
March,1.016435,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,1.317058,1,
April,1.017363,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,2.041149,1,
May,1.018191,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,3,1,
June,1.018913,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,3.958851,1,
July,1.01952,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,4.682942,1,
August,1.020005,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,4.99499,1,
September,1.020361,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,4.818595,1,
October,1.02058,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,4.196944,1,
November,1.020655,0.7583883,0.518714,0.6299594,1.677046,0.8846182,10.02792,3.28224,1,
December,1,0.7720547,0.518714,0.6299594,1.677046,0.8846182,10.02792,2.298434,1,
2017,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,1.181405,1,
February,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,1.00501,1,
March,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,1.317058,1,
April,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,2.041149,1,
May,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,3,1,
June,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,3.958851,1,
July,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,4.682942,1,
August,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,4.99499,1,
September,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,4.818595,1,
October,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,4.196944,1,
November,1,0.7720547,1.142133,1.953941,0.8209086,0.6832278,4.455463,3.28224,1,
December,1,1,1.142133,1.953941,0.8209086,0.6832278,4.455463,2.298434,1,
,,,,,,,,,,
