Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
March,1.06718,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,1.317058,1,
April,1.068164,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,2.041149,1,
May,1.068738,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,3,1,
June,1.068921,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,3.958851,1,
July,1.068734,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,4.682942,1,
August,1.068198,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,4.99499,1,
September,1.067332,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,4.818595,1,
October,1.066158,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,4.196944,1,
November,1.064695,1.143638,1.28152,0.6267602,0.9186603,0.8800959,0.265657,3.28224,1,
December,1.062964,1.018621,1.28152,0.6267602,0.9186603,0.8800959,0.265657,2.298434,1,
1989,1.060985,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,1.181405,1,
February,1.058779,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,1.00501,1,
March,1.056367,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,1.317058,1,
April,1.053768,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,2.041149,1,
May,1.051003,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,3,1,
June,1.048092,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,3.958851,1,
July,1.045056,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,4.682942,1,
August,1.041915,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,4.99499,1,
September,1.03869,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,4.818595,1,
October,1.035401,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,4.196944,1,
November,1.032068,1.018621,1.1508,1.028531,0.4426022,0.9174718,0.2300422,3.28224,1,
December,1.028711,1.001781,1.1508,1.028531,0.4426022,0.9174718,0.2300422,2.298434,1,
1990,1.025352,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,1.181405,1,
February,1.02201,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,1.00501,1,
March,1.018707,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,1.317058,1,
April,1.015461,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,2.041149,1,
May,1.012295,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,3,1,
June,1.009227,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,3.958851,1,
July,1.006279,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,4.682942,1,
August,1.003471,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,4.99499,1,
September,1.000823,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,4.818595,1,
October,0.9983558,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,4.196944,1,
November,0.9960897,1.001781,0.9841049,0.625542,0.91011,0.8385963,0.2116609,3.28224,1,
December,0.994045,1.308796,0.9841049,0.625542,0.91011,0.8385963,0.2116609,2.298434,1,
1991,0.9922423,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,1.181405,1,
February,0.9907019,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,1.00501,1,
March,0.9894441,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,1.317058,1,
April,0.9884893,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,2.041149,1,
May,0.9878581,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,3,1,
June,0.9875643,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,3.958851,1,
July,0.987597,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,4.682942,1,
August,0.9879386,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,4.99499,1,
September,0.9885717,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,4.818595,1,
October,0.9894787,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,4.196944,1,
November,0.9906423,1.308796,1.232503,0.593354,0.7803842,0.7052906,0.2498977,3.28224,1,
December,0.992045,0.7264566,1.232503,0.593354,0.7803842,0.7052906,0.2498977,2.298434,1,
1992,0.9936692,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,1.181405,1,
February,0.9954975,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,1.00501,1,
March,0.9975125,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,1.317058,1,
April,0.9996967,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,2.041149,1,
May,1.002033,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,3,1,
June,1.004503,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,3.958851,1,
