EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:22:08 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
1,0.005140004,,0.00324238,,0.003240715,,0.08678941,,0.4797939,,0.2497206,,0.06599413,,0.0180393,,0.004442701,,0.06106669,,1.329243E-05,,0.002819853,,0.05980212,,0.001873865,,0.004282579,,0.003737556,,
2,0.005140068,,0.003253975,,0.003268806,,0.08747897,,0.4758607,,0.243679,,0.06510594,,0.01789838,,0.004474518,,0.06000698,,1.330505E-05,,0.002820211,,0.06045793,,0.001892008,,0.00391367,,0.003716639,,
3,0.005140132,,0.003265601,,0.003296816,,0.08812741,,0.4731836,,0.2384861,,0.06414266,,0.01776434,,0.004500842,,0.05898358,,1.331826E-05,,0.002820988,,0.06110176,,0.001909888,,0.00359367,,0.00369669,,
4,0.005140194,,0.003277317,,0.003324822,,0.088747,,0.4715451,,0.2339758,,0.06312294,,0.01763728,,0.004522421,,0.05799694,,1.333234E-05,,0.002822203,,0.06173193,,0.001927183,,0.003316902,,0.003678508,,
5,0.005140253,,0.003289159,,0.003352877,,0.0893475,,0.4707744,,0.2300134,,0.06206024,,0.01751736,,0.004539896,,0.05704695,,1.334724E-05,,0.00282386,,0.06234679,,0.00194324,,0.003079261,,0.003663309,,
6,0.005140312,0.00514,0.003301147,0.000738,0.00338101,0.00316,0.08993667,0.06752375,0.4707366,0.1681429,0.2264895,0.04613868,0.06096411,0.03472481,0.01740477,0.008039044,0.004553818,0.004539933,0.05613298,0.0621,1.336267E-05,2.69E-05,0.002825944,0.00282,0.06294491,0.0592,0.001957203,0.001432164,0.002877912,0.001837547,0.003652617,0.001624328,
7,0.005140367,,0.003313282,,0.003409227,,0.09052066,,0.4713241,,0.2233154,,0.05984135,,0.01729965,,0.004564665,,0.05525405,,1.337818E-05,,0.00282842,,0.06352498,,0.00196813,,0.002710938,,0.00364813,,
8,0.005140422,,0.003325545,,0.003437509,,0.09110427,,0.47245,,0.2204189,,0.05869674,,0.01720214,,0.004572846,,0.05440881,,1.339324E-05,,0.002831239,,0.06408587,,0.001975086,,0.002576974,,0.003651608,,
9,0.005140475,,0.003337902,,0.003465814,,0.09169131,,0.4740435,,0.2177417,,0.05753371,,0.01711229,,0.004578713,,0.05359569,,1.340732E-05,,0.002834337,,0.06462657,,0.001977209,,0.002474895,,0.003664774,,
10,0.005140528,,0.003350307,,0.003494084,,0.09228474,,0.4760459,,0.2152364,,0.05635471,,0.01703013,,0.004582573,,0.05281295,,1.341991E-05,,0.002837643,,0.06514624,,0.001973762,,0.002403569,,0.003689242,,
