EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.672823E-06
1985,3,11,0.005140301
1986,1,1,1.833036E-06
1986,3,11,0.00332274
1987,1,1,1.943734E-06
1987,3,11,0.003433664
1988,1,1,2.201348E-06
1988,3,11,0.004114898
1989,1,1,2.609357E-06
1989,3,11,0.005336885
1990,1,1,3.118338E-06
1990,3,11,0.01658079
1991,1,1,3.915778E-06
1991,3,11,0.01380938
1992,1,1,4.952045E-06
1992,3,11,0.01800572
1993,1,1,6.168078E-06
1993,3,11,0.02219766
1994,1,1,7.60532E-06
1994,3,11,0.02082033
1995,1,1,9.01803E-06
1995,3,11,0.02360758
1996,1,1,1.024462E-05
1996,3,11,0.02777333
1997,1,1,1.116405E-05
1997,3,11,0.01912617
1998,1,1,1.183559E-05
1998,3,11,0.0223028
1999,1,1,1.18874E-05
1999,3,11,0.0176194
2000,1,1,1.113712E-05
2000,3,11,0.01242599
2001,1,1,1.030555E-05
2001,3,11,0.006840067
2002,1,1,9.957276E-06
2002,3,11,0.006474955
2003,1,1,9.624955E-06
2003,3,11,0.003167853
2004,1,1,9.309511E-06
2004,3,11,0.003786359
2005,1,1,8.915843E-06
2005,3,11,0.003794538
2006,1,1,8.485195E-06
2006,3,11,0.004792516
2007,1,1,7.980274E-06
2007,3,11,0.005999336
2008,1,1,7.337916E-06
2008,3,11,0.006028311
2009,1,1,6.630477E-06
2009,3,11,0.00560774
2010,1,1,6.037694E-06
2010,3,11,0.005587839
2011,1,1,5.541476E-06
2011,3,11,0.009768909
2012,1,1,5.475856E-06
2012,3,11,0.01088732
2013,1,1,5.645272E-06
2013,3,11,0.007409346
2014,1,1,5.874779E-06
2014,3,11,0.01079208
2015,1,1,6.068871E-06
2015,3,11,0.008730219
2016,1,1,6.209506E-06
2016,3,11,0.01219227
2017,1,1,6.178801E-06
2017,3,11,0.01109773
