EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
116,1,1,6.492867E-07
116,3,11,0.00173516
117,1,1,6.585915E-07
117,3,11,0.001735237
118,1,1,6.679088E-07
118,3,11,0.001735309
119,1,1,6.775208E-07
119,3,11,0.001735375
120,1,1,6.875035E-07
120,3,11,0.001735438
121,1,1,6.977364E-07
121,3,11,0.001967488
122,1,1,7.080294E-07
122,3,11,0.001967455
123,1,1,7.183477E-07
123,3,11,0.001967424
124,1,1,7.284923E-07
124,3,11,0.00196739
125,1,1,7.383696E-07
125,3,11,0.001967354
126,1,1,7.479571E-07
126,3,11,0.001967317
127,1,1,7.573148E-07
127,3,11,0.001967281
128,1,1,7.665197E-07
128,3,11,0.001967245
129,1,1,7.755893E-07
129,3,11,0.00196721
130,1,1,7.845117E-07
130,3,11,0.001967174
131,1,1,7.932881E-07
131,3,11,0.001967138
132,1,1,8.018746E-07
132,3,11,0.001967101
133,1,1,8.102786E-07
133,3,11,0.002314379
134,1,1,8.185434E-07
134,3,11,0.002314398
135,1,1,8.26736E-07
135,3,11,0.002314415
136,1,1,8.348266E-07
136,3,11,0.002314429
137,1,1,8.427768E-07
137,3,11,0.002314442
138,1,1,8.499721E-07
138,3,11,0.002314459
139,1,1,8.582261E-07
139,3,11,0.002314447
140,1,1,8.677287E-07
140,3,11,0.002314471
141,1,1,8.74929E-07
141,3,11,0.002314472
142,1,1,8.807735E-07
142,3,11,0.002314478
143,1,1,8.864224E-07
143,3,11,0.002314473
144,1,1,8.934093E-07
144,3,11,0.002314462
145,1,1,9.014825E-07
145,3,11,0.001594137
146,1,1,9.079954E-07
146,3,11,0.00159409
147,1,1,9.1276E-07
147,3,11,0.001594043
148,1,1,9.172106E-07
148,3,11,0.00159399
149,1,1,9.219009E-07
149,3,11,0.001593936
150,1,1,9.269336E-07
150,3,11,0.00159388
151,1,1,9.32248E-07
151,3,11,0.001593824
152,1,1,9.376777E-07
152,3,11,0.001593767
153,1,1,9.431752E-07
153,3,11,0.00159371
154,1,1,9.48704E-07
154,3,11,0.001593654
155,1,1,9.542383E-07
155,3,11,0.001593597
156,1,1,9.597233E-07
156,3,11,0.001593539
157,1,1,9.649611E-07
157,3,11,0.001858769
158,1,1,9.699451E-07
158,3,11,0.001858731
159,1,1,9.746792E-07
159,3,11,0.001858694
160,1,1,9.791352E-07
160,3,11,0.001858658
161,1,1,9.832798E-07
161,3,11,0.001858621
162,1,1,9.871055E-07
162,3,11,0.001858585
163,1,1,9.905208E-07
163,3,11,0.001858549
164,1,1,9.934166E-07
164,3,11,0.001858512
165,1,1,9.958072E-07
165,3,11,0.001858475
166,1,1,9.977108E-07
166,3,11,0.001858438
167,1,1,9.991112E-07
167,3,11,0.001858401
168,1,1,9.999221E-07
168,3,11,0.001858363
169,1,1,1.00026E-06
169,3,11,0.001468609
170,1,1,1.000135E-06
170,3,11,0.001468547
171,1,1,9.995842E-07
171,3,11,0.001468486
172,1,1,9.986015E-07
172,3,11,0.001468426
173,1,1,9.971592E-07
173,3,11,0.001468366
174,1,1,9.952047E-07
174,3,11,0.001468308
175,1,1,9.926941E-07
175,3,11,0.001468251
176,1,1,9.895792E-07
176,3,11,0.001468194
177,1,1,9.858317E-07
177,3,11,0.001468137
178,1,1,9.814261E-07
178,3,11,0.001468081
179,1,1,9.763446E-07
179,3,11,0.001468026
180,1,1,9.705758E-07
180,3,11,0.001467971
181,1,1,9.647002E-07
181,3,11,0.001035727
182,1,1,9.586166E-07
182,3,11,0.001035686
183,1,1,9.523316E-07
183,3,11,0.001035645
184,1,1,9.458379E-07
184,3,11,0.001035603
185,1,1,9.391381E-07
185,3,11,0.001035561
186,1,1,9.322569E-07
186,3,11,0.001035519
187,1,1,9.252312E-07
187,3,11,0.001035478
188,1,1,9.18104E-07
188,3,11,0.001035436
189,1,1,9.109219E-07
189,3,11,0.001035394
190,1,1,9.037315E-07
190,3,11,0.001035353
191,1,1,8.965777E-07
191,3,11,0.001035312
192,1,1,8.896694E-07
192,3,11,0.001035271
193,1,1,8.837119E-07
193,3,11,0.0005702373
194,1,1,8.780432E-07
194,3,11,0.0005701925
195,1,1,8.722054E-07
195,3,11,0.0005701483
196,1,1,8.668148E-07
196,3,11,0.0005701047
197,1,1,8.620385E-07
197,3,11,0.0005700621
198,1,1,8.578612E-07
198,3,11,0.0005700206
199,1,1,8.542125E-07
199,3,11,0.00056998
200,1,1,8.510212E-07
200,3,11,0.0005699403
201,1,1,8.482305E-07
201,3,11,0.0005699015
202,1,1,8.457994E-07
202,3,11,0.0005698637
203,1,1,8.436998E-07
203,3,11,0.0005698266
204,1,1,8.419108E-07
204,3,11,0.0005697903
205,1,1,8.40188E-07
205,3,11,0.0005397333
206,1,1,8.384821E-07
206,3,11,0.0005397041
207,1,1,8.367635E-07
207,3,11,0.0005396754
208,1,1,8.349993E-07
208,3,11,0.0005396471
209,1,1,8.331726E-07
209,3,11,0.000539619
210,1,1,8.312422E-07
210,3,11,0.0005395913
211,1,1,8.292261E-07
211,3,11,0.0005395638
212,1,1,8.2716E-07
212,3,11,0.0005395368
213,1,1,8.250018E-07
213,3,11,0.00053951
214,1,1,8.227416E-07
214,3,11,0.0005394838
215,1,1,8.20382E-07
215,3,11,0.0005394579
216,1,1,8.179172E-07
216,3,11,0.0005394325
217,1,1,8.15409E-07
217,3,11,0.0002640806
218,1,1,8.12859E-07
218,3,11,0.0002640622
219,1,1,8.103123E-07
219,3,11,0.0002640442
220,1,1,8.077977E-07
220,3,11,0.0002640268
221,1,1,8.053237E-07
221,3,11,0.0002640098
222,1,1,8.029008E-07
222,3,11,0.0002639934
223,1,1,8.005391E-07
223,3,11,0.0002639773
224,1,1,7.982444E-07
224,3,11,0.0002639616
225,1,1,7.960232E-07
225,3,11,0.0002639464
226,1,1,7.938814E-07
226,3,11,0.0002639315
227,1,1,7.918214E-07
227,3,11,0.0002639169
228,1,1,7.898431E-07
228,3,11,0.0002639027
229,1,1,7.878446E-07
229,3,11,0.0003156151
230,1,1,7.858389E-07
230,3,11,0.0003155981
231,1,1,7.838259E-07
231,3,11,0.0003155816
232,1,1,7.817852E-07
232,3,11,0.0003155656
233,1,1,7.796878E-07
233,3,11,0.0003155501
234,1,1,7.775141E-07
234,3,11,0.0003155349
235,1,1,7.752447E-07
235,3,11,0.0003155202
236,1,1,7.728608E-07
236,3,11,0.0003155059
237,1,1,7.703483E-07
237,3,11,0.000315492
238,1,1,7.676975E-07
238,3,11,0.0003154783
239,1,1,7.649025E-07
239,3,11,0.000315465
240,1,1,7.61961E-07
240,3,11,0.0003154521
241,1,1,7.589842E-07
241,3,11,0.0003162732
242,1,1,7.560023E-07
242,3,11,0.0003162609
243,1,1,7.530397E-07
243,3,11,0.0003162489
244,1,1,7.501087E-07
244,3,11,0.0003162373
245,1,1,7.472027E-07
245,3,11,0.000316226
246,1,1,7.443214E-07
246,3,11,0.0003162151
247,1,1,7.414613E-07
247,3,11,0.0003162044
248,1,1,7.386166E-07
248,3,11,0.0003161941
249,1,1,7.357808E-07
249,3,11,0.0003161839
250,1,1,7.329476E-07
250,3,11,0.0003161741
251,1,1,7.301112E-07
251,3,11,0.0003161645
252,1,1,7.272661E-07
252,3,11,0.0003161551
253,1,1,7.243498E-07
253,3,11,0.0003994625
254,1,1,7.213737E-07
254,3,11,0.0003994456
255,1,1,7.183456E-07
255,3,11,0.000399429
256,1,1,7.152648E-07
256,3,11,0.0003994128
257,1,1,7.121382E-07
257,3,11,0.000399397
258,1,1,7.089697E-07
258,3,11,0.0003993816
259,1,1,7.057602E-07
259,3,11,0.0003993666
260,1,1,7.025081E-07
260,3,11,0.0003993519
261,1,1,6.992094E-07
261,3,11,0.0003993376
262,1,1,6.958581E-07
262,3,11,0.0003993237
263,1,1,6.924475E-07
263,3,11,0.0003993103
264,1,1,6.889696E-07
264,3,11,0.0003992973
265,1,1,6.854975E-07
265,3,11,0.0005000036
266,1,1,6.8201E-07
266,3,11,0.0004999908
267,1,1,6.784789E-07
267,3,11,0.0004999786
268,1,1,6.748899E-07
268,3,11,0.0004999671
269,1,1,6.712316E-07
269,3,11,0.0004999564
270,1,1,6.674937E-07
270,3,11,0.0004999462
271,1,1,6.636662E-07
271,3,11,0.0004999367
272,1,1,6.597385E-07
272,3,11,0.0004999277
273,1,1,6.556998E-07
273,3,11,0.0004999192
274,1,1,6.515376E-07
274,3,11,0.0004999111
275,1,1,6.472393E-07
275,3,11,0.0004999033
276,1,1,6.427912E-07
276,3,11,0.0004998959
277,1,1,6.38289E-07
277,3,11,0.0005023851
278,1,1,6.337184E-07
278,3,11,0.0005023794
279,1,1,6.290591E-07
279,3,11,0.000502374
280,1,1,6.243033E-07
280,3,11,0.000502369
281,1,1,6.194456E-07
281,3,11,0.0005023642
282,1,1,6.144888E-07
282,3,11,0.0005023598
283,1,1,6.094406E-07
283,3,11,0.0005023556
284,1,1,6.043119E-07
284,3,11,0.0005023516
285,1,1,5.99116E-07
285,3,11,0.0005023479
286,1,1,5.938686E-07
286,3,11,0.0005023445
287,1,1,5.885865E-07
287,3,11,0.0005023413
288,1,1,5.832877E-07
288,3,11,0.0005023383
289,1,1,5.780906E-07
289,3,11,0.000467387
290,1,1,5.729827E-07
290,3,11,0.00046737
291,1,1,5.681766E-07
291,3,11,0.0004673534
292,1,1,5.636525E-07
292,3,11,0.0004673387
293,1,1,5.589748E-07
293,3,11,0.0004673254
294,1,1,5.542391E-07
294,3,11,0.000467313
295,1,1,5.49646E-07
295,3,11,0.0004673012
296,1,1,5.452325E-07
296,3,11,0.0004672901
297,1,1,5.409789E-07
297,3,11,0.0004672797
298,1,1,5.368506E-07
298,3,11,0.0004672698
299,1,1,5.328135E-07
299,3,11,0.0004672604
300,1,1,5.288396E-07
300,3,11,0.0004672514
301,1,1,5.248929E-07
301,3,11,0.0004655897
302,1,1,5.209709E-07
302,3,11,0.0004656025
303,1,1,5.17065E-07
303,3,11,0.0004656148
304,1,1,5.13157E-07
304,3,11,0.0004656267
305,1,1,5.092389E-07
305,3,11,0.0004656383
306,1,1,5.053028E-07
306,3,11,0.0004656496
307,1,1,5.013363E-07
307,3,11,0.0004656604
308,1,1,4.973294E-07
308,3,11,0.0004656711
309,1,1,4.932774E-07
309,3,11,0.0004656814
310,1,1,4.891816E-07
310,3,11,0.0004656916
311,1,1,4.850492E-07
311,3,11,0.0004657015
312,1,1,4.808925E-07
312,3,11,0.0004657114
313,1,1,4.769053E-07
313,3,11,0.0008139743
314,1,1,4.731528E-07
314,3,11,0.000813994
315,1,1,4.696421E-07
315,3,11,0.0008140132
316,1,1,4.663788E-07
316,3,11,0.0008140321
317,1,1,4.634107E-07
317,3,11,0.0008140504
318,1,1,4.607844E-07
318,3,11,0.0008140685
319,1,1,4.585279E-07
319,3,11,0.0008140863
320,1,1,4.566584E-07
320,3,11,0.0008141038
321,1,1,4.551873E-07
321,3,11,0.000814121
322,1,1,4.541226E-07
322,3,11,0.0008141382
323,1,1,4.534703E-07
323,3,11,0.000814155
324,1,1,4.532351E-07
324,3,11,0.0008141719
325,1,1,4.531807E-07
325,3,11,0.000907178
326,1,1,4.532884E-07
326,3,11,0.0009071959
327,1,1,4.535676E-07
327,3,11,0.0009072137
328,1,1,4.540065E-07
328,3,11,0.0009072316
329,1,1,4.545915E-07
329,3,11,0.0009072497
330,1,1,4.553063E-07
330,3,11,0.0009072677
331,1,1,4.561321E-07
331,3,11,0.0009072858
332,1,1,4.57051E-07
332,3,11,0.000907304
333,1,1,4.580469E-07
333,3,11,0.0009073222
334,1,1,4.591054E-07
334,3,11,0.0009073404
335,1,1,4.602146E-07
335,3,11,0.0009073585
336,1,1,4.61365E-07
336,3,11,0.0009073767
337,1,1,4.625774E-07
337,3,11,0.0006173996
338,1,1,4.638466E-07
338,3,11,0.0006174087
339,1,1,4.651664E-07
339,3,11,0.0006174174
340,1,1,4.665365E-07
340,3,11,0.0006174261
341,1,1,4.679565E-07
341,3,11,0.0006174343
342,1,1,4.694233E-07
342,3,11,0.0006174425
343,1,1,4.709364E-07
343,3,11,0.0006174505
344,1,1,4.724939E-07
344,3,11,0.0006174582
345,1,1,4.740932E-07
345,3,11,0.0006174658
346,1,1,4.757311E-07
346,3,11,0.0006174733
347,1,1,4.774036E-07
347,3,11,0.0006174809
348,1,1,4.791071E-07
348,3,11,0.0006174884
349,1,1,4.807825E-07
349,3,11,0.0008992341
350,1,1,4.824298E-07
350,3,11,0.0008992539
351,1,1,4.840603E-07
351,3,11,0.0008992734
352,1,1,4.858288E-07
352,3,11,0.0008992914
353,1,1,4.875981E-07
353,3,11,0.0008993119
354,1,1,4.891224E-07
354,3,11,0.0008993315
355,1,1,4.905879E-07
355,3,11,0.0008993508
356,1,1,4.920462E-07
356,3,11,0.0008993698
357,1,1,4.93496E-07
357,3,11,0.0008993884
358,1,1,4.94919E-07
358,3,11,0.0008994068
359,1,1,4.96296E-07
359,3,11,0.0008994251
360,1,1,4.976119E-07
360,3,11,0.0008994431
361,1,1,4.989708E-07
361,3,11,0.0007274442
362,1,1,5.003363E-07
362,3,11,0.0007274574
363,1,1,5.017175E-07
363,3,11,0.0007274704
364,1,1,5.030494E-07
364,3,11,0.0007274841
365,1,1,5.042497E-07
365,3,11,0.0007274977
366,1,1,5.054E-07
366,3,11,0.0007275112
367,1,1,5.065251E-07
367,3,11,0.000727525
368,1,1,5.076287E-07
368,3,11,0.0007275387
369,1,1,5.087082E-07
369,3,11,0.0007275523
370,1,1,5.097598E-07
370,3,11,0.0007275657
371,1,1,5.107757E-07
371,3,11,0.0007275792
372,1,1,5.117492E-07
372,3,11,0.0007275926
373,1,1,5.127089E-07
373,3,11,0.001015923
374,1,1,5.136897E-07
374,3,11,0.00101594
375,1,1,5.146978E-07
375,3,11,0.001015958
376,1,1,5.156989E-07
376,3,11,0.001015976
377,1,1,5.166647E-07
377,3,11,0.001015994
378,1,1,5.175848E-07
378,3,11,0.001016013
379,1,1,5.184319E-07
379,3,11,0.001016031
380,1,1,5.191719E-07
380,3,11,0.00101605
381,1,1,5.197726E-07
381,3,11,0.001016069
382,1,1,5.202031E-07
382,3,11,0.001016087
383,1,1,5.204356E-07
383,3,11,0.001016106
384,1,1,5.204469E-07
384,3,11,0.001016124
385,1,1,5.202797E-07
385,3,11,0.000924777
386,1,1,5.199412E-07
386,3,11,0.000924783
387,1,1,5.194179E-07
387,3,11,0.0009247891
388,1,1,5.187008E-07
388,3,11,0.0009247951
389,1,1,5.177891E-07
389,3,11,0.0009248012
390,1,1,5.166789E-07
390,3,11,0.0009248073
391,1,1,5.153702E-07
391,3,11,0.0009248136
392,1,1,5.138656E-07
392,3,11,0.0009248198
393,1,1,5.121708E-07
393,3,11,0.0009248261
394,1,1,5.102945E-07
394,3,11,0.0009248325
395,1,1,5.082479E-07
395,3,11,0.0009248389
396,1,1,5.06044E-07
396,3,11,0.0009248451
