EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:38:07 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.3142847,1.58403E-06,0.000737796,0.00316403,0.001669946,0.02097098,0.05534606,0.01632853,0.01301329,0.003124553,0.00159309,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.3285705,1.58403E-06,0.000737796,0.00316403,0.001746439,0.02192364,0.0577872,0.01702203,0.01354799,0.003249309,0.001657773,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.3428562,1.58403E-06,0.000737796,0.00316403,0.001822943,0.02287592,0.06022125,0.0177112,0.01407775,0.003372549,0.001721745,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.3571419,1.58403E-06,0.000737796,0.00316403,0.00189945,0.02382778,0.06264812,0.01839603,0.01460255,0.003494269,0.001785002,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.3714276,1.58403E-06,0.000737796,0.00316403,0.001975957,0.02477917,0.06506777,0.01907651,0.01512238,0.00361447,0.001847538,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.3857133,1.58403E-06,0.000737796,0.00316403,0.002052458,0.02573005,0.06748009,0.01975261,0.01563725,0.003733151,0.001909351,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.399999,1.58403E-06,0.000737796,0.00316403,0.002128947,0.02668039,0.06988499,0.02042435,0.01614715,0.003850308,0.001970435,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4142847,1.58403E-06,0.000737796,0.00316403,0.002205418,0.02763011,0.07228243,0.02109168,0.01665209,0.003965942,0.002030788,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4285704,1.58403E-06,0.000737796,0.00316403,0.002281865,0.0285792,0.07467227,0.02175462,0.01715205,0.004080053,0.002090405,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4428562,1.58403E-06,0.000737796,0.00316403,0.002358284,0.02952759,0.07705449,0.02241313,0.01764705,0.004192638,0.002149283,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4571419,1.58403E-06,0.000737796,0.00316403,0.002434667,0.03047525,0.07942899,0.02306722,0.01813708,0.004303698,0.00220742,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4714276,1.58403E-06,0.000737796,0.00316403,0.002511011,0.03142212,0.08179569,0.02371687,0.01862212,0.004413231,0.002264809,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4857133,1.58403E-06,0.000737796,0.00316403,0.002587306,0.03236816,0.08415446,0.02436206,0.01910219,0.004521239,0.002321449,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.499999,1.58403E-06,0.000737796,0.00316403,0.00266355,0.03331332,0.08650532,0.02500277,0.01957729,0.004627719,0.002377336,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5142847,1.58403E-06,0.000737796,0.00316403,0.002739734,0.03425756,0.08884809,0.02563901,0.02004741,0.00473267,0.002432467,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5285705,1.58403E-06,0.000737796,0.00316403,0.002815855,0.03520082,0.09118272,0.02627077,0.02051254,0.004836095,0.002486839,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5428562,1.58403E-06,0.000737796,0.00316403,0.002891905,0.03614306,0.09350913,0.02689801,0.02097271,0.004937991,0.00254045,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.557142,1.58403E-06,0.000737796,0.00316403,0.002967878,0.03708424,0.09582725,0.02752073,0.02142788,0.005038361,0.002593296,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5714277,1.58403E-06,0.000737796,0.00316403,0.003043768,0.03802429,0.09813696,0.02813894,0.02187807,0.005137201,0.002645376,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5857134,1.58403E-06,0.000737796,0.00316403,0.003119569,0.03896318,0.1004382,0.02875259,0.02232328,0.005234517,0.002696685,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5999992,1.58403E-06,0.000737796,0.00316403,0.003195273,0.03990084,0.1027309,0.02936168,0.0227635,0.005330305,0.002747224,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
