EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:36:15 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.1142848,0.02563343,0.05812038,0.08517019,0.283696,0.9658993,0.8140374,0.3752288,0.1403773,0.05474343,0.03864963,0.2864381,0.001570798,0.1042875,0.0006371685,0.006854643,0.01290213,0.2256473,0.1108048,14.52723,13.56777,8.594603,12.97199
0.1285705,0.02549682,0.05799114,0.08471461,0.2839006,0.9660686,0.8130966,0.3742085,0.1398123,0.05446377,0.03846564,0.2865775,0.001572289,0.1043855,0.0006383263,0.006864526,0.01293991,0.2263746,0.1109803,14.52726,13.56776,8.59461,12.97196
0.1428562,0.0253612,0.05786268,0.08426239,0.284099,0.966224,0.812148,0.3731865,0.1392474,0.05418403,0.03828108,0.2867173,0.001573776,0.1044831,0.0006394805,0.006874364,0.01297769,0.2271022,0.1111547,14.52728,13.56775,8.594616,12.97194
0.1571419,0.02522651,0.05773503,0.08381347,0.2842913,0.9663658,0.811191,0.3721626,0.1386824,0.05390421,0.03809595,0.286857,0.00157526,0.1045802,0.0006406311,0.006884154,0.01301548,0.2278301,0.111328,14.5273,13.56774,8.594622,12.97191
0.1714276,0.02509283,0.0576083,0.08336812,0.2844774,0.9664943,0.8102263,0.3711369,0.1381175,0.05362431,0.03791024,0.2869971,0.00157674,0.1046768,0.0006417778,0.006893896,0.01305326,0.2285582,0.1115004,14.52732,13.56774,8.594625,12.97189
0.1857133,0.02496009,0.05748232,0.08292602,0.2846571,0.9666083,0.8092533,0.3701093,0.1375526,0.05334432,0.03772399,0.287137,0.001578215,0.1047729,0.0006429204,0.006903588,0.01309104,0.2292866,0.1116716,14.52733,13.56775,8.594629,12.97186
0.199999,0.02482831,0.05735718,0.08248723,0.2848306,0.9667092,0.8082728,0.36908,0.1369877,0.05306427,0.03753723,0.2872774,0.001579687,0.1048685,0.0006440596,0.006913234,0.01312882,0.2300152,0.1118419,14.52734,13.56776,8.594633,12.97184
0.2142847,0.0246975,0.05723291,0.0820519,0.2849977,0.966796,0.8072838,0.3680487,0.1364228,0.05278415,0.03734993,0.2874176,0.001581153,0.1049636,0.0006451944,0.006922826,0.01316659,0.2307439,0.1120111,14.52735,13.56778,8.594635,12.97181
0.2285705,0.02456763,0.05710941,0.08161977,0.2851585,0.9668688,0.8062869,0.3670158,0.1358579,0.05250399,0.03716215,0.2875582,0.001582616,0.1050583,0.0006463254,0.006932371,0.01320436,0.231473,0.1121793,14.52736,13.5678,8.594637,12.97178
0.2428562,0.02443871,0.05698672,0.08119095,0.2853128,0.9669282,0.8052825,0.3659811,0.135293,0.05222375,0.03697389,0.2876989,0.001584074,0.1051524,0.0006474524,0.006941868,0.01324213,0.2322022,0.1123465,14.52735,13.56783,8.594637,12.97176
