"","raw_value","scaled_value"
"1985_1",-0.359,0.100546448087432
"1985_2",-0.334,0.155191256830601
"1985_3",-0.361,0.0961748633879782
"1985_4",-0.405,0
"1985_5",-0.342,0.137704918032787
"1985_6",-0.132,0.59672131147541
"1985_7",-0.157,0.542076502732241
"1985_8",-0.286,0.260109289617486
"1985_9",-0.252,0.334426229508197
"1985_10",-0.25,0.33879781420765
"1985_11",-0.3,0.229508196721312
"1985_12",-0.341,0.139890710382514
"1986_1",-0.348,0.124590163934426
"1986_2",-0.28,0.273224043715847
"1986_3",-0.297,0.236065573770492
"1986_4",-0.329,0.166120218579235
"1986_5",-0.233,0.375956284153005
"1986_6",-0.266,0.303825136612022
"1986_7",-0.253,0.33224043715847
"1986_8",-0.277,0.279781420765027
"1986_9",-0.224,0.395628415300546
"1986_10",-0.323,0.179234972677596
"1986_11",-0.402,0.00655737704918033
"1986_12",-0.376,0.0633879781420766
"1987_1",-0.283,0.266666666666667
"1987_2",-0.222,0.4
"1987_3",-0.038,0.802185792349727
"1987_4",0.024,0.937704918032787
"1987_5",0.063,1.02295081967213
"1987_6",0.198,1.31803278688525
"1987_7",0.274,1.48415300546448
"1987_8",0.275,1.48633879781421
"1987_9",0.189,1.2983606557377
"1987_10",0.041,0.974863387978142
"1987_11",-0.075,0.721311475409836
"1987_12",0.038,0.968306010928962
"1988_1",-0.047,0.782513661202186
"1988_2",-0.122,0.618579234972678
"1988_3",-0.016,0.850273224043716
"1988_4",0.045,0.983606557377049
"1988_5",0.13,1.16939890710383
"1988_6",0.158,1.23060109289618
"1988_7",0.102,1.10819672131148
"1988_8",-0.016,0.850273224043716
"1988_9",-0.103,0.660109289617486
"1988_10",-0.179,0.493989071038251
"1988_11",-0.156,0.544262295081967
"1988_12",-0.172,0.509289617486339
"1989_1",-0.23,0.382513661202186
"1989_2",-0.165,0.524590163934426
"1989_3",-0.262,0.312568306010929
"1989_4",-0.298,0.233879781420765
"1989_5",-0.155,0.546448087431694
"1989_6",0.082,1.06448087431694
"1989_7",0.168,1.25245901639344
"1989_8",0.104,1.11256830601093
"1989_9",-0.103,0.660109289617486
"1989_10",-0.132,0.59672131147541
"1989_11",-0.159,0.537704918032787
"1989_12",-0.162,0.531147540983607
"1990_1",-0.308,0.212021857923497
"1990_2",-0.171,0.511475409836066
"1990_3",-0.188,0.47431693989071
"1990_4",-0.126,0.609836065573771
"1990_5",-0.068,0.736612021857924
"1990_6",-0.065,0.743169398907104
"1990_7",-0.031,0.817486338797814
"1990_8",0.043,0.979234972677596
"1990_9",0.138,1.18688524590164
"1990_10",0.104,1.11256830601093
"1990_11",-0.063,0.747540983606557
"1990_12",-0.045,0.786885245901639
"1991_1",-0.204,0.439344262295082
"1991_2",-0.126,0.609836065573771
"1991_3",-0.079,0.712568306010929
"1991_4",-0.142,0.574863387978142
"1991_5",-0.163,0.52896174863388
"1991_6",-0.139,0.581420765027322
"1991_7",-0.117,0.629508196721312
"1991_8",-0.119,0.625136612021858
"1991_9",-0.047,0.782513661202186
"1991_10",-0.272,0.290710382513661
"1991_11",-0.271,0.292896174863388
"1991_12",-0.224,0.395628415300546
"1992_1",-0.201,0.445901639344262
"1992_2",-0.105,0.655737704918033
"1992_3",-0.103,0.660109289617486
"1992_4",-0.195,0.459016393442623
"1992_5",-0.233,0.375956284153005
"1992_6",-0.162,0.531147540983607
"1992_7",-0.23,0.382513661202186
"1992_8",-0.392,0.0284153005464481
"1992_9",-0.381,0.0524590163934427
"1992_10",-0.311,0.205464480874317
"1992_11",-0.346,0.12896174863388
"1992_12",-0.296,0.238251366120219
"1993_1",-0.251,0.336612021857924
"1993_2",-0.198,0.452459016393443
"1993_3",-0.256,0.32568306010929
"1993_4",-0.185,0.480874316939891
"1993_5",-0.175,0.502732240437159
"1993_6",-0.193,0.463387978142077
"1993_7",-0.289,0.253551912568306
"1993_8",-0.24,0.360655737704918
"1993_9",-0.176,0.500546448087432
"1993_10",-0.255,0.327868852459016
"1993_11",-0.33,0.163934426229508
"1993_12",-0.305,0.218579234972678
"1994_1",-0.308,0.212021857923497
"1994_2",-0.321,0.183606557377049
"1994_3",-0.291,0.249180327868853
"1994_4",-0.212,0.421857923497268
"1994_5",-0.219,0.40655737704918
"1994_6",-0.234,0.373770491803279
"1994_7",-0.244,0.351912568306011
"1994_8",-0.248,0.343169398907104
"1994_9",-0.165,0.524590163934426
"1994_10",-0.072,0.727868852459016
"1994_11",-0.032,0.815300546448087
"1994_12",-0.103,0.660109289617486
"1995_1",-0.075,0.721311475409836
"1995_2",-0.053,0.769398907103825
"1995_3",0.003,0.891803278688525
"1995_4",0.063,1.02295081967213
"1995_5",0.259,1.45136612021858
"1995_6",0.351,1.65245901639344
"1995_7",0.301,1.5431693989071
"1995_8",0.17,1.2568306010929
"1995_9",0.041,0.974863387978142
"1995_10",0.089,1.07978142076503
"1995_11",0.114,1.1344262295082
"1995_12",0.029,0.948633879781421
"1996_1",-0.023,0.834972677595628
"1996_2",-0.045,0.786885245901639
"1996_3",-0.071,0.730054644808743
"1996_4",-0.004,0.876502732240437
"1996_5",-0.078,0.714754098360656
"1996_6",-0.137,0.585792349726776
"1996_7",-0.118,0.627322404371585
"1996_8",-0.022,0.837158469945355
"1996_9",-0.015,0.852459016393443
"1996_10",-0.158,0.539890710382514
"1996_11",-0.187,0.476502732240437
"1996_12",-0.169,0.515846994535519
"1997_1",-0.105,0.655737704918033
"1997_2",-0.049,0.778142076502732
"1997_3",-0.009,0.865573770491803
"1997_4",-0.006,0.872131147540984
"1997_5",0.026,0.942076502732241
"1997_6",-0.005,0.87431693989071
"1997_7",0.047,0.987978142076503
"1997_8",0.001,0.887431693989071
"1997_9",0.096,1.09508196721311
"1997_10",0.137,1.18469945355191
"1997_11",0.037,0.966120218579235
"1997_12",0.118,1.1431693989071
"1998_1",0.116,1.13879781420765
"1998_2",0.278,1.49289617486339
"1998_3",0.308,1.55846994535519
"1998_4",0.278,1.49289617486339
"1998_5",0.37,1.69398907103825
"1998_6",0.476,1.92568306010929
"1998_7",0.474,1.92131147540984
"1998_8",0.499,1.97595628415301
"1998_9",0.398,1.7551912568306
"1998_10",0.368,1.6896174863388
"1998_11",0.303,1.54754098360656
"1998_12",0.265,1.46448087431694
"1999_1",0.037,0.966120218579235
"1999_2",0.043,0.979234972677596
"1999_3",0.055,1.00546448087432
"1999_4",0.038,0.968306010928962
"1999_5",0.148,1.20874316939891
"1999_6",0.166,1.24808743169399
"1999_7",0.184,1.28743169398907
"1999_8",0.293,1.52568306010929
"1999_9",0.171,1.25901639344262
"1999_10",0.003,0.891803278688525
"1999_11",-0.063,0.747540983606557
"1999_12",0.001,0.887431693989071
"2000_1",-0.098,0.67103825136612
"2000_2",-0.052,0.771584699453552
"2000_3",0.089,1.07978142076503
"2000_4",0.028,0.946448087431694
"2000_5",0.091,1.08415300546448
"2000_6",-0.032,0.815300546448087
"2000_7",0.058,1.0120218579235
"2000_8",0.089,1.07978142076503
"2000_9",0.088,1.0775956284153
"2000_10",-0.054,0.767213114754098
"2000_11",-0.067,0.73879781420765
"2000_12",-0.141,0.577049180327869
"2001_1",-0.142,0.574863387978142
"2001_2",-0.041,0.795628415300547
"2001_3",0,0.885245901639344
"2001_4",-0.026,0.828415300546448
"2001_5",-0.023,0.834972677595628
"2001_6",0.184,1.28743169398907
"2001_7",0.121,1.14972677595628
"2001_8",0.163,1.24153005464481
"2001_9",0.272,1.47978142076503
"2001_10",0.237,1.40327868852459
"2001_11",0.142,1.19562841530055
"2001_12",0.199,1.32021857923497
"2002_1",0.167,1.25027322404372
"2002_2",0.151,1.21530054644809
"2002_3",0.13,1.16939890710383
"2002_4",0.013,0.913661202185792
"2002_5",-0.063,0.747540983606557
"2002_6",-0.131,0.598907103825137
"2002_7",-0.08,0.710382513661202
"2002_8",0.092,1.08633879781421
"2002_9",0.065,1.02732240437158
"2002_10",0.097,1.09726775956284
"2002_11",0.005,0.896174863387978
"2002_12",-0.01,0.863387978142076
"2003_1",0.036,0.963934426229508
"2003_2",-0.027,0.826229508196721
"2003_3",0.098,1.09945355191257
"2003_4",0.065,1.02732240437158
"2003_5",0.137,1.18469945355191
"2003_6",0.191,1.30273224043716
"2003_7",0.262,1.45792349726776
"2003_8",0.401,1.76174863387978
"2003_9",0.437,1.84043715846995
