"","raw_value","scaled_value"
"1985_1",-0.142,1.99363063683648
"1985_2",-0.144,1.99359070352511
"1985_3",-0.144,1.99359070352511
"1985_4",-0.144,1.99359070352511
"1985_5",-0.145,1.99357073686943
"1985_6",-0.146,1.99355077021374
"1985_7",-0.147,1.99353080355806
"1985_8",-0.147,1.99353080355806
"1985_9",-0.146,1.99355077021374
"1985_10",-0.145,1.99357073686943
"1985_11",-0.145,1.99357073686943
"1985_12",-0.144,1.99359070352511
"1986_1",-0.143,1.9936106701808
"1986_2",-0.143,1.9936106701808
"1986_3",-0.142,1.99363063683648
"1986_4",-0.143,1.9936106701808
"1986_5",-0.144,1.99359070352511
"1986_6",-0.144,1.99359070352511
"1986_7",-0.145,1.99357073686943
"1986_8",-0.145,1.99357073686943
"1986_9",-0.144,1.99359070352511
"1986_10",-0.146,1.99355077021374
"1986_11",-0.147,1.99353080355806
"1986_12",-0.147,1.99353080355806
"1987_1",-0.149,1.99349087024669
"1987_2",-0.149,1.99349087024669
"1987_3",-0.149,1.99349087024669
"1987_4",-0.15,1.993470903591
"1987_5",-0.151,1.99345093693532
"1987_6",-0.15,1.993470903591
"1987_7",-0.151,1.99345093693532
"1987_8",-0.152,1.99343097027963
"1987_9",-0.153,1.99341100362395
"1987_10",-0.153,1.99341100362395
"1987_11",-0.152,1.99343097027963
"1987_12",-0.151,1.99345093693532
"1988_1",-0.15,1.993470903591
"1988_2",-0.149,1.99349087024669
"1988_3",-0.151,1.99345093693532
"1988_4",-0.153,1.99341100362395
"1988_5",-0.155,1.99337107031258
"1988_6",-0.156,1.99335110365689
"1988_7",-0.158,1.99331117034552
"1988_8",-0.16,1.99327123703415
"1988_9",-0.16,1.99327123703415
"1988_10",-0.16,1.99327123703415
"1988_11",-0.161,1.99325127037847
"1988_12",-0.162,1.99323130372278
"1989_1",-0.165,1.99317140375573
"1989_2",-0.166,1.99315143710004
"1989_3",-0.168,1.99311150378867
"1989_4",-0.169,1.99309153713299
"1989_5",-0.169,1.99309153713299
"1989_6",-0.17,1.9930715704773
"1989_7",-0.169,1.99309153713299
"1989_8",-0.169,1.99309153713299
"1989_9",-0.168,1.99311150378867
"1989_10",-0.167,1.99313147044436
"1989_11",-0.165,1.99317140375573
"1989_12",-0.162,1.99323130372278
"1990_1",-0.16,1.99327123703415
"1990_2",-0.157,1.99333113700121
"1990_3",-0.155,1.99337107031258
"1990_4",-0.151,1.99345093693532
"1990_5",-0.146,1.99355077021374
"1990_6",-0.14,1.99367057014785
"1990_7",-0.136,1.99375043677059
"1990_8",-0.134,1.99379037008196
"1990_9",-0.131,1.99385027004902
"1990_10",-0.128,1.99391017001607
"1990_11",-0.125,1.99397006998313
"1990_12",-0.122,1.99402996995018
"1991_1",-0.12,1.99406990326155
"1991_2",-0.117,1.99412980322861
"1991_3",-0.116,1.99414976988429
"1991_4",-0.113,1.99420966985135
"1991_5",-0.111,1.99424960316272
"1991_6",-0.11,1.9942695698184
"1991_7",-0.109,1.99428953647409
"1991_8",-0.107,1.99432946978546
"1991_9",-0.105,1.99436940309683
"1991_10",-0.104,1.99438936975251
"1991_11",-0.103,1.9944093364082
"1991_12",-0.101,1.99444926971957
"1992_1",-0.099,1.99448920303094
"1992_2",-0.097,1.99452913634231
"1992_3",-0.095,1.99456906965368
"1992_4",-0.095,1.99456906965368
"1992_5",-0.095,1.99456906965368
"1992_6",-0.096,1.99454910299799
"1992_7",-0.097,1.99452913634231
"1992_8",-0.099,1.99448920303094
"1992_9",-0.101,1.99444926971957
"1992_10",-0.101,1.99444926971957
"1992_11",-0.101,1.99444926971957
"1992_12",-0.1,1.99446923637525
"1993_1",-0.099,1.99448920303094
"1993_2",-0.096,1.99454910299799
"1993_3",-0.093,1.99460900296505
"1993_4",-0.09,1.9946689029321
"1993_5",-0.088,1.99470883624347
"1993_6",-0.085,1.99476873621053
"1993_7",-0.082,1.99482863617758
"1993_8",-0.079,1.99488853614464
"1993_9",-0.075,1.99496840276738
"1993_10",-0.071,1.99504826939012
"1993_11",-0.067,1.99512813601286
"1993_12",-0.064,1.99518803597991
"1994_1",-0.062,1.99522796929128
"1994_2",-0.06,1.99526790260265
"1994_3",-0.058,1.99530783591402
"1994_4",-0.056,1.99534776922539
"1994_5",-0.052,1.99542763584813
"1994_6",-0.049,1.99548753581519
"1994_7",-0.049,1.99548753581519
"1994_8",-0.047,1.99552746912656
"1994_9",-0.047,1.99552746912656
"1994_10",-0.046,1.99554743578224
"1994_11",-0.045,1.99556740243793
"1994_12",-0.044,1.99558736909361
"1995_1",-0.044,1.99558736909361
"1995_2",-0.042,1.99562730240498
"1995_3",-0.039,1.99568720237204
"1995_4",-0.038,1.99570716902772
"1995_5",-0.036,1.99574710233909
"1995_6",-0.035,1.99576706899478
"1995_7",-0.034,1.99578703565046
"1995_8",-0.033,1.99580700230615
"1995_9",-0.033,1.99580700230615
"1995_10",-0.035,1.99576706899478
"1995_11",-0.036,1.99574710233909
"1995_12",-0.037,1.99572713568341
"1996_1",-0.038,1.99570716902772
"1996_2",-0.036,1.99574710233909
"1996_3",-0.035,1.99576706899478
"1996_4",-0.035,1.99576706899478
"1996_5",-0.034,1.99578703565046
"1996_6",-0.031,1.99584693561752
"1996_7",-0.029,1.99588686892889
"1996_8",-0.026,1.99594676889594
"1996_9",-0.023,1.996006668863
"1996_10",-0.021,1.99604660217437
"1996_11",-0.017,1.99612646879711
"1996_12",-0.014,1.99618636876416
"1997_1",-0.01,1.9962662353869
"1997_2",-0.007,1.99632613535396
"1997_3",-0.005,1.99636606866533
"1997_4",-0.004,1.99638603532101
"1997_5",-0.003,1.9964060019767
"1997_6",-0.003,1.9964060019767
"1997_7",-0.002,1.99642596863238
"1997_8",0.001,1.99648586859944
"1997_9",0.005,1.99656573522218
"1997_10",0.009,1.99664560184492
"1997_11",0.011,1.99668553515629
"1997_12",0.014,1.99674543512334
"1998_1",0.017,1.9968053350904
"1998_2",0.019,1.99684526840177
"1998_3",0.021,1.99688520171314
"1998_4",0.024,1.99694510168019
"1998_5",0.026,1.99698503499156
"1998_6",0.029,1.99704493495862
"1998_7",0.033,1.99712480158136
"1998_8",0.039,1.99724460151547
"1998_9",0.044,1.99734443479389
"1998_10",0.049,1.99744426807232
"1998_11",0.053,1.99752413469506
"1998_12",0.058,1.99762396797348
"1999_1",0.062,1.99770383459622
"1999_2",0.066,1.99778370121896
"1999_3",0.07,1.9978635678417
"1999_4",0.073,1.99792346780876
"1999_5",0.074,1.99794343446444
"1999_6",0.078,1.99802330108718
"1999_7",0.081,1.99808320105424
"1999_8",0.086,1.99818303433266
"1999_9",0.09,1.9982629009554
"1999_10",0.093,1.99832280092246
"1999_11",0.095,1.99836273423383
"1999_12",0.097,1.9984026675452
"2000_1",0.099,1.99844260085657
"2000_2",0.1,1.99846256751225
"2000_3",0.103,1.99852246747931
"2000_4",0.105,1.99856240079068
"2000_5",0.107,1.99860233410205
"2000_6",0.107,1.99860233410205
"2000_7",0.108,1.99862230075773
"2000_8",0.109,1.99864226741342
"2000_9",0.111,1.99868220072479
"2000_10",0.112,1.99870216738047
"2000_11",0.113,1.99872213403616
"2000_12",0.114,1.99874210069184
"2001_1",0.114,1.99874210069184
"2001_2",0.115,1.99876206734753
"2001_3",0.116,1.99878203400321
"2001_4",0.118,1.99882196731458
"2001_5",0.12,1.99886190062595
"2001_6",0.123,1.99892180059301
"2001_7",0.128,1.99902163387143
"2001_8",0.132,1.99910150049417
"2001_9",0.135,1.99916140046123
"2001_10",0.138,1.99922130042828
"2001_11",0.141,1.99928120039534
"2001_12",0.144,1.99934110036239
"2002_1",0.147,1.99940100032945
"2002_2",0.149,1.99944093364082
"2002_3",0.151,1.99948086695219
"2002_4",0.152,1.99950083360787
"2002_5",0.153,1.99952080026356
"2002_6",0.153,1.99952080026356
"2002_7",0.154,1.99954076691924
"2002_8",0.154,1.99954076691924
"2002_9",0.155,1.99956073357493
"2002_10",0.155,1.99956073357493
"2002_11",0.155,1.99956073357493
"2002_12",0.156,1.99958070023061
"2003_1",0.155,1.99956073357493
"2003_2",0.155,1.99956073357493
"2003_3",0.154,1.99954076691924
"2003_4",0.151,1.99948086695219
"2003_5",0.15,1.9994609002965
"2003_6",0.149,1.99944093364082
"2003_7",0.147,1.99940100032945
"2003_8",0.144,1.99934110036239
"2003_9",0.142,1.99930116705102
"2003_10",0.139,1.99924126708397
"2003_11",0.136,1.99918136711691
"2003_12",0.134,1.99914143380554
"2004_1",0.131,1.99908153383849
"2004_2",0.129,1.99904160052712
"2004_3",0.127,1.99900166721575
"2004_4",0.126,1.99898170056006
"2004_5",0.125,1.99896173390438
"2004_6",0.124,1.99894176724869
"2004_7",0.125,1.99896173390438
"2004_8",0.124,1.99894176724869
"2004_9",0.122,1.99890183393732
"2004_10",0.122,1.99890183393732
"2004_11",0.122,1.99890183393732
"2004_12",0.123,1.99892180059301
"2005_1",0.124,1.99894176724869
"2005_2",0.126,1.99898170056006
"2005_3",0.128,1.99902163387143
"2005_4",0.131,1.99908153383849
"2005_5",0.135,1.99916140046123
"2005_6",0.137,1.9992013337726
"2005_7",0.141,1.99928120039534
"2005_8",0.145,1.99936106701808
"2005_9",0.148,1.99942096698513
"2005_10",0.15,1.9994609002965
"2005_11",0.152,1.99950083360787
"2005_12",0.154,1.99954076691924
"2006_1",0.156,1.99958070023061
"2006_2",0.158,1.99962063354198
"2006_3",0.159,1.99964060019767
"2006_4",0.16,1.99966056685335
