"","raw_value","scaled_value"
"1",-2.194,0.385029354207436
"2",-2.172,0.390410958904109
"3",-2.602,0.285225048923679
"4",-3.428,0.0831702544031311
"5",-0.984,0.681017612524462
"6",-0.774,0.73238747553816
"7",0.436,1.02837573385519
"8",1.334,1.24804305283757
"9",1.3,1.23972602739726
"10",1.032,1.17416829745597
"11",2.066,1.42710371819961
"12",-0.728,0.743639921722113
"13",-0.504,0.798434442270059
"14",-0.384,0.827788649706458
"15",-0.896,0.702544031311155
"16",-1.602,0.529843444227006
"17",-2.19,0.38600782778865
"18",-0.97,0.684442270058708
"19",-0.612,0.772015655577299
"20",-0.246,0.861545988258317
"21",-1.132,0.644814090019569
"22",-1.388,0.582191780821918
"23",-0.572,0.781800391389432
"24",0.976,1.16046966731898
"25",1.572,1.30626223091977
"26",0.248,0.98238747553816
"27",0.25,0.982876712328767
"28",1.604,1.31409001956947
"29",-0.862,0.710861056751468
"30",-1.17,0.635518590998043
"31",-1.906,0.455479452054794
"32",-2.33,0.351761252446184
"33",-1.094,0.654109589041096
"34",-0.998,0.677592954990215
"35",-1.188,0.631115459882583
"36",-1.348,0.591976516634051
"37",-1.42,0.574363992172211
"38",-0.998,0.677592954990215
"39",-1.336,0.594911937377691
"40",-1.542,0.544520547945205
"41",-1.286,0.607142857142857
"42",-1.918,0.452544031311155
"43",-0.024,0.915851272015656
"44",-1.138,0.643346379647749
"45",-1.432,0.571428571428571
"46",-1.53,0.547455968688845
"47",-0.05,0.909491193737769
"48",-1.434,0.570939334637965
"49",-1.908,0.454990215264188
"50",-0.87,0.708904109589041
"51",-0.714,0.74706457925636
"52",0.47,1.0366927592955
"53",1.478,1.28326810176125
"54",2.182,1.45547945205479
"55",2.75,1.59442270058708
"56",3.034,1.66389432485323
"57",3.278,1.72358121330724
"58",4.06,1.91487279843444
"59",3.892,1.87377690802348
"60",2.288,1.48140900195695
"61",2.302,1.48483365949119
"62",2,1.41095890410959
"63",1.234,1.22358121330724
"64",1.514,1.29207436399217
"65",2.516,1.53718199608611
"66",1.168,1.20743639921722
"67",1.054,1.17954990215264
"68",1.596,1.31213307240705
"69",0.966,1.15802348336595
"70",2.002,1.4114481409002
"71",0.206,0.972113502935421
"72",0.688,1.09001956947162
"73",0.12,0.951076320939335
"74",-0.81,0.723581213307241
"75",-0.208,0.870841487279843
"76",-0.754,0.737279843444227
"77",-1.198,0.62866927592955
"78",-1.718,0.50146771037182
"79",-1.922,0.451565557729941
"80",-0.422,0.818493150684932
"81",0.026,0.928082191780822
"82",-0.876,0.707436399217221
"83",-1.04,0.667318982387475
"84",-0.836,0.717221135029354
"85",-1.106,0.651174168297456
"86",-1.346,0.592465753424657
"87",-1.106,0.651174168297456
"88",-1.324,0.597847358121331
"89",-1.434,0.570939334637965
"90",-2.22261445359528e-17,0.921722113502935
"91",0.76,1.10763209393346
"92",1.364,1.25538160469667
"93",1.5,1.28864970645793
"94",1.158,1.20499021526419
"95",1.526,1.29500978473581
"96",2.04,1.42074363992172
"97",1.582,1.3087084148728
"98",1.474,1.28228962818004
"99",2.568,1.54990215264188
"100",2.732,1.59001956947162
"101",-0.742,0.740215264187867
"102",-1.19,0.630626223091976
"103",-1.8,0.481409001956947
"104",-2.454,0.321428571428571
"105",-0.756,0.73679060665362
"106",-0.73,0.743150684931507
"107",-0.256,0.859099804305284
"108",0.746,1.10420743639922
"109",1.22,1.22015655577299
"110",1.246,1.22651663405088
"111",2.366,1.50048923679061
"112",-0.612,0.772015655577299
"113",-0.6,0.774951076320939
"114",-0.958,0.687377690802348
"115",-0.54,0.789628180039139
"116",0.188,0.967710371819961
"117",0.128,0.953033268101761
"118",-0.948,0.689823874755382
"119",-1.048,0.665362035225049
"120",-1.06,0.662426614481409
"121",-0.758,0.736301369863014
"122",-0.92,0.696673189823875
"123",-1.516,0.550880626223092
"124",-1.892,0.458904109589041
"125",-1.32,0.598825831702544
"126",-1.132,0.644814090019569
"127",-1.828,0.474559686888454
"128",-2.54,0.300391389432485
"129",-2.538,0.300880626223092
"130",1.06,1.18101761252446
"131",1.502,1.28913894324853
"132",0.986,1.16291585127202
"133",1.904,1.38747553816047
"134",1.586,1.30968688845401
"135",1.304,1.24070450097847
"136",1.724,1.34344422700587
"137",1.8,1.36203522504892
"138",1.592,1.31115459882583
"139",2.52,1.53816046966732
"140",2.228,1.46673189823875
"141",3.158,1.69422700587084
"142",3.984,1.89628180039139
"143",3.702,1.82729941291585
"144",4.342,1.98385518590998
"145",1.168,1.20743639921722
"146",-0.536,0.790606653620352
"147",-0.058,0.907534246575342
"148",0.126,0.952544031311155
"149",-0.22,0.867906066536203
"150",-0.78,0.73091976516634
"151",-1.02,0.672211350293542
"152",-0.868,0.709393346379648
"153",-1.36,0.589041095890411
"154",-1.75,0.493639921722113
"155",0.532,1.05185909980431
"156",0.292,0.993150684931507
"157",1.158,1.20499021526419
"158",1.854,1.3752446183953
"159",2.2,1.45988258317025
"160",2.15,1.44765166340509
"161",2.278,1.47896281800391
"162",3.378,1.74804305283757
"163",-0.382,0.828277886497064
"164",-0.878,0.706947162426614
"165",-1.494,0.556262230919765
"166",-1.532,0.546966731898239
"167",-2.296,0.360078277886497
"168",-2.92,0.207436399217221
"169",-0.804,0.72504892367906
"170",-0.63,0.767612524461839
"171",-0.334,0.840019569471624
"172",-1.852,0.468688845401174
"173",-1.96,0.442270058708415
"174",-2.724,0.255381604696673
"175",-3.25,0.126712328767123
"176",-3.494,0.0670254403131114
"177",1.668,1.32974559686888
"178",1.954,1.39970645792564
"179",0.652,1.0812133072407
"180",0.214,0.974070450097847
"181",0.186,0.967221135029354
"182",0.062,0.936888454011742
"183",0.014,0.925146771037182
"184",0.808,1.11937377690802
