EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

year,fleet,group,value
1985,1,1,1.680799E-06
1985,3,11,0.005140319
1986,1,1,1.859161E-06
1986,3,11,0.003322636
1987,1,1,2.029866E-06
1987,3,11,0.003433557
1988,1,1,2.308337E-06
1988,3,11,0.004114789
1989,1,1,2.693376E-06
1989,3,11,0.005336813
1990,1,1,3.073046E-06
1990,3,11,0.01658049
1991,1,1,3.767882E-06
1991,3,11,0.01380903
1992,1,1,4.761794E-06
1992,3,11,0.01800511
1993,1,1,5.993777E-06
1993,3,11,0.02219699
1994,1,1,7.407957E-06
1994,3,11,0.02081962
1995,1,1,8.901231E-06
1995,3,11,0.02360671
1996,1,1,1.020598E-05
1996,3,11,0.02777275
1997,1,1,1.105456E-05
1997,3,11,0.01912626
1998,1,1,1.156302E-05
1998,3,11,0.02230319
1999,1,1,1.150103E-05
1999,3,11,0.01761992
2000,1,1,1.077333E-05
2000,3,11,0.01242649
2001,1,1,9.939352E-06
2001,3,11,0.006840365
2002,1,1,9.529101E-06
2002,3,11,0.006475218
2003,1,1,9.088604E-06
2003,3,11,0.00316797
2004,1,1,8.707718E-06
2004,3,11,0.003786487
2005,1,1,8.294061E-06
2005,3,11,0.003794662
2006,1,1,7.860704E-06
2006,3,11,0.004792672
2007,1,1,7.35089E-06
2007,3,11,0.005999533
2008,1,1,6.714007E-06
2008,3,11,0.006028527
2009,1,1,6.028655E-06
2009,3,11,0.005607951
2010,1,1,5.472571E-06
2010,3,11,0.005588092
2011,1,1,5.007021E-06
2011,3,11,0.009769485
2012,1,1,4.980895E-06
2012,3,11,0.01088809
2013,1,1,5.208004E-06
2013,3,11,0.007409912
2014,1,1,5.497527E-06
2014,3,11,0.01079303
2015,1,1,5.741884E-06
2015,3,11,0.008731027
2016,1,1,5.91489E-06
2016,3,11,0.01219351
2017,1,1,5.924417E-06
2017,3,11,0.01109883
