EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

timestep,fleet,group,value
118,1,1,1.568579E-05
118,3,11,0.005141092
119,1,1,1.568579E-05
119,3,11,0.005105577
120,1,1,1.568579E-05
120,3,11,0.005069627
121,1,1,1.568579E-05
121,3,11,0.00571112
122,1,1,1.568579E-05
122,3,11,0.005675088
123,1,1,1.568579E-05
123,3,11,0.00564043
124,1,1,1.568579E-05
124,3,11,0.005607061
125,1,1,1.568579E-05
125,3,11,0.005574788
126,1,1,1.568579E-05
126,3,11,0.005543389
127,1,1,1.568579E-05
127,3,11,0.00551266
128,1,1,1.568579E-05
128,3,11,0.00548243
129,1,1,1.568579E-05
129,3,11,0.005452564
130,1,1,1.568579E-05
130,3,11,0.005422971
131,1,1,1.568579E-05
131,3,11,0.005393582
132,1,1,1.568579E-05
132,3,11,0.005364358
133,1,1,1.568579E-05
133,3,11,0.0062851
134,1,1,1.568579E-05
134,3,11,0.006258697
135,1,1,1.568579E-05
135,3,11,0.006233955
136,1,1,1.568579E-05
136,3,11,0.006210864
137,1,1,1.568579E-05
137,3,11,0.006189277
138,1,1,1.568579E-05
138,3,11,0.006168998
139,1,1,1.568579E-05
139,3,11,0.006149825
140,1,1,1.568579E-05
140,3,11,0.006131581
141,1,1,1.568579E-05
141,3,11,0.006114122
142,1,1,1.568579E-05
142,3,11,0.006097343
143,1,1,1.568579E-05
143,3,11,0.006081168
144,1,1,1.568579E-05
144,3,11,0.006065551
145,1,1,1.568579E-05
145,3,11,0.004157212
146,1,1,1.568579E-05
146,3,11,0.004140877
147,1,1,1.568579E-05
147,3,11,0.004126525
148,1,1,1.568579E-05
148,3,11,0.004114139
149,1,1,1.568579E-05
149,3,11,0.004103584
150,1,1,1.568579E-05
150,3,11,0.004094675
151,1,1,1.568579E-05
151,3,11,0.00408722
152,1,1,1.568579E-05
152,3,11,0.004081045
153,1,1,1.568579E-05
153,3,11,0.004076004
154,1,1,1.568579E-05
154,3,11,0.004071981
155,1,1,1.568579E-05
155,3,11,0.004068892
156,1,1,1.568579E-05
156,3,11,0.004066672
157,1,1,1.568579E-05
157,3,11,0.004745774
158,1,1,1.568579E-05
158,3,11,0.004744323
159,1,1,1.568579E-05
159,3,11,0.004739569
160,1,1,1.568579E-05
160,3,11,0.004731557
161,1,1,1.568579E-05
161,3,11,0.004720739
162,1,1,1.568579E-05
162,3,11,0.004707683
163,1,1,1.568579E-05
163,3,11,0.004692934
164,1,1,1.568579E-05
164,3,11,0.00467696
165,1,1,1.568579E-05
165,3,11,0.004660139
166,1,1,1.568579E-05
166,3,11,0.004642766
167,1,1,1.568579E-05
167,3,11,0.004625059
168,1,1,1.568579E-05
168,3,11,0.00460717
169,1,1,1.568579E-05
169,3,11,0.003622258
170,1,1,1.568579E-05
170,3,11,0.003606224
171,1,1,1.568579E-05
171,3,11,0.003591821
172,1,1,1.568579E-05
172,3,11,0.003578995
173,1,1,1.568579E-05
173,3,11,0.003567572
174,1,1,1.568579E-05
174,3,11,0.003557333
175,1,1,1.568579E-05
175,3,11,0.003548062
176,1,1,1.568579E-05
176,3,11,0.003539574
177,1,1,1.568579E-05
177,3,11,0.003531712
178,1,1,1.568579E-05
178,3,11,0.003524363
179,1,1,1.568579E-05
179,3,11,0.003517442
180,1,1,1.568579E-05
180,3,11,0.00351089
181,1,1,1.568579E-05
181,3,11,0.002469224
182,1,1,1.568579E-05
182,3,11,0.002462642
183,1,1,1.568579E-05
183,3,11,0.002456394
184,1,1,1.568579E-05
184,3,11,0.002450465
185,1,1,1.568579E-05
185,3,11,0.002444832
186,1,1,1.568579E-05
186,3,11,0.002439467
187,1,1,1.568579E-05
187,3,11,0.002434347
188,1,1,1.568579E-05
188,3,11,0.002429452
189,1,1,1.568579E-05
189,3,11,0.002424768
190,1,1,1.568579E-05
190,3,11,0.002420282
191,1,1,1.568579E-05
191,3,11,0.002415986
192,1,1,1.568579E-05
192,3,11,0.002411875
193,1,1,1.568579E-05
193,3,11,0.001324322
194,1,1,1.568579E-05
194,3,11,0.001320566
195,1,1,1.568579E-05
195,3,11,0.001316684
196,1,1,1.568579E-05
196,3,11,0.001312683
197,1,1,1.568579E-05
197,3,11,0.001308593
198,1,1,1.568579E-05
198,3,11,0.001304454
199,1,1,1.568579E-05
199,3,11,0.0013003
200,1,1,1.568579E-05
200,3,11,0.001296164
201,1,1,1.568579E-05
201,3,11,0.001292069
202,1,1,1.568579E-05
202,3,11,0.001288031
203,1,1,1.568579E-05
203,3,11,0.001284063
204,1,1,1.568579E-05
204,3,11,0.001280171
205,1,1,1.568579E-05
205,3,11,0.001209005
206,1,1,1.568579E-05
206,3,11,0.001205494
207,1,1,1.568579E-05
207,3,11,0.001202153
208,1,1,1.568579E-05
208,3,11,0.001198978
209,1,1,1.568579E-05
209,3,11,0.001195956
210,1,1,1.568579E-05
210,3,11,0.001193072
211,1,1,1.568579E-05
211,3,11,0.00119031
212,1,1,1.568579E-05
212,3,11,0.001187656
213,1,1,1.568579E-05
213,3,11,0.001185101
214,1,1,1.568579E-05
214,3,11,0.001182633
215,1,1,1.568579E-05
215,3,11,0.001180248
216,1,1,1.568579E-05
216,3,11,0.001177938
217,1,1,1.568579E-05
217,3,11,0.0005751311
218,1,1,1.568579E-05
218,3,11,0.0005738483
219,1,1,1.568579E-05
219,3,11,0.0005727216
220,1,1,1.568579E-05
220,3,11,0.0005717447
221,1,1,1.568579E-05
221,3,11,0.0005709024
222,1,1,1.568579E-05
222,3,11,0.0005701773
223,1,1,1.568579E-05
223,3,11,0.0005695524
224,1,1,1.568579E-05
224,3,11,0.0005690129
225,1,1,1.568579E-05
225,3,11,0.0005685472
226,1,1,1.568579E-05
226,3,11,0.0005681462
227,1,1,1.568579E-05
227,3,11,0.0005678033
228,1,1,1.568579E-05
228,3,11,0.0005675136
229,1,1,1.568579E-05
229,3,11,0.0006785078
230,1,1,1.568579E-05
230,3,11,0.0006779493
231,1,1,1.568579E-05
231,3,11,0.0006770547
232,1,1,1.568579E-05
232,3,11,0.0006758431
233,1,1,1.568579E-05
233,3,11,0.0006743671
234,1,1,1.568579E-05
234,3,11,0.0006726867
235,1,1,1.568579E-05
235,3,11,0.0006708571
236,1,1,1.568579E-05
236,3,11,0.000668924
237,1,1,1.568579E-05
237,3,11,0.0006669231
238,1,1,1.568579E-05
238,3,11,0.000664881
239,1,1,1.568579E-05
239,3,11,0.000662817
240,1,1,1.568579E-05
240,3,11,0.000660744
241,1,1,1.568579E-05
241,3,11,0.0006605852
242,1,1,1.568579E-05
242,3,11,0.0006593998
243,1,1,1.568579E-05
243,3,11,0.0006589948
244,1,1,1.568579E-05
244,3,11,0.0006593241
245,1,1,1.568579E-05
245,3,11,0.0006603005
246,1,1,1.568579E-05
246,3,11,0.0006618265
247,1,1,1.568579E-05
247,3,11,0.0006638083
248,1,1,1.568579E-05
248,3,11,0.0006661639
249,1,1,1.568579E-05
249,3,11,0.0006688274
250,1,1,1.568579E-05
250,3,11,0.0006717497
251,1,1,1.568579E-05
251,3,11,0.0006748981
252,1,1,1.568579E-05
252,3,11,0.000678252
253,1,1,1.568579E-05
253,3,11,0.0008614442
254,1,1,1.568579E-05
254,3,11,0.0008642953
255,1,1,1.568579E-05
255,3,11,0.000865283
256,1,1,1.568579E-05
256,3,11,0.0008646401
257,1,1,1.568579E-05
257,3,11,0.0008627025
258,1,1,1.568579E-05
258,3,11,0.0008597828
259,1,1,1.568579E-05
259,3,11,0.000856146
260,1,1,1.568579E-05
260,3,11,0.0008520056
261,1,1,1.568579E-05
261,3,11,0.0008475271
262,1,1,1.568579E-05
262,3,11,0.000842835
263,1,1,1.568579E-05
263,3,11,0.0008380202
264,1,1,1.568579E-05
264,3,11,0.0008331473
265,1,1,1.568579E-05
265,3,11,0.001037956
266,1,1,1.568579E-05
266,3,11,0.001034335
267,1,1,1.568579E-05
267,3,11,0.001032595
268,1,1,1.568579E-05
268,3,11,0.001032558
269,1,1,1.568579E-05
269,3,11,0.001033964
270,1,1,1.568579E-05
270,3,11,0.001036542
271,1,1,1.568579E-05
271,3,11,0.00104005
272,1,1,1.568579E-05
272,3,11,0.001044282
273,1,1,1.568579E-05
273,3,11,0.001049077
274,1,1,1.568579E-05
274,3,11,0.001054322
275,1,1,1.568579E-05
275,3,11,0.001059943
276,1,1,1.568579E-05
276,3,11,0.001065895
277,1,1,1.568579E-05
277,3,11,0.001077435
278,1,1,1.568579E-05
278,3,11,0.001083429
279,1,1,1.568579E-05
279,3,11,0.001089055
280,1,1,1.568579E-05
280,3,11,0.00109432
281,1,1,1.568579E-05
281,3,11,0.001099288
282,1,1,1.568579E-05
282,3,11,0.001104031
283,1,1,1.568579E-05
283,3,11,0.001108617
284,1,1,1.568579E-05
284,3,11,0.001113102
285,1,1,1.568579E-05
285,3,11,0.001117526
286,1,1,1.568579E-05
286,3,11,0.001121921
287,1,1,1.568579E-05
287,3,11,0.001126306
288,1,1,1.568579E-05
288,3,11,0.001130693
289,1,1,1.568579E-05
289,3,11,0.001056023
290,1,1,1.568579E-05
290,3,11,0.001060019
291,1,1,1.568579E-05
291,3,11,0.001064019
292,1,1,1.568579E-05
292,3,11,0.001068025
293,1,1,1.568579E-05
293,3,11,0.001072042
294,1,1,1.568579E-05
294,3,11,0.001076076
295,1,1,1.568579E-05
295,3,11,0.001080132
296,1,1,1.568579E-05
296,3,11,0.001084215
297,1,1,1.568579E-05
297,3,11,0.001088326
298,1,1,1.568579E-05
298,3,11,0.001092469
299,1,1,1.568579E-05
299,3,11,0.001096643
300,1,1,1.568579E-05
300,3,11,0.001100848
301,1,1,1.568579E-05
301,3,11,0.001100898
302,1,1,1.568579E-05
302,3,11,0.001103615
303,1,1,1.568579E-05
303,3,11,0.001104917
304,1,1,1.568579E-05
304,3,11,0.001104941
305,1,1,1.568579E-05
305,3,11,0.001103927
306,1,1,1.568579E-05
306,3,11,0.001102116
307,1,1,1.568579E-05
307,3,11,0.001099713
308,1,1,1.568579E-05
308,3,11,0.001096879
309,1,1,1.568579E-05
309,3,11,0.001093734
310,1,1,1.568579E-05
310,3,11,0.001090366
311,1,1,1.568579E-05
311,3,11,0.001086835
312,1,1,1.568579E-05
312,3,11,0.001083182
313,1,1,1.568579E-05
313,3,11,0.001889406
314,1,1,1.568579E-05
314,3,11,0.001888459
315,1,1,1.568579E-05
315,3,11,0.001890808
316,1,1,1.568579E-05
316,3,11,0.001896129
317,1,1,1.568579E-05
317,3,11,0.001903968
318,1,1,1.568579E-05
318,3,11,0.001913869
319,1,1,1.568579E-05
319,3,11,0.001925432
320,1,1,1.568579E-05
320,3,11,0.001938326
321,1,1,1.568579E-05
321,3,11,0.001952305
322,1,1,1.568579E-05
322,3,11,0.001967152
323,1,1,1.568579E-05
323,3,11,0.001982784
324,1,1,1.568579E-05
324,3,11,0.001999134
325,1,1,1.568579E-05
325,3,11,0.002246465
326,1,1,1.568579E-05
326,3,11,0.002262028
327,1,1,1.568579E-05
327,3,11,0.002273249
328,1,1,1.568579E-05
328,3,11,0.002280707
329,1,1,1.568579E-05
329,3,11,0.002285241
330,1,1,1.568579E-05
330,3,11,0.002287593
331,1,1,1.568579E-05
331,3,11,0.002288354
332,1,1,1.568579E-05
332,3,11,0.002287966
333,1,1,1.568579E-05
333,3,11,0.002286752
334,1,1,1.568579E-05
334,3,11,0.002284944
335,1,1,1.568579E-05
335,3,11,0.002282701
336,1,1,1.568579E-05
336,3,11,0.002280133
337,1,1,1.568579E-05
337,3,11,0.001548652
338,1,1,1.568579E-05
338,3,11,0.001547949
339,1,1,1.568579E-05
339,3,11,0.001549227
340,1,1,1.568579E-05
340,3,11,0.001552323
341,1,1,1.568579E-05
341,3,11,0.00155697
342,1,1,1.568579E-05
342,3,11,0.001562876
343,1,1,1.568579E-05
343,3,11,0.001569769
344,1,1,1.568579E-05
344,3,11,0.001577416
345,1,1,1.568579E-05
345,3,11,0.001585629
346,1,1,1.568579E-05
346,3,11,0.00159427
347,1,1,1.568579E-05
347,3,11,0.001603242
348,1,1,1.568579E-05
348,3,11,0.001612487
349,1,1,1.568579E-05
349,3,11,0.002363852
350,1,1,1.568579E-05
350,3,11,0.00237875
351,1,1,1.568579E-05
351,3,11,0.002392946
352,1,1,1.568579E-05
352,3,11,0.002406459
353,1,1,1.568579E-05
353,3,11,0.002419406
354,1,1,1.568579E-05
354,3,11,0.002431924
355,1,1,1.568579E-05
355,3,11,0.002444138
356,1,1,1.568579E-05
356,3,11,0.002456148
357,1,1,1.568579E-05
357,3,11,0.002468026
358,1,1,1.568579E-05
358,3,11,0.002479821
359,1,1,1.568579E-05
359,3,11,0.002491566
360,1,1,1.568579E-05
360,3,11,0.002503278
361,1,1,1.568579E-05
361,3,11,0.002032481
362,1,1,1.568579E-05
362,3,11,0.002038149
363,1,1,1.568579E-05
363,3,11,0.002041147
364,1,1,1.568579E-05
364,3,11,0.00204171
365,1,1,1.568579E-05
365,3,11,0.002040278
366,1,1,1.568579E-05
366,3,11,0.002037314
367,1,1,1.568579E-05
367,3,11,0.002033215
368,1,1,1.568579E-05
368,3,11,0.002028296
369,1,1,1.568579E-05
369,3,11,0.002022791
370,1,1,1.568579E-05
370,3,11,0.002016868
371,1,1,1.568579E-05
371,3,11,0.002010643
372,1,1,1.568579E-05
372,3,11,0.002004192
373,1,1,1.568579E-05
373,3,11,0.002792508
374,1,1,1.568579E-05
374,3,11,0.002789976
375,1,1,1.568579E-05
375,3,11,0.002791193
376,1,1,1.568579E-05
376,3,11,0.00279582
377,1,1,1.568579E-05
377,3,11,0.002803324
378,1,1,1.568579E-05
378,3,11,0.002813139
379,1,1,1.568579E-05
379,3,11,0.002824748
380,1,1,1.568579E-05
380,3,11,0.002837713
381,1,1,1.568579E-05
381,3,11,0.002851692
382,1,1,1.568579E-05
382,3,11,0.002866438
383,1,1,1.568579E-05
383,3,11,0.00288178
384,1,1,1.568579E-05
384,3,11,0.002897612
385,1,1,1.568579E-05
385,3,11,0.002651125
386,1,1,1.568579E-05
386,3,11,0.002665477
387,1,1,1.568579E-05
387,3,11,0.002680054
388,1,1,1.568579E-05
388,3,11,0.002694829
389,1,1,1.568579E-05
389,3,11,0.002709787
390,1,1,1.568579E-05
390,3,11,0.002724917
391,1,1,1.568579E-05
391,3,11,0.002740212
392,1,1,1.568579E-05
392,3,11,0.002755662
393,1,1,1.568579E-05
393,3,11,0.002771262
394,1,1,1.568579E-05
394,3,11,0.002787002
395,1,1,1.568579E-05
395,3,11,0.002802874
396,1,1,1.568579E-05
396,3,11,0.00281887
