EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

year,fleet,group,value
1985,1,1,0.0001882295
1985,3,11,0.01895325
1986,1,1,0.0001882295
1986,3,11,0.01238981
1987,1,1,0.0001882295
1987,3,11,0.01290369
1988,1,1,0.0001882295
1988,3,11,0.01477506
1989,1,1,0.0001882295
1989,3,11,0.01838891
1990,1,1,0.0001882295
1990,3,11,0.05664626
1991,1,1,0.0001882295
1991,3,11,0.04600475
1992,1,1,0.0001882295
1992,3,11,0.05678022
1993,1,1,0.0001882295
1993,3,11,0.07045721
1994,1,1,0.0001882295
1994,3,11,0.06305096
1995,1,1,0.0001882295
1995,3,11,0.06638044
1996,1,1,0.0001882295
1996,3,11,0.07398648
1997,1,1,0.0001882295
1997,3,11,0.04918882
1998,1,1,0.0001882295
1998,3,11,0.05629468
1999,1,1,0.0001882295
1999,3,11,0.04269625
2000,1,1,0.0001882295
2000,3,11,0.02925973
2001,1,1,0.0001882295
2001,3,11,0.0156281
2002,1,1,0.0001882295
2002,3,11,0.01430854
2003,1,1,0.0001882295
2003,3,11,0.006845101
2004,1,1,0.0001882295
2004,3,11,0.008051555
2005,1,1,0.0001882295
2005,3,11,0.007984131
2006,1,1,0.0001882295
2006,3,11,0.01024783
2007,1,1,0.0001882295
2007,3,11,0.01252152
2008,1,1,0.0001882295
2008,3,11,0.01326573
2009,1,1,0.0001882295
2009,3,11,0.01293884
2010,1,1,0.0001882295
2010,3,11,0.01317112
2011,1,1,0.0001882295
2011,3,11,0.02314777
2012,1,1,0.0001882295
2012,3,11,0.02734613
2013,1,1,0.0001882295
2013,3,11,0.01886081
2014,1,1,0.0001882295
2014,3,11,0.02923631
2015,1,1,0.0001882295
2015,3,11,0.02434709
2016,1,1,0.0001882295
2016,3,11,0.03394594
2017,1,1,0.0001882295
2017,3,11,0.03280207
