EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:50:49 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.675597E-06
1985,3,11,0.005138549
1986,1,1,1.788056E-06
1986,3,11,0.003312692
1987,1,1,1.819824E-06
1987,3,11,0.003439157
1988,1,1,1.89552E-06
1988,3,11,0.004126667
1989,1,1,2.199565E-06
1989,3,11,0.005343189
1990,1,1,3.570937E-06
1990,3,11,0.01659099
1991,1,1,6.271689E-06
1991,3,11,0.01388197
1992,1,1,9.21947E-06
1992,3,11,0.01800531
1993,1,1,1.086509E-05
1993,3,11,0.02222935
1994,1,1,1.390111E-05
1994,3,11,0.02092781
1995,1,1,1.627686E-05
1995,3,11,0.02373416
1996,1,1,1.917064E-05
1996,3,11,0.02788815
1997,1,1,2.239078E-05
1997,3,11,0.01913584
1998,1,1,2.388094E-05
1998,3,11,0.0223623
1999,1,1,2.457965E-05
1999,3,11,0.01764846
2000,1,1,2.27937E-05
2000,3,11,0.01242603
2001,1,1,2.13918E-05
2001,3,11,0.006840989
2002,1,1,2.137127E-05
2002,3,11,0.006475036
2003,1,1,2.063711E-05
2003,3,11,0.003163651
2004,1,1,1.932876E-05
2004,3,11,0.003789277
2005,1,1,1.917818E-05
2005,3,11,0.00378013
2006,1,1,1.619343E-05
2006,3,11,0.004805545
2007,1,1,1.613396E-05
2007,3,11,0.005983876
2008,1,1,1.192138E-05
2008,3,11,0.006003866
2009,1,1,1.021917E-05
2009,3,11,0.005588915
2010,1,1,6.720632E-06
2010,3,11,0.005598972
2011,1,1,5.039105E-06
2011,3,11,0.009727472
2012,1,1,4.20969E-06
2012,3,11,0.01088736
2013,1,1,4.992682E-06
2013,3,11,0.007381546
2014,1,1,4.506458E-06
2014,3,11,0.01074457
2015,1,1,4.232308E-06
2015,3,11,0.008742383
2016,1,1,3.625399E-06
2016,3,11,0.01215686
2017,1,1,3.755552E-06
2017,3,11,0.01103825
