EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
13,0.003362586,,0.004471512,,0.003497876,,0.06513479,,0.2956014,,0.1093004,,0.02451671,,0.006936586,,0.002044262,,0.1414673,,3.687237E-05,,0.006123297,,0.09105477,,0.001033895,,0.003876209,,0.0005886594,,
14,0.003359446,,0.004700975,,0.003800268,,0.06278583,,0.304644,,0.1129042,,0.02503785,,0.007161297,,0.002099509,,0.1417898,,4.00008E-05,,0.006675829,,0.09467893,,0.0007636297,,0.004374214,,0.0006001542,,
15,0.003354166,,0.004957246,,0.004172394,,0.05882327,,0.3064899,,0.1143399,,0.02514545,,0.00725136,,0.002123469,,0.1433793,,4.333223E-05,,0.007259691,,0.09675135,,0.0008824184,,0.004890225,,0.0006251236,,
16,0.003346769,,0.005203444,,0.004599852,,0.05292512,,0.3007116,,0.1132858,,0.02477888,,0.007189668,,0.002110959,,0.1457114,,4.673625E-05,,0.007826033,,0.09698375,,0.0007694634,,0.005388908,,0.0006613072,,
17,0.00333821,,0.005434784,,0.005055532,,0.04614006,,0.2896194,,0.1102727,,0.02404842,,0.007005069,,0.002068976,,0.1481685,,5.002007E-05,,0.008330202,,0.09557547,,0.0007756854,,0.005842493,,0.0007069412,,
18,0.003332081,0.00332,0.005656898,0.000477,0.005527386,0.000763,0.04127008,0.03694161,0.2801133,0.1675308,0.1078898,0.04395798,0.02345112,0.005666759,0.006830566,0.003656303,0.00203313,0.00099049,0.1506355,0.13,5.338288E-05,3.29E-05,0.008788469,0.0058,0.09401329,0.0657,0.001256049,0.0008152785,0.006253593,0.06067401,0.0007865552,0.03857884,
19,0.003334399,,0.005889624,,0.006045721,,0.04006527,,0.2773893,,0.1086142,,0.02345322,,0.006791615,,0.002037978,,0.15373,,5.773841E-05,,0.009290969,,0.09456245,,0.001741818,,0.006673586,,0.0009677017,,
20,0.003343231,,0.006152799,,0.00666033,,0.04183149,,0.2816224,,0.1122148,,0.02400004,,0.006876856,,0.002081141,,0.1582344,,6.384947E-05,,0.009932474,,0.09814181,,0.002111502,,0.007169955,,0.001254688,,
21,0.003348158,,0.006423419,,0.007368769,,0.04251409,,0.2780682,,0.1135781,,0.02411953,,0.006839582,,0.002093727,,0.1637682,,7.06809E-05,,0.01065235,,0.1018021,,0.002120682,,0.007732681,,0.00145434,,
22,0.003342387,,0.006690178,,0.008143005,,0.04266286,,0.2712741,,0.1135557,,0.02397146,,0.006721778,,0.002086793,,0.1699512,,7.758194E-05,,0.01141671,,0.1049063,,0.002099891,,0.008337003,,0.001523542,,
