"S/R plot"
"striped bass 0 (striped bass 6+)"
x,1,1.22189784049988,3.79192686080933,28.4892578125,53.9546928405762,78.0832824707031,109.48844909668,104.894187927246,108.35701751709,137.326843261719,183.314239501953,200.402160644531,240.186996459961,267.138854980469,287.420471191406,263.371551513672,270.819641113281,259.633270263672,226.167541503906,227.521957397461,247.033828735352,266.500610351563,292.725982666016,289.391357421875,276.969818115234,259.485504150391,288.517059326172,307.883422851563,320.545379638672,304.803344726563,285.679473876953,261.621490478516
y,1.61919856071472,2.79876494407654,9.18137836456299,55.4558792114258,196.615249633789,164.422592163086,145.455581665039,116.13094329834,92.565559387207,99.8358535766602,102.688888549805,116.6318359375,111.327972412109,113.851760864258,106.371208190918,106.332153320313,94.1217803955078,96.1015319824219,106.122596740723,108.685455322266,115.236831665039,126.836235046387,120.766975402832,127.614692687988,133.049957275391,131.833236694336,139.815643310547,121.59294128418,125.767715454102,113.070663452148,107.056640625,95.8432235717773
"striped bass 2-5 (striped bass 6+)"
x,1,1.22189784049988,3.79192686080933,28.4892578125,53.9546928405762,78.0832824707031,109.48844909668,104.894187927246,108.35701751709,137.326843261719,183.314239501953,200.402160644531,240.186996459961,267.138854980469,287.420471191406,263.371551513672,270.819641113281,259.633270263672,226.167541503906,227.521957397461,247.033828735352,266.500610351563,292.725982666016,289.391357421875,276.969818115234,259.485504150391,288.517059326172,307.883422851563
y,4.05829429626465,2.60042834281921,3.7083523273468,14.9512748718262,37.7978057861328,46.1058959960938,57.1557655334473,47.6121025085449,40.5924644470215,47.9257888793945,47.2559204101563,47.1811065673828,43.4787483215332,43.1244354248047,43.3751106262207,47.7193450927734,51.2314872741699,50.0542678833008,45.5531005859375,45.8998146057129,47.2969055175781,51.9245567321777,58.2507438659668,55.2281646728516,52.1487236022949,51.9413871765137,50.0596199035645,44.3395957946777
"menhaden 0 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755,0.564438343048096,0.495049268007278,0.495277136564255,0.503384113311768,0.416642040014267
y,1.24954187870026,1.42222428321838,3.61516451835632,4.9268593788147,4.08255672454834,5.11380195617676,4.20865774154663,2.03463315963745,1.64531254768372,1.65148818492889,2.05590772628784,1.72074007987976,2.63191723823547,2.08145713806152,1.67462873458862,1.28966093063354,1.60189270973206,0.882528722286224,1.30865585803986,3.00519895553589,2.29469585418701,2.01931595802307,2.2746365070343,1.48924136161804,2.00045847892761,2.72012209892273,2.27937746047974,1.94456994533539,1.41608464717865,1.54510724544525,1.41645324230194,1.16432344913483,1.11620342731476
"menhaden 1 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755,0.564438343048096,0.495049268007278,0.495277136564255,0.503384113311768
y,1.60344445705414,1.48231363296509,2.13090491294861,3.26027846336365,3.11465811729431,2.94873762130737,2.53005242347717,2.01367115974426,1.96795403957367,1.12150049209595,1.96179485321045,1.49865090847015,2.22945833206177,1.41775286197662,1.68872857093811,1.16686165332794,1.18934786319733,1.34493088722229,1.23565936088562,2.10384511947632,2.15770101547241,1.58062851428986,1.88847827911377,1.45755648612976,1.84272432327271,2.00162029266357,1.77683532238007,1.63530683517456,1.27387714385986,1.33151292800903,1.23621726036072,1.24295794963837
"menhaden 2 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755,0.564438343048096,0.495049268007278,0.495277136564255
y,1.70531499385834,1.08860969543457,2.00589919090271,3.09096956253052,2.3915708065033,2.1971001625061,2.43055820465088,1.85530340671539,1.3578941822052,1.194779753685,1.66047024726868,1.14441287517548,1.47051584720612,1.31180500984192,1.29921436309814,0.794639825820923,1.5097564458847,1.1792619228363,0.990878522396088,1.95356523990631,1.63439047336578,1.19789564609528,1.80034840106964,1.36762011051178,1.41927480697632,1.65105032920837,1.32253062725067,1.38509774208069,1.00973010063171,1.06591033935547,1.09020376205444
"menhaden 3 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755,0.564438343048096,0.495049268007278
y,1.19748342037201,0.99748682975769,1.90682256221771,2.31769728660584,1.96099972724915,2.47856545448303,2.58326530456543,1.4235565662384,1.47507703304291,1.11483991146088,1.34085249900818,0.886071026325226,1.45721757411957,1.10954797267914,0.911758840084076,1.07837879657745,1.40238916873932,0.954740583896637,0.988674938678741,1.65599453449249,1.35778975486755,1.30910408496857,1.81101393699646,1.11609435081482,1.37635183334351,1.49673271179199,1.29309844970703,1.19488453865051,0.864651679992676,0.999125778675079
"menhaden 4 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755,0.564438343048096
y,1.3787499666214,1.2031774520874,1.96716570854187,2.39238548278809,2.44625377655029,2.69664907455444,1.90259921550751,1.37809586524963,1.22734403610229,0.853972017765045,0.944627344608307,0.79403430223465,1.10346710681915,0.729604959487915,1.05863988399506,0.95394092798233,1.05965924263,0.878663420677185,0.794809877872467,1.23021101951599,1.29778552055359,1.24376046657562,1.41001272201538,1.03236293792725,1.11095869541168,1.27271413803101,1.05472803115845,0.985077023506165,0.781620860099792
"menhaden 5 (menhaden 6+)"
x,1,1.37287509441376,1.54791080951691,1.69982624053955,1.46691846847534,1.92642509937286,1.71642374992371,1.42965149879456,1.62587285041809,1.86537563800812,1.4890284538269,0.924921214580536,0.87709504365921,0.451747834682465,0.454488754272461,0.357287734746933,0.408557951450348,0.329037189483643,0.359004974365234,0.498287409543991,0.463568806648254,0.438780218362808,0.539274036884308,0.377817720174789,0.447449624538422,0.627360165119171,0.589353501796722,0.664538741111755
y,1.55011510848999,1.09983825683594,1.72811698913574,2.3268711566925,1.91585290431976,1.15113878250122,0.992799937725067,0.679451406002045,0.568431079387665,0.395791292190552,0.517313539981842,0.410938262939453,0.424627274274826,0.489136248826981,0.592670798301697,0.479693323373795,0.605694532394409,0.524585068225861,0.431746244430542,0.729578375816345,0.784352540969849,0.65019279718399,0.787840962409973,0.552063345909119,0.623047351837158,0.622131407260895,0.549812018871307,0.543446838855743
"bluefish juv (bluefish adult)"
x,1,0.903889834880829,1.18874955177307,3.85092759132385,6.21825361251831,10.635290145874,13.3693714141846,10.7535190582275,8.13796234130859,7.04531621932983,6.8545093536377,6.96921014785767,7.54805660247803,7.59716987609863,8.75172710418701,9.32119846343994,9.61088752746582,8.98190975189209,8.6168966293335,8.93231201171875,9.43510723114014,10.1567630767822,11.0952444076538,11.1739177703857,11.0232582092285,11.263087272644,11.5922374725342,12.324933052063,12.971061706543,13.2462482452393,13.3580760955811,12.2684354782104,11.7153263092041
y,0.614404022693634,1.11536741256714,2.16223001480103,14.3018226623535,43.4859313964844,53.9270668029785,47.0330581665039,22.8341445922852,16.2690467834473,15.8062086105347,19.7089195251465,21.8555603027344,19.3919258117676,22.1928520202637,23.1053829193115,26.5791854858398,25.1907024383545,24.5930442810059,25.9587306976318,21.6969661712646,19.9808444976807,23.5622730255127,26.80397605896,29.1376457214355,33.4711074829102,30.3990535736084,27.9945640563965,28.91259765625,31.6473960876465,30.0112190246582,30.7553329467773,25.4174518585205,21.005931854248
"weakfish juv (weakfish adult)"
x,1,1.35196805000305,3.25749182701111,14.6600046157837,18.6137180328369,21.8563575744629,25.9767761230469,10.5165596008301,3.55324578285217,1.91092801094055,1.398033618927,0.969722986221313,0.963662564754486,0.834452331066132,0.763556182384491,0.585675358772278,0.524446249008179,0.49141001701355,0.401829093694687,0.636837363243103,0.858667075634003,0.858228266239166,0.905667722225189,0.725192606449127,0.71347838640213,0.801093697547913,0.926786363124847,1.01184630393982,0.824968993663788,0.72085976600647,0.696004331111908,0.643319368362427,0.581023275852203
y,1.09728193283081,2.58125185966492,11.3798599243164,24.5893745422363,14.2106466293335,28.7198944091797,6.42928791046143,1.04217743873596,0.457735896110535,0.47018226981163,0.415376156568527,0.496486842632294,0.693160772323608,0.50401782989502,0.435810834169388,0.405049324035645,0.420955270528793,0.236584767699242,0.420295864343643,0.658538401126862,0.563672125339508,0.60981696844101,0.60715925693512,0.361681193113327,0.551091492176056,0.612472951412201,0.486464858055115,0.524271249771118,0.34997820854187,0.436233460903168,0.369073241949081,0.349091678857803,0.341849863529205
"Atlantic herring 0-1 (Atlantic herring 2+)"
x,1,1.71333646774292,2.41246128082275,6.13189744949341,10.5798215866089,27.4888973236084,43.9219017028809,61.2872123718262,73.5463790893555,75.77294921875,94.9614181518555,82.7398376464844,115.291221618652,96.3227462768555,128.45654296875,122.924209594727,125.637054443359,104.076606750488,94.3183135986328,117.280876159668,130.565155029297,143.915740966797,164.389938354492,119.52855682373,147.005035400391,138.279495239258,145.131530761719,203.271148681641,147.489990234375,152.718765258789,132.717208862305,124.191444396973,101.470649719238
y,1.10135781764984,2.2356915473938,4.51899385452271,9.95236396789551,21.1345844268799,45.0309982299805,71.8864517211914,71.6874160766602,84.9861602783203,119.935539245605,104.212493896484,98.147590637207,159.549743652344,153.011093139648,159.230697631836,129.390884399414,154.12060546875,81.2670822143555,102.063629150391,194.172485351563,165.049865722656,187.077056884766,205.084014892578,154.012817382813,185.254348754883,206.138595581055,207.416595458984,199.444915771484,172.834777832031,159.328094482422,153.186965942383,124.426933288574,111.650680541992
