EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad 1","biomass (observed) AM adult nad 1","biomass (predicted) AM adult nad 2","biomass (observed) AM adult nad 2","biomass (predicted) AM adult nad 3","biomass (observed) AM adult nad 3","biomass (predicted) AM adult nad 4","biomass (observed) AM adult nad 4","biomass (predicted) AM adult nad 5","biomass (observed) AM adult nad 5","biomass (predicted) AM adult nad 6+","biomass (observed) AM adult nad 6+","biomass (predicted) AM adult mad 1","biomass (observed) AM adult mad 1","biomass (predicted) AM adult mad 2","biomass (observed) AM adult mad 2","biomass (predicted) AM adult mad 3","biomass (observed) AM adult mad 3","biomass (predicted) AM adult mad 4","biomass (observed) AM adult mad 4","biomass (predicted) AM adult mad 5","biomass (observed) AM adult mad 5","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
12,0.01084548,,0.0431046,,0.0431046,,0.02258067,,0.02258067,,0.5269808,,1.707212,,1.162115,,0.3786357,,0.1238775,,0.05186657,,0.04256421,,1.707212,,1.162115,,0.3786357,,0.1238775,,0.05186657,,0.2853532,,0.003154347,,0.1985846,,0.1985846,,0.001989632,,0.01716999,,0.01716999,,0.2564865,,0.2564865,,
13,0.01159195,,0.04526537,,0.04526537,,0.02424593,,0.02424593,,0.4282157,,1.70405,,1.2221,,0.3979546,,0.1282906,,0.05448258,,0.04426732,,1.70405,,1.2221,,0.3979546,,0.1282906,,0.05448258,,0.2890134,,0.003577476,,0.1970297,,0.1970297,,0.002162464,,0.01869025,,0.01869025,,0.2709342,,0.2709342,,
14,0.01232803,,0.04758823,,0.04758823,,0.026342,,0.026342,,0.3162779,,1.642597,,1.259485,,0.4110761,,0.1310176,,0.05624754,,0.04546366,,1.642597,,1.259485,,0.4110761,,0.1310176,,0.05624754,,0.2924473,,0.0040371,,0.1974787,,0.1974787,,0.002345938,,0.02037675,,0.02037675,,0.2817179,,0.2817179,,
15,0.01305959,,0.05018248,,0.05018248,,0.02892143,,0.02892143,,0.3654775,,1.538929,,1.267116,,0.4163032,,0.1315806,,0.05695493,,0.04598251,,1.538929,,1.267116,,0.4163032,,0.1315806,,0.05695493,,0.2954569,,0.004513343,,0.1996926,,0.1996926,,0.002541317,,0.02215888,,0.02215888,,0.2878844,,0.2878844,,
16,0.01374191,,0.05267475,,0.05267475,,0.03188441,,0.03188441,,0.3186941,,1.384622,,1.243227,,0.4124655,,0.1296625,,0.05647038,,0.0457116,,1.384622,,1.243227,,0.4124655,,0.1296625,,0.05647038,,0.2978392,,0.004973593,,0.2029406,,0.2029406,,0.002740954,,0.02388754,,0.02388754,,0.2885759,,0.2885759,,
17,0.01430287,,0.05501662,,0.05501662,,0.03504301,,0.03504301,,0.3212712,,1.207112,,1.197369,,0.401495,,0.1258401,,0.05502047,,0.04480249,,1.207112,,1.197369,,0.401495,,0.1258401,,0.05502047,,0.2994728,,0.005392222,,0.2063628,,0.2063628,,0.002933541,,0.02542642,,0.02542642,,0.2843855,,0.2843855,,
18,0.01462841,0.4111474,0.0572651,0.2606177,0.0572651,,0.03831372,0.402417,0.03831372,,0.5202266,2.427192,1.079704,,1.158068,,0.3928188,,0.1227145,,0.05364986,,0.04402626,,1.079704,,1.158068,,0.3928188,,0.1227145,,0.05364986,,0.3005626,1.218652,0.005771638,0.06487971,0.2097987,2.421236,0.2097987,,0.00313076,0.00117927,0.0268252,0.09171461,0.0268252,,0.2797373,0.3541486,0.2797373,,
19,0.01469513,,0.059621,,0.059621,,0.04190661,,0.04190661,,0.7214212,,1.048184,,1.146807,,0.3954565,,0.1227255,,0.05334393,,0.04413124,,1.048184,,1.146807,,0.3954565,,0.1227255,,0.05334393,,0.3018661,,0.006159263,,0.2141086,,0.2141086,,0.003386201,,0.02835899,,0.02835899,,0.2813713,,0.2813713,,
20,0.01475014,,0.06228513,,0.06228513,,0.04616685,,0.04616685,,0.8745357,,1.094391,,1.164307,,0.408566,,0.1255869,,0.05401343,,0.04506592,,1.094391,,1.164307,,0.408566,,0.1255869,,0.05401343,,0.3039784,,0.006617378,,0.2203821,,0.2203821,,0.003744597,,0.03031706,,0.03031706,,0.2920217,,0.2920217,,
21,0.01506118,,0.06502463,,0.06502463,,0.05107748,,0.05107748,,0.878338,,1.112249,,1.149613,,0.4135296,,0.1262122,,0.05372068,,0.04533846,,1.112249,,1.149613,,0.4135296,,0.1262122,,0.05372068,,0.3065565,,0.007136736,,0.2280895,,0.2280895,,0.004145242,,0.03251434,,0.03251434,,0.3029129,,0.3029129,,
22,0.01568172,,0.06772504,,0.06772504,,0.05644419,,0.05644419,,0.8697268,,1.116141,,1.121524,,0.4134479,,0.1254374,,0.0527954,,0.0451883,,1.116141,,1.121524,,0.4134479,,0.1254374,,0.0527954,,0.3086237,,0.007694483,,0.2367008,,0.2367008,,0.004549969,,0.03484743,,0.03484743,,0.3121496,,0.3121496,,
23,0.0163982,,0.07067651,,0.07067651,,0.0624686,,0.0624686,,0.971727,,1.257885,,1.117834,,0.4249291,,0.1276475,,0.05288248,,0.04591356,,1.257885,,1.117834,,0.4249291,,0.1276475,,0.05288248,,0.3106027,,0.00829733,,0.2469136,,0.2469136,,0.004986061,,0.03758902,,0.03758902,,0.3283748,,0.3283748,,
24,0.0173126,,0.0743931,,0.0743931,,0.0700748,,0.0700748,,0.9174978,,1.509627,,1.158593,,0.454162,,0.1343879,,0.0545271,,0.04799096,,1.509627,,1.158593,,0.454162,,0.1343879,,0.0545271,,0.3137291,,0.0090531,,0.2611683,,0.2611683,,0.005590142,,0.04137015,,0.04137015,,0.3611455,,0.3611455,,
25,0.01897986,,0.07955917,,0.07955917,,0.08105708,,0.08105708,,0.6445726,,1.77905,,1.201916,,0.4889491,,0.1429106,,0.05691685,,0.05065718,,1.77905,,1.201916,,0.4889491,,0.1429106,,0.05691685,,0.3182756,,0.009137364,,0.2811138,,0.2811138,,0.006471693,,0.04699083,,0.04699083,,0.411036,,0.411036,,
26,0.02193931,,0.08634929,,0.08634929,,0.0957665,,0.0957665,,1.018759,,1.99594,,1.180898,,0.5063066,,0.1470592,,0.05781572,,0.05198652,,1.99594,,1.180898,,0.5063066,,0.1470592,,0.05781572,,0.3234068,,0.009391521,,0.3069741,,0.3069741,,0.007496112,,0.0539384,,0.0539384,,0.4570346,,0.4570346,,
27,0.02617528,,0.0939238,,0.0939238,,0.1144227,,0.1144227,,1.211791,,2.2217,,1.130502,,0.5145735,,0.1492391,,0.05808675,,0.05267463,,2.2217,,1.130502,,0.5145735,,0.1492391,,0.05808675,,0.3279132,,0.009663101,,0.3383284,,0.3383284,,0.008601754,,0.06217805,,0.06217805,,0.4981678,,0.4981678,,
28,0.03099193,,0.1026434,,0.1026434,,0.1384557,,0.1384557,,1.009103,,2.526682,,1.115131,,0.5386471,,0.1556427,,0.05988995,,0.05451557,,2.526682,,1.115131,,0.5386471,,0.1556427,,0.05988995,,0.3326139,,0.009977403,,0.3777092,,0.3777092,,0.00994543,,0.0724267,,0.0724267,,0.5527576,,0.5527576,,
29,0.03694744,,0.113119,,0.113119,,0.1696758,,0.1696758,,1.375279,,2.794292,,1.065462,,0.5555335,,0.1599912,,0.06101594,,0.05567577,,2.794292,,1.065462,,0.5555335,,0.1599912,,0.06101594,,0.3385314,,0.01035061,,0.4258086,,0.4258086,,0.01155258,,0.08471908,,0.08471908,,0.6098967,,0.6098967,,
30,0.0445606,0.5563214,0.1245851,0.4328409,0.1245851,0.2049518,0.207889,0.6751612,0.207889,0.4587777,1.247034,0.5334489,2.945084,,1.000317,,0.5599368,,0.1617303,,0.06127209,,0.0560032,,2.945084,,1.000317,,0.5599368,,0.1617303,,0.06127209,,0.3442119,2.409268,0.01075406,0.1492267,0.481313,2.398024,0.481313,,0.01336847,0.0005864885,0.0986515,0.03330739,0.0986515,,0.6607041,3.606919,0.6607041,,
31,0.05312885,,0.1363464,,0.1363464,,0.2511854,,0.2511854,,1.150074,,2.975519,,0.9404462,,0.5453946,,0.1605304,,0.06054245,,0.05540685,,2.975519,,0.9404462,,0.5453946,,0.1605304,,0.06054245,,0.3494553,,0.01110788,,0.5395863,,0.5395863,,0.01517179,,0.1129956,,0.1129956,,0.7005146,,0.7005146,,
32,0.06195839,,0.1478505,,0.1478505,,0.2973676,,0.2973676,,1.063114,,2.928863,,0.9115587,,0.5216309,,0.1577516,,0.05928442,,0.05428019,,2.928863,,0.9115587,,0.5216309,,0.1577516,,0.05928442,,0.354104,,0.01141654,,0.5968968,,0.5968968,,0.01681697,,0.1268679,,0.1268679,,0.7311651,,0.7311651,,
33,0.07052399,,0.1597999,,0.1597999,,0.3474627,,0.3474627,,1.280445,,2.993195,,0.9514741,,0.5131749,,0.1588554,,0.05932346,,0.05414637,,2.993195,,0.9514741,,0.5131749,,0.1588554,,0.05932346,,0.3586334,,0.01186533,,0.655833,,0.655833,,0.01855509,,0.1410658,,0.1410658,,0.7728437,,0.7728437,,
34,0.0799931,,0.1724341,,0.1724341,,0.40271,,0.40271,,1.350139,,3.008088,,0.9993361,,0.5079125,,0.1600875,,0.05939031,,0.05395462,,3.008088,,0.9993361,,0.5079125,,0.1600875,,0.05939031,,0.3641231,,0.01262965,,0.7176905,,0.7176905,,0.02058445,,0.1558711,,0.1558711,,0.8226973,,0.8226973,,
35,0.09204114,,0.1856215,,0.1856215,,0.4630735,,0.4630735,,0.9871744,,2.897928,,1.111051,,0.4919836,,0.1609473,,0.05930799,,0.05357573,,2.897928,,1.111051,,0.4919836,,0.1609473,,0.05930799,,0.3697408,,0.01383355,,0.7823225,,0.7823225,,0.0229794,,0.1711785,,0.1711785,,0.873606,,0.873606,,
36,0.106953,,0.2002265,,0.2002265,,0.5264814,,0.5264814,,1.697343,,2.802537,,1.227068,,0.4683078,,0.1602738,,0.05868029,,0.0527009,,2.802537,,1.227068,,0.4683078,,0.1602738,,0.05868029,,0.3754081,,0.01545688,,0.8460488,,0.8460488,,0.02549365,,0.1861821,,0.1861821,,0.917945,,0.917945,,
37,0.1243744,,0.2148749,,0.2148749,,0.5852876,,0.5852876,,1.890093,,2.742458,,1.308825,,0.436038,,0.1573744,,0.05752234,,0.05149863,,2.742458,,1.308825,,0.436038,,0.1573744,,0.05752234,,0.3807645,,0.02021455,,0.9086117,,0.9086117,,0.02780412,,0.1959388,,0.1959388,,0.9523745,,0.9523745,,
38,0.1437177,,0.2285614,,0.2285614,,0.6417356,,0.6417356,,1.80362,,2.79004,,1.35987,,0.4050816,,0.1547082,,0.05650534,,0.05042762,,2.79004,,1.35987,,0.4050816,,0.1547082,,0.05650534,,0.3858589,,0.02622831,,0.9668655,,0.9668655,,0.02978857,,0.2050104,,0.2050104,,0.9870322,,0.9870322,,
39,0.1650969,,0.24127,,0.24127,,0.6950156,,0.6950156,,1.601198,,2.817431,,1.402986,,0.3711202,,0.1513897,,0.05540351,,0.04929799,,2.817431,,1.402986,,0.3711202,,0.1513897,,0.05540351,,0.3909149,,0.03365063,,1.019691,,1.019691,,0.0313266,,0.2129483,,0.2129483,,1.021357,,1.021357,,
40,0.1890045,,0.2528625,,0.2528625,,0.7437375,,0.7437375,,1.39179,,2.838051,,1.41849,,0.3343691,,0.1474989,,0.05412827,,0.04804046,,2.838051,,1.41849,,0.3343691,,0.1474989,,0.05412827,,0.3957433,,0.04250777,,1.066056,,1.066056,,0.03221567,,0.219418,,0.219418,,1.052888,,1.052888,,
41,0.215094,,0.2636503,,0.2636503,,0.7882093,,0.7882093,,1.259967,,2.922513,,1.441325,,0.3025908,,0.1453225,,0.05333804,,0.04716559,,2.922513,,1.441325,,0.3025908,,0.1453225,,0.05333804,,0.4003852,,0.05280688,,1.107767,,1.107767,,0.0324585,,0.2248402,,0.2248402,,1.091083,,1.091083,,
42,0.2437519,1.28838,0.2731133,0.4452959,0.2731133,0.1674065,0.8263593,0.6744617,0.8263593,0.3033987,1.079188,1.80039,2.907542,,1.425667,,0.2717257,,0.1410604,,0.05202441,,0.04587578,,2.907542,,1.425667,,0.2717257,,0.1410604,,0.05202441,,0.4050585,3.103137,0.06412171,0.08974844,1.142442,1.41009,1.142442,,0.03182761,0.001181787,0.2283235,0.03722029,0.2283235,,1.123646,4.218416,1.123646,,
43,0.2745652,,0.2823133,,0.2823133,,0.8612974,,0.8612974,,1.111112,,3.02591,,1.478412,,0.2621236,,0.1397277,,0.05225108,,0.04576512,,3.02591,,1.478412,,0.2621236,,0.1397277,,0.05225108,,0.4094879,,0.07663309,,1.1766,,1.1766,,0.0308385,,0.2314114,,0.2314114,,1.178713,,1.178713,,
44,0.3089806,,0.2918764,,0.2918764,,0.8946338,,0.8946338,,1.138991,,3.095836,,1.526058,,0.2669628,,0.1380361,,0.05270317,,0.04580586,,3.095836,,1.526058,,0.2669628,,0.1380361,,0.05270317,,0.4149284,,0.09028455,,1.212601,,1.212601,,0.02969001,,0.2343687,,0.2343687,,1.253587,,1.253587,,
45,0.3512934,,0.3013833,,0.3013833,,0.925186,,0.925186,,1.059311,,3.084407,,1.536202,,0.2776985,,0.1351097,,0.05271393,,0.04548128,,3.084407,,1.536202,,0.2776985,,0.1351097,,0.05271393,,0.4204816,,0.104329,,1.249452,,1.249452,,0.02818597,,0.2364863,,0.2364863,,1.325546,,1.325546,,
46,0.398975,,0.3104004,,0.3104004,,0.9510227,,0.9510227,,0.9550198,,3.011474,,1.511326,,0.2880184,,0.1315623,,0.05229526,,0.04480134,,3.011474,,1.511326,,0.2880184,,0.1315623,,0.05229526,,0.4257884,,0.1171047,,1.284473,,1.284473,,0.0261013,,0.2368162,,0.2368162,,1.387044,,1.387044,,
47,0.4479382,,0.3200617,,0.3200617,,0.975215,,0.975215,,1.033479,,3.112774,,1.554402,,0.3351391,,0.1306336,,0.05366189,,0.04541983,,3.112774,,1.554402,,0.3351391,,0.1306336,,0.05366189,,0.4311056,,0.1277651,,1.323827,,1.323827,,0.0238657,,0.2370215,,0.2370215,,1.483467,,1.483467,,
48,0.5008429,,0.330322,,0.330322,,0.9970827,,0.9970827,,0.9805877,,3.142301,,1.541161,,0.3840142,,0.1268164,,0.05434676,,0.0454799,,3.142301,,1.541161,,0.3840142,,0.1268164,,0.05434676,,0.4375263,,0.1342338,,1.36615,,1.36615,,0.02138099,,0.2363942,,0.2363942,,1.583799,,1.583799,,
49,0.5603728,,0.341347,,0.341347,,1.024344,,1.024344,,0.8380414,,3.048676,,1.500852,,0.4185205,,0.1190903,,0.05356118,,0.04471394,,3.048676,,1.500852,,0.4185205,,0.1190903,,0.05356118,,0.4434255,,0.1365233,,1.445215,,1.445215,,0.01879536,,0.2362871,,0.2362871,,1.662989,,1.662989,,
50,0.6169872,,0.3526666,,0.3526666,,1.046239,,1.046239,,0.8686363,,2.913228,,1.494759,,0.4323177,,0.1103927,,0.05234901,,0.04367274,,2.913228,,1.494759,,0.4323177,,0.1103927,,0.05234901,,0.4487636,,0.136181,,1.512375,,1.512375,,0.01625903,,0.233139,,0.233139,,1.718695,,1.718695,,
51,0.6645465,,0.3646862,,0.3646862,,1.061743,,1.061743,,0.7463151,,2.793535,,1.517597,,0.4484335,,0.1021108,,0.05142552,,0.04293637,,2.793535,,1.517597,,0.4484335,,0.1021108,,0.05142552,,0.4538043,,0.1335345,,1.567446,,1.567446,,0.01408065,,0.2275962,,0.2275962,,1.773544,,1.773544,,
52,0.7033524,,0.3785104,,0.3785104,,1.072545,,1.072545,,0.7321153,,2.715939,,1.585038,,0.4672018,,0.09479704,,0.05116421,,0.04270481,,2.715939,,1.585038,,0.4672018,,0.09479704,,0.05116421,,0.4590377,,0.1294639,,1.612891,,1.612891,,0.01248894,,0.2207896,,0.2207896,,1.847457,,1.847457,,
53,0.7385164,,0.3960834,,0.3960834,,1.082943,,1.082943,,0.8525866,,2.81862,,1.772934,,0.5047698,,0.09142265,,0.05306456,,0.04400349,,2.81862,,1.772934,,0.5047698,,0.09142265,,0.05306456,,0.4650289,,0.1255526,,1.656711,,1.656711,,0.01182128,,0.2151039,,0.2151039,,1.995583,,1.995583,,
54,0.7835187,0.6580506,0.4195472,0.4008125,0.4195472,0.2300836,1.098012,0.6471931,1.098012,0.5009177,0.9914646,1.266941,3.0218,,2.009782,,0.557532,,0.09106056,,0.05622602,,0.04637643,,3.0218,,2.009782,,0.557532,,0.09106056,,0.05622602,,0.4730321,2.032108,0.1233852,0.1544013,1.707045,1.907684,1.707045,,0.0122545,0.001006847,0.2124211,0.01689229,0.2124211,,2.229965,5.383059,2.229965,,
55,0.855567,,0.4507037,,0.4507037,,1.121966,,1.121966,,1.051473,,3.254884,,2.241731,,0.6157947,,0.09364395,,0.05923643,,0.04920958,,3.254884,,2.241731,,0.6157947,,0.09364395,,0.05923643,,0.4829849,,0.1238027,,1.77027,,1.77027,,0.01381012,,0.2137481,,0.2137481,,2.52369,,2.52369,,
56,0.9626704,,0.4910919,,0.4910919,,1.157908,,1.157908,,1.038608,,3.473983,,2.423485,,0.6734397,,0.09980209,,0.06167999,,0.05203209,,3.473983,,2.423485,,0.6734397,,0.09980209,,0.06167999,,0.494617,,0.1266988,,1.85003,,1.85003,,0.01650516,,0.2193495,,0.2193495,,2.847686,,2.847686,,
57,1.10256,,0.5422706,,0.5422706,,1.207471,,1.207471,,0.9910817,,3.623332,,2.567594,,0.7203279,,0.1085748,,0.06364751,,0.05456651,,3.623332,,2.567594,,0.7203279,,0.1085748,,0.06364751,,0.5076096,,0.1313321,,1.94722,,1.94722,,0.02029691,,0.2289577,,0.2289577,,3.17796,,3.17796,,
58,1.270543,,0.6065948,,0.6065948,,1.273668,,1.273668,,1.236293,,3.815493,,2.712084,,0.7629122,,0.1195954,,0.06595602,,0.05723266,,3.815493,,2.712084,,0.7629122,,0.1195954,,0.06595602,,0.5218785,,0.1374715,,2.065093,,2.065093,,0.02531984,,0.2431123,,0.2431123,,3.531499,,3.531499,,
59,1.455716,,0.685371,,0.685371,,1.355445,,1.355445,,1.096564,,3.911045,,2.787894,,0.7880288,,0.1380337,,0.06620163,,0.05925833,,3.911045,,2.787894,,0.7880288,,0.1380337,,0.06620163,,0.537643,,0.1442294,,2.200307,,2.200307,,0.0312146,,0.2606409,,0.2606409,,3.871616,,3.871616,,
60,1.631099,,0.7768719,,0.7768719,,1.442979,,1.442979,,0.9462568,,3.769468,,2.794096,,0.7752147,,0.1559369,,0.06410189,,0.05972631,,3.769468,,2.794096,,0.7752147,,0.1559369,,0.06410189,,0.5538391,,0.1498065,,2.336573,,2.336573,,0.03693983,,0.2775757,,0.2775757,,4.115088,,4.115088,,
61,1.775666,,0.8787284,,0.8787284,,1.533061,,1.533061,,0.9110631,,3.595998,,2.784218,,0.7669991,,0.1732212,,0.06116338,,0.05965025,,3.595998,,2.784218,,0.7669991,,0.1732212,,0.06116338,,0.5685731,,0.1569151,,2.455798,,2.455798,,0.0417835,,0.2980478,,0.2980478,,4.319104,,4.319104,,
62,1.872774,,0.9866169,,0.9866169,,1.617028,,1.617028,,0.8039277,,3.363357,,2.70635,,0.7750508,,0.1829617,,0.05752248,,0.05899352,,3.363357,,2.70635,,0.7750508,,0.1829617,,0.05752248,,0.5831908,,0.1610234,,2.561122,,2.561122,,0.04537911,,0.3142966,,0.3142966,,4.465246,,4.465246,,
63,1.922261,,1.096412,,1.096412,,1.68895,,1.68895,,0.9028951,,3.110728,,2.572768,,0.7768053,,0.1896359,,0.05293112,,0.05767662,,3.110728,,2.572768,,0.7768053,,0.1896359,,0.05293112,,0.5972804,,0.1627005,,2.645091,,2.645091,,0.04740459,,0.3252498,,0.3252498,,4.540708,,4.540708,,
64,1.929366,,1.20465,,1.20465,,1.747812,,1.747812,,0.9813171,,2.933841,,2.432499,,0.788572,,0.1949093,,0.04824793,,0.05644888,,2.933841,,2.432499,,0.788572,,0.1949093,,0.04824793,,0.6106631,,0.1631479,,2.707406,,2.707406,,0.04796514,,0.3315722,,0.3315722,,4.590804,,4.590804,,
65,1.910859,,1.310755,,1.310755,,1.800341,,1.800341,,1.306394,,2.998327,,2.376741,,0.8362999,,0.2033815,,0.04479507,,0.05656977,,2.998327,,2.376741,,0.8362999,,0.2033815,,0.04479507,,0.6240929,,0.1645441,,2.75911,,2.75911,,0.04772765,,0.3364649,,0.3364649,,4.73728,,4.73728,,
