EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 6:49:07 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.664404E-06
1985,3,11,0.005135335
1986,1,1,1.780002E-06
1986,3,11,0.003320173
1987,1,1,1.842233E-06
1987,3,11,0.003434954
1988,1,1,1.942758E-06
1988,3,11,0.004119651
1989,1,1,2.329671E-06
1989,3,11,0.005342931
1990,1,1,3.152288E-06
1990,3,11,0.01659229
1991,1,1,4.62944E-06
1991,3,11,0.01381247
1992,1,1,6.274162E-06
1992,3,11,0.01801061
1993,1,1,7.707209E-06
1993,3,11,0.02221605
1994,1,1,9.091414E-06
1994,3,11,0.02084988
1995,1,1,1.070424E-05
1995,3,11,0.02364434
1996,1,1,1.238626E-05
1996,3,11,0.02780366
1997,1,1,1.367834E-05
1997,3,11,0.01912664
1998,1,1,1.434355E-05
1998,3,11,0.0222924
1999,1,1,1.396398E-05
1999,3,11,0.01761051
2000,1,1,1.26831E-05
2000,3,11,0.01242385
2001,1,1,1.146741E-05
2001,3,11,0.006840366
2002,1,1,1.111862E-05
2002,3,11,0.006474658
2003,1,1,1.10086E-05
2003,3,11,0.003166343
2004,1,1,1.078195E-05
2004,3,11,0.003783055
2005,1,1,1.004462E-05
2005,3,11,0.003790345
2006,1,1,8.912623E-06
2006,3,11,0.004787215
2007,1,1,7.601459E-06
2007,3,11,0.005993734
2008,1,1,6.353888E-06
2008,3,11,0.006024204
2009,1,1,5.382305E-06
2009,3,11,0.005605485
2010,1,1,4.806113E-06
2010,3,11,0.005586497
2011,1,1,4.506451E-06
2011,3,11,0.009766241
2012,1,1,4.687252E-06
2012,3,11,0.01088277
2013,1,1,5.080659E-06
2013,3,11,0.007405476
2014,1,1,5.408019E-06
2014,3,11,0.01078728
2015,1,1,5.546386E-06
2015,3,11,0.008729096
2016,1,1,5.59094E-06
2016,3,11,0.01219484
2017,1,1,5.580765E-06
2017,3,11,0.0110995
