Pane,"Niche overlap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,"striped bass 0: striped bass 2-5","striped bass 0: menhaden 0","striped bass 0: menhaden 1","striped bass 0: menhaden 2","striped bass 0: menhaden 3","striped bass 0: menhaden 4","striped bass 0: menhaden 5","striped bass 0: menhaden 6+","striped bass 0: spiny dogfish","striped bass 0: bluefish juv","striped bass 0: bluefish adult","striped bass 0: weakfish juv","striped bass 0: weakfish adult","striped bass 0: Atlantic herring 0-1","striped bass 0: Atlantic herring 2+","striped bass 0: anchovies","menhaden 0: menhaden 1","menhaden 0: menhaden 2","menhaden 0: menhaden 3","menhaden 0: menhaden 4","menhaden 0: menhaden 5","menhaden 0: menhaden 6+","menhaden 0: weakfish juv","menhaden 0: weakfish adult","menhaden 0: Atlantic herring 0-1","menhaden 0: Atlantic herring 2+","menhaden 0: anchovies","menhaden 1: menhaden 2","menhaden 1: menhaden 3","menhaden 1: menhaden 4","menhaden 1: menhaden 5","menhaden 1: menhaden 6+","menhaden 1: weakfish juv","menhaden 1: weakfish adult","menhaden 1: Atlantic herring 0-1","menhaden 1: Atlantic herring 2+","menhaden 1: anchovies","menhaden 2: menhaden 3","menhaden 2: menhaden 4","menhaden 2: menhaden 5","menhaden 2: menhaden 6+","menhaden 2: weakfish juv","menhaden 2: weakfish adult","menhaden 2: Atlantic herring 0-1","menhaden 2: Atlantic herring 2+","menhaden 2: anchovies","menhaden 3: menhaden 4","menhaden 3: menhaden 5","menhaden 3: menhaden 6+","menhaden 3: weakfish juv","menhaden 3: weakfish adult","menhaden 3: Atlantic herring 0-1","menhaden 3: Atlantic herring 2+","menhaden 3: anchovies","menhaden 4: menhaden 5","menhaden 4: menhaden 6+","menhaden 4: weakfish juv","menhaden 4: weakfish adult","menhaden 4: Atlantic herring 0-1","menhaden 4: Atlantic herring 2+","menhaden 4: anchovies","menhaden 5: menhaden 6+","menhaden 5: weakfish juv","menhaden 5: weakfish adult","menhaden 5: Atlantic herring 0-1","menhaden 5: Atlantic herring 2+","menhaden 5: anchovies","menhaden 6+: weakfish juv","menhaden 6+: weakfish adult","menhaden 6+: Atlantic herring 0-1","menhaden 6+: Atlantic herring 2+","menhaden 6+: anchovies","spiny dogfish: Atlantic herring 0-1","spiny dogfish: Atlantic herring 2+","bluefish juv: bluefish adult","bluefish juv: weakfish juv","bluefish juv: weakfish adult","bluefish adult: weakfish juv","bluefish adult: weakfish adult","weakfish juv: weakfish adult","weakfish juv: Atlantic herring 0-1","weakfish juv: Atlantic herring 2+","weakfish juv: anchovies","weakfish adult: Atlantic herring 0-1","weakfish adult: Atlantic herring 2+","weakfish adult: anchovies","Atlantic herring 0-1: Atlantic herring 2+","Atlantic herring 0-1: anchovies","Atlantic herring 2+: anchovies"
0.544431447982788,,,,,,,,,,,,,0.584805190563202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.555070340633392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961665213108063
0.556202590465546,,,,,,,,,,,0.244889661669731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.556532263755798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81075245141983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.556532323360443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81075245141983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.570873618125916,,,,,,,,,,,,,,,,,,,,,,,,,,0.664688229560852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.581729829311371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40230655670166,,,,,,,,,,,,,,,,,,,,,
0.581730663776398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40230655670166,,,,,,,,,,,,,,,,,,,,,,,,,,
0.581730782985687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40230655670166,,,,,,,0.40230655670166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594639301300049,,,,,,0.243487045168877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594639360904694,,,,,,,,0.243487045168877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594639420509338,,,,,0.243487045168877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594639480113983,,,,,,,0.243487045168877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600821256637573,,,,,,,,,0.726104557514191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629602134227753,,,,,,,,,,,,0.643028855323792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.669252812862396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289562612771988,,,,,,,,,,,,,,,,,,,,,,,,,
0.669252932071686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289562612771988,,,,,,,,,,,,,,,,,,0.289562612771988,,,,,,,,,,,,,,,,,,,,
