,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,"striped bass 0",,0.3487544,0.4293686,,,,,,,,0.144553,1.477141,0.1577889,,,,,,,,
2,"striped bass 2-5",,,0.04996558,,,,,,,,,,,,,,,,,,
3,"striped bass 6+",,,,,,,,,,,,,,,,,,,,,
4,"menhaden 0",0.2738291,0.4517516,0.2676601,,,,,,,,0.009130849,0.2155928,0.165343,0.2493507,0.1850332,,,,,,
5,"menhaden 1",0.05029472,0.08281723,0.08288001,,,,,,,,0.0008571471,,0.04942094,,0.02314272,,,,,,
6,"menhaden 2",0.05539052,0.09120817,0.0912773,,,,,,,,0.0009439921,,0.05442821,,0.02548751,,,,,,
7,"menhaden 3",,0.00191483,0.1150035,,,,,,,,0.0007729091,,0.009903123,,0.001033086,,,,,,
8,"menhaden 4",,0.005326955,0.3199347,,,,,,,,0.002150196,,0.02755005,,0.002874008,,,,,,
9,"menhaden 5",,0.01482119,0.890151,,,,,,,,0.005982489,,0.07665218,,0.007996329,,,,,,
10,"menhaden 6+",,0.02187166,1.313602,,,,,,,,0.008828417,,0.1131162,,0.01179504,,,,,,
11,"spiny dogfish",,,,,,,,,,,0.004476094,,,,,,,,,,
12,"bluefish juv",,0.6793108,0.417331,,,,,,,,,,7.116149,,,,,,,,
13,"bluefish adult",,,0.008223294,,,,,,,,,,0.00999435,,,,,,,,
14,"weakfish juv",11.63801,9.609175,,,,,,,,,,10.11377,2.692724,8.264047,17.48217,,,,,,
15,"weakfish adult",,,,,,,,,,,,,0.3464813,,0.3253869,,,,,,
16,"Atlantic herring 0-1",,0.6218421,2.355865,,,,,,,,1.696391,,1.072391,,,3.348435,0.6995324,,,,
17,"Atlantic herring 2+",,0.4359567,0.6172771,,,,,,,,0.7472144,,0.6006081,,,0.1861518,0.08832177,,,,
18,anchovies,2.961057,2.563857,1.704771,,,,,,,,0.04927332,20.16047,2.455565,16.02945,6.178876,1.086462,0.37123,,,,
19,benthos,0.2526765,0.07283812,0.01266872,,,,,,,,0.02708462,0.02050998,0.006913783,0.1397877,0.04389953,0.1319209,0.04507567,0.05091662,0.07739525,0.007680834,
20,zooplankton,0.07707395,0.00346328,0.0002664884,0.5690839,0.3637674,0.250793,0.2484163,0.2179109,0.2002989,0.1851641,0.03123035,0.01008469,0.001986511,0.1751017,0.04557126,0.6260788,0.2139231,0.369922,0.01956994,2.981023,
21,phytoplankton,,0.0003414278,0.0006305227,0.6433167,0.2539563,0.1750857,0.105085,0.09218062,0.08473038,0.07832806,,,0.0005648995,0.00136732,0.0001602456,,,0.132226,0.3323468,8.813544,
22,Detritus,,,,0.393664,0.155588,0.1072674,0.06411766,0.05624403,0.05169827,0.04779189,,,,,,,,0.03391244,0.3970328,2.375872,
