,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,"striped bass 0",-1,-0.3336006,0.0445563,-1,-1,-1,-1,-1,-1,-1,0.08029913,0.008117317,-0.63413,-1,-1,-1,-1,-1,-1,-1,
2,"striped bass 2-5",-1,-1,-0.7831218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3,"striped bass 6+",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
4,"menhaden 0",-0.4466746,-0.2107593,-0.1987412,-1,-1,-1,-1,-1,-1,-1,-0.8682827,-0.7506185,-0.6197855,-0.6491091,-0.7227876,-1,-1,-1,-1,-1,
5,"menhaden 1",-0.8705193,-0.7912371,-0.6631702,-1,-1,-1,-1,-1,-1,-1,-0.9868901,-1,-0.8698307,-1,-0.9608008,-1,-1,-1,-1,-1,
6,"menhaden 2",-0.8582858,-0.7723781,-0.6349751,-1,-1,-1,-1,-1,-1,-1,-0.985571,-1,-0.8575369,-1,-0.9569107,-1,-1,-1,-1,-1,
7,"menhaden 3",-1,-0.994654,-0.5599735,-1,-1,-1,-1,-1,-1,-1,-0.9881713,-1,-0.972556,-1,-0.9982184,-1,-1,-1,-1,-1,
8,"menhaden 4",-1,-0.9851949,-0.1086734,-1,-1,-1,-1,-1,-1,-1,-0.96742,-1,-0.9253896,-1,-0.9950511,-1,-1,-1,-1,-1,
9,"menhaden 5",-1,-0.9593188,0.4118764,-1,-1,-1,-1,-1,-1,-1,-0.9117918,-1,-0.8047745,-1,-0.9862883,-1,-1,-1,-1,-1,
10,"menhaden 6+",-1,-0.9405149,0.5786265,-1,-1,-1,-1,-1,-1,-1,-0.8723803,-1,-0.7241054,-1,-0.979837,-1,-1,-1,-1,-1,
11,"spiny dogfish",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9332972,-1,-1,-1,-1,-1,-1,-1,-1,-1,
12,"bluefish juv",-1,-0.002112949,0.02962998,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.9002873,-1,-1,-1,-1,-1,-1,-1,
13,"bluefish adult",-1,-1,-0.960936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9723065,-1,-1,-1,-1,-1,-1,-1,
14,"weakfish juv",0.9704088,0.9479115,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8131769,0.6435258,0.8254439,0.96336,-1,-1,-1,-1,-1,
15,"weakfish adult",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.3351269,-1,-0.5568827,-1,-1,-1,-1,-1,
16,"Atlantic herring 0-1",-1,-0.04827339,0.7734168,-1,-1,-1,-1,-1,-1,-1,0.9436667,-1,0.2371906,-1,-1,0.9438652,0.9067346,-1,-1,-1,
17,"Atlantic herring 2+",-1,-0.2282126,0.2332377,-1,-1,-1,-1,-1,-1,-1,0.7757421,-1,-0.06467264,-1,-1,-0.1410347,0.1648587,-1,-1,-1,
18,anchovies,0.6686605,0.6245943,0.6739897,-1,-1,-1,-1,-1,-1,-1,-0.4428429,0.9456024,0.6097319,0.94888,0.7545205,0.6833007,0.7632273,-1,-1,-1,
19,benthos,-0.4788094,-0.814166,-0.9404175,-1,-1,-1,-1,-1,-1,-1,-0.652186,-0.9734194,-0.9807643,-0.7877014,-0.9268672,-0.3089241,-0.183833,0.3321406,0.3691064,-0.9774908,
20,zooplankton,-0.8078848,-0.9903507,-0.9987109,0.8403139,0.8982329,0.8982329,0.9371688,0.9371688,0.9371688,0.9371688,-0.6088635,-0.9868457,-0.9944368,-0.7406919,-0.9241828,0.4689605,0.5772315,0.9456371,-0.3250323,0.6965498,
21,phytoplankton,-1,-0.9990448,-0.9969524,0.866954,0.8225166,0.8225166,0.7518901,0.7518901,0.7518901,0.7518901,-1,-1,-0.998415,-0.9976924,-0.9997234,-1,-1,0.7185509,0.8677962,0.9436639,
22,Detritus,-1,-1,-1,0.7442015,0.6820014,0.6820014,0.5841092,0.5841092,0.5841092,0.5841092,-1,-1,-1,-1,-1,-1,-1,0.1257456,0.9020618,0.6174037,
