,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,"striped bass 0",,0.01261028,0.00793473,,,,,,,,0.03924614,0.006388266,0.03466623,,,,,,,,
2,"striped bass 2-5",,,0.0009233638,,,,,,,,,,,,,,,,,,
3,"striped bass 6+",,,,,,,,,,,,,,,,,,,,,
4,"menhaden 0",0.002304386,0.01633446,0.004946359,,,,,,,,0.002479025,0.0009323851,0.03632585,0.0003046349,0.002349922,,,,,,
5,"menhaden 1",0.000423251,0.002994509,0.001531622,,,,,,,,0.0002327154,,0.01085778,,0.0002939125,,,,,,
6,"menhaden 2",0.0004661343,0.003297909,0.001686804,,,,,,,,0.0002562938,,0.01195788,,0.0003236913,,,,,,
7,"menhaden 3",,6.923651E-05,0.002125265,,,,,,,,0.0002098448,,0.002175716,,1.31202E-05,,,,,,
8,"menhaden 4",,0.0001926123,0.005912393,,,,,,,,0.0005837783,,0.006052746,,3.64999E-05,,,,,,
9,"menhaden 5",,0.0005359053,0.01644999,,,,,,,,0.001624246,,0.01684048,,0.0001015534,,,,,,
10,"menhaden 6+",,0.0007908365,0.02427537,,,,,,,,0.002396915,,0.02485162,,0.0001497971,,,,,,
11,"spiny dogfish",,,,,,,,,,,0.001215259,,,,,,,,,,
12,"bluefish juv",,0.02456255,0.007712278,,,,,,,,,,1.563418,,,,,,,,
13,"bluefish adult",,,0.0001519665,,,,,,,,,,0.002195759,,,,,,,,
14,"weakfish juv",0.09793875,0.347449,,,,,,,,,,0.04373951,0.5915914,0.01009629,0.2220235,,,,,,
15,"weakfish adult",,,,,,,,,,,,,0.07612195,,0.004132414,,,,,,
16,"Atlantic herring 0-1",,0.0224846,0.04353639,,,,,,,,0.4605702,,0.2356043,,,0.02786692,0.10472,,,,
17,"Atlantic herring 2+",,0.01576334,0.01140728,,,,,,,,0.2028687,,0.1319536,,,0.001549224,0.01322177,,,,
18,anchovies,0.02491853,0.09270406,0.03150417,,,,,,,,0.0133777,0.08718896,0.5394875,0.01958338,0.07847173,0.009041939,0.05557314,,,,
19,benthos,0.002126378,0.002633684,0.0002341179,,,,,,,,0.007353475,8.870054E-05,0.001518958,0.0001707805,0.000557524,0.001097895,0.006747828,0.01381368,1.125791,0.1041444,
20,zooplankton,0.0006486094,0.0001252254,4.924704E-06,0.2951716,0.576245,0.2836297,0.1099655,0.03120668,0.009673271,0.005740772,0.008479041,4.361375E-05,0.0004364364,0.000213924,0.000578755,0.005210461,0.03202429,0.1003598,0.2846644,40.41969,
21,phytoplankton,,1.234536E-05,1.165206E-05,0.3336746,0.4022931,0.19801,0.04651757,0.01320104,0.004091985,0.00242846,,,0.0001241084,1.670473E-06,2.035119E-06,,,0.03587293,4.834316,119.5028,
