,"Group name",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
1,"striped bass 0",1,0.1214732,0,0.7217047,0.6770157,0.6770157,0.5946394,0.5946393,0.5946395,0.5946394,0.6008213,0.5401186,0.5562026,0.6296021,0.5444314,0.9199864,0.9482362,0.6825199,0.005401336,0.0001354413,5.971118E-07,
2,"striped bass 2-5",0.1214732,1,0,0.1091138,0.1262485,0.1262485,0.6422863,0.6422863,0.6422864,0.6422868,0,0.004931275,0.06890043,0,0,0.07197912,0.04274889,0.04896814,0.0002057297,1.21709E-07,9.731558E-08,
3,"striped bass 6+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"menhaden 0",0.7217047,0.1091138,0,1,0.9782817,0.9782817,0.7387809,0.7387809,0.7387807,0.7387804,0.05468584,0.8147814,0.8296182,0.945664,0.8211007,0.4797626,0.5708736,0.9488313,0.002532336,2.329101E-05,8.986155E-07,
5,"menhaden 1",0.6770157,0.1262485,0,0.9782817,1,0.9999999,0.7810449,0.7810449,0.7810447,0.7810447,0.01918226,0.9055437,0.920231,0.8893645,0.9099854,0.4574381,0.5565323,0.9556546,0.002073813,1.5585E-05,9.818389E-07,
6,"menhaden 2",0.6770157,0.1262485,0,0.9782817,0.9999999,1,0.7810448,0.7810449,0.7810447,0.7810447,0.01918226,0.9055436,0.920231,0.8893645,0.9099854,0.4574381,0.5565323,0.9556546,0.002073813,1.5585E-05,9.818389E-07,
7,"menhaden 3",0.5946394,0.6422863,0,0.7387809,0.7810449,0.7810448,1,0.9999999,1,0.9999999,0.06341819,0.6660513,0.7167822,0.5817308,0.6692529,0.4317544,0.4785688,0.722012,0.001537224,2.092259E-05,7.601755E-07,
8,"menhaden 4",0.5946393,0.6422863,0,0.7387809,0.7810449,0.7810449,0.9999999,1,0.9999999,0.9999999,0.06341811,0.6660514,0.7167823,0.5817308,0.6692531,0.4317544,0.4785688,0.722012,0.001537223,2.092257E-05,7.601755E-07,
9,"menhaden 5",0.5946395,0.6422864,0,0.7387807,0.7810447,0.7810447,1,0.9999999,1,0.9999999,0.06341834,0.6660511,0.7167819,0.5817307,0.6692528,0.4317545,0.4785689,0.7220119,0.001537225,2.092262E-05,7.601753E-07,
10,"menhaden 6+",0.5946394,0.6422868,0,0.7387804,0.7810447,0.7810447,0.9999999,0.9999999,0.9999999,1,0.06341848,0.6660514,0.7167822,0.5817298,0.6692529,0.4317545,0.4785689,0.7220114,0.001537225,2.092262E-05,7.601755E-07,
11,"spiny dogfish",0.6008213,0,0,0.05468584,0.01918226,0.01918226,0.06341819,0.06341811,0.06341834,0.06341848,1,0,0,0,0,0.7614651,0.7602522,0.02079348,0.006461822,0.0002095507,0,
12,"bluefish juv",0.5401186,0.004931275,0,0.8147814,0.9055437,0.9055436,0.6660513,0.6660514,0.6660511,0.6660514,0,1,0.9968436,0.7024454,0.9979119,0.3941672,0.4996441,0.8490266,0.001374827,1.084085E-05,1.039266E-06,
13,"bluefish adult",0.5562026,0.06890043,0,0.8296182,0.920231,0.920231,0.7167822,0.7167823,0.7167819,0.7167822,0,0.9968436,1,0.7098991,0.9960608,0.4052676,0.5087417,0.8649049,0.001352825,1.077555E-05,1.041772E-06,
14,"weakfish juv",0.6296021,0,0,0.945664,0.8893645,0.8893645,0.5817308,0.5817308,0.5817307,0.5817298,0,0.7024454,0.7098991,1,0.7204181,0.3794875,0.46595,0.9096078,0.002340525,1.464922E-05,7.796254E-07,
15,"weakfish adult",0.5444314,0,0,0.8211007,0.9099854,0.9099854,0.6692529,0.6692531,0.6692528,0.6692529,0,0.9979119,0.9960608,0.7204181,1,0.3982432,0.5037745,0.8640864,0.001365481,1.155527E-05,1.037066E-06,
16,"Atlantic herring 0-1",0.9199864,0.07197912,0,0.4797626,0.4574381,0.4574381,0.4317544,0.4317544,0.4317545,0.4317545,0.7614651,0.3941672,0.4052676,0.3794875,0.3982432,1,0.9789448,0.4764695,0.006990034,0.0003131617,4.241681E-07,
17,"Atlantic herring 2+",0.9482362,0.04274889,0,0.5708736,0.5565323,0.5565323,0.4785688,0.4785688,0.4785689,0.4785689,0.7602522,0.4996441,0.5087417,0.46595,0.5037745,0.9789448,1,0.5550703,0.006310629,0.0002084051,5.331537E-07,
18,anchovies,0.6825199,0.04896814,0,0.9488313,0.9556546,0.9556546,0.722012,0.722012,0.7220119,0.7220114,0.02079348,0.8490266,0.8649049,0.9096078,0.8640864,0.4764695,0.5550703,1,0.002399936,8.848461E-05,9.118877E-07,
19,benthos,0.005401336,0.0002057297,0,0.002532336,0.002073813,0.002073813,0.001537224,0.001537223,0.001537225,0.001537225,0.006461822,0.001374827,0.001352825,0.002340525,0.001365481,0.006990034,0.006310629,0.002399936,1,0.09888324,0.1319859,
20,zooplankton,0.0001354413,1.21709E-07,0,2.329101E-05,1.5585E-05,1.5585E-05,2.092259E-05,2.092257E-05,2.092262E-05,2.092262E-05,0.0002095507,1.084085E-05,1.077555E-05,1.464922E-05,1.155527E-05,0.0003131617,0.0002084051,8.848461E-05,0.09888324,1,0.9993404,
21,phytoplankton,5.971118E-07,9.731558E-08,0,8.986155E-07,9.818389E-07,9.818389E-07,7.601755E-07,7.601755E-07,7.601753E-07,7.601755E-07,0,1.039266E-06,1.041772E-06,7.796254E-07,1.037066E-06,4.241681E-07,5.331537E-07,9.118877E-07,0.1319859,0.9993404,1,
