EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:32:50 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

year,fleet,group,value
1985,1,1,1.689002E-06
1985,3,11,0.005140344
1986,1,1,1.903809E-06
1986,3,11,0.003322692
1987,1,1,2.146945E-06
1987,3,11,0.003433563
1988,1,1,2.468595E-06
1988,3,11,0.004114817
1989,1,1,2.846972E-06
1989,3,11,0.005336685
1990,1,1,3.326179E-06
1990,3,11,0.0165803
1991,1,1,4.051039E-06
1991,3,11,0.01380878
1992,1,1,5.107649E-06
1992,3,11,0.01800463
1993,1,1,6.425336E-06
1993,3,11,0.02219586
1994,1,1,8.06447E-06
1994,3,11,0.02081799
1995,1,1,9.840532E-06
1995,3,11,0.02360438
1996,1,1,1.144702E-05
1996,3,11,0.02776953
1997,1,1,1.229459E-05
1997,3,11,0.01912407
1998,1,1,1.256458E-05
1998,3,11,0.02230073
1999,1,1,1.251022E-05
1999,3,11,0.01761805
2000,1,1,1.17565E-05
2000,3,11,0.0124253
2001,1,1,1.125481E-05
2001,3,11,0.00683988
2002,1,1,1.134079E-05
2002,3,11,0.00647481
2003,1,1,1.080556E-05
2003,3,11,0.003167794
2004,1,1,1.015282E-05
2004,3,11,0.003786227
2005,1,1,1.001016E-05
2005,3,11,0.003794447
2006,1,1,9.889479E-06
2006,3,11,0.00479249
2007,1,1,9.286585E-06
2007,3,11,0.005999276
2008,1,1,8.089016E-06
2008,3,11,0.006028149
2009,1,1,7.049099E-06
2009,3,11,0.005607588
2010,1,1,6.706878E-06
2010,3,11,0.005587719
2011,1,1,6.164495E-06
2011,3,11,0.009768385
2012,1,1,5.742521E-06
2012,3,11,0.01088653
2013,1,1,5.603937E-06
2013,3,11,0.00740887
2014,1,1,5.658547E-06
2014,3,11,0.01079114
2015,1,1,6.342385E-06
2015,3,11,0.008729636
2016,1,1,7.159648E-06
2016,3,11,0.01219146
2017,1,1,7.470894E-06
2017,3,11,0.0110972
