EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27,0.01102427,0.04062493,0.02571133,0.3203124,2.076716,0.2751891,0.001510681,0.1017991,0.001250109,0.01252648,0.01177189,0.2149169,0.2840828,14.52627,13.53339,8.597103,12.97254
28,0.01117093,0.04089452,0.02618062,0.3197632,2.077999,0.2754622,0.001385061,0.09891339,0.001251423,0.01257481,0.01153047,0.219847,0.2847064,14.52464,13.53279,8.59726,12.9725
29,0.01132487,0.04116219,0.02665107,0.3191492,2.079342,0.2757423,0.001283331,0.09622978,0.001253274,0.0126208,0.01131554,0.2247473,0.2853598,14.52297,13.53227,8.597416,12.97249
30,0.01148631,0.04142882,0.02712284,0.3184911,2.080638,0.2760293,0.00120235,0.09373418,0.00125564,0.01266498,0.01113675,0.2295986,0.2860336,14.52125,13.53181,8.597569,12.9725
31,0.01165546,0.04169521,0.02759603,0.317686,2.081926,0.2763234,0.001139911,0.09141272,0.00125853,0.01270779,0.01100506,0.2343822,0.2867195,14.51949,13.5314,8.597719,12.97252
32,0.01183253,0.0419619,0.02807063,0.3167457,2.083147,0.2766246,0.001094429,0.08925183,0.001261969,0.0127495,0.01093205,0.2390807,0.2874105,14.5177,13.53103,8.597864,12.97255
33,0.01201777,0.04222935,0.0285466,0.3156848,2.084258,0.2769328,0.001064631,0.08723862,0.001265984,0.01279031,0.01092936,0.2436777,0.2881004,14.51587,13.5307,8.598005,12.97258
34,0.0122115,0.04249796,0.02902385,0.3145221,2.085235,0.2772481,0.001049504,0.08536077,0.00127061,0.01283034,0.0110081,0.2481584,0.2887843,14.51402,13.53039,8.598144,12.97261
35,0.01241408,0.042768,0.02950227,0.3132812,2.086067,0.2775707,0.001048071,0.08360661,0.00127588,0.01286966,0.01117846,0.2525094,0.2894588,14.51213,13.53012,8.598278,12.97265
36,0.01262591,0.04303972,0.02998175,0.3119901,2.086756,0.2779006,0.001059259,0.08196522,0.001281833,0.0129083,0.01144932,0.2567187,0.2901216,14.51021,13.52985,8.59841,12.97269
37,0.01284411,0.04342926,0.03019437,0.311077,2.079056,0.2781814,0.001248248,0.08065835,0.001286317,0.01265692,0.01213609,0.2599483,0.2907721,14.50826,13.52959,8.598539,12.97268
38,0.01306848,0.04381341,0.03040376,0.3105392,2.071737,0.2784699,0.001452452,0.07946751,0.001290029,0.01244102,0.01285934,0.263229,0.2913449,14.50626,13.52936,8.598692,12.97267
39,0.01329905,0.04419357,0.03061156,0.3103496,2.064781,0.2787665,0.001668324,0.07838966,0.00129302,0.01225497,0.01361621,0.2665876,0.2918346,14.50421,13.52912,8.598856,12.97269
40,0.01353572,0.04457102,0.03081831,0.3104787,2.058179,0.2790716,0.001891408,0.077423,0.001295189,0.01209406,0.01439877,0.2700531,0.2922367,14.5021,13.52886,8.599028,12.97272
41,0.01377825,0.04494693,0.03102456,0.3108768,2.05195,0.2793853,0.002115994,0.07656654,0.001296322,0.01195436,0.01519408,0.2736556,0.2925478,14.49994,13.52857,8.599205,12.97276
42,0.01402626,0.04532231,0.03123083,0.3114515,2.046157,0.2797081,0.002334734,0.07582041,0.001296118,0.01183258,0.01598459,0.2774252,0.2927664,14.49771,13.52824,8.599387,12.97281
43,0.0142792,0.04569805,0.03143762,0.3121681,2.040804,0.2800401,0.002538828,0.07518559,0.001294221,0.01172598,0.01674859,0.2813914,0.2928931,14.49541,13.52787,8.599575,12.97286
44,0.0145364,0.04607494,0.03164542,0.3129931,2.035901,0.2803817,0.002717956,0.07466406,0.001290253,0.01163225,0.01746096,0.2855827,0.2929304,14.49305,13.52747,8.599767,12.97292
45,0.01479712,0.04645373,0.03185472,0.3138959,2.03146,0.2807329,0.002860005,0.07425917,0.001283833,0.0115495,0.01809398,0.2900261,0.2928823,14.49063,13.52702,8.599963,12.97299
46,0.01506049,0.04683509,0.032066,0.3148494,2.027491,0.281094,0.002951728,0.07397494,0.001274602,0.01147618,0.01861821,0.2947471,0.2927537,14.48815,13.52654,8.600163,12.97305
47,0.0153256,0.04721969,0.03227979,0.3158295,2.024005,0.2814647,0.002978884,0.0738159,0.001262236,0.01141102,0.01900339,0.2997691,0.2925501,14.48561,13.52603,8.600367,12.97312
48,0.01559152,0.04760813,0.03249659,0.3168143,2.021013,0.2818451,0.002926014,0.07378729,0.001246452,0.01135303,0.01921927,0.3051135,0.292277,14.48302,13.52549,8.600572,12.97318
49,0.01585073,0.04807227,0.03307423,0.3180545,2.031799,0.2821352,0.002828916,0.07604713,0.001233984,0.01141691,0.01947631,0.311694,0.2919409,14.48038,13.52493,8.600778,12.97333
