EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1998,1.294703,0.6137102,0.3465985,1.890079,1.460423,0.3792653,2.233768,0.8665988,1.800767,1.378729,1.515058,0.996423,2.344183,2.462039,45.93704,186.2901,0
1999,1.302489,0.6239734,0.4004189,1.906294,1.382925,0.3622939,2.376001,0.7697968,1.727899,1.474653,1.512503,1.0197,2.314627,2.460334,45.92909,186.3031,0
2000,1.309704,0.6464671,0.3608,1.914765,1.392761,0.343301,2.324087,0.8282613,1.606335,1.554333,1.507937,0.9950645,2.293565,2.457933,45.92144,186.3184,0
2001,1.303882,0.6424167,0.3750385,1.918764,1.444999,0.3234783,2.552898,0.8902716,1.522282,1.386996,1.495183,1.049785,2.26938,2.455785,45.91096,186.3298,0
2002,1.302635,0.6275164,0.3593644,1.934606,1.411974,0.3219042,2.378826,0.744333,1.515731,1.461719,1.518755,1.026929,2.250754,2.45432,45.90452,186.3431,0
2003,1.306497,0.6381335,0.3798803,1.961542,1.419772,0.3110659,2.432482,0.7936698,1.49816,1.327043,1.474447,1.064503,2.239991,2.452524,45.89667,186.3563,0
2004,1.303703,0.6503653,0.3653922,1.964774,1.445089,0.3130074,2.580742,0.8267294,1.536732,1.199743,1.468656,1.07228,2.2238,2.45102,45.88487,186.3709,0
2005,1.302064,0.6461863,0.381582,1.954352,1.458928,0.3130343,2.621598,0.7874759,1.60056,1.245067,1.440853,1.066227,2.207446,2.44968,45.87524,186.383,0
2006,1.301903,0.6552917,0.4008462,1.949528,1.419795,0.316119,2.641443,0.8077559,1.61905,1.306396,1.563841,1.094892,2.187219,2.447621,45.86768,186.396,0
2007,1.300283,0.6626384,0.4269457,1.949102,1.415245,0.3198871,2.597441,0.8333688,1.595607,1.362678,1.410763,1.086179,2.1649,2.44521,45.86172,186.4127,0
2008,1.296105,0.6576328,0.4269058,1.937235,1.410335,0.3200909,2.60359,0.8259594,1.561209,1.24902,1.416024,1.055952,2.152446,2.443681,45.85826,186.424,0
2009,1.290458,0.6723204,0.4675818,1.922784,1.40228,0.3189676,2.610734,0.8068769,1.570695,1.257304,1.367895,1.175708,2.139763,2.441563,45.85237,186.4349,0
2010,1.282674,0.656769,0.3968878,1.912547,1.413338,0.3190006,2.767947,0.8612545,1.5734,1.136643,1.358997,0.9334199,2.135301,2.440739,45.85459,186.4429,0
2011,1.271301,0.6788992,0.4040105,1.905974,1.3776,0.3320566,2.793392,0.8058794,1.613722,1.104228,1.371464,0.9601253,2.142128,2.440846,45.86067,186.4392,0
2012,1.260777,0.6561552,0.3897605,1.904569,1.384219,0.3359389,2.890814,0.7684307,1.659418,1.1856,1.360579,0.9721041,2.148847,2.441398,45.86483,186.4371,0
2013,1.260426,0.6607818,0.4287216,1.896556,1.378178,0.3250821,2.810676,0.7256264,1.66322,1.172367,1.442773,0.9474983,2.158487,2.44236,45.86782,186.4337,0
2014,1.263443,0.659951,0.4349548,1.892837,1.386267,0.3360122,2.880561,0.6933812,1.677285,1.127093,1.397089,0.9423804,2.168253,2.44316,45.87203,186.4291,0
2015,1.269743,0.6653582,0.4490797,1.891098,1.390285,0.3294857,2.643307,0.7734565,1.707863,1.154349,1.375678,0.9310412,2.181134,2.443871,45.87747,186.4224,0
2016,1.266391,0.6746264,0.5275006,1.885046,1.356874,0.3408299,2.943635,0.6929668,1.715966,1.132981,1.410219,0.9532818,2.183707,2.44435,45.88246,186.4169,0
2017,1.266001,0.6726562,0.4590555,1.875043,1.347863,0.3374877,2.985304,0.900537,1.718116,1.143457,1.427734,0.9727259,2.177882,2.44401,45.88552,186.4156,0
