EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1997,1.321126E-05,0.006693632,0.0169406,0.0008575563,0.3253296,0.0191227,0.0008314588,0.04908738,3.226065E-05,0.001554254,0.0008958749,0.1736187,0,0,0,0,0
1998,1.391418E-05,0.007015337,0.03065257,0.001099463,0.33646,0.02229857,0.0004664748,0.04045003,1.41936E-05,0.00172903,2.526211E-05,0.1622114,0,0,0,0,0
1999,1.392024E-05,0.008362616,0.03905486,0.000704912,0.1710511,0.01761641,0.0006977108,0.03189893,1.497449E-05,0.001989989,5.606632E-05,0.1648766,0,0,0,0,0
2000,1.317376E-05,0.01098054,0.03350475,0.0003817383,0.1687399,0.01242425,0.000401524,0.03995458,1.750465E-06,0.002106871,0.0001386189,0.1375901,0,0,0,0,0
2001,1.239307E-05,0.009884331,0.03727657,0.0006013569,0.255075,0.006839375,0.0006341565,0.04601784,2.476831E-06,0.001402286,0.0001018341,0.1578407,0,0,0,0,0
2002,1.216153E-05,0.007716451,0.0357997,0.0005355179,0.1787356,0.006474411,0.0003302253,0.02990947,9.088403E-07,0.001678798,0.001161732,0.1342043,0,0,0,0,0
2003,1.182075E-05,0.008597041,0.04062743,0.0005914923,0.1787783,0.003167676,0.0002490505,0.0367879,5.458141E-07,0.001175362,0.0003031166,0.1448286,0,0,0,0,0
2004,1.159841E-05,0.009517375,0.03844586,0.0005746581,0.2156447,0.003786179,0.0004576146,0.04010348,2.396736E-06,0.0006689124,0.0004167847,0.1409429,0,0,0,0,0
2005,1.140509E-05,0.008835307,0.04084206,0.0001577661,0.2374988,0.00379439,0.0005486159,0.03471717,1.004879E-06,0.0008987179,8.844278E-05,0.1326885,0,0,0,0,0
2006,1.110743E-05,0.009489492,0.04244826,0.0001146568,0.1681236,0.00479236,0.0005566077,0.0361225,9.678649E-07,0.001199016,0.003523821,0.1402158,0,0,0,0,0
2007,1.059848E-05,0.009821758,0.04400614,0.0001126798,0.1669264,0.005999165,0.0004146673,0.03728683,1.168364E-06,0.001449441,0.0005263644,0.1324964,0,0,0,0,0
2008,9.968523E-06,0.008978727,0.04103141,7.995767E-05,0.1667229,0.006028129,0.0003283401,0.03493582,1.786561E-06,0.000940588,0.0006966632,0.121427,0,0,0,0,0
2009,9.296691E-06,0.009756831,0.04336501,0.0001172758,0.1603135,0.005607622,0.0002308318,0.03199122,4.13497E-07,0.001005213,6.476964E-05,0.1583686,0,0,0,0,0
2010,8.660398E-06,0.008060043,0.03183101,0.0001389612,0.1925297,0.005587636,0.0004366257,0.03553885,8.070782E-07,0.0004104115,0,0.08180974,0,0,0,0,0
2011,8.075337E-06,0.009536895,0.03280439,0.0001081206,0.1306836,0.009767951,0.0005252976,0.02921172,7.682315E-07,0.0002291558,0.0005097035,0.09351351,0,0,0,0,0
2012,8.019243E-06,0.007517491,0.0312766,7.827637E-05,0.1479812,0.01088589,0.0007097292,0.02572448,1.810989E-06,0.0007307113,0.0001158247,0.101243,0,0,0,0,0
2013,8.279295E-06,0.007902848,0.03619084,6.417873E-05,0.1406995,0.007408341,0.0006836963,0.02216834,4.674279E-07,0.0006654482,0.001744248,0.09627378,0,0,0,0,0
2014,8.566761E-06,0.00802908,0.03592082,8.834198E-05,0.1650601,0.01079005,0.0007887753,0.01985305,5.063108E-07,0.0003861242,0.0008629251,0.09845313,0,0,0,0,0
2015,8.644525E-06,0.008683046,0.0361942,0.0001085803,0.1838571,0.008728434,0.0004456812,0.02800471,2.255093E-06,0.0005607526,8.347016E-05,0.09917649,0,0,0,0,0
2016,8.600401E-06,0.009599051,0.04221852,7.714067E-05,0.1249524,0.01218909,0.0008140553,0.02064261,7.787537E-07,0.0004212437,0.0006396637,0.1147944,0,0,0,0,0
2017,8.415708E-06,0.009529884,0.03250381,4.742519E-05,0.1145233,0.01109482,0.0009391872,0.03995575,9.0001E-07,0.0004971089,0.001035964,0.1284278,0,0,0,0,0
