EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1985,7.083889,2.977603,1.851296,9.299958,3.719728,1.814686,13.25657,3.262558,9.96828,3.786807,10.88276,3.648698,7.330894,12.47008,154.6215,0,0
1986,7.092787,2.954386,1.945298,9.319201,3.63117,1.82687,12.98329,3.68752,9.953965,3.882089,10.50497,3.603483,7.32542,12.47286,154.6813,0,0
1987,7.123764,2.892257,1.971295,9.315169,3.632302,1.844371,13.59706,4.177147,9.917937,3.868893,10.93824,3.626178,7.320906,12.47975,154.7321,0,0
1988,7.13548,2.786244,1.987487,9.304068,3.662763,1.865156,11.83396,4.452811,9.951359,4.042575,10.4841,3.580149,7.318093,12.49023,154.7668,0,0
1989,7.090176,2.69815,2.042392,9.302484,3.620424,1.895622,12.12997,4.299465,9.934477,4.034897,10.62344,3.638484,7.314155,12.5043,154.8233,0,0
1990,7.142734,2.653096,2.124161,9.324512,3.615582,1.953706,12.00547,4.147686,10.02128,3.813177,10.65677,3.64633,7.310141,12.52049,154.8891,0,0
1991,7.182851,2.63689,2.181469,9.338326,3.6016,2.019984,12.54547,4.104122,10.11601,3.764988,10.69446,3.619071,7.309098,12.53834,154.9223,0,0
1992,7.201966,2.591359,2.221506,9.331923,3.554154,2.07428,12.49389,4.070518,10.14206,3.756255,10.74026,3.617363,7.30847,12.55718,154.947,0,0
1993,7.214195,2.529829,2.243965,9.3416,3.544118,2.126529,12.51589,4.038055,10.17181,3.629705,10.78272,3.620707,7.306961,12.57582,154.9805,0,0
1994,7.229078,2.449407,2.260387,9.367041,3.535099,2.166572,12.71661,4.028898,10.2449,3.552634,10.80949,3.620746,7.305277,12.5945,155.0115,0,0
1995,7.228718,2.293153,2.185786,9.389496,3.547681,2.169923,12.66422,3.913764,10.28612,3.523822,10.84104,3.655182,7.305354,12.61026,155.0096,0,0
1996,7.220911,2.14813,2.116874,9.395726,3.563287,2.168649,12.87568,3.826339,10.30796,3.565015,10.84817,3.671274,7.308058,12.61913,154.9669,0,0
1997,7.221746,2.038925,2.09111,9.396387,3.586013,2.154462,12.77847,3.841145,10.28095,3.657252,10.85643,3.686127,7.310464,12.6247,154.9325,0,0
1998,7.206856,1.957198,2.115755,9.408963,3.607811,2.130631,12.51822,3.839277,10.20371,3.766094,10.83463,3.691801,7.312681,12.62561,154.9019,0,0
1999,7.186482,1.899311,2.200124,9.420999,3.576321,2.103729,12.63954,3.782487,10.15911,3.905206,10.83685,3.708531,7.314737,12.62212,154.8732,0,0
2000,7.17223,1.887239,2.265453,9.42636,3.563978,2.067735,12.59853,3.758476,10.07499,4.042527,10.83618,3.708902,7.316883,12.61356,154.8469,0,0
2001,7.206558,1.890063,2.252296,9.4283,3.591404,2.016285,12.83297,3.765559,10.02057,4.0165,10.82133,3.724656,7.319868,12.60336,154.8171,0,0
2002,7.198389,1.897164,2.252266,9.437018,3.588036,1.966018,12.66125,3.707815,10.01451,4.038638,10.85011,3.729581,7.322464,12.59391,154.7883,0,0
2003,7.201355,1.890295,2.2458,9.454522,3.590112,1.918356,12.7067,3.669922,10.00067,3.97794,10.80651,3.739444,7.324407,12.58517,154.7654,0,0
2004,7.20586,1.885499,2.201348,9.458346,3.608754,1.874914,12.84634,3.661343,10.0233,3.837075,10.81303,3.757076,7.327225,12.5765,154.7298,0,0
