EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,1.599082E-06,0.003242621,0.00324173,0.001018538,0.3321765,0.005140008,0.004282593,0.06107328,1.329249E-05,0.002820004,0.003737559,0.05980214,0,0,0,0,0
2,1.614056E-06,0.003254669,0.00327186,0.001029163,0.335151,0.005140077,0.00391372,0.06002569,1.330559E-05,0.00282064,0.003716665,0.06045819,0,0,0,0,0
3,1.629143E-06,0.003266918,0.003302811,0.001039832,0.3379823,0.005140147,0.003593777,0.05901861,1.331959E-05,0.002821788,0.003696769,0.0611026,0,0,0,0,0
4,1.644408E-06,0.003279387,0.003334557,0.001050654,0.3407021,0.005140216,0.003317099,0.05805143,1.333475E-05,0.002823449,0.003678677,0.06173373,0,0,0,0,0
5,1.659874E-06,0.003292095,0.00336708,0.001061644,0.3433364,0.005140282,0.003079595,0.05712333,1.335101E-05,0.002825619,0.003663596,0.06235003,0,0,0,0,0
6,1.675542E-06,0.003305056,0.00340036,0.001072743,0.3459062,0.005140347,0.002878458,0.05623324,1.336815E-05,0.002828284,0.003653038,0.06295006,0,0,0,0,0
7,1.691398E-06,0.003318274,0.003434376,0.001083834,0.3484285,0.005140412,0.002711802,0.05537993,1.338577E-05,0.002831424,0.00364869,0.06353246,0,0,0,0,0
8,1.707423E-06,0.003331749,0.003469105,0.001094742,0.3509165,0.005140475,0.002578299,0.05456202,1.340345E-05,0.002835009,0.003652302,0.06409604,0,0,0,0,0
9,1.723595E-06,0.003345472,0.003504515,0.00110525,0.3533811,0.005140537,0.002476865,0.05377805,1.342075E-05,0.002839001,0.003665594,0.06463969,0,0,0,0,0
10,1.739896E-06,0.003359426,0.003540569,0.001115101,0.3558306,0.005140598,0.002406407,0.05302644,1.343726E-05,0.002843354,0.003690176,0.06516244,0,0,0,0,0
11,1.756311E-06,0.003373585,0.003577219,0.001124017,0.3582719,0.005140659,0.002365655,0.05230553,1.345268E-05,0.002848013,0.003727497,0.06566345,0,0,0,0,0
12,1.772836E-06,0.003387917,0.003614408,0.001131702,0.3607103,0.005140719,0.00235306,0.05161361,1.346679E-05,0.002852921,0.003778792,0.06614198,0,0,0,0,0
13,1.789542E-06,0.003758892,0.003039443,0.0007668638,0.2575165,0.003322365,0.002334969,0.1244423,2.113806E-05,0.004180068,0.00043464,0.05697632,0,0,0,0,0
14,1.806443E-06,0.003772695,0.003079346,0.0007691155,0.2603675,0.003322422,0.002332001,0.1184593,2.116172E-05,0.004154879,0.0004543242,0.0577018,0,0,0,0,0
15,1.823573E-06,0.003786968,0.003119929,0.0007708446,0.2631003,0.00332248,0.002332374,0.1129858,2.119278E-05,0.004133386,0.0004746114,0.05845394,0,0,0,0,0
16,1.840981E-06,0.003801659,0.003161126,0.0007720886,0.2657206,0.003322541,0.00233488,0.1079747,2.122841E-05,0.004115104,0.0004953361,0.0592378,0,0,0,0,0
17,1.858729E-06,0.003816726,0.003202877,0.0007729499,0.26823,0.003322603,0.002338106,0.1033839,2.126585E-05,0.004099629,0.0005162231,0.06005858,0,0,0,0,0
18,1.876892E-06,0.003832137,0.003245128,0.0007735314,0.270629,0.003322667,0.002340535,0.09917561,2.130224E-05,0.004086634,0.000536892,0.06092145,0,0,0,0,0
19,1.895555E-06,0.003847868,0.00328783,0.0007739268,0.2729178,0.003322734,0.002340651,0.09531576,2.133458E-05,0.004075853,0.0005568681,0.0618316,0,0,0,0,0
20,1.914812E-06,0.003863904,0.003330941,0.0007742159,0.2750966,0.003322802,0.002337001,0.09177385,2.135969E-05,0.004067076,0.0005755976,0.06279412,0,0,0,0,0
21,1.934759E-06,0.003880238,0.003374423,0.0007744657,0.2771653,0.003322872,0.002328159,0.08852252,2.137438E-05,0.004060136,0.000592468,0.06381397,0,0,0,0,0
22,1.955499E-06,0.003896866,0.003418241,0.0007747321,0.2791238,0.003322943,0.00231284,0.08553714,2.137546E-05,0.004054902,0.0006068262,0.06489601,0,0,0,0,0
23,1.977132E-06,0.003913789,0.003462365,0.0007750606,0.2809721,0.003323016,0.002289832,0.08279559,2.135995E-05,0.004051272,0.0006179987,0.06604492,0,0,0,0,0
24,1.99976E-06,0.003931012,0.003506767,0.0007754886,0.2827105,0.003323088,0.002257953,0.08027802,2.132509E-05,0.004049168,0.0006253077,0.06726522,0,0,0,0,0
25,2.023757E-06,0.002667178,0.001632642,0.0009836659,0.4336393,0.003433155,0.004038217,0.08099987,2.68691E-05,0.003278386,0.005686975,0.05372449,0,0,0,0,0
26,2.048804E-06,0.002685592,0.001663465,0.0009827111,0.4337856,0.003433238,0.003627601,0.07850631,2.686736E-05,0.003292991,0.00556071,0.05501601,0,0,0,0,0
27,2.075092E-06,0.002703731,0.001694328,0.0009813261,0.4340116,0.003433321,0.003291989,0.07618488,2.688243E-05,0.003306553,0.005440531,0.05631026,0,0,0,0,0
28,2.102699E-06,0.002721673,0.001725254,0.0009796435,0.4342798,0.003433404,0.003018244,0.07402524,2.691069E-05,0.003319311,0.00532896,0.05760197,0,0,0,0,0
29,2.131675E-06,0.002739488,0.001756255,0.0009777624,0.4345604,0.003433488,0.00279656,0.07201687,2.695049E-05,0.003331449,0.005229624,0.05888592,0,0,0,0,0
30,2.162063E-06,0.002757233,0.001787344,0.0009757461,0.4348312,0.003433571,0.002620092,0.0701492,2.700136E-05,0.003343113,0.005146995,0.06015699,0,0,0,0,0
31,2.193902E-06,0.002774962,0.001818526,0.0009732795,0.4351005,0.003433655,0.002484028,0.06841185,2.706353E-05,0.003354412,0.005086131,0.06141034,0,0,0,0,0
32,2.227231E-06,0.002792711,0.001849802,0.0009703989,0.4353555,0.003433738,0.002384915,0.06679468,2.713746E-05,0.003365422,0.005052391,0.06264138,0,0,0,0,0
33,2.2621E-06,0.002810512,0.001881167,0.0009671487,0.4355877,0.003433822,0.002319982,0.06528803,2.722381E-05,0.003376193,0.005051145,0.06384584,0,0,0,0,0
34,2.298566E-06,0.002828388,0.001912617,0.0009635864,0.4357919,0.003433906,0.002287019,0.06388267,2.732329E-05,0.00338676,0.005087537,0.06501983,0,0,0,0,0
35,2.336697E-06,0.00284636,0.001944144,0.000959785,0.4359659,0.003433991,0.002283896,0.06256988,2.743661E-05,0.003397141,0.005166274,0.06615983,0,0,0,0,0
36,2.37657E-06,0.002864444,0.001975741,0.0009558293,0.4361099,0.003434077,0.002308276,0.06134149,2.756462E-05,0.003407339,0.005291454,0.06726271,0,0,0,0,0
37,2.417641E-06,0.001495216,0.005168048,0.001229047,0.5315481,0.004114152,0.0007314508,0.05814586,3.237668E-05,0.00679173,0.000651847,0.0803759,0,0,0,0,0
38,2.459874E-06,0.001508442,0.005203887,0.001226922,0.5296769,0.004114263,0.0008511111,0.05728738,3.247012E-05,0.006675878,0.0006906937,0.08139028,0,0,0,0,0
39,2.503273E-06,0.00152153,0.005239453,0.001226173,0.5278984,0.004114378,0.0009776081,0.05651038,3.254539E-05,0.006576041,0.0007313461,0.08242874,0,0,0,0,0
40,2.547822E-06,0.001534525,0.00527484,0.001226683,0.5262105,0.004114497,0.001108331,0.05581352,3.259999E-05,0.006489695,0.0007733787,0.08350027,0,0,0,0,0
41,2.593473E-06,0.001547468,0.005310141,0.001228256,0.524618,0.00411462,0.001239935,0.05519611,3.262849E-05,0.006414731,0.000816096,0.08461417,0,0,0,0,0
42,2.640155E-06,0.001560391,0.005345447,0.001230527,0.5231368,0.004114748,0.001368112,0.05465823,3.262336E-05,0.006349387,0.0008585551,0.08577973,0,0,0,0,0
43,2.687766E-06,0.001573328,0.005380841,0.001233358,0.5217683,0.004114879,0.001487708,0.05420059,3.257563E-05,0.006292182,0.0008995906,0.08700608,0,0,0,0,0
44,2.73618E-06,0.001586304,0.005416407,0.001236617,0.5205148,0.004115013,0.001592673,0.05382463,3.247575E-05,0.006241888,0.0009378532,0.08830202,0,0,0,0,0
45,2.785254E-06,0.001599345,0.005452231,0.001240185,0.5193793,0.004115149,0.001675911,0.05353275,3.231415E-05,0.006197485,0.0009718536,0.08967594,0,0,0,0,0
46,2.834828E-06,0.001612475,0.005488394,0.001243952,0.5183645,0.004115285,0.00172966,0.05332784,3.20818E-05,0.00615814,0.001000011,0.09113567,0,0,0,0,0
47,2.884731E-06,0.001625716,0.005524986,0.001247824,0.5174735,0.004115421,0.001745572,0.0532132,3.177055E-05,0.006123177,0.001020699,0.09268847,0,0,0,0,0
48,2.934785E-06,0.001639089,0.005562094,0.001251715,0.5167084,0.004115555,0.001714592,0.05319257,3.137326E-05,0.006092057,0.001032294,0.09434095,0,0,0,0,0
49,2.983574E-06,0.0009024637,0.001446565,0.001197284,0.3506136,0.005335485,0.002135061,0.02854343,3.647174E-05,0.004640127,0.0004009418,0.08337399,0,0,0,0,0
50,3.030858E-06,0.0009113487,0.001472679,0.001202627,0.3522896,0.005335733,0.002065511,0.02936386,3.61592E-05,0.004660129,0.0004059196,0.08517287,0,0,0,0,0
51,3.07631E-06,0.0009204043,0.001499495,0.00120845,0.3538227,0.005335982,0.001999381,0.0301535,3.58818E-05,0.004674993,0.0004106262,0.08700667,0,0,0,0,0
52,3.119717E-06,0.0009296294,0.001527013,0.001214605,0.355247,0.005336231,0.001936516,0.03091332,3.56291E-05,0.004685386,0.0004151289,0.08887087,0,0,0,0,0
53,3.160964E-06,0.0009390227,0.001555231,0.001220998,0.3565888,0.005336481,0.001877209,0.03164394,3.539697E-05,0.004691856,0.0004195043,0.09076051,0,0,0,0,0
54,3.20002E-06,0.0009485832,0.00158415,0.001227575,0.3578682,0.00533673,0.001822141,0.03234576,3.518492E-05,0.004694866,0.0004238301,0.09267047,0,0,0,0,0
55,3.236929E-06,0.0009583091,0.001613774,0.001234306,0.3590997,0.005336978,0.001772409,0.03301898,3.499442E-05,0.004694804,0.0004281837,0.09459554,0,0,0,0,0
56,3.271799E-06,0.0009681986,0.001644103,0.001241182,0.3602927,0.005337226,0.001729215,0.03366379,3.482774E-05,0.004691993,0.0004326415,0.09653056,0,0,0,0,0
57,3.304788E-06,0.0009782497,0.001675143,0.001248203,0.3614531,0.005337472,0.001694067,0.03428026,3.468739E-05,0.004686698,0.0004372771,0.09847048,0,0,0,0,0
