EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
11,0.005140659,,0.003373585,,0.003577219,,0.3582719,,0.05230553,,1.345268E-05,,0.002848013,,0.06566345,,0.001124017,,0.002365655,,0.003727497,,
12,0.005140719,,0.003387917,,0.003614408,,0.3607103,,0.05161361,,1.346679E-05,,0.002852921,,0.06614198,,0.001131702,,0.00235306,,0.003778792,,
13,0.003322365,,0.003758892,,0.003039443,,0.2575165,,0.1244423,,2.113806E-05,,0.004180068,,0.05697632,,0.0007668638,,0.002334969,,0.00043464,,
14,0.003322422,,0.003772695,,0.003079346,,0.2603675,,0.1184593,,2.116172E-05,,0.004154879,,0.0577018,,0.0007691155,,0.002332001,,0.0004543242,,
15,0.00332248,,0.003786968,,0.003119929,,0.2631003,,0.1129858,,2.119278E-05,,0.004133386,,0.05845394,,0.0007708446,,0.002332374,,0.0004746114,,
16,0.003322541,,0.003801659,,0.003161126,,0.2657206,,0.1079747,,2.122841E-05,,0.004115104,,0.0592378,,0.0007720886,,0.00233488,,0.0004953361,,
17,0.003322603,,0.003816726,,0.003202877,,0.26823,,0.1033839,,2.126585E-05,,0.004099629,,0.06005858,,0.0007729499,,0.002338106,,0.0005162231,,
18,0.003322667,0.00332,0.003832137,0.000477,0.003245128,0.000763,0.270629,0.259,0.09917561,0.13,2.130224E-05,3.29E-05,0.004086634,0.0058,0.06092145,0.0657,0.0007735314,0.0004453089,0.002340535,0.001915819,0.000536892,0.001792683,
19,0.003322734,,0.003847868,,0.00328783,,0.2729178,,0.09531576,,2.133458E-05,,0.004075853,,0.0618316,,0.0007739268,,0.002340651,,0.0005568681,,
20,0.003322802,,0.003863904,,0.003330941,,0.2750966,,0.09177385,,2.135969E-05,,0.004067076,,0.06279412,,0.0007742159,,0.002337001,,0.0005755976,,
21,0.003322872,,0.003880238,,0.003374423,,0.2771653,,0.08852252,,2.137438E-05,,0.004060136,,0.06381397,,0.0007744657,,0.002328159,,0.000592468,,
22,0.003322943,,0.003896866,,0.003418241,,0.2791238,,0.08553714,,2.137546E-05,,0.004054902,,0.06489601,,0.0007747321,,0.00231284,,0.0006068262,,
23,0.003323016,,0.003913789,,0.003462365,,0.2809721,,0.08279559,,2.135995E-05,,0.004051272,,0.06604492,,0.0007750606,,0.002289832,,0.0006179987,,
24,0.003323088,,0.003931012,,0.003506767,,0.2827105,,0.08027802,,2.132509E-05,,0.004049168,,0.06726522,,0.0007754886,,0.002257953,,0.0006253077,,
25,0.003433155,,0.002667178,,0.001632642,,0.4336393,,0.08099987,,2.68691E-05,,0.003278386,,0.05372449,,0.0009836659,,0.004038217,,0.005686975,,
26,0.003433238,,0.002685592,,0.001663465,,0.4337856,,0.07850631,,2.686736E-05,,0.003292991,,0.05501601,,0.0009827111,,0.003627601,,0.00556071,,
27,0.003433321,,0.002703731,,0.001694328,,0.4340116,,0.07618488,,2.688243E-05,,0.003306553,,0.05631026,,0.0009813261,,0.003291989,,0.005440531,,
28,0.003433404,,0.002721673,,0.001725254,,0.4342798,,0.07402524,,2.691069E-05,,0.003319311,,0.05760197,,0.0009796435,,0.003018244,,0.00532896,,
29,0.003433488,,0.002739488,,0.001756255,,0.4345604,,0.07201687,,2.695049E-05,,0.003331449,,0.05888592,,0.0009777624,,0.00279656,,0.005229624,,
30,0.003433571,0.00343,0.002757233,0.000327,0.001787344,0.000538,0.4348312,0.351,0.0701492,0.115,2.700136E-05,1.93E-05,0.003343113,0.00339,0.06015699,0.0717,0.0009757461,0.0005135555,0.002620092,0.001894172,0.005146995,0.004096504,
31,0.003433655,,0.002774962,,0.001818526,,0.4351005,,0.06841185,,2.706353E-05,,0.003354412,,0.06141034,,0.0009732795,,0.002484028,,0.005086131,,
32,0.003433738,,0.002792711,,0.001849802,,0.4353555,,0.06679468,,2.713746E-05,,0.003365422,,0.06264138,,0.0009703989,,0.002384915,,0.005052391,,
33,0.003433822,,0.002810512,,0.001881167,,0.4355877,,0.06528803,,2.722381E-05,,0.003376193,,0.06384584,,0.0009671487,,0.002319982,,0.005051145,,
34,0.003433906,,0.002828388,,0.001912617,,0.4357919,,0.06388267,,2.732329E-05,,0.00338676,,0.06501983,,0.0009635864,,0.002287019,,0.005087537,,
35,0.003433991,,0.00284636,,0.001944144,,0.4359659,,0.06256988,,2.743661E-05,,0.003397141,,0.06615983,,0.000959785,,0.002283896,,0.005166274,,
36,0.003434077,,0.002864444,,0.001975741,,0.4361099,,0.06134149,,2.756462E-05,,0.003407339,,0.06726271,,0.0009558293,,0.002308276,,0.005291454,,
37,0.004114152,,0.001495216,,0.005168048,,0.5315481,,0.05814586,,3.237668E-05,,0.00679173,,0.0803759,,0.001229047,,0.0007314508,,0.000651847,,
38,0.004114263,,0.001508442,,0.005203887,,0.5296769,,0.05728738,,3.247012E-05,,0.006675878,,0.08139028,,0.001226922,,0.0008511111,,0.0006906937,,
