EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
135,0.02776754,,0.004565919,,0.01141628,,0.2929702,,0.04255877,,1.710985E-05,,0.001353882,,0.1735666,,0.0006309814,,0.0008371386,,0.0002592893,,
136,0.02776769,,0.004599161,,0.01152393,,0.2924609,,0.04257845,,1.696466E-05,,0.001338135,,0.173448,,0.0006286989,,0.0008290568,,0.0002586269,,
137,0.02776781,,0.004632236,,0.01163106,,0.2919209,,0.04259063,,1.68227E-05,,0.00132299,,0.1733086,,0.0006266462,,0.0008224975,,0.0002579637,,
138,0.0277679,0.0278,0.004665173,0.00597,0.0117377,0.0252,0.2913541,0.327,0.04259577,0.0276,1.668261E-05,2.1E-05,0.001308413,0.00211,0.1731474,0.133,0.0006248271,0.0001910904,0.0008174307,0.0006223707,0.000257311,0.0003074229,
139,0.02776797,,0.004697992,,0.01184389,,0.2907646,,0.04259432,,1.654322E-05,,0.001294374,,0.1729634,,0.0006232416,,0.0008138607,,0.0002566808,,
140,0.02776801,,0.004730708,,0.01194963,,0.2901565,,0.04258668,,1.640352E-05,,0.001280849,,0.1727557,,0.0006218877,,0.0008118062,,0.0002560847,,
141,0.02776804,,0.004763327,,0.01205495,,0.289534,,0.04257322,,1.626266E-05,,0.001267818,,0.1725238,,0.0006207616,,0.000811286,,0.0002555336,,
142,0.02776803,,0.004795845,,0.01215987,,0.2889015,,0.04255431,,1.611995E-05,,0.001255262,,0.1722672,,0.0006198585,,0.0008123094,,0.0002550376,,
143,0.027768,,0.004828256,,0.0122644,,0.288263,,0.04253027,,1.597488E-05,,0.001243167,,0.1719857,,0.0006191725,,0.0008148692,,0.0002546057,,
144,0.02776795,,0.004860545,,0.01236855,,0.2876225,,0.04250144,,1.582709E-05,,0.001231523,,0.1716791,,0.0006186969,,0.0008189395,,0.0002542449,,
145,0.01912628,,0.006522106,,0.01640279,,0.3309308,,0.05081062,,3.381477E-05,,0.001661101,,0.1764606,,0.0008542562,,0.0008120746,,0.0009083786,,
146,0.01912564,,0.006556514,,0.01650277,,0.329722,,0.05045772,,3.347011E-05,,0.001638173,,0.1760019,,0.0008542295,,0.0008161791,,0.0009060096,,
147,0.019125,,0.006590135,,0.01660176,,0.3285735,,0.05011751,,3.315668E-05,,0.001616457,,0.1755244,,0.0008545047,,0.0008202525,,0.0009036804,,
148,0.01912435,,0.006622864,,0.01669993,,0.3274833,,0.04978959,,3.286639E-05,,0.001595871,,0.1750287,,0.0008550335,,0.0008242615,,0.0009013804,,
149,0.0191237,,0.006654613,,0.01679742,,0.32645,,0.04947359,,3.259355E-05,,0.001576339,,0.1745154,,0.0008557648,,0.0008281458,,0.0008991016,,
150,0.01912305,0.0191,0.006685311,0.00871,0.0168944,0.0206,0.3254722,0.296,0.04916913,0.0337,3.233381E-05,2.46E-05,0.001557791,0.00357,0.173985,0.144,0.0008566447,0.0004282473,0.0008318252,0.0004513541,0.0008968412,0.0004015018,
151,0.01912239,,0.006714898,,0.01699097,,0.3245494,,0.04887592,,3.208363E-05,,0.001540167,,0.1734384,,0.0008576189,,0.0008352054,,0.0008946006,,
152,0.01912173,,0.006743329,,0.01708727,,0.3236807,,0.04859363,,3.183994E-05,,0.001523411,,0.1728762,,0.0008586354,,0.0008381895,,0.0008923843,,
153,0.01912107,,0.006770569,,0.01718339,,0.3228655,,0.04832199,,3.160011E-05,,0.001507471,,0.172299,,0.0008596461,,0.0008406821,,0.000890199,,
154,0.01912041,,0.006796627,,0.01727943,,0.322103,,0.04806073,,3.136189E-05,,0.001492301,,0.1717075,,0.000860608,,0.0008425898,,0.0008880531,,
155,0.01911974,,0.006821485,,0.01737548,,0.3213924,,0.04780963,,3.112344E-05,,0.00147786,,0.1711024,,0.0008614854,,0.0008438198,,0.0008859551,,
156,0.01911908,,0.006845132,,0.01747162,,0.3207325,,0.04756847,,3.088341E-05,,0.001464109,,0.1704844,,0.0008622485,,0.0008442806,,0.0008839142,,
157,0.02230105,,0.006902942,,0.0307269,,0.3401389,,0.04023682,,1.461958E-05,,0.001840443,,0.1650445,,0.001094317,,0.0004370121,,2.54607E-05,,
158,0.0223006,,0.006925514,,0.03069651,,0.3392822,,0.04027611,,1.454994E-05,,0.001815709,,0.1645272,,0.001095547,,0.0004448992,,2.543954E-05,,
159,0.02230015,,0.006947524,,0.03067085,,0.3384902,,0.04031423,,1.447963E-05,,0.001792584,,0.1640104,,0.001096836,,0.0004520719,,2.541487E-05,,
160,0.02229971,,0.006968928,,0.03065014,,0.3377593,,0.04035173,,1.440892E-05,,0.001770925,,0.1634944,,0.001098115,,0.00045854,,2.53864E-05,,
161,0.02229926,,0.006989683,,0.03063453,,0.3370861,,0.04038913,,1.433707E-05,,0.001750607,,0.1629791,,0.001099313,,0.0004642887,,2.53537E-05,,
162,0.02229881,0.0223,0.007009758,0.00792,0.03062416,0.0194,0.3364666,0.273,0.04042684,0.0309,1.426267E-05,1.15E-05,0.00173152,0.0035,0.1624647,0.129,0.001100359,0.001945027,0.0004692821,0.0003279623,2.531623E-05,1.851945E-05,
163,0.02229836,,0.007029125,,0.03061911,,0.3358972,,0.04046521,,1.418402E-05,,0.001713569,,0.161951,,0.001101193,,0.0004734712,,2.527342E-05,,
164,0.02229791,,0.007047768,,0.03061945,,0.3353739,,0.04050453,,1.409934E-05,,0.00169667,,0.1614379,,0.001101761,,0.000476798,,2.522468E-05,,
165,0.02229745,,0.007065677,,0.0306252,,0.3348923,,0.04054499,,1.400705E-05,,0.001680749,,0.1609254,,0.00110202,,0.0004792037,,2.516947E-05,,
166,0.02229699,,0.007082846,,0.03063636,,0.3344476,,0.04058672,,1.39059E-05,,0.001665742,,0.1604131,,0.001101937,,0.0004806361,,2.510734E-05,,
167,0.02229653,,0.007099281,,0.03065288,,0.3340352,,0.04062981,,1.379503E-05,,0.001651592,,0.1599008,,0.001101492,,0.0004810555,,2.503793E-05,,
168,0.02229607,,0.007114991,,0.03067472,,0.3336498,,0.04067423,,1.367406E-05,,0.001638247,,0.1593882,,0.00110067,,0.0004804386,,2.496103E-05,,
169,0.01762025,,0.008326974,,0.0394807,,0.1680854,,0.03055368,,1.550067E-05,,0.002127039,,0.1687707,,0.000709979,,0.0007308664,,5.711899E-05,,
170,0.01761952,,0.008336597,,0.03935981,,0.1688584,,0.03082642,,1.538868E-05,,0.002096056,,0.1680371,,0.0007092317,,0.0007225245,,5.693594E-05,,
171,0.01761879,,0.008345179,,0.03925385,,0.1695449,,0.03109053,,1.528785E-05,,0.002067304,,0.1673127,,0.0007083156,,0.0007146862,,5.675193E-05,,
172,0.01761808,,0.008352773,,0.03916181,,0.1701557,,0.03134612,,1.51953E-05,,0.002040546,,0.1665966,,0.0007072419,,0.0007073767,,5.656673E-05,,
173,0.01761738,,0.008359425,,0.0390828,,0.1706982,,0.03159327,,1.510821E-05,,0.002015584,,0.1658883,,0.0007060781,,0.0007006734,,5.637975E-05,,
174,0.0176167,0.0176,0.008365175,0.0059,0.03901604,0.0197,0.1711781,0.203,0.03183206,0.0245,1.502377E-05,1.53E-05,0.001992257,0.00425,0.1651871,0.129,0.0007049036,0.0006142192,0.0006946946,0.0009763102,5.619006E-05,9.556038E-05,
175,0.01761602,,0.00837006,,0.03896084,,0.1715999,,0.03206254,,1.493916E-05,,0.001970431,,0.1644924,,0.0007037991,,0.0006895854,,5.599653E-05,,
176,0.01761535,,0.008374114,,0.03891661,,0.1719669,,0.03228477,,1.485167E-05,,0.001949998,,0.1638036,,0.0007028392,,0.000685501,,5.579788E-05,,
177,0.01761468,,0.00837736,,0.0388828,,0.1722818,,0.0324988,,1.475889E-05,,0.001930868,,0.1631204,,0.000702087,,0.0006825934,,5.55928E-05,,
178,0.01761403,,0.008379817,,0.03885895,,0.1725469,,0.03270466,,1.465877E-05,,0.001912965,,0.1624421,,0.0007015915,,0.0006810008,,5.538002E-05,,
179,0.01761338,,0.008381501,,0.03884464,,0.1727637,,0.03290237,,1.454981E-05,,0.001896224,,0.1617685,,0.0007013862,,0.0006808378,,5.515838E-05,,
180,0.01761274,,0.008382421,,0.03883945,,0.1729338,,0.03309192,,1.443111E-05,,0.001880591,,0.1610991,,0.0007014907,,0.0006821905,,5.492691E-05,,
181,0.01242697,,0.01112692,,0.0327745,,0.1683077,,0.03972125,,1.789711E-06,,0.002239136,,0.1391405,,0.0003858843,,0.0003866816,,0.0001415934,,
182,0.01242648,,0.01110502,,0.03289054,,0.1684745,,0.03976013,,1.782056E-06,,0.002208746,,0.1389099,,0.0003853711,,0.0003916094,,0.0001409835,,
183,0.01242599,,0.01108157,,0.033013,,0.1686179,,0.03980131,,1.775126E-06,,0.002180652,,0.1386644,,0.0003846743,,0.0003959191,,0.0001403796,,
184,0.01242549,,0.01105662,,0.03314118,,0.1687353,,0.0398441,,1.768759E-06,,0.002154626,,0.1384035,,0.0003838549,,0.0003996176,,0.0001397856,,
185,0.01242499,,0.01103023,,0.03327443,,0.1688247,,0.03988788,,1.762716E-06,,0.002130481,,0.138127,,0.0003829656,,0.0004026868,,0.0001392075,,
186,0.01242449,0.0124,0.01100245,0.00639,0.03341214,0.0226,0.1688854,0.2,0.03993215,0.033,1.756693E-06,9.53E-07,0.002108063,0.00357,0.1378348,0.126,0.0003820531,0.0001651567,0.0004050873,0.0003387861,0.0001386532,7.48186E-05,
187,0.012424,,0.01097335,,0.03355376,,0.1689171,,0.03997649,,1.750338E-06,,0.002087245,,0.1375269,,0.0003811575,,0.0004067654,,0.000138132,,
188,0.0124235,,0.01094303,,0.0336988,,0.1689204,,0.04002057,,1.743282E-06,,0.002067922,,0.1372034,,0.0003803122,,0.0004076629,,0.0001376537,,
189,0.01242301,,0.01091155,,0.03384678,,0.1688964,,0.04006415,,1.735166E-06,,0.002050009,,0.1368643,,0.000379544,,0.0004077254,,0.0001372286,,
190,0.01242252,,0.01087902,,0.03399731,,0.1688468,,0.04010707,,1.725668E-06,,0.002033429,,0.1365099,,0.0003788722,,0.0004069049,,0.0001368664,,
191,0.01242203,,0.01084553,,0.03415,,0.1687736,,0.04014923,,1.714523E-06,,0.002018119,,0.1361404,,0.0003783093,,0.0004051619,,0.0001365763,,
192,0.01242155,,0.01081118,,0.03430452,,0.1686791,,0.04019062,,1.701544E-06,,0.00200402,,0.1357564,,0.0003778611,,0.0004024658,,0.0001363665,,
193,0.00684212,,0.01010867,,0.03677799,,0.2595062,,0.0471365,,2.51777E-06,,0.001378552,,0.1632181,,0.0006011223,,0.0006743626,,0.0001030007,,
194,0.006841576,,0.01007405,,0.03688563,,0.2585275,,0.0469331,,2.502893E-06,,0.001385132,,0.1621816,,0.0006007302,,0.0006634974,,0.0001028475,,
195,0.006841046,,0.01003669,,0.03698686,,0.2576112,,0.04672912,,2.489872E-06,,0.001390804,,0.1611595,,0.0006005179,,0.0006538996,,0.000102694,,
196,0.006840531,,0.009997068,,0.03708236,,0.2567503,,0.04652493,,2.478695E-06,,0.0013957,,0.1601536,,0.0006004694,,0.0006454438,,0.000102535,,
197,0.00684003,,0.009955591,,0.03717275,,0.2559395,,0.04632079,,2.469526E-06,,0.00139993,,0.1591653,,0.0006005618,,0.0006380305,,0.000102363,,
198,0.006839541,0.00682,0.009912636,0.00583,0.03725855,0.0231,0.2551751,0.266,0.04611693,0.0406,2.462642E-06,2.9E-06,0.001403582,0.00309,0.1581962,0.141,0.000600769,0.0007217076,0.0006315845,0.0006678308,0.0001021691,7.48186E-05,
199,0.006839066,,0.00986853,,0.03734029,,0.2544546,,0.04591351,,2.458376E-06,,0.001406732,,0.1572472,,0.0006010638,,0.0006260517,,0.0001019431,,
200,0.006838602,,0.009823558,,0.03741839,,0.2537765,,0.04571066,,2.457075E-06,,0.001409441,,0.1563195,,0.0006014197,,0.0006213959,,0.0001016742,,
201,0.00683815,,0.009777969,,0.03749326,,0.25314,,0.04550847,,2.459066E-06,,0.00141176,,0.1554137,,0.0006018121,,0.0006175873,,0.0001013516,,
202,0.006837707,,0.00973197,,0.03756533,,0.2525451,,0.04530704,,2.464637E-06,,0.001413726,,0.1545305,,0.0006022183,,0.0006146008,,0.0001009649,,
203,0.006837275,,0.009685752,,0.03763495,,0.2519921,,0.0451064,,2.47402E-06,,0.001415368,,0.1536703,,0.0006026159,,0.0006124147,,0.0001005042,,
204,0.006836852,,0.009639477,,0.03770244,,0.2514817,,0.04490662,,2.487393E-06,,0.001416703,,0.1528334,,0.0006029824,,0.0006110084,,9.996113E-05,,
205,0.006476223,,0.007850598,,0.03510303,,0.1784544,,0.02884036,,9.03761E-07,,0.001704068,,0.1369452,,0.0005298423,,0.0003163352,,0.001209746,,
206,0.006475882,,0.007823899,,0.0352204,,0.1785589,,0.02905821,,9.067461E-07,,0.001697331,,0.1364755,,0.0005307053,,0.0003197789,,0.001200022,,
207,0.006475545,,0.007797903,,0.03534158,,0.1786346,,0.02926825,,9.089691E-07,,0.001691439,,0.1359996,,0.0005316971,,0.0003228792,,0.001190338,,
208,0.00647521,,0.007772627,,0.03546607,,0.1786899,,0.02947082,,9.105514E-07,,0.001686282,,0.1355163,,0.0005327651,,0.0003256786,,0.001180774,,
209,0.00647488,,0.007748086,,0.03559343,,0.1787312,,0.02966628,,9.115561E-07,,0.001681765,,0.1350242,,0.0005338723,,0.000328211,,0.001171439,,
210,0.006474552,0.00646,0.007724256,0.00429,0.03572319,0.0281,0.1787633,0.209,0.02985499,0.0244,9.120147E-07,1.45E-06,0.001677804,0.00238,0.1345225,0.103,0.0005349923,0.0004674891,0.0003305017,0.0002662664,0.00116247,0.001777868,
211,0.006474228,,0.007701106,,0.03585496,,0.1787892,,0.03003727,,9.11943E-07,,0.001674326,,0.1340102,,0.0005361061,,0.0003325687,,0.001154016,,
212,0.006473908,,0.007678596,,0.03598832,,0.1788109,,0.03021345,,9.1135E-07,,0.001671269,,0.1334866,,0.0005371997,,0.000334423,,0.001146232,,
213,0.006473591,,0.007656679,,0.03612289,,0.1788294,,0.03038385,,9.102419E-07,,0.00166858,,0.1329513,,0.0005382627,,0.0003360745,,0.001139274,,
214,0.00647328,,0.007635302,,0.03625828,,0.1788449,,0.03054874,,9.086223E-07,,0.001666216,,0.1324038,,0.0005392881,,0.0003375327,,0.001133291,,
215,0.006472974,,0.007614413,,0.03639413,,0.1788568,,0.03070838,,9.064908E-07,,0.001664145,,0.1318441,,0.0005402718,,0.0003388078,,0.001128417,,
216,0.006472672,,0.007593955,,0.03653007,,0.1788641,,0.03086299,,9.038366E-07,,0.001662345,,0.1312722,,0.0005412124,,0.0003399123,,0.00112477,,
217,0.003168771,,0.008776473,,0.04027905,,0.1786848,,0.03664939,,5.442523E-07,,0.001134438,,0.1501747,,0.000593721,,0.0002447005,,0.000305915,,
218,0.003168554,,0.008744798,,0.0403538,,0.1787107,,0.03667922,,5.434611E-07,,0.001144105,,0.1491198,,0.000594036,,0.0002461983,,0.0003055891,,
219,0.003168343,,0.008712905,,0.04042514,,0.1787396,,0.03670777,,5.429401E-07,,0.001152954,,0.1480867,,0.0005940807,,0.0002474997,,0.0003052808,,
220,0.003168136,,0.008680721,,0.04049306,,0.1787682,,0.03673498,,5.426777E-07,,0.001161069,,0.147077,,0.0005938867,,0.0002486024,,0.0003049683,,
221,0.003167936,,0.00864819,,0.04055753,,0.1787939,,0.03676081,,5.426933E-07,,0.00116852,,0.1460922,,0.0005934777,,0.0002495001,,0.0003046205,,
222,0.003167742,0.00316,0.008615348,0.00507,0.04061855,0.0293,0.1788145,0.197,0.03678523,0.0292,5.430289E-07,1.02E-06,0.001175369,0.0014,0.1451337,0.111,0.0005928736,0.000528911,0.0002501828,0.0002208063,0.0003041997,0.0005518798,
223,0.003167552,,0.008582197,,0.04067614,,0.1788281,,0.03680817,,5.437415E-07,,0.001181669,,0.1442026,,0.0005920918,,0.0002506385,,0.0003036636,,
224,0.003167367,,0.008548737,,0.04073031,,0.1788332,,0.03682957,,5.448952E-07,,0.001187462,,0.1432999,,0.0005911494,,0.0002508546,,0.0003029678,,
225,0.003167187,,0.008514985,,0.04078108,,0.1788283,,0.03684938,,5.465544E-07,,0.001192785,,0.142426,,0.0005900641,,0.0002508195,,0.0003020673,,
226,0.003167012,,0.008480977,,0.04082849,,0.1788122,,0.03686754,,5.487795E-07,,0.001197665,,0.1415817,,0.0005888537,,0.0002505236,,0.000300919,,
227,0.00316684,,0.00844676,,0.04087258,,0.1787838,,0.03688401,,5.51622E-07,,0.001202124,,0.1407669,,0.0005875372,,0.0002499601,,0.0002994834,,
228,0.003166672,,0.00841239,,0.04091339,,0.1787425,,0.03689874,,5.551229E-07,,0.001206177,,0.139982,,0.0005861347,,0.000249125,,0.0002977253,,
229,0.003787179,,0.009743851,,0.03821163,,0.2175768,,0.04069777,,2.351882E-06,,0.0006324644,,0.1456491,,0.0005827198,,0.0004790213,,0.0004311179,,
230,0.00378698,,0.00969675,,0.03828025,,0.2172036,,0.04059627,,2.360885E-06,,0.0006405629,,0.1447263,,0.0005812139,,0.0004733905,,0.0004284166,,
231,0.003786786,,0.009651397,,0.03834041,,0.2168423,,0.04049264,,2.368365E-06,,0.0006481558,,0.1438259,,0.0005796921,,0.0004683636,,0.0004257341,,
232,0.003786599,,0.009607813,,0.03839242,,0.2164892,,0.04038697,,2.374826E-06,,0.0006552791,,0.1429469,,0.0005781725,,0.0004638853,,0.0004230774,,
233,0.003786416,,0.009566025,,0.03843657,,0.2161414,,0.04027934,,2.38082E-06,,0.0006619631,,0.1420882,,0.0005766679,,0.0004599153,,0.0004204528,,
234,0.003786238,0.00378,0.009526077,0.00565,0.03847315,0.0302,0.2157972,0.214,0.04016981,0.0344,2.386957E-06,1.76E-06,0.0006682333,0.000687,0.1412489,0.115,0.0005751878,0.0002542185,0.0004564258,0.0002857494,0.0004178636,0.0003933533,
235,0.003786065,,0.009487947,,0.03850242,,0.2154554,,0.04005844,,2.393884E-06,,0.0006741113,,0.1404278,,0.0005737395,,0.0004533977,,0.0004153113,,
236,0.003785897,,0.009451603,,0.03852464,,0.2151156,,0.03994527,,2.402254E-06,,0.0006796157,,0.1396241,,0.0005723296,,0.000450819,,0.0004127953,,
237,0.003785732,,0.009417002,,0.03854007,,0.2147779,,0.03983036,,2.412678E-06,,0.0006847625,,0.1388368,,0.0005709637,,0.0004486803,,0.0004103135,,
238,0.003785572,,0.009384095,,0.03854896,,0.2144427,,0.03971375,,2.425683E-06,,0.0006895663,,0.1380653,,0.0005696471,,0.0004469731,,0.0004078624,,
239,0.003785416,,0.009352822,,0.03855158,,0.2141109,,0.03959551,,2.441678E-06,,0.0006940399,,0.1373088,,0.0005683844,,0.0004456882,,0.0004054378,,
240,0.003785263,,0.009323119,,0.03854819,,0.2137837,,0.03947568,,2.46092E-06,,0.0006981955,,0.1365668,,0.0005671791,,0.0004448149,,0.0004030342,,
241,0.003795119,,0.008958147,,0.0413409,,0.24027,,0.03480945,,9.842304E-07,,0.0008859234,,0.1364094,,0.0001582316,,0.0005659153,,9.063157E-05,,
242,0.003794974,,0.00893366,,0.04126859,,0.2396739,,0.03481005,,9.900704E-07,,0.0008883285,,0.1356818,,0.0001580344,,0.0005616498,,9.019988E-05,,
243,0.003794833,,0.008909917,,0.04118952,,0.2391056,,0.03480456,,9.951517E-07,,0.0008907298,,0.1349699,,0.0001578851,,0.0005576219,,8.97837E-05,,
244,0.003794696,,0.008886872,,0.04110431,,0.2385651,,0.03479345,,9.995698E-07,,0.0008931165,,0.1342734,,0.0001577766,,0.0005538599,,8.938131E-05,,
245,0.003794563,,0.008864478,,0.04101353,,0.2380521,,0.03477711,,1.003379E-06,,0.0008954792,,0.1335921,,0.0001577024,,0.0005504094,,8.899032E-05,,
246,0.003794433,0.00379,0.008842694,0.00703,0.04091771,0.0285,0.2375665,0.192,0.03475592,0.0353,1.006614E-06,9.840001E-07,0.0008978098,0.000601,0.1329262,0.107,0.0001576563,0.0001706165,0.0005473275,0.001190622,8.860795E-05,5.829925E-05,
247,0.003794308,,0.008821474,,0.04081735,,0.2371085,,0.03473019,,1.009307E-06,,0.0009001007,,0.1322753,,0.0001576324,,0.0005446742,,8.82312E-05,,
248,0.003794185,,0.008800777,,0.04071289,,0.236678,,0.03470022,,1.011489E-06,,0.0009023455,,0.1316393,,0.0001576257,,0.0005425057,,8.785694E-05,,
249,0.003794066,,0.008780571,,0.04060478,,0.2362753,,0.03466628,,1.013196E-06,,0.0009045393,,0.1310183,,0.000157632,,0.0005408697,,8.748208E-05,,
250,0.003793949,,0.008760853,,0.04049343,,0.2359005,,0.0346286,,1.014461E-06,,0.0009066793,,0.130412,,0.0001576478,,0.0005398018,,8.710367E-05,,
251,0.003793835,,0.008741572,,0.04037921,,0.2355539,,0.0345874,,1.015313E-06,,0.0009087646,,0.1298205,,0.0001576705,,0.0005393217,,8.6719E-05,,
252,0.003793725,,0.008722682,,0.04026251,,0.2352356,,0.03454287,,1.015769E-06,,0.0009107977,,0.1292434,,0.0001576986,,0.0005394337,,8.632566E-05,,
253,0.004793355,,0.009635787,,0.04348259,,0.1672454,,0.03671279,,9.617404E-07,,0.001208626,,0.14624,,0.0001138256,,0.0005633867,,0.003788813,,
254,0.00479316,,0.009608546,,0.04329034,,0.1674512,,0.03660436,,9.628544E-07,,0.001205903,,0.1451292,,0.0001139061,,0.0005625045,,0.003732099,,
255,0.00479297,,0.009581699,,0.0430996,,0.1676328,,0.0364964,,9.641921E-07,,0.001203537,,0.1440257,,0.0001140108,,0.0005615013,,0.003677078,,
256,0.004792783,,0.009555125,,0.0429102,,0.1677966,,0.03638879,,9.656607E-07,,0.001201491,,0.142928,,0.0001141374,,0.0005603798,,0.003623941,,
257,0.004792601,,0.009528723,,0.04272201,,0.1679475,,0.03628146,,9.671597E-07,,0.001199732,,0.1418347,,0.0001142848,,0.0005591475,,0.003573047,,
258,0.004792422,0.00479,0.009502415,0.00734,0.04253493,0.0315,0.1680896,0.186,0.03617435,0.033,9.68582E-07,7.7E-07,0.001198237,0.000643,0.1407448,0.11,0.0001144524,0.0001424647,0.0005578155,0.0009037905,0.003524886,0.005355827,
259,0.004792247,,0.00947614,,0.04234892,,0.1682259,,0.03606747,,9.698176E-07,,0.001196985,,0.1396575,,0.0001146397,,0.0005563959,,0.003480034,,
260,0.004792077,,0.009449857,,0.04216395,,0.1683587,,0.03596084,,9.707604E-07,,0.00119596,,0.1385719,,0.000114846,,0.0005548996,,0.003439112,,
261,0.004791912,,0.009423531,,0.04198,,0.1684895,,0.03585449,,9.713146E-07,,0.001195149,,0.1374878,,0.0001150702,,0.000553334,,0.003402745,,
262,0.004791752,,0.009397142,,0.04179709,,0.1686194,,0.03574848,,9.713998E-07,,0.001194542,,0.1364048,,0.0001153107,,0.0005517021,,0.003371525,,
263,0.004791596,,0.009370696,,0.04161519,,0.1687488,,0.03564288,,9.709552E-07,,0.001194129,,0.1353229,,0.0001155654,,0.0005500013,,0.003345989,,
264,0.004791445,,0.009344232,,0.04143428,,0.1688779,,0.03553775,,9.699421E-07,,0.001193903,,0.1342422,,0.0001158321,,0.0005482234,,0.003326593,,
265,0.005999856,,0.01001366,,0.0455666,,0.1659062,,0.03824667,,1.167664E-06,,0.001474867,,0.1379625,,0.0001122714,,0.0004143664,,0.0005204176,,
266,0.005999707,,0.009978678,,0.04527242,,0.1660784,,0.03805748,,1.167494E-06,,0.001468578,,0.1367948,,0.0001124326,,0.0004155405,,0.0005223293,,
267,0.005999566,,0.009943571,,0.04498112,,0.1662589,,0.03787313,,1.16768E-06,,0.001462903,,0.1356753,,0.0001125578,,0.0004164375,,0.0005242325,,
268,0.005999431,,0.009908405,,0.0446928,,0.1664452,,0.03769339,,1.168107E-06,,0.001457776,,0.1346064,,0.0001126524,,0.0004170414,,0.0005260602,,
269,0.005999304,,0.009873249,,0.04440754,,0.1666353,,0.03751807,,1.168662E-06,,0.001453141,,0.13359,,0.0001127209,,0.0004173245,,0.0005277121,,
270,0.005999184,0.006,0.009838155,0.00553,0.04412551,0.025,0.1668276,0.218,0.03734699,0.0358,1.169224E-06,1.61E-06,0.001448955,0.000764,0.1326277,0.112,0.0001127675,0.0001064647,0.0004172523,0.000662419,0.0005290613,0.0002318636,
271,0.005999072,,0.009803201,,0.04384684,,0.1670206,,0.03717999,,1.169661E-06,,0.00144518,,0.1317208,,0.0001127959,,0.000416788,,0.0005299618,,
272,0.005998964,,0.009768464,,0.04357165,,0.167213,,0.03701691,,1.169845E-06,,0.001441787,,0.1308703,,0.0001128092,,0.000415898,,0.0005302565,,
273,0.005998864,,0.009734026,,0.04330008,,0.1674038,,0.03685757,,1.169648E-06,,0.001438753,,0.1300765,,0.00011281,,0.0004145541,,0.0005297844,,
274,0.005998767,,0.009699971,,0.04303227,,0.167592,,0.03670182,,1.168956E-06,,0.001436057,,0.1293395,,0.0001128007,,0.0004127357,,0.0005283882,,
275,0.005998674,,0.009666379,,0.04276834,,0.1677772,,0.0365495,,1.167678E-06,,0.001433683,,0.128659,,0.0001127826,,0.0004104312,,0.0005259205,,
276,0.005998585,,0.009633329,,0.04250843,,0.1679586,,0.03640044,,1.165748E-06,,0.001431617,,0.1280346,,0.0001127569,,0.0004076378,,0.0005222484,,
277,0.006028451,,0.009136192,,0.0423055,,0.1658206,,0.03557308,,1.780511E-06,,0.0009142082,,0.1235901,,8.012902E-05,,0.0003356293,,0.0007236916,,
278,0.006028382,,0.009107854,,0.04205571,,0.1660056,,0.03545146,,1.778874E-06,,0.0009202964,,0.1231421,,8.009827E-05,,0.0003345578,,0.0007181442,,
279,0.006028316,,0.00907933,,0.0418116,,0.1661848,,0.03533176,,1.777779E-06,,0.0009258965,,0.1227165,,8.006318E-05,,0.0003334326,,0.000712677,,
280,0.006028253,,0.009050684,,0.04157305,,0.1663578,,0.0352139,,1.777267E-06,,0.0009310647,,0.1223104,,8.002572E-05,,0.0003322485,,0.0007073356,,
281,0.006028194,,0.009021964,,0.04133997,,0.1665243,,0.03509777,,1.777459E-06,,0.0009358488,,0.1219208,,7.998792E-05,,0.0003309941,,0.0007021719,,
282,0.006028138,0.00603,0.0089932,0.00686,0.04111227,0.0265,0.1666841,0.189,0.03498328,0.0387,1.778531E-06,1.88E-06,0.0009402895,0.000304,0.1215452,0.0901,7.995179E-05,0.0001259149,0.0003296548,0.0007165381,0.0006972384,0.000785225,
283,0.006028085,,0.00896442,,0.04088983,,0.1668372,,0.03487037,,1.780688E-06,,0.000944421,,0.1211812,,7.991916E-05,,0.0003282153,,0.0006925859,,
284,0.006028036,,0.008935646,,0.04067254,,0.1669838,,0.03475896,,1.78414E-06,,0.0009482726,,0.1208266,,7.989159E-05,,0.0003266628,,0.0006882628,,
285,0.006027989,,0.008906893,,0.04046028,,0.1671238,,0.03464897,,1.78909E-06,,0.0009518684,,0.1204797,,7.98703E-05,,0.0003249888,,0.0006843137,,
286,0.006027945,,0.008878174,,0.04025296,,0.1672578,,0.03454035,,1.795714E-06,,0.0009552282,,0.1201388,,7.985608E-05,,0.0003231902,,0.0006807779,,
