EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad","biomass (observed) AM adult nad","biomass (predicted) AM adult mad","biomass (observed) AM adult mad","biomass (predicted) AM adult sad","biomass (observed) AM adult sad","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
71,0.02069295,,0.06013016,,0.06013016,,0.05093627,,0.05093627,,0.3377108,,2.142848,,2.142848,,2.142848,,0.2824073,,0.002681161,,0.10438,,0.10438,,0.001083063,,0.0123433,,0.0123433,,0.4881883,,0.4881883,,
72,0.02106916,,0.06068008,,0.06068008,,0.0520073,,0.0520073,,0.3362206,,2.145069,,2.145069,,2.145069,,0.2822111,,0.00266447,,0.1050675,,0.1050675,,0.00108429,,0.0123322,,0.0123322,,0.4965703,,0.4965703,,
73,0.02145683,,0.06123125,,0.06123125,,0.05307576,,0.05307576,,0.3347163,,2.152759,,2.152759,,2.152759,,0.2822711,,0.002544796,,0.1054287,,0.1054287,,0.001087029,,0.01217959,,0.01217959,,0.5055921,,0.5055921,,
74,0.0218571,,0.06180052,,0.06180052,,0.05416755,,0.05416755,,0.3332045,,2.159406,,2.159406,,2.159406,,0.282354,,0.002437679,,0.1057508,,0.1057508,,0.001086592,,0.01203689,,0.01203689,,0.5145264,,0.5145264,,
75,0.02227002,,0.06238771,,0.06238771,,0.05528324,,0.05528324,,0.3316944,,2.1651,,2.1651,,2.1651,,0.2824594,,0.002341812,,0.1060369,,0.1060369,,0.001083876,,0.01190212,,0.01190212,,0.523371,,0.523371,,
76,0.02269574,,0.06299221,,0.06299221,,0.0564227,,0.0564227,,0.3302076,,2.169912,,2.169912,,2.169912,,0.282587,,0.002256166,,0.1062889,,0.1062889,,0.001079372,,0.01177368,,0.01177368,,0.532124,,0.532124,,
77,0.02313431,,0.06361347,,0.06361347,,0.05758585,,0.05758585,,0.3287741,,2.173902,,2.173902,,2.173902,,0.2827362,,0.002180072,,0.1065084,,0.1065084,,0.001073316,,0.01165032,,0.01165032,,0.5407832,,0.5407832,,
78,0.02358577,0.02352746,0.06425095,0.04176406,0.06425095,0.03221764,0.05877266,0.05015538,0.05877266,0.04423602,0.3274277,0.5827447,2.177122,1.064968,2.177122,1.89499,2.177122,3.35112,0.2829068,0.3200034,0.002113229,0.003177082,0.1066963,0.1092883,0.1066963,,0.001065794,0.0006400315,0.01153101,0.008354312,0.01153101,0.003003814,0.5493465,0.5330809,0.5493465,,
79,0.02405018,,0.06490415,,0.06490415,,0.05998315,,0.05998315,,0.3262031,,2.179619,,2.179619,,2.179619,,0.2830983,,0.002055683,,0.1068537,,0.1068537,,0.001056824,,0.01141494,,0.01141494,,0.5578116,,0.5578116,,
80,0.02452756,,0.06557257,,0.06557257,,0.06121735,,0.06121735,,0.3251319,,2.181439,,2.181439,,2.181439,,0.2833103,,0.002007692,,0.1069813,,0.1069813,,0.001046393,,0.01130146,,0.01130146,,0.5661758,,0.5661758,,
81,0.02501789,,0.06625581,,0.06625581,,0.06247538,,0.06247538,,0.3242407,,2.182628,,2.182628,,2.182628,,0.2835424,,0.00196958,,0.1070796,,0.1070796,,0.001034491,,0.01119009,,0.01119009,,0.5744366,,0.5744366,,
82,0.02552117,,0.06695341,,0.06695341,,0.06375736,,0.06375736,,0.3235492,,2.183235,,2.183235,,2.183235,,0.2837942,,0.001941682,,0.1071495,,0.1071495,,0.001021115,,0.01108051,,0.01108051,,0.5825911,,0.5825911,,
83,0.02603736,,0.06766495,,0.06766495,,0.0650634,,0.0650634,,0.32307,,2.183306,,2.183306,,2.183306,,0.2840653,,0.001924278,,0.1071914,,0.1071914,,0.001006268,,0.01097252,,0.01097252,,0.5906361,,0.5906361,,
84,0.0265664,,0.06839005,,0.06839005,,0.06639364,,0.06639364,,0.322808,,2.182893,,2.182893,,2.182893,,0.2843554,,0.001917532,,0.1072059,,0.1072059,,0.0009899435,,0.01086608,,0.01086608,,0.5985684,,0.5985684,,
85,0.02710725,,0.06912868,,0.06912868,,0.06770759,,0.06770759,,0.3225921,,2.193923,,2.193923,,2.193923,,0.2843162,,0.001953696,,0.107391,,0.107391,,0.0009770924,,0.01077494,,0.01077494,,0.606132,,0.606132,,
86,0.02765881,,0.06988358,,0.06988358,,0.06905048,,0.06905048,,0.3224073,,2.203628,,2.203628,,2.203628,,0.284298,,0.001986095,,0.1075638,,0.1075638,,0.0009653462,,0.01068108,,0.01068108,,0.6135919,,0.6135919,,
87,0.02821904,,0.07065428,,0.07065428,,0.07042385,,0.07042385,,0.3222759,,2.212171,,2.212171,,2.212171,,0.2843003,,0.002014773,,0.1077231,,0.1077231,,0.0009544041,,0.01058504,,0.01058504,,0.6209452,,0.6209452,,
88,0.02878695,,0.07144025,,0.07144025,,0.07182694,,0.07182694,,0.3222289,,2.219688,,2.219688,,2.219688,,0.2843226,,0.002039756,,0.1078682,,0.1078682,,0.0009440641,,0.01048728,,0.01048728,,0.6281888,,0.6281888,,
89,0.02936213,,0.07224101,,0.07224101,,0.07325914,,0.07325914,,0.3223038,,2.226296,,2.226296,,2.226296,,0.2843644,,0.002060979,,0.1079991,,0.1079991,,0.0009341689,,0.01038825,,0.01038825,,0.6353195,,0.6353195,,
90,0.0299445,0.02320225,0.07305612,0.08570352,0.07305612,0.05250599,0.07471991,0.1238204,0.07471991,0.06428015,0.3225402,0.378784,2.232098,2.724336,2.232098,3.206906,2.232098,2.484451,0.2844253,0.4301982,0.002078199,0.001292014,0.1081159,0.08609466,0.1081159,,0.0009245808,0.0008976543,0.01028836,0.005503552,0.01028836,0.00364283,0.6423342,1.450714,0.6423342,,
91,0.03053416,,0.07388522,,0.07388522,,0.07620884,,0.07620884,,0.3229763,,2.237183,,2.237183,,2.237183,,0.2845049,,0.00209109,,0.1082189,,0.1082189,,0.0009151728,,0.01018799,,0.01018799,,0.6492296,,0.6492296,,
92,0.0311314,,0.07472797,,0.07472797,,0.07772558,,0.07772558,,0.3236457,,2.241632,,2.241632,,2.241632,,0.2846025,,0.00209921,,0.1083091,,0.1083091,,0.0009058294,,0.01008748,,0.01008748,,0.6560025,,0.6560025,,
93,0.03173656,,0.07558405,,0.07558405,,0.07926986,,0.07926986,,0.324575,,2.245522,,2.245522,,2.245522,,0.2847178,,0.002102149,,0.1083871,,0.1083871,,0.0008964546,,0.009987127,,0.009987127,,0.6626496,,0.6626496,,
94,0.03235002,,0.0764532,,0.0764532,,0.0808415,,0.0808415,,0.3257822,,2.24892,,2.24892,,2.24892,,0.2848502,,0.002099541,,0.1084539,,0.1084539,,0.0008869806,,0.009887174,,0.009887174,,0.6691678,,0.6691678,,
95,0.03297225,,0.07733513,,0.07733513,,0.08244032,,0.08244032,,0.3272766,,2.251891,,2.251891,,2.251891,,0.2849993,,0.002091078,,0.1085106,,0.1085106,,0.0008773752,,0.009787797,,0.009787797,,0.6755538,,0.6755538,,
96,0.0336037,,0.07822955,,0.07822955,,0.0840662,,0.0840662,,0.329059,,2.254492,,2.254492,,2.254492,,0.2851647,,0.002076512,,0.1085584,,0.1085584,,0.0008676511,,0.009689114,,0.009689114,,0.6818045,,0.6818045,,
97,0.03424472,,0.07905237,,0.07905237,,0.08561118,,0.08561118,,0.3307359,,2.253575,,2.253575,,2.253575,,0.2849996,,0.002110314,,0.1087216,,0.1087216,,0.0008585297,,0.009729813,,0.009729813,,0.6889933,,0.6889933,,
98,0.03489354,,0.07989223,,0.07989223,,0.08718029,,0.08718029,,0.3323584,,2.253036,,2.253036,,2.253036,,0.2848556,,0.002140659,,0.1088781,,0.1088781,,0.0008490586,,0.009757595,,0.009757595,,0.69603,,0.69603,,
99,0.03554939,,0.08074842,,0.08074842,,0.08878015,,0.08878015,,0.3339616,,2.252804,,2.252804,,2.252804,,0.2847321,,0.002167115,,0.1090284,,0.1090284,,0.0008394349,,0.00977386,,0.00977386,,0.7029076,,0.7029076,,
100,0.03621187,,0.08162028,,0.08162028,,0.09041048,,0.09041048,,0.3355632,,2.252828,,2.252828,,2.252828,,0.2846285,,0.00218929,,0.1091727,,0.1091727,,0.0008298559,,0.009779842,,0.009779842,,0.7096187,,0.7096187,,
101,0.03688081,,0.08250712,,0.08250712,,0.09207092,,0.09207092,,0.3371477,,2.253099,,2.253099,,2.253099,,0.2845441,,0.002206761,,0.1093114,,0.1093114,,0.0008205229,,0.009776632,,0.009776632,,0.7161568,,0.7161568,,
102,0.03755625,0.02775178,0.08340818,0.07648737,0.08340818,0.05006877,0.09376103,0.1179126,0.09376103,0.08564038,0.3387108,0.1966763,2.253596,2.229002,2.253596,1.409095,2.253596,1.357781,0.2844784,0.3310521,0.002219082,0.0006321155,0.1094447,0.06865307,0.1094447,,0.0008116358,0.0006051451,0.009765192,0.008393906,0.009765192,0.007390922,0.7225153,0.4317615,0.7225153,,
103,0.0382383,,0.08432272,,0.08432272,,0.09548022,,0.09548022,,0.3402443,,2.254306,,2.254306,,2.254306,,0.2844307,,0.002225828,,0.1095727,,0.1095727,,0.0008033856,,0.009746368,,0.009746368,,0.7286884,,0.7286884,,
104,0.03892721,,0.08525005,,0.08525005,,0.09722786,,0.09722786,,0.3417359,,2.255221,,2.255221,,2.255221,,0.2844004,,0.00222665,,0.1096957,,0.1096957,,0.0007959431,,0.009720912,,0.009720912,,0.7346709,,0.7346709,,
105,0.03962325,,0.08618946,,0.08618946,,0.09900318,,0.09900318,,0.3431714,,2.256333,,2.256333,,2.256333,,0.2843869,,0.002221267,,0.1098138,,0.1098138,,0.0007894489,,0.009689479,,0.009689479,,0.7404581,,0.7404581,,
106,0.04032673,,0.08714031,,0.08714031,,0.1008053,,0.1008053,,0.3445342,,2.257638,,2.257638,,2.257638,,0.2843897,,0.002209527,,0.1099271,,0.1099271,,0.0007840056,,0.009652644,,0.009652644,,0.7460457,,0.7460457,,
107,0.04103795,,0.08810198,,0.08810198,,0.1026333,,0.1026333,,0.3458062,,2.259133,,2.259133,,2.259133,,0.2844081,,0.002191444,,0.1100359,,0.1100359,,0.0007796736,,0.009610901,,0.009610901,,0.7514302,,0.7514302,,
108,0.04175717,,0.08907391,,0.08907391,,0.1044861,,0.1044861,,0.3469672,,2.260813,,2.260813,,2.260813,,0.2844415,,0.002167204,,0.1101403,,0.1101403,,0.0007764703,,0.009564666,,0.009564666,,0.7566087,,0.7566087,,
109,0.04248746,,0.09000248,,0.09000248,,0.1061711,,0.1061711,,0.3481175,,2.265929,,2.265929,,2.265929,,0.2846064,,0.002141587,,0.1102648,,0.1102648,,0.0007717094,,0.009533885,,0.009533885,,0.7625814,,0.7625814,,
110,0.04322813,,0.09095659,,0.09095659,,0.1078646,,0.1078646,,0.3492213,,2.270805,,2.270805,,2.270805,,0.2847865,,0.002118337,,0.1103816,,0.1103816,,0.0007661586,,0.009499886,,0.009499886,,0.7683647,,0.7683647,,
111,0.04397789,,0.09193505,,0.09193505,,0.1095767,,0.1095767,,0.3502485,,2.275494,,2.275494,,2.275494,,0.2849812,,0.002097323,,0.1104911,,0.1104911,,0.0007600597,,0.009462889,,0.009462889,,0.773958,,0.773958,,
112,0.04473539,,0.09293669,,0.09293669,,0.1113051,,0.1113051,,0.3511798,,2.280026,,2.280026,,2.280026,,0.2851899,,0.002078382,,0.1105933,,0.1105933,,0.0007535859,,0.009423103,,0.009423103,,0.7793614,,0.7793614,,
113,0.04549941,,0.09396031,,0.09396031,,0.1130475,,0.1130475,,0.3520041,,2.28442,,2.28442,,2.28442,,0.2854119,,0.002061336,,0.1106885,,0.1106885,,0.0007468794,,0.009380718,,0.009380718,,0.7845753,,0.7845753,,
114,0.04626884,0.07753442,0.09500463,0.09590661,0.09500463,0.06581624,0.1148015,0.1693678,0.1148015,0.09238051,0.352717,0.2185293,2.288681,1.708902,2.288681,3.376969,2.288681,1.040003,0.2856466,0.3009458,0.002046013,0.001287574,0.1107766,0.08238368,0.1107766,,0.0007400692,0.0008044002,0.009335907,0.01338274,0.009335907,0.008904653,0.7896004,0.3507562,0.7896004,,
115,0.04704271,,0.09606843,,0.09606843,,0.1165649,,0.1165649,,0.3533182,,2.292804,,2.292804,,2.292804,,0.2858935,,0.002032266,,0.1108576,,0.1108576,,0.0007332767,,0.009288836,,0.009288836,,0.7944378,,0.7944378,,
116,0.04782011,,0.09715046,,0.09715046,,0.1183354,,0.1183354,,0.3538103,,2.296777,,2.296777,,2.296777,,0.2861518,,0.002019985,,0.1109315,,0.1109315,,0.0007266133,,0.009239662,,0.009239662,,0.7990887,,0.7990887,,
117,0.04860023,,0.09824949,,0.09824949,,0.1201109,,0.1201109,,0.3541972,,2.300585,,2.300585,,2.300585,,0.2864211,,0.002009112,,0.1109983,,0.1109983,,0.0007201746,,0.009188548,,0.009188548,,0.8035548,,0.8035548,,
118,0.04938233,,0.09936432,,0.09936432,,0.1218894,,0.1218894,,0.3544837,,2.304208,,2.304208,,2.304208,,0.2867007,,0.001999644,,0.111058,,0.111058,,0.0007140322,,0.009135656,,0.009135656,,0.8078378,,0.8078378,,
119,0.05016568,,0.1004938,,0.1004938,,0.1236686,,0.1236686,,0.3546744,,2.307625,,2.307625,,2.307625,,0.2869902,,0.001991635,,0.1111104,,0.1111104,,0.000708228,,0.009081162,,0.009081162,,0.8119397,,0.8119397,,
120,0.05094958,,0.1016368,,0.1016368,,0.1254465,,0.1254465,,0.3547737,,2.310813,,2.310813,,2.310813,,0.287289,,0.001985187,,0.1111554,,0.1111554,,0.0007027688,,0.009025252,,0.009025252,,0.8158624,,0.8158624,,
121,0.0517368,,0.1027063,,0.1027063,,0.1269523,,0.1269523,,0.3546605,,2.309834,,2.309834,,2.309834,,0.2873572,,0.002012666,,0.1122329,,0.1122329,,0.0006973422,,0.008976609,,0.008976609,,0.8134773,,0.8134773,,
122,0.05252324,,0.1037475,,0.1037475,,0.1283949,,0.1283949,,0.3543531,,2.309054,,2.309054,,2.309054,,0.2874201,,0.002036857,,0.1132333,,0.1132333,,0.0006917894,,0.008926105,,0.008926105,,0.8110809,,0.8110809,,
123,0.05330744,,0.1047621,,0.1047621,,0.129793,,0.129793,,0.3538649,,2.308382,,2.308382,,2.308382,,0.2874778,,0.002058177,,0.1141608,,0.1141608,,0.0006861633,,0.008873982,,0.008873982,,0.8086826,,0.8086826,,
124,0.05408827,,0.1057526,,0.1057526,,0.1311492,,0.1311492,,0.3532049,,2.307739,,2.307739,,2.307739,,0.2875304,,0.002076988,,0.1150201,,0.1150201,,0.0006804942,,0.008820459,,0.008820459,,0.8062916,,0.8062916,,
125,0.05486485,,0.1067209,,0.1067209,,0.132466,,0.132466,,0.35238,,2.30706,,2.30706,,2.30706,,0.2875778,,0.002093567,,0.1158155,,0.1158155,,0.0006748037,,0.008765724,,0.008765724,,0.8039165,,0.8039165,,
126,0.05563624,0.042814,0.1076693,0.2085634,0.1076693,0.1530757,0.1337459,0.2277316,0.1337459,0.1683329,0.3513971,0.2112449,2.306288,2.897703,2.306288,3.27979,2.306288,0.4911124,0.2876202,0.2694365,0.002108096,0.000986881,0.116551,0.07969322,0.116551,,0.0006691138,0.0006983992,0.008709942,0.02031167,0.008709942,0.01113825,0.8015645,1.79233,0.8015645,,
127,0.05640132,,0.1085995,,0.1085995,,0.1349912,,0.1349912,,0.3502645,,2.305376,,2.305376,,2.305376,,0.2876575,,0.002120677,,0.1172307,,0.1172307,,0.00066345,,0.008653253,,0.008653253,,0.799242,,0.799242,,
128,0.05715879,,0.1095135,,0.1095135,,0.1362039,,0.1362039,,0.3489927,,2.304285,,2.304285,,2.304285,,0.2876896,,0.002131365,,0.1178579,,0.1178579,,0.0006578412,,0.008595781,,0.008595781,,0.7969542,,0.7969542,,
129,0.05790705,,0.110413,,0.110413,,0.1373861,,0.1373861,,0.3475956,,2.302984,,2.302984,,2.302984,,0.2877166,,0.002140205,,0.1184359,,0.1184359,,0.0006523182,,0.008537637,,0.008537637,,0.7947055,,0.7947055,,
130,0.05864421,,0.1112998,,0.1112998,,0.13854,,0.13854,,0.3460904,,2.30145,,2.30145,,2.30145,,0.2877383,,0.002147239,,0.1189676,,0.1189676,,0.0006469106,,0.008478927,,0.008478927,,0.7924994,,0.7924994,,
131,0.05936842,,0.1121753,,0.1121753,,0.1396673,,0.1396673,,0.3444978,,2.299664,,2.299664,,2.299664,,0.2877545,,0.002152522,,0.1194559,,0.1194559,,0.0006416441,,0.008419755,,0.008419755,,0.7903387,,0.7903387,,
132,0.06007773,,0.113041,,0.113041,,0.14077,,0.14077,,0.3428411,,2.297616,,2.297616,,2.297616,,0.2877651,,0.002156128,,0.1199031,,0.1199031,,0.0006365376,,0.008360223,,0.008360223,,0.7882252,,0.7882252,,
133,0.06077784,,0.1139014,,0.1139014,,0.1421371,,0.1421371,,0.3412871,,2.294494,,2.294494,,2.294494,,0.2874255,,0.002122952,,0.1200322,,0.1200322,,0.000630516,,0.008254126,,0.008254126,,0.7879347,,0.7879347,,
134,0.0614693,,0.1147548,,0.1147548,,0.1435176,,0.1435176,,0.3398341,,2.291069,,2.291069,,2.291069,,0.2870882,,0.002094663,,0.1201349,,0.1201349,,0.0006248403,,0.008152488,,0.008152488,,0.7875674,,0.7875674,,
135,0.06215263,,0.1156017,,0.1156017,,0.1448906,,0.1448906,,0.338491,,2.287358,,2.287358,,2.287358,,0.286753,,0.002070706,,0.1202132,,0.1202132,,0.0006194104,,0.008054969,,0.008054969,,0.7871177,,0.7871177,,
136,0.06282564,,0.1164434,,0.1164434,,0.1462568,,0.1462568,,0.3372665,,2.283381,,2.283381,,2.283381,,0.2864197,,0.002050715,,0.1202687,,0.1202687,,0.0006141542,,0.007961279,,0.007961279,,0.7865797,,0.7865797,,
137,0.06348533,,0.1172808,,0.1172808,,0.1476164,,0.1476164,,0.3361654,,2.279165,,2.279165,,2.279165,,0.286088,,0.00203449,,0.1203031,,0.1203031,,0.0006090147,,0.007871173,,0.007871173,,0.7859476,,0.7859476,,
138,0.0641284,0.03556661,0.1181147,0.1733811,0.1181147,0.1597344,0.1489699,0.2706061,0.1489699,0.1878443,0.3351895,0.1748234,2.27474,1.857502,2.27474,1.409095,2.27474,0.7800021,0.2857577,0.4492558,0.002021957,0.001542707,0.1203177,0.08952731,0.1203177,,0.0006039431,0.001354532,0.007784446,0.02355837,0.007784446,0.02911461,0.7852167,0.9639512,0.7852167,,
139,0.06475161,,0.1189456,,0.1189456,,0.1503176,,0.1503176,,0.334339,,2.270137,,2.270137,,2.270137,,0.2854284,,0.002013127,,0.1203136,,0.1203136,,0.0005988972,,0.007700922,,0.007700922,,0.7843821,,0.7843821,,
140,0.06535192,,0.1197739,,0.1197739,,0.1516596,,0.1516596,,0.3336127,,2.265389,,2.265389,,2.265389,,0.2851,,0.002008045,,0.120292,,0.120292,,0.0005938399,,0.007620456,,0.007620456,,0.7834404,,0.7834404,,
141,0.06592659,,0.1205998,,0.1205998,,0.1529963,,0.1529963,,0.3330086,,2.26053,,2.26053,,2.26053,,0.2847722,,0.002006758,,0.120254,,0.120254,,0.0005887403,,0.007542924,,0.007542924,,0.7823887,,0.7823887,,
142,0.06647327,,0.1214231,,0.1214231,,0.1543279,,0.1543279,,0.3325241,,2.255591,,2.255591,,2.255591,,0.2844447,,0.00200929,,0.1202005,,0.1202005,,0.0005835739,,0.007468222,,0.007468222,,0.781225,,0.781225,,
143,0.06699002,,0.1222437,,0.1222437,,0.1556545,,0.1556545,,0.3321561,,2.250606,,2.250606,,2.250606,,0.2841173,,0.002015621,,0.1201326,,0.1201326,,0.0005783222,,0.007396266,,0.007396266,,0.7799482,,0.7799482,,
144,0.06747536,,0.1230612,,0.1230612,,0.1569764,,0.1569764,,0.331901,,2.245605,,2.245605,,2.245605,,0.2837898,,0.002025689,,0.1200512,,0.1200512,,0.0005729718,,0.007326989,,0.007326989,,0.7785579,,0.7785579,,
145,0.06793908,,0.1237256,,0.1237256,,0.1579757,,0.1579757,,0.331758,,2.237005,,2.237005,,2.237005,,0.2841802,,0.002036062,,0.1191927,,0.1191927,,0.0005664709,,0.00722165,,0.00722165,,0.7766235,,0.7766235,,
146,0.0683829,,0.1243783,,0.1243783,,0.1589386,,0.1589386,,0.3317476,,2.228833,,2.228833,,2.228833,,0.2845616,,0.002046353,,0.1183649,,0.1183649,,0.0005606971,,0.007121971,,0.007121971,,0.7746048,,0.7746048,,
147,0.06881134,,0.1250161,,0.1250161,,0.159892,,0.159892,,0.3318545,,2.22107,,2.22107,,2.22107,,0.2849341,,0.002056566,,0.1175668,,0.1175668,,0.0005554464,,0.007027562,,0.007027562,,0.7725034,,0.7725034,,
148,0.06922732,,0.125637,,0.125637,,0.1608374,,0.1608374,,0.3320599,,2.213701,,2.213701,,2.213701,,0.2852974,,0.002066617,,0.1167976,,0.1167976,,0.0005505835,,0.006938064,,0.006938064,,0.7703217,,0.7703217,,
149,0.06963319,,0.1262393,,0.1262393,,0.1617764,,0.1617764,,0.3323439,,2.206715,,2.206715,,2.206715,,0.2856514,,0.002076356,,0.1160563,,0.1160563,,0.0005460128,,0.006853146,,0.006853146,,0.7680625,,0.7680625,,
150,0.0700308,0.09696365,0.1268216,0.2815314,0.1268216,0.1786215,0.1627104,0.2828407,0.1627104,0.2214177,0.3326856,0.1748234,2.200106,0.9906678,2.200106,1.409095,2.200106,0.6355572,0.2859961,0.301355,0.002085581,0.003127758,0.1153421,0.103629,0.1153421,,0.0005416616,0.00114991,0.006772511,0.0220934,0.006772511,0.008221395,0.7657284,0.9469504,0.7657284,,
151,0.0704217,,0.1273829,,0.1273829,,0.1636405,,0.1636405,,0.3330639,,2.193868,,2.193868,,2.193868,,0.2863314,,0.002094056,,0.1146543,,0.1146543,,0.0005374704,,0.006695891,,0.006695891,,0.7633225,,0.7633225,,
152,0.07080703,,0.1279222,,0.1279222,,0.1645679,,0.1645679,,0.3334587,,2.187995,,2.187995,,2.187995,,0.2866572,,0.002101538,,0.1139921,,0.1139921,,0.0005333882,,0.006623041,,0.006623041,,0.760848,,0.760848,,
153,0.07118771,,0.128439,,0.128439,,0.1654937,,0.1654937,,0.3338512,,2.182485,,2.182485,,2.182485,,0.2869734,,0.002107788,,0.1133548,,0.1133548,,0.0005293706,,0.006553743,,0.006553743,,0.7583078,,0.7583078,,
154,0.07156377,,0.1289333,,0.1289333,,0.1664187,,0.1664187,,0.3342248,,2.177331,,2.177331,,2.177331,,0.28728,,0.002112571,,0.112742,,0.112742,,0.0005253798,,0.006487793,,0.006487793,,0.7557046,,0.7557046,,
155,0.07193556,,0.1294049,,0.1294049,,0.1673437,,0.1673437,,0.3345655,,2.172527,,2.172527,,2.172527,,0.287577,,0.002115655,,0.1121529,,0.1121529,,0.0005213852,,0.006425011,,0.006425011,,0.7530416,,0.7530416,,
156,0.07230324,,0.1298535,,0.1298535,,0.1682696,,0.1682696,,0.3348618,,2.168067,,2.168067,,2.168067,,0.2878642,,0.00211681,,0.1115872,,0.1115872,,0.0005173642,,0.006365226,,0.006365226,,0.7503215,,0.7503215,,
157,0.07265345,,0.1302903,,0.1302903,,0.168144,,0.168144,,0.3351983,,2.162186,,2.162186,,2.162186,,0.2878778,,0.002159481,,0.1117011,,0.1117011,,0.0005149955,,0.006274839,,0.006274839,,0.7479758,,0.7479758,,
158,0.07298183,,0.1307163,,0.1307163,,0.1679777,,0.1679777,,0.335575,,2.15674,,2.15674,,2.15674,,0.2878855,,0.002198454,,0.1118102,,0.1118102,,0.0005125423,,0.00619051,,0.00619051,,0.7456315,,0.7456315,,
159,0.07328373,,0.1311318,,0.1311318,,0.1678373,,0.1678373,,0.3359701,,2.151706,,2.151706,,2.151706,,0.2878875,,0.002233898,,0.111916,,0.111916,,0.0005100655,,0.006111669,,0.006111669,,0.7432896,,0.7432896,,
160,0.0735573,,0.1315358,,0.1315358,,0.1677239,,0.1677239,,0.3363619,,2.14706,,2.14706,,2.14706,,0.2878838,,0.00226586,,0.1120201,,0.1120201,,0.0005075748,,0.006037825,,0.006037825,,0.7409508,,0.7409508,,
161,0.07380143,,0.1319275,,0.1319275,,0.1676385,,0.1676385,,0.3367286,,2.14278,,2.14278,,2.14278,,0.2878742,,0.002294267,,0.1121239,,0.1121239,,0.0005050437,,0.005968551,,0.005968551,,0.7386158,,0.7386158,,
162,0.0740152,0.03573253,0.1323064,0.281025,0.1323064,0.2601641,0.1675818,0.2986774,0.1675818,0.2692882,0.3370491,0.3569311,2.138842,0.8173009,2.138842,1.749221,2.138842,2.166672,0.2878588,0.2076456,0.002318942,0.001644882,0.1122286,0.08767182,0.1122286,,0.000502423,0.0009298571,0.005903476,0.01868832,0.005903476,0.009059305,0.7362843,0.5299961,0.7362843,,
163,0.07419772,,0.132672,,0.132672,,0.1675541,,0.1675541,,0.3373045,,2.135223,,2.135223,,2.135223,,0.2878376,,0.002339642,,0.1123352,,0.1123352,,0.0004996522,,0.005842273,,0.005842273,,0.7339563,,0.7339563,,
164,0.07434807,,0.1330238,,0.1330238,,0.167556,,0.167556,,0.3374785,,2.131896,,2.131896,,2.131896,,0.2878106,,0.002356081,,0.1124443,,0.1124443,,0.0004966692,,0.005784658,,0.005784658,,0.7316312,,0.7316312,,
165,0.07446528,,0.1333619,,0.1333619,,0.1675875,,0.1675875,,0.3375579,,2.128834,,2.128834,,2.128834,,0.2877777,,0.002367969,,0.1125566,,0.1125566,,0.0004934184,,0.005730378,,0.005730378,,0.7293083,,0.7293083,,
166,0.07454835,,0.1336859,,0.1336859,,0.1676485,,0.1676485,,0.3375327,,2.126008,,2.126008,,2.126008,,0.2877389,,0.002375047,,0.1126725,,0.1126725,,0.0004898551,,0.005679212,,0.005679212,,0.7269866,,0.7269866,,
167,0.07459623,,0.1339961,,0.1339961,,0.1677389,,0.1677389,,0.3373961,,2.123386,,2.123386,,2.123386,,0.2876941,,0.002377119,,0.1127921,,0.1127921,,0.0004859497,,0.005630966,,0.005630966,,0.7246649,,0.7246649,,
168,0.07460782,,0.1342926,,0.1342926,,0.1678585,,0.1678585,,0.3371445,,2.120937,,2.120937,,2.120937,,0.2876433,,0.002374071,,0.1129154,,0.1129154,,0.0004816884,,0.005585469,,0.005585469,,0.7223418,,0.7223418,,
169,0.07460223,,0.1344645,,0.1344645,,0.1673076,,0.1673076,,0.336861,,2.132016,,2.132016,,2.132016,,0.2879743,,0.002345564,,0.1139654,,0.1139654,,0.0004777869,,0.005498876,,0.005498876,,0.7191733,,0.7191733,,
