EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad","biomass (observed) AM adult nad","biomass (predicted) AM adult mad","biomass (observed) AM adult mad","biomass (predicted) AM adult sad","biomass (observed) AM adult sad","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
12,0.00941848,,0.03791716,,0.03791716,,0.02079665,,0.02079665,,0.3164262,,1.868133,,1.868133,,1.868133,,0.2717365,,0.002161613,,0.1824378,,0.1824378,,0.001238924,,0.01284885,,0.01284885,,0.1674394,,0.1674394,,
13,0.009507234,,0.03805147,,0.03805147,,0.02106825,,0.02106825,,0.3176174,,1.889942,,1.889942,,1.889942,,0.27193,,0.002155016,,0.173318,,0.173318,,0.001239689,,0.0127589,,0.0127589,,0.1695335,,0.1695335,,
14,0.009597025,,0.0381912,,0.0381912,,0.02134485,,0.02134485,,0.3185501,,1.910866,,1.910866,,1.910866,,0.2721284,,0.002152278,,0.1649851,,0.1649851,,0.001241077,,0.01268201,,0.01268201,,0.1716922,,0.1716922,,
15,0.00968803,,0.03833568,,0.03833568,,0.02162615,,0.02162615,,0.3192662,,1.930922,,1.930922,,1.930922,,0.2723317,,0.002152621,,0.1573618,,0.1573618,,0.001242899,,0.01261641,,0.01261641,,0.1739301,,0.1739301,,
16,0.009780511,,0.03848441,,0.03848441,,0.02191171,,0.02191171,,0.3197814,,1.950153,,1.950153,,1.950153,,0.2725401,,0.002154935,,0.1503826,,0.1503826,,0.001244988,,0.0125606,,0.0125606,,0.1762625,,0.1762625,,
17,0.009874801,,0.03863693,,0.03863693,,0.02220112,,0.02220112,,0.3201382,,1.968569,,1.968569,,1.968569,,0.2727538,,0.002157912,,0.1439887,,0.1439887,,0.001247184,,0.01251337,,0.01251337,,0.1787048,,0.1787048,,
18,0.009971295,0.0216061,0.03879293,0.01683117,0.03879293,,0.02249398,0.01658357,0.02249398,,0.320379,1.325744,1.986176,,1.986176,4.300169,1.986176,,0.2729729,0.1626323,0.002160154,0.002048618,0.1381276,0.1548405,0.1381276,,0.001249319,0.0006286263,0.0124737,0.03804974,0.0124737,,0.1812723,0.0239931,0.1812723,,
19,0.01007045,,0.03895218,,0.03895218,,0.02278997,,0.02278997,,0.3205428,,2.002974,,2.002974,,2.002974,,0.2731977,,0.00216026,,0.1327517,,0.1327517,,0.001251215,,0.0124408,,0.0124408,,0.1839804,,0.1839804,,
20,0.01017275,,0.03911452,,0.03911452,,0.0230888,,0.0230888,,0.3206625,,2.018964,,2.018964,,2.018964,,0.2734283,,0.002156892,,0.1278187,,0.1278187,,0.001252688,,0.01241401,,0.01241401,,0.1868444,,0.1868444,,
21,0.01027872,,0.03927986,,0.03927986,,0.0233902,,0.0233902,,0.320766,,2.034146,,2.034146,,2.034146,,0.2736648,,0.002148731,,0.1232904,,0.1232904,,0.001253549,,0.01239282,,0.01239282,,0.189879,,0.189879,,
