EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1985,0.003110188,0.08943483,0.4574313,0.002796075,0.07744309,0.1773481,0.001140971,0.1537912,0.002433597,0.07514688,0.002774027,0.1225336,0.3000136,0.1950089,0.2965718,0,0
1986,0.003026265,0.08675823,0.4766649,0.002908078,0.0751738,0.1773481,0.001129852,0.1926024,0.002473158,0.07533089,0.002929938,0.1230056,0.3000136,0.1950089,0.2965718,0,0
1987,0.002871643,0.08311779,0.5066181,0.00296589,0.07528084,0.1773481,0.0009846998,0.2458598,0.002475431,0.07518131,0.002764277,0.1199642,0.3000136,0.1950089,0.2965718,0,0
1988,0.002853818,0.07818841,0.5326081,0.002897531,0.07613187,0.1773481,0.001457817,0.2756258,0.002576679,0.07374626,0.002845081,0.1269684,0.3000136,0.1950089,0.2965718,0,0
1989,0.002930343,0.07188874,0.5523071,0.002848635,0.07581732,0.1773481,0.001617784,0.181857,0.002550411,0.07399642,0.003019707,0.1155029,0.3000136,0.1950089,0.2965718,0,0
1990,0.002688685,0.06654368,0.5789539,0.002928867,0.07443804,0.1773481,0.001500248,0.1836665,0.002372929,0.0769963,0.002876819,0.1176005,0.3000136,0.1950089,0.2965718,0,0
1991,0.002540192,0.0635776,0.6104801,0.002924903,0.07477185,0.1773481,0.001320555,0.1905912,0.002339823,0.078059,0.00284035,0.1211542,0.3000136,0.1950089,0.2965718,0,0
1992,0.002478175,0.05997987,0.643285,0.002837808,0.07668535,0.1773481,0.001216284,0.221559,0.002334089,0.07812894,0.002850367,0.1213393,0.3000136,0.1950089,0.2965718,0,0
1993,0.002429424,0.05550118,0.6699175,0.002791765,0.07693455,0.1773481,0.00123104,0.2325305,0.002244736,0.07989698,0.002842682,0.1209814,0.3000136,0.1950089,0.2965718,0,0
1994,0.002400008,0.05104195,0.6912515,0.002801213,0.07570589,0.1773481,0.001179347,0.2395129,0.002168843,0.08251043,0.00282913,0.1214326,0.3000136,0.1950089,0.2965718,0,0
