EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
119,3.26415,3.985441,4.093179,2.592561,2.673048,3.821757,3.880525,4.12306,3.467959,3.522317,3.359915,3.358891,3.060114,2.17612,2.37825,1,1
120,3.263125,3.987654,4.093365,2.592574,2.672366,3.823232,3.878711,4.122838,3.464147,3.518458,3.359764,3.358759,3.060101,2.176075,2.378245,1,1
121,3.262041,3.987882,4.091981,2.592565,2.671731,3.822625,3.876986,4.121878,3.460388,3.514607,3.359576,3.358597,3.060089,2.176029,2.378239,1,1
122,3.261007,3.988068,4.090806,2.592529,2.67163,3.821946,3.875076,4.120037,3.456704,3.510871,3.359408,3.35849,3.060088,2.17599,2.378241,1,1
123,3.259997,3.98825,4.089645,2.592463,2.67155,3.821263,3.873296,4.118175,3.453103,3.507182,3.359247,3.358392,3.060094,2.175954,2.378247,1,1
124,3.25901,3.988433,4.088508,2.592366,2.671496,3.820577,3.871643,4.116301,3.449589,3.503543,3.359096,3.358298,3.060106,2.175922,2.378257,1,1
125,3.258042,3.988618,4.087401,2.592237,2.671475,3.819888,3.870113,4.114424,3.44616,3.49995,3.358951,3.358208,3.060122,2.175893,2.37827,1,1
126,3.257092,3.988808,4.086332,2.592076,2.671492,3.819195,3.868705,4.112548,3.442817,3.496406,3.358814,3.358121,3.060141,2.175867,2.378284,1,1
127,3.256159,3.989006,4.085309,2.591886,2.671551,3.818495,3.867419,4.11068,3.439559,3.492909,3.358683,3.358035,3.060162,2.175842,2.378299,1,1
128,3.255241,3.989213,4.084332,2.591668,2.671658,3.817783,3.866256,4.108818,3.436383,3.489462,3.358559,3.357949,3.060184,2.175819,2.378316,1,1
129,3.25434,3.989428,4.083409,2.591427,2.671816,3.817056,3.865211,4.106964,3.433288,3.486064,3.35844,3.357862,3.060206,2.175798,2.378332,1,1
130,3.253455,3.989654,4.082538,2.591166,2.672029,3.816308,3.864285,4.105117,3.430272,3.482718,3.358327,3.357772,3.06023,2.175778,2.37835,1,1
131,3.252587,3.989888,4.08172,2.590891,2.672301,3.815534,3.863467,4.103275,3.427333,3.479423,3.358218,3.357679,3.060255,2.17576,2.378367,1,1
132,3.251737,3.99013,4.080951,2.590606,2.672632,3.814729,3.86275,4.101436,3.424471,3.476183,3.358115,3.357581,3.06028,2.175742,2.378386,1,1
133,3.25089,3.990977,4.080894,2.590319,2.673024,3.814621,3.862114,4.099777,3.421685,3.472974,3.35803,3.357493,3.060306,2.175725,2.378404,1,1
134,3.250083,3.991805,4.080773,2.590048,2.673579,3.814506,3.862143,4.098437,3.419021,3.469599,3.35794,3.357392,3.060329,2.175708,2.378421,1,1
135,3.249308,3.992593,4.080644,2.589796,2.674207,3.814362,3.862246,4.097182,3.416444,3.466302,3.357851,3.357293,3.06035,2.17569,2.378436,1,1
136,3.248566,3.993335,4.080502,2.589566,2.674904,3.814187,3.862412,4.096003,3.413951,3.463083,3.357764,3.357195,3.060369,2.175672,2.37845,1,1
137,3.247858,3.99403,4.080339,2.58936,2.675663,3.81398,3.862614,4.09489,3.41154,3.459942,3.357679,3.357101,3.060388,2.175654,2.378464,1,1
138,3.247184,3.994675,4.08015,2.589179,2.676479,3.813739,3.862824,4.093838,3.409211,3.45688,3.357597,3.35701,3.060406,2.175636,2.378478,1,1
