EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28,1.014482,1,1,1.01395,1,1,0.9851915,1,0.9815334,1,1.00017,1,1,1,1,1,1
29,1.016261,1,1,1.013782,1,1,0.9882016,1,0.9800535,1,1.000063,1,1,1,1,1,1
30,1.018045,1,1,1.013569,1,1,0.9917597,1,0.979004,1,0.9999601,1,1,1,1,1,1
31,1.01982,1,1,1.013319,1,1,0.9958361,1,0.9784641,1,0.999867,1,1,1,1,1,1
32,1.02159,1,1,1.013026,1,1,1.00032,1,0.9784868,1,0.9997886,1,1,1,1,1,1
33,1.02336,1,1,1.012694,1,1,1.004901,1,0.9790955,1,0.9997267,1,1,1,1,1,1
34,1.025136,1,1,1.012333,1,1,1.009053,1,0.9802855,1,0.9996808,1,1,1,1,1,1
35,1.026922,1,1,1.011953,1,1,1.012099,1,0.9820276,1,0.9996485,1,1,1,1,1,1
36,1.028719,1,1,1.011569,1,1,1.013329,1,0.9842716,1,0.999626,1,1,1,1,1,1
37,1.030525,1,1,1.011193,1,1,1.012129,1,0.9869523,1,0.9996092,1,1,1,1,1,1
38,1.032275,1,1,1.010883,1,1,1.004426,1,0.9897225,1,0.9996594,1,1,1,1,1,1
39,1.033972,1,1,1.010669,1,1,0.9932215,1,0.9923784,1,0.9997491,1,1,1,1,1,1
40,1.035613,1,1,1.010559,1,1,0.980302,1,0.9946993,1,0.9998618,1,1,1,1,1,1
41,1.037193,1,1,1.010551,1,1,0.9665427,1,0.9964396,1,0.9999868,1,1,1,1,1,1
42,1.038711,1,1,1.010638,1,1,0.9522943,1,0.9973416,1,1.000116,1,1,1,1,1,1
43,1.040168,1,1,1.0108,1,1,0.9377027,1,0.9971585,1,1.000245,1,1,1,1,1,1
44,1.041567,1,1,1.011025,1,1,0.9229052,1,0.995676,1,1.000368,1,1,1,1,1,1
45,1.042912,1,1,1.011302,1,1,0.9081475,1,0.9927334,1,1.000484,1,1,1,1,1,1
46,1.044205,1,1,1.011621,1,1,0.8938581,1,0.9882377,1,1.000592,1,1,1,1,1,1
47,1.045451,1,1,1.011975,1,1,0.8806919,1,0.9821712,1,1.000692,1,1,1,1,1,1
48,1.046655,1,1,1.012358,1,1,0.8695917,1,0.974591,1,1.000785,1,1,1,1,1,1
49,1.047822,1,1,1.012764,1,1,0.8619235,1,0.9656225,1,1.000874,1,1,1,1,1,1
50,1.048652,1,1,1.013215,1,1,0.8577148,1,0.9561607,1,1.000964,1,1,1,1,1,1
