EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
41,1.120052,0.5912889,0.3327189,1.716447,1.508597,0.3163695,1.39045,1.240949,1.383183,1.614934,1.127089,0.7375011,2.180526,2.437485,45.89965,186.4015,0
42,1.120852,0.591342,0.3327333,1.715284,1.508157,0.316341,1.427723,1.239287,1.387836,1.611583,1.135207,0.7376325,2.184971,2.437742,45.90089,186.3995,0
43,1.121721,0.5913828,0.3327423,1.714576,1.507741,0.3163116,1.462991,1.237564,1.392152,1.608697,1.144668,0.7379243,2.189373,2.438005,45.90221,186.3975,0
44,1.122656,0.5914128,0.3327462,1.714278,1.507344,0.3162817,1.496638,1.235767,1.395782,1.606243,1.155493,0.7384183,2.193648,2.438275,45.90359,186.3954,0
45,1.123649,0.5914332,0.3327448,1.714345,1.506967,0.3162511,1.529357,1.233881,1.398364,1.604191,1.167686,0.7391541,2.197729,2.438548,45.90501,186.3933,0
46,1.124696,0.5914448,0.3327385,1.714734,1.506609,0.31622,1.561808,1.231902,1.399552,1.602514,1.181254,0.7401682,2.20157,2.438824,45.90646,186.3911,0
47,1.12579,0.5914486,0.3327272,1.715408,1.506271,0.3161886,1.59526,1.22983,1.399042,1.601186,1.196229,0.7414908,2.20515,2.439101,45.90795,186.3889,0
48,1.126921,0.591445,0.332711,1.716342,1.505955,0.3161569,1.632149,1.227662,1.396592,1.600185,1.212684,0.7431451,2.208462,2.439379,45.90946,186.3867,0
49,1.128547,0.5750535,0.2038988,1.715869,1.413161,0.3205612,1.82025,0.855438,1.388588,1.453857,1.18291,0.7021753,2.211499,2.439657,45.91098,186.3845,0
50,1.130413,0.5750086,0.2038434,1.716545,1.414282,0.3205236,1.814299,0.8570193,1.383447,1.45676,1.192071,0.7061971,2.217432,2.440003,45.91364,186.3826,0
51,1.132315,0.5749665,0.2038119,1.71762,1.415222,0.3204852,1.811682,0.8585799,1.379276,1.45933,1.200899,0.7102429,2.223408,2.440336,45.91611,186.3808,0
52,1.134211,0.574927,0.2037835,1.719027,1.416017,0.3204459,1.811575,0.8600139,1.375961,1.461626,1.209327,0.7143097,2.229351,2.440656,45.91843,186.3789,0
53,1.136069,0.5748903,0.2037579,1.720677,1.416702,0.3204058,1.812975,0.8613436,1.373593,1.46369,1.217332,0.7183919,2.235224,2.440965,45.92061,186.377,0
54,1.137866,0.5748562,0.2037348,1.722501,1.417303,0.3203648,1.815095,0.8625862,1.372358,1.465553,1.224916,0.7224821,2.241018,2.441262,45.92269,186.375,0
55,1.139588,0.574825,0.2037138,1.724444,1.417845,0.3203232,1.81727,0.8637559,1.37247,1.467241,1.232086,0.7265731,2.246738,2.441549,45.92468,186.373,0
56,1.141223,0.5747966,0.2036949,1.726465,1.418347,0.3202808,1.819319,0.8648601,1.374122,1.468776,1.23885,0.7306573,2.252407,2.441825,45.92658,186.3709,0
57,1.142769,0.5747712,0.2036779,1.728535,1.418824,0.3202377,1.82096,0.8659082,1.377461,1.470178,1.245226,0.7347283,2.258045,2.442093,45.92841,186.3687,0
58,1.14422,0.5747491,0.2036629,1.730629,1.419289,0.3201941,1.822201,0.8669065,1.382566,1.471465,1.251237,0.7387798,2.263676,2.442352,45.93015,186.3666,0
59,1.145579,0.5747308,0.2036499,1.732727,1.419755,0.3201497,1.823215,0.8678609,1.389455,1.472655,1.256914,0.742806,2.269319,2.442603,45.93182,186.3645,0
