EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.69076E-06
1985,3,11,0.005140366
1986,1,1,1.886831E-06
1986,3,11,0.003322682
1987,1,1,2.143159E-06
1987,3,11,0.003433622
1988,1,1,2.414849E-06
1988,3,11,0.004114921
1989,1,1,2.788019E-06
1989,3,11,0.00533683
1990,1,1,3.28708E-06
1990,3,11,0.01658016
1991,1,1,4.157102E-06
1991,3,11,0.01380858
1992,1,1,5.247003E-06
1992,3,11,0.0180044
1993,1,1,6.513559E-06
1993,3,11,0.02219571
1994,1,1,7.842286E-06
1994,3,11,0.02081802
1995,1,1,9.536164E-06
1995,3,11,0.02360476
1996,1,1,1.092777E-05
1996,3,11,0.02777011
1997,1,1,1.217217E-05
1997,3,11,0.01912433
1998,1,1,1.273023E-05
1998,3,11,0.02230048
1999,1,1,1.257191E-05
1999,3,11,0.01761797
2000,1,1,1.173434E-05
2000,3,11,0.01242533
2001,1,1,1.079199E-05
2001,3,11,0.00683987
2002,1,1,1.059855E-05
2002,3,11,0.006474836
2003,1,1,1.017676E-05
2003,3,11,0.003167812
2004,1,1,9.836705E-06
2004,3,11,0.003786355
2005,1,1,9.307892E-06
2005,3,11,0.003794531
2006,1,1,8.99502E-06
2006,3,11,0.004792558
2007,1,1,8.61838E-06
2007,3,11,0.005999412
2008,1,1,7.910572E-06
2008,3,11,0.006028369
2009,1,1,7.101551E-06
2009,3,11,0.00560781
2010,1,1,6.640749E-06
2010,3,11,0.005587887
2011,1,1,6.389581E-06
2011,3,11,0.009768856
2012,1,1,6.676628E-06
2012,3,11,0.01088716
2013,1,1,6.752356E-06
2013,3,11,0.007409176
2014,1,1,6.70987E-06
2014,3,11,0.01079157
2015,1,1,6.751203E-06
2015,3,11,0.008729755
2016,1,1,6.789719E-06
2016,3,11,0.01219137
2017,1,1,6.585891E-06
2017,3,11,0.01109685
