EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:26:23 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.682832E-06
1985,3,11,0.00514033
1986,1,1,1.87228E-06
1986,3,11,0.003322626
1987,1,1,2.099746E-06
1987,3,11,0.003433509
1988,1,1,2.469945E-06
1988,3,11,0.004114717
1989,1,1,2.922101E-06
1989,3,11,0.005336725
1990,1,1,3.310298E-06
1990,3,11,0.0165801
1991,1,1,4.008654E-06
1991,3,11,0.01380856
1992,1,1,5.030197E-06
1992,3,11,0.01800422
1993,1,1,6.31917E-06
1993,3,11,0.02219546
1994,1,1,7.814843E-06
1994,3,11,0.02081785
1995,1,1,9.404934E-06
1995,3,11,0.02360441
1996,1,1,1.081039E-05
1996,3,11,0.02776985
1997,1,1,1.175862E-05
1997,3,11,0.01912457
1998,1,1,1.238119E-05
1998,3,11,0.0223012
1999,1,1,1.24294E-05
1999,3,11,0.01761861
2000,1,1,1.177347E-05
2000,3,11,0.01242573
2001,1,1,1.100678E-05
2001,3,11,0.006840082
2002,1,1,1.070936E-05
2002,3,11,0.006475018
2003,1,1,1.0355E-05
2003,3,11,0.003167924
2004,1,1,1.004963E-05
2004,3,11,0.003786443
2005,1,1,9.729659E-06
2005,3,11,0.003794616
2006,1,1,9.412713E-06
2006,3,11,0.004792593
2007,1,1,9.001868E-06
2007,3,11,0.005999404
2008,1,1,8.403565E-06
2008,3,11,0.00602835
2009,1,1,7.680394E-06
2009,3,11,0.005607771
2010,1,1,7.02685E-06
2010,3,11,0.005587822
2011,1,1,6.428438E-06
2011,3,11,0.009768589
2012,1,1,6.286957E-06
2012,3,11,0.01088675
2013,1,1,6.41388E-06
2013,3,11,0.007408911
2014,1,1,6.632109E-06
2014,3,11,0.01079118
2015,1,1,6.784556E-06
2015,3,11,0.008729444
2016,1,1,6.833503E-06
2016,3,11,0.01219091
2017,1,1,6.703372E-06
2017,3,11,0.01109649
