EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:35 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,MortFleetGroup

year,fleet,group,value
1985,1,1,0.0001882295
1985,3,11,0.01892683
1986,1,1,0.0001882295
1986,3,11,0.01216372
1987,1,1,0.0001882295
1987,3,11,0.01242056
1988,1,1,0.0001882295
1988,3,11,0.01469266
1989,1,1,0.0001882295
1989,3,11,0.01882322
1990,1,1,0.0001882295
1990,3,11,0.05900853
1991,1,1,0.0001882295
1991,3,11,0.05006554
1992,1,1,0.0001882295
1992,3,11,0.06659896
1993,1,1,0.0001882295
1993,3,11,0.08493751
1994,1,1,0.0001882295
1994,3,11,0.08266985
1995,1,1,0.0001882295
1995,3,11,0.09761273
1996,1,1,0.0001882295
1996,3,11,0.1216071
1997,1,1,0.0001882295
1997,3,11,0.08775046
1998,1,1,0.0001882295
1998,3,11,0.1061223
1999,1,1,0.0001882295
1999,3,11,0.0865461
2000,1,1,0.0001882295
2000,3,11,0.06151813
2001,1,1,0.0001882295
2001,3,11,0.03325165
2002,1,1,0.0001882295
2002,3,11,0.030541
2003,1,1,0.0001882295
2003,3,11,0.01441147
2004,1,1,0.0001882295
2004,3,11,0.01658226
2005,1,1,0.0001882295
2005,3,11,0.01608172
2006,1,1,0.0001882295
2006,3,11,0.01976486
2007,1,1,0.0001882295
2007,3,11,0.02426419
2008,1,1,0.0001882295
2008,3,11,0.02400783
2009,1,1,0.0001882295
2009,3,11,0.02201519
2010,1,1,0.0001882295
2010,3,11,0.02165218
2011,1,1,0.0001882295
2011,3,11,0.0376239
2012,1,1,0.0001882295
2012,3,11,0.04204707
2013,1,1,0.0001882295
2013,3,11,0.02853818
2014,1,1,0.0001882295
2014,3,11,0.04147095
2015,1,1,0.0001882295
2015,3,11,0.03352534
2016,1,1,0.0001882295
2016,3,11,0.04693635
2017,1,1,0.0001882295
2017,3,11,0.04302335
