"","0","1","2","3","4","5","6"
"1985",0.003152065,0.05431661,0.42908,0.580156,0.4663223,0.3765889,0.1419948
"1986",0.002128196,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257
"1987",0.00270024,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988
"1988",0.003481898,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684
"1989",0.003317579,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549
"1990",0.002491139,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725
"1991",0.00268842,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523
"1992",0.001543232,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368
"1993",0.001710341,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014
"1994",0.00167081,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322
"1995",0.001915634,0.03223452,0.2107295,0.2650202,0.1977306,0.1067505,0.01459865
"1996",0.001643223,0.02752895,0.1721247,0.2023159,0.1440447,0.07568175,0.01252079
"1997",0.002269633,0.03780697,0.2174656,0.2167932,0.1348738,0.0653229,0.0173316
"1998",0.002877355,0.04799607,0.2716722,0.260004,0.1552451,0.07278749,0.02220456
"1999",0.001857841,0.03168291,0.1863802,0.191211,0.1208304,0.05675057,0.01559992
"2000",0.001022784,0.0177736,0.1235136,0.1708928,0.1326461,0.07012838,0.008918097
"2001",0.001628531,0.02759498,0.1691309,0.1854839,0.1261075,0.06475739,0.01295057
"2002",0.00142925,0.02465178,0.1524529,0.1661537,0.1121415,0.05645014,0.01214907
"2003",0.001566219,0.02674861,0.1543853,0.1460351,0.08666745,0.04008641,0.01307778
"2004",0.001561011,0.02685771,0.1662246,0.1831354,0.124368,0.06265177,0.01318565
"2005",0.0004362557,0.02664917,0.1878184,0.1778348,0.1267474,0.0695279,0.02445824
"2006",0.0003147461,0.01921272,0.1643851,0.2250199,0.1910699,0.1108975,0.01721452
"2007",0.0003045183,0.01850724,0.1454308,0.1904286,0.1552624,0.08434251,0.01728757
"2008",0.0002164708,0.01329505,0.1092612,0.1549051,0.1291586,0.06956937,0.0126838
"2009",0.0003172248,0.01919631,0.1375157,0.1467707,0.1100546,0.05913639,0.01771716
"2010",0.0003711894,0.02219149,0.1626588,0.19487,0.1529754,0.08181322,0.02046571
"2011",0.0002849438,0.01717174,0.1327355,0.1840073,0.1505124,0.07842529,0.0163982
"2012",0.0002043975,0.01244832,0.09773768,0.1446419,0.1191992,0.05995144,0.01234731
"2013",0.0001679925,0.01055921,0.08982344,0.121763,0.07303665,0.02100618,0.004622983
"2014",0.0002285708,0.01447087,0.1240518,0.1701833,0.1020176,0.02909858,0.006467676
"2015",0.000277742,0.01751037,0.1518549,0.2174096,0.1295411,0.03545948,0.007657224
"2016",0.0001961594,0.01246045,0.1262931,0.2096772,0.123328,0.03232222,0.006801429
"2017",0.0001198768,0.007672264,0.08811444,0.157045,0.09195568,0.02416422,0.005082002
