0,1,2,3,4,5,6
0.000874296,0.09583976,1,0.9112757,0.6142468,0.3131948,0.1281919
0.0007680986,0.09280652,1,0.91764,0.6204146,0.3084025,0.1200576
0.0007697913,0.09214116,1,0.932522,0.6532854,0.3420358,0.1398517
0.0008138902,0.0930691,1,0.9243241,0.6387022,0.3335554,0.1382764
0.0007574363,0.09301278,1,0.912126,0.6102079,0.2988888,0.1148039
0.0007952704,0.09304102,1,0.894494,0.5966556,0.3083059,0.1308793
0.0007077324,0.08960291,1,0.8908043,0.5895428,0.2996732,0.1246216
0.0007269635,0.08984515,1,0.9295653,0.6472494,0.3363272,0.1367102
0.0007926896,0.09446796,1,0.9033896,0.5943164,0.2871825,0.1098843
0.0007926896,0.09446796,1,0.9033896,0.5943164,0.2871825,0.1098843
0.0008041917,0.0933876,1,0.8923057,0.5921772,0.3041489,0.1284629
0.000664771,0.08876915,1,0.9089254,0.6134829,0.3084991,0.1228927
0.0008181943,0.09345635,1,0.9300544,0.649837,0.3431023,0.1430582
0.0006689183,0.08884249,1,0.9272598,0.6377813,0.3182443,0.1219585
0.0008447273,0.09374957,1,0.9229805,0.6380281,0.3366614,0.1422133
0.0006017456,0.08550109,1,0.9445903,0.671531,0.3434625,0.1314796
0.0007740465,0.0939029,1,0.904431,0.5946267,0.2852859,0.1078643
0.0006420726,0.08705917,1,0.9161095,0.6245053,0.315778,0.1254752
0.0006420726,0.08705917,1,0.9161095,0.6245053,0.315778,0.1254752
0.0008534128,0.09567375,1,0.9085392,0.6041845,0.2986297,0.1174536
0.0007619678,0.09161035,1,0.9002025,0.6013116,0.3064897,0.1267204
0.0007691626,0.09174497,1,0.8957462,0.5986454,0.3096037,0.1313422
0.0007116131,0.08920666,1,0.9291637,0.6467046,0.3356135,0.1361656
0.0007250501,0.0900348,1,0.9054477,0.6092345,0.3108435,0.1276388
0.0007956746,0.09280589,1,0.8903126,0.5876604,0.2996255,0.1256689
0.0008674864,0.09633438,1,0.9080164,0.6042507,0.299728,0.1185445
0.0008051327,0.09290163,1,0.9299464,0.6498345,0.343052,0.1429753
0.0006371464,0.08645357,1,0.9361437,0.6581019,0.3392059,0.1339744
0.0006371464,0.08645357,1,0.9361437,0.6581019,0.3392059,0.1339744
0.0007190908,0.09038887,1,0.8977524,0.599706,0.3059235,0.1266603
0.0008729507,0.09574724,1,0.9130558,0.6142563,0.3101011,0.1249482
0.0007427843,0.09043734,1,0.8962125,0.5994386,0.3100151,0.1313928
0.0007427843,0.09043734,1,0.8962125,0.5994386,0.3100151,0.1313928
0.0006694236,0.08811907,1,0.9326281,0.6497268,0.3312464,0.1298153
0.0008680473,0.09649299,1,0.9029326,0.5967129,0.2949736,0.1169074
0.0007870329,0.09379058,1,0.912915,0.6128883,0.3036424,0.1185358
0.0006238258,0.08546524,1,0.9538994,0.6932134,0.3688765,0.1473623
0.000664677,0.08809871,1,0.9331758,0.6501786,0.3303814,0.1286554
0.000664677,0.08809871,1,0.9331758,0.6501786,0.3303814,0.1286554
0.0006836006,0.08952193,1,0.9240102,0.6304281,0.3115544,0.1185781
0.0008864524,0.0957191,1,0.91499,0.6207318,0.3195742,0.132088
0.0008864524,0.0957191,1,0.91499,0.6207318,0.3195742,0.132088
0.000700136,0.08962084,1,0.9278087,0.6394899,0.3224825,0.1256689
0.000700136,0.08962084,1,0.9278087,0.6394899,0.3224825,0.1256689
0.0007663414,0.09221498,1,0.9006149,0.6018452,0.3061721,0.1260852
0.000751591,0.09125859,1,0.9350702,0.6569084,0.3434363,0.1394947
0.000751591,0.09125859,1,0.9350702,0.6569084,0.3434363,0.1394947
0.0009143902,0.09700024,1,0.9115301,0.6136529,0.313042,0.1284417
0.0007459481,0.09074901,1,0.9279438,0.6434593,0.3327133,0.134749
0.0008877301,0.09655999,1,0.9075737,0.6069502,0.3065122,0.1244677
0.0008225514,0.09432193,1,0.915342,0.6193957,0.3132627,0.1257201
0.0008225514,0.09432193,1,0.915342,0.6193957,0.3132627,0.1257201
0.0007554434,0.09231685,1,0.9161251,0.6175407,0.3056624,0.1185169
0.0007707986,0.09200455,1,0.8928628,0.5944736,0.3066861,0.1300869
0.0006062426,0.08490706,1,0.942343,0.6695443,0.3469069,0.1362469
0.0006062426,0.08490706,1,0.942343,0.6695443,0.3469069,0.1362469
0.0007992894,0.09519899,1,0.9004441,0.5866276,0.2785014,0.1044841
0.0006698107,0.08671713,1,0.9564683,0.7009685,0.3832197,0.1593588
0.0007104679,0.09086225,1,0.9221981,0.6284309,0.3119036,0.1198412
0.0006639682,0.08734654,1,0.9307092,0.6488792,0.3345996,0.1338189
0.000803341,0.09415696,1,0.9210028,0.6289778,0.3186881,0.1268287
0.0007272426,0.09106507,1,0.9195853,0.6252281,0.3124773,0.1219613
0.0007727524,0.09201649,1,0.8941585,0.5976667,0.3103734,0.1326326
0.0007519384,0.09293001,1,0.9130644,0.6101674,0.2967695,0.1127076
0.0009028162,0.09588775,1,0.9176959,0.6280491,0.3292676,0.1392019
0.0007974638,0.09218897,1,0.8862478,0.5878276,0.3073628,0.1341503
0.0006270443,0.08705599,1,0.9398033,0.6624607,0.3367769,0.1290774
0.0006676468,0.08803388,1,0.9004717,0.5996472,0.3001671,0.1205554
0.0007042825,0.09005932,1,0.8980886,0.5990116,0.3033178,0.1241383
0.0007626987,0.09336353,1,0.9146381,0.6131536,0.2994775,0.1141471
0.0007626987,0.09336353,1,0.9146381,0.6131536,0.2994775,0.1141471
0.0007776553,0.09185736,1,0.9289855,0.6445511,0.3339696,0.135684
0.0007658527,0.09305991,1,0.9199198,0.6261892,0.3139245,0.1230359
0.0006998404,0.0906373,1,0.9274736,0.639362,0.3208817,0.1239133
0.0008368355,0.09581666,1,0.904266,0.5970556,0.2919308,0.1135829
0.0007838537,0.09380615,1,0.9149833,0.6170469,0.3070038,0.1200945
0.0006391306,0.08703587,1,0.9329037,0.650478,0.330442,0.1284728
0.0006695089,0.08856029,1,0.9404867,0.6644126,0.3416595,0.1333971
0.0008054352,0.09451288,1,0.9080715,0.6050716,0.2988223,0.1170681
0.0007116129,0.08920665,1,0.9291638,0.6467047,0.3356135,0.1361656
0.0008028908,0.09286865,1,0.9313373,0.6507389,0.341759,0.1410737
0.0009070921,0.09628503,1,0.9146248,0.6204683,0.3205294,0.1333206
0.0007727529,0.09201649,1,0.8941586,0.5976668,0.3103734,0.1326326
0.0008480008,0.09566666,1,0.9084288,0.6043398,0.298655,0.1173725
0.000803922,0.09365936,1,0.915824,0.6196542,0.3122896,0.1245405
0.0007350466,0.09236904,1,0.9129261,0.610443,0.2968368,0.1126007
0.000810075,0.0927729,1,0.9255763,0.6383665,0.3306531,0.1353243
0.000810075,0.0927729,1,0.9255763,0.6383665,0.3306531,0.1353243
0.0008673276,0.09636046,1,0.9103733,0.6091115,0.3041567,0.1209507
0.0008933195,0.09631378,1,0.9126616,0.6139675,0.3110367,0.126129
0.0007816859,0.09162391,1,0.927082,0.642686,0.3351595,0.1379798
0.000651913,0.08694561,1,0.9619331,0.7095884,0.38354,0.1542357
0.000651913,0.08694561,1,0.9619331,0.7095884,0.38354,0.1542357
0.0008669444,0.0954714,1,0.9145904,0.6185868,0.3151226,0.12823
0.0008796057,0.09634479,1,0.9070847,0.6039155,0.3016883,0.1207799
0.000625101,0.08588397,1,0.9335285,0.6527134,0.3339938,0.1311248
0.000625101,0.08588397,1,0.9335285,0.6527134,0.3339938,0.1311248
0.0007172267,0.09097165,1,0.9204425,0.6254948,0.3104511,0.1197219
0.0007172267,0.09097165,1,0.9204425,0.6254948,0.3104511,0.1197219
0.0006171513,0.08620572,1,0.9425299,0.6689383,0.3438274,0.1332036
0.0007624161,0.09359947,1,0.9105472,0.6062057,0.2941789,0.111793
0.0008039227,0.09365935,1,0.9158239,0.619654,0.3122895,0.1245405
0.0007283589,0.08999996,1,0.9416492,0.6684561,0.3517283,0.1424902
0.0008222578,0.09532883,1,0.9094937,0.6044518,0.2954081,0.1139389
