0,1,2,3,4,5,6
1.88,1.36,1.06,0.92,0.84,0.79,0.76
1.85,1.33,1.05,0.91,0.83,0.78,0.75
1.85,1.33,1.05,0.91,0.83,0.78,0.75
1.83,1.31,1.02,0.88,0.8,0.75,0.72
1.58,1.22,1,0.89,0.83,0.79,0.76
1.58,1.22,1,0.89,0.83,0.79,0.76
1.8,1.31,1.03,0.9,0.82,0.77,0.74
1.8,1.31,1.03,0.9,0.82,0.77,0.74
1.72,1.31,1.07,0.95,0.88,0.84,0.81
1.71,1.29,1.05,0.93,0.86,0.82,0.79
1.71,1.29,1.05,0.93,0.86,0.82,0.79
1.56,1.2,0.99,0.88,0.82,0.78,0.75
1.74,1.29,1.04,0.91,0.84,0.8,0.77
1.59,1.21,0.98,0.87,0.81,0.77,0.74
1.66,1.24,1,0.88,0.82,0.77,0.74
1.66,1.24,1,0.88,0.82,0.77,0.74
1.74,1.27,1,0.87,0.8,0.75,0.72
1.71,1.33,1.09,0.98,0.91,0.87,0.84
1.92,1.38,1.08,0.93,0.85,0.8,0.77
1.92,1.38,1.08,0.93,0.85,0.8,0.77
1.71,1.23,0.96,0.83,0.76,0.71,0.68
1.81,1.34,1.07,0.94,0.87,0.82,0.79
1.8,1.29,1,0.87,0.79,0.75,0.71
1.84,1.35,1.07,0.93,0.86,0.81,0.77
1.66,1.25,1,0.89,0.82,0.78,0.75
1.77,1.29,1.01,0.88,0.81,0.76,0.73
1.71,1.33,1.1,0.99,0.92,0.88,0.85
1.76,1.26,0.99,0.86,0.78,0.74,0.7
1.56,1.22,1.01,0.91,0.85,0.81,0.78
1.7,1.32,1.1,0.98,0.92,0.88,0.85
1.88,1.35,1.06,0.91,0.84,0.79,0.75
1.86,1.37,1.09,0.95,0.87,0.82,0.79
1.8,1.35,1.09,0.96,0.89,0.85,0.81
1.75,1.25,0.98,0.85,0.77,0.73,0.7
1.75,1.25,0.98,0.85,0.77,0.73,0.7
1.7,1.27,1.03,0.9,0.84,0.79,0.76
1.73,1.25,0.98,0.85,0.78,0.74,0.7
1.79,1.3,1.02,0.89,0.82,0.77,0.74
1.66,1.22,0.97,0.85,0.78,0.74,0.71
1.71,1.24,0.97,0.84,0.77,0.73,0.7
1.88,1.35,1.05,0.91,0.83,0.78,0.75
1.82,1.33,1.06,0.93,0.85,0.8,0.77
1.69,1.24,0.98,0.86,0.79,0.75,0.72
1.78,1.32,1.06,0.93,0.86,0.81,0.78
1.65,1.27,1.05,0.94,0.87,0.83,0.8
1.56,1.21,1,0.89,0.83,0.79,0.77
1.71,1.33,1.1,0.99,0.92,0.88,0.85
1.64,1.22,0.98,0.86,0.79,0.75,0.72
1.68,1.25,1,0.88,0.81,0.77,0.74
1.78,1.27,0.99,0.86,0.78,0.74,0.7
1.66,1.26,1.03,0.91,0.84,0.8,0.77
1.66,1.26,1.03,0.91,0.84,0.8,0.77
1.62,1.21,0.97,0.86,0.79,0.75,0.72
1.58,1.21,0.99,0.88,0.81,0.77,0.75
1.69,1.28,1.04,0.92,0.85,0.81,0.78
1.82,1.34,1.07,0.94,0.86,0.82,0.78
1.82,1.34,1.07,0.94,0.86,0.82,0.78
1.61,1.22,1,0.88,0.82,0.78,0.75
1.6,1.21,0.98,0.86,0.8,0.76,0.73
1.9,1.37,1.08,0.93,0.85,0.8,0.77
1.9,1.37,1.08,0.93,0.85,0.8,0.77
1.79,1.29,1.01,0.88,0.8,0.76,0.72
1.79,1.29,1.01,0.88,0.8,0.76,0.72
