SSB2017,R0
6528122,330.8815
3655256,108.2235
3345018,93.83071
6416857,245.6132
5402937,258.9309
4227766,135.1233
3137337,96.45568
3137337,96.45568
3892483,109.0309
2608859,90.55883
2433081,88.58768
2853836,86.42831
1838478,87.63689
2428003,96.10272
9461542,279.1847
3138269,120.6872
2988726,82.14223
4806651,204.4392
2715023,83.25003
2715023,83.25003
2715023,83.25003
3457492,91.68903
2789781,74.02087
2789781,74.02087
3408739,117.6598
2513140,89.29383
6836242,341.9756
6836242,341.9756
3224607,90.79202
3210857,99.78407
2103672,84.18564
2051978,78.23643
2051978,78.23643
2336023,106.6492
3199309,75.10535
3469184,71.20255
5867589,223.1205
4097066,188.1253
2673288,85.56468
6716942,279.1841
4911044,206.189
8210712,294.8672
2898557,102.337
2898557,102.337
2957826,90.79203
3587093,84.85718
2935492,111.029
4406233,102.0209
4964863,177.5446
1820144,77.27184
1820144,77.27184
2850186,115.1451
1706239,74.87614
3190945,112.2221
2806401,127.0697
3384130,115.4781
3384130,115.4781
2130265,86.56839
3107249,72.40121
2680019,84.88912
2558191,105.3481
2504767,85.73114
3137748,105.3832
5245420,191.7638
3888560,99.90658
5320093,175.4613
5320093,175.4613
5572092,198.3582
3729440,72.02499
2538344,88.31334
2620359,73.57726
2722639,86.17101
4099427,109.9629
5730726,240.9185
6501913,285.853
6501913,285.853
6119359,258.6645
2492179,99.29814
6921374,300.0438
8168381,292.1685
1999920,109.8453
1899404,84.36545
6953616,204.3231
2386279,99.99742
2461095,89.07408
4984812,169.9543
2012704,86.43872
2012704,86.43872
2520241,70.40821
4698634,245.6129
4698634,245.6129
5461101,252.1444
5461101,252.1444
3750788,84.7694
2645143,102.1546
2645143,102.1546
2908245,73.22006
3259879,74.7536
3742556,112.0029
2717175,77.53099
2717175,77.53099
2998742,181.2305
3848892,141.2976
2505481,81.88507
2540821,86.35335
2411253,76.60021
3742966,75.10864
2075213,105.2236
4741373,181.2307
4741373,181.2307
3615986,142.1299
3238510,96.4594
4090041,137.0379
3043825,102.3371
3043825,102.3371
2489453,112.2264
3619192,113.8801
3975950,118.581
2870153,95.14186
