EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 3:51:16 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.199999,0.008415417,0.03615805,0.01848,0.2830417,0.9560841,0.7975582,0.3634242,0.134657,0.05177886,0.0358643,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2142847,0.008415417,0.03615805,0.01848,0.2831866,0.956168,0.7966036,0.3624262,0.1341149,0.05151865,0.03571088,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2285705,0.008415417,0.03615805,0.01848,0.2833257,0.9562386,0.7956408,0.3614263,0.1335726,0.05125817,0.03555664,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2428562,0.008415417,0.03615805,0.01848,0.2834587,0.956296,0.7946711,0.3604245,0.1330301,0.05099739,0.03540149,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2571419,0.008415417,0.03615805,0.01848,0.2835858,0.9563408,0.7936933,0.359421,0.1324874,0.05073634,0.0352455,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2714276,0.008415417,0.03615805,0.01848,0.2837065,0.9563718,0.7927077,0.3584155,0.1319445,0.05047499,0.03508866,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.2857133,0.008415417,0.03615805,0.01848,0.2838213,0.9563902,0.7917151,0.3574083,0.1314016,0.05021346,0.03493106,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.299999,0.008415417,0.03615805,0.01848,0.2839296,0.9563943,0.7907143,0.3563991,0.1308583,0.04995161,0.03477257,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3142847,0.008415417,0.03615805,0.01848,0.2840318,0.9563853,0.7897061,0.3553881,0.130315,0.04968955,0.03461328,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3285705,0.008415417,0.03615805,0.01848,0.2841272,0.9563609,0.7886882,0.3543745,0.129771,0.04942698,0.03445283,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3428562,0.008415417,0.03615805,0.01848,0.2842163,0.9563226,0.7876624,0.3533587,0.1292268,0.04916415,0.03429153,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3571419,0.008415417,0.03615805,0.01848,0.2842989,0.9562705,0.7866286,0.3523411,0.1286825,0.04890106,0.03412941,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3714276,0.008415417,0.03615805,0.01848,0.284375,0.9562042,0.785587,0.3513215,0.1281379,0.04863775,0.03396652,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.3857133,0.008415417,0.03615805,0.01848,0.2844446,0.9561237,0.7845369,0.3502999,0.1275932,0.04837424,0.03380289,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.399999,0.008415417,0.03615805,0.01848,0.2845077,0.9560295,0.7834794,0.3492766,0.1270484,0.04811056,0.03363854,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4142847,0.008415417,0.03615805,0.01848,0.284564,0.9559209,0.782414,0.3482513,0.1265034,0.04784667,0.03347345,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4285704,0.008415417,0.03615805,0.01848,0.2846136,0.9557977,0.7813399,0.3472241,0.1259583,0.0475826,0.03330766,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4428562,0.008415417,0.03615805,0.01848,0.2846567,0.9556605,0.7802582,0.3461949,0.125413,0.0473184,0.03314122,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4571419,0.008415417,0.03615805,0.01848,0.2846929,0.9555084,0.7791678,0.3451636,0.1248674,0.04705398,0.03297403,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4714276,0.008415417,0.03615805,0.01848,0.2847224,0.9553419,0.7780697,0.3441305,0.1243218,0.04678943,0.03280619,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.4857133,0.008415417,0.03615805,0.01848,0.2847448,0.9551606,0.7769632,0.3430955,0.1237761,0.04652475,0.0326377,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.499999,0.008415417,0.03615805,0.01848,0.2847605,0.9549646,0.7758485,0.3420584,0.1232302,0.04625989,0.03246852,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5142847,0.008415417,0.03615805,0.01848,0.2847691,0.9547535,0.7747253,0.3410194,0.1226842,0.04599493,0.03229874,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5285705,0.008415417,0.03615805,0.01848,0.2847708,0.9545275,0.773594,0.3399784,0.122138,0.04572983,0.03212832,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5428562,0.008415417,0.03615805,0.01848,0.2847655,0.9542867,0.7724544,0.3389356,0.1215918,0.04546464,0.0319573,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.557142,0.008415417,0.03615805,0.01848,0.284753,0.9540304,0.7713062,0.3378906,0.1210454,0.04519933,0.03178569,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5714277,0.008415417,0.03615805,0.01848,0.2847336,0.9537592,0.7701496,0.3368436,0.1204988,0.04493394,0.0316135,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5857134,0.008415417,0.03615805,0.01848,0.2847066,0.9534723,0.7689845,0.3357946,0.1199521,0.04466845,0.03144072,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.5999992,0.008415417,0.03615805,0.01848,0.2846726,0.9531701,0.7678112,0.3347437,0.1194054,0.04440289,0.03126737,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6142849,0.008415417,0.03615805,0.01848,0.2846314,0.9528525,0.766629,0.3336908,0.1188585,0.04413728,0.03109352,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6285707,0.008415417,0.03615805,0.01848,0.2845829,0.9525191,0.7654384,0.3326358,0.1183115,0.04387159,0.03091911,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6428564,0.008415417,0.03615805,0.01848,0.2845269,0.9521701,0.7642393,0.3315788,0.1177644,0.04360586,0.0307442,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6571422,0.008415417,0.03615805,0.01848,0.2844645,0.9518068,0.7630324,0.3305202,0.1172173,0.04334013,0.03056878,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6714279,0.008415417,0.03615805,0.01848,0.2844142,0.9514651,0.7618387,0.3294681,0.1166727,0.04307498,0.03039277,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6857136,0.008415417,0.03615805,0.01848,0.2843569,0.9511081,0.7606365,0.328414,0.1161281,0.04280984,0.03021633,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.6999994,0.008415417,0.03615805,0.01848,0.2842925,0.9507359,0.7594259,0.3273579,0.1155834,0.04254473,0.03003947,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7142851,0.008415417,0.03615805,0.01848,0.2842205,0.9503477,0.758207,0.3263002,0.1150388,0.04227961,0.02986216,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7285709,0.008415417,0.03615805,0.01848,0.2841415,0.9499443,0.7569798,0.3252406,0.1144941,0.04201458,0.02968447,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7428566,0.008415417,0.03615805,0.01848,0.2840552,0.9495255,0.7557442,0.3241789,0.1139494,0.04174959,0.0295064,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7571424,0.008415417,0.03615805,0.01848,0.2839614,0.9490904,0.7544999,0.3231155,0.1134047,0.04148466,0.02932792,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7714281,0.008415417,0.03615805,0.01848,0.2838603,0.9486399,0.7532471,0.32205,0.1128599,0.04121974,0.02914903,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7857139,0.008415417,0.03615805,0.01848,0.2837513,0.9481716,0.7519841,0.3209818,0.1123147,0.04095466,0.02896945,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.7999996,0.008415417,0.03615805,0.01848,0.2836348,0.9476871,0.7507129,0.3199118,0.1117697,0.04068972,0.02878956,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8142853,0.008415417,0.03615805,0.01848,0.2835108,0.9471867,0.7494327,0.3188399,0.1112246,0.04042488,0.02860937,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8285711,0.008415417,0.03615805,0.01848,0.2833792,0.9466701,0.7481443,0.3177662,0.1106796,0.04016016,0.02842889,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8428568,0.008415417,0.03615805,0.01848,0.2832403,0.9461378,0.7468473,0.3166908,0.1101346,0.03989561,0.02824812,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8571426,0.008415417,0.03615805,0.01848,0.2830935,0.9455887,0.7455417,0.3156133,0.1095897,0.03963118,0.0280671,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8714283,0.008415417,0.03615805,0.01848,0.2829394,0.9450238,0.7442275,0.3145341,0.1090448,0.0393669,0.02788581,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8857141,0.008415417,0.03615805,0.01848,0.2827775,0.9444427,0.7429048,0.313453,0.1085001,0.03910282,0.0277043,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.8999998,0.008415417,0.03615805,0.01848,0.2826079,0.9438449,0.7415733,0.3123701,0.1079553,0.03883889,0.02752255,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.9142855,0.008415417,0.03615805,0.01848,0.2824308,0.9432304,0.7402331,0.3112854,0.1074107,0.03857518,0.02734062,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.9285713,0.008415417,0.03615805,0.01848,0.2822458,0.9425997,0.7388841,0.3101987,0.1068661,0.03831166,0.02715846,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.942857,0.008415417,0.03615805,0.01848,0.282053,0.9419523,0.7375265,0.3091102,0.1063217,0.03804838,0.02697617,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.9571428,0.008415417,0.03615805,0.01848,0.2818525,0.9412883,0.7361602,0.3080199,0.1057774,0.03778529,0.02679366,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.9714285,0.008415417,0.03615805,0.01848,0.2816442,0.9406075,0.7347851,0.3069278,0.1052331,0.03752245,0.02661102,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
0.9857143,0.008415417,0.03615805,0.01848,0.2814281,0.9399098,0.7334014,0.3058339,0.1046891,0.03725988,0.02642826,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1,0.008415417,0.03615805,0.01848,0.2812041,0.9391955,0.7320085,0.304738,0.1041451,0.03699756,0.02624536,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.014286,0.008415417,0.03615805,0.01848,0.2809723,0.9384643,0.7306073,0.3036407,0.1036013,0.03673555,0.02606238,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.028571,0.008415417,0.03615805,0.01848,0.2807325,0.9377161,0.7291971,0.3025413,0.1030577,0.03647381,0.02587929,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.042857,0.008415417,0.03615805,0.01848,0.2804847,0.9369504,0.7277781,0.3014402,0.1025142,0.03621236,0.02569607,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.057143,0.008415417,0.03615805,0.01848,0.280229,0.9361678,0.72635,0.3003372,0.1019709,0.03595124,0.02551283,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
