EwEVersion,6.6.5.17207 (compiled 12/14/2020),,,,,,,,,,,,,,,,,,,,,
Date,4/18/2024 15:51,,,,,,,,,,,,,,,,,,,,,
ModelName,NWACS AM 7ages,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base_run,,,,,,,,,,,,,,,,,,,,,
TimeSeries,(none),,,,,,,,,,,,,,,,,,,,,
StartYear,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSY run,MSY,,,,,,,,,,,,,,,,,,,,,
Assessment,stationary_stock,,,,,,,,,,,,,,,,,,,,,
Fleet,F.menhaden,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
F,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
1.228571,1.58E-06,0.000737796,0.00316403,0.006355518,0.0793215,0.1941042,0.05153845,0.03726517,0.008073254,0.004193671,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.242857,1.58E-06,0.000737796,0.00316403,0.006421017,0.08015603,0.1959325,0.05193302,0.03748498,0.008103432,0.00420909,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.257142,1.58E-06,0.000737796,0.00316403,0.006486128,0.08098694,0.1977484,0.05232257,0.03770002,0.008132265,0.004223761,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.271428,1.58E-06,0.000737796,0.00316403,0.006550848,0.08181425,0.1995518,0.05270709,0.03791029,0.008159769,0.004237692,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.285714,1.58E-06,0.000737796,0.00316403,0.006615168,0.08263782,0.2013426,0.05308658,0.03811578,0.008185949,0.004250889,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.299999,1.58E-06,0.000737796,0.00316403,0.006679079,0.08345766,0.2031208,0.05346101,0.0383165,0.008210802,0.004263347,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.314285,1.58E-06,0.000737796,0.00316403,0.006743272,0.08427878,0.2048957,0.0538328,0.03851416,0.008234666,0.004275169,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.328571,1.58E-06,0.000737796,0.00316403,0.006807252,0.08509756,0.2066606,0.05420026,0.0387076,0.008257325,0.004286296,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.342856,1.58E-06,0.000737796,0.00316403,0.006870836,0.08591267,0.208413,0.05456277,0.03889639,0.008278713,0.004296706,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.357142,1.58E-06,0.000737796,0.00316403,0.006934015,0.086724,0.2101527,0.05492026,0.03908049,0.008298814,0.004306398,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.371428,1.58E-06,0.000737796,0.00316403,0.006996783,0.08753151,0.2118798,0.05527279,0.03925999,0.00831766,0.004315387,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.385713,1.58E-06,0.000737796,0.00316403,0.007059135,0.08833515,0.2135942,0.05562035,0.03943486,0.00833525,0.004323668,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.399999,1.58E-06,0.000737796,0.00316403,0.007121065,0.08913485,0.2152956,0.05596288,0.03960513,0.008351595,0.004331245,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.414285,1.58E-06,0.000737796,0.00316403,0.007182559,0.08993053,0.2169841,0.05630044,0.03977077,0.008366691,0.004338113,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.428571,1.58E-06,0.000737796,0.00316403,0.007243605,0.09072197,0.2186588,0.05663278,0.03993166,0.008380514,0.004344254,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.442856,1.58E-06,0.000737796,0.00316403,0.007304211,0.09150936,0.2203207,0.05696015,0.04008802,0.008393127,0.004349706,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.457142,1.58E-06,0.000737796,0.00316403,0.00736437,0.09229261,0.2219694,0.05728254,0.04023983,0.008404532,0.004354477,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.471428,1.58E-06,0.000737796,0.00316403,0.007424073,0.09307163,0.2236047,0.05759987,0.04038709,0.008414738,0.004358569,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.485713,1.58E-06,0.000737796,0.00316403,0.007483315,0.09384637,0.2252266,0.05791217,0.04052979,0.008423747,0.00436198,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.499999,1.58E-06,0.000737796,0.00316403,0.007542089,0.09461682,0.2268351,0.05821943,0.04066797,0.008431578,0.004364724,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.514285,1.58E-06,0.000737796,0.00316403,0.00760039,0.09538288,0.22843,0.05852164,0.04080165,0.008438241,0.004366802,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.52857,1.58E-06,0.000737796,0.00316403,0.007658213,0.09614451,0.2300113,0.05881884,0.04093085,0.008443736,0.004368216,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.542856,1.58E-06,0.000737796,0.00316403,0.007715551,0.09690166,0.2315789,0.05911099,0.04105557,0.008448086,0.004368975,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.557142,1.58E-06,0.000737796,0.00316403,0.007772391,0.09765422,0.2331327,0.05939803,0.04117578,0.008451285,0.00436908,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.571427,1.58E-06,0.000737796,0.00316403,0.007828736,0.09840219,0.2346725,0.05968002,0.04129155,0.008453358,0.00436854,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.585713,1.58E-06,0.000737796,0.00316403,0.007884578,0.09914554,0.2361984,0.05995697,0.0414029,0.008454309,0.004367357,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.599999,1.58E-06,0.000737796,0.00316403,0.007939907,0.09988412,0.2377102,0.06022882,0.04150983,0.008454148,0.004365536,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.614284,1.58E-06,0.000737796,0.00316403,0.007994723,0.100618,0.2392079,0.06049563,0.04161236,0.00845289,0.004363087,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.62857,1.58E-06,0.000737796,0.00316403,0.008049016,0.101347,0.2406912,0.0607573,0.04171044,0.008450531,0.004360006,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.642856,1.58E-06,0.000737796,0.00316403,0.008102778,0.1020711,0.2421604,0.06101396,0.04180421,0.008447106,0.004356307,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.657141,1.58E-06,0.000737796,0.00316403,0.00815601,0.1027903,0.243615,0.06126548,0.04189358,0.008442598,0.004351991,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.671427,1.58E-06,0.000737796,0.00316403,0.008208692,0.1035043,0.2450549,0.06151185,0.04197857,0.008437022,0.004347045,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.685713,1.58E-06,0.000737796,0.00316403,0.008260819,0.1042132,0.2464799,0.06175302,0.04205912,0.008430366,0.004341477,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.699998,1.58E-06,0.000737796,0.00316403,0.008312388,0.1049169,0.2478902,0.06198906,0.04213535,0.008422676,0.004335308,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.714284,1.58E-06,0.000737796,0.00316403,0.008363407,0.1056155,0.2492858,0.06222005,0.04220733,0.008413964,0.004328548,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.72857,1.58E-06,0.000737796,0.00316403,0.008413859,0.1063089,0.2506666,0.06244592,0.04227503,0.008404235,0.004321201,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.742856,1.58E-06,0.000737796,0.00316403,0.00846374,0.106997,0.2520323,0.06266663,0.04233842,0.0083935,0.004313273,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.757141,1.58E-06,0.000737796,0.00316403,0.008513053,0.1076797,0.2533831,0.06288228,0.04239763,0.008381786,0.004304772,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.771427,1.58E-06,0.000737796,0.00316403,0.008561779,0.108357,0.2547187,0.06309278,0.04245257,0.008369084,0.004295702,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.785713,1.58E-06,0.000737796,0.00316403,0.008609921,0.1090289,0.2560393,0.06329821,0.04250332,0.008355414,0.004286071,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.799998,1.58E-06,0.000737796,0.00316403,0.008657477,0.1096953,0.2573444,0.06349849,0.04254992,0.008340792,0.004275885,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.814284,1.58E-06,0.000737796,0.00316403,0.008704568,0.1103571,0.2586362,0.06369413,0.04259264,0.008325283,0.004265171,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.82857,1.58E-06,0.000737796,0.00316403,0.008752606,0.1110255,0.2599353,0.06389022,0.04263506,0.00830959,0.004254212,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.842855,1.58E-06,0.000737796,0.00316403,0.008800078,0.1116884,0.2612194,0.06408136,0.04267347,0.008292996,0.004242732,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.857141,1.58E-06,0.000737796,0.00316403,0.008846982,0.1123461,0.2624888,0.06426759,0.04270791,0.008275519,0.004230734,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.871427,1.58E-06,0.000737796,0.00316403,0.008893307,0.1129983,0.2637431,0.06444877,0.04273831,0.008257155,0.004218216,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.885712,1.58E-06,0.000737796,0.00316403,0.008939057,0.1136451,0.2649823,0.06462504,0.04276478,0.008237923,0.004205195,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.899998,1.58E-06,0.000737796,0.00316403,0.008984208,0.1142862,0.2662061,0.06479621,0.04278723,0.008217817,0.004191654,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.914284,1.58E-06,0.000737796,0.00316403,0.009028755,0.1149215,0.2674143,0.06496233,0.04280563,0.008196836,0.004177602,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.928569,1.58E-06,0.000737796,0.00316403,0.009072712,0.1155513,0.2686073,0.06512356,0.04282022,0.008175041,0.004163073,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.942855,1.58E-06,0.000737796,0.00316403,0.009116064,0.1161754,0.269785,0.06527977,0.04283088,0.008152417,0.004148059,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.957141,1.58E-06,0.000737796,0.00316403,0.009158813,0.1167937,0.2709472,0.06543107,0.04283772,0.008129,0.004132583,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.971426,1.58E-06,0.000737796,0.00316403,0.009200951,0.1174063,0.2720938,0.06557735,0.04284069,0.008104772,0.004116634,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.985712,1.58E-06,0.000737796,0.00316403,0.009242476,0.118013,0.2732248,0.06571873,0.04283989,0.008079776,0.004100235,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.999998,1.58E-06,0.000737796,0.00316403,0.009283384,0.1186138,0.2743402,0.06585515,0.04283527,0.008054002,0.00408338,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.014284,1.58E-06,0.000737796,0.00316403,0.009323668,0.1192087,0.2754398,0.0659866,0.04282689,0.008027473,0.004066089,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.028569,1.58E-06,0.000737796,0.00316403,0.009363327,0.1197976,0.2765238,0.06611316,0.04281481,0.008000207,0.004048364,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.042855,1.58E-06,0.000737796,0.00316403,0.009402351,0.1203804,0.2775917,0.06623471,0.04279898,0.007972198,0.004030209,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.057141,1.58E-06,0.000737796,0.00316403,0.009440742,0.1209571,0.2786435,0.06635135,0.04277946,0.007943471,0.004011634,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.071427,1.58E-06,0.000737796,0.00316403,0.00947849,0.1215277,0.2796794,0.06646304,0.04275628,0.007914036,0.003992646,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.085713,1.58E-06,0.000737796,0.00316403,0.009515598,0.1220922,0.2806993,0.06656981,0.04272945,0.007883907,0.003973259,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.099998,1.58E-06,0.000737796,0.00316403,0.009552053,0.1226503,0.2817029,0.06667167,0.04269901,0.007853097,0.003953473,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.114284,1.58E-06,0.000737796,0.00316403,0.009587838,0.1232019,0.2826897,0.06676844,0.04266484,0.007821579,0.003933271,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.12857,1.58E-06,0.000737796,0.00316403,0.009622965,0.1237471,0.28366,0.06686025,0.04262709,0.007789401,0.003912685,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.142856,1.58E-06,0.000737796,0.00316403,0.009657436,0.124286,0.2846142,0.06694721,0.04258583,0.007756589,0.003891734,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.157142,1.58E-06,0.000737796,0.00316403,0.009691237,0.1248183,0.2855516,0.06702919,0.042541,0.00772313,0.003870411,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.171427,1.58E-06,0.000737796,0.00316403,0.009724371,0.1253442,0.2864725,0.06710628,0.04249268,0.007689051,0.003848732,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.185713,1.58E-06,0.000737796,0.00316403,0.009756839,0.1258635,0.2873769,0.06717853,0.04244095,0.007654374,0.003826707,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.199999,1.58E-06,0.000737796,0.00316403,0.009788618,0.1263761,0.2882643,0.06724579,0.04238569,0.007619088,0.003804341,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.214285,1.58E-06,0.000737796,0.00316403,0.009819722,0.1268821,0.2891352,0.06730821,0.04232708,0.007583233,0.003781643,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.228571,1.58E-06,0.000737796,0.00316403,0.009850149,0.1273815,0.2899891,0.06736571,0.04226506,0.007546799,0.003758619,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.242857,1.58E-06,0.000737796,0.00316403,0.009879882,0.127874,0.2908262,0.06741839,0.04219967,0.007509804,0.003735279,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.257142,1.58E-06,0.000737796,0.00316403,0.009908931,0.1283597,0.2916462,0.06746618,0.04213098,0.007472273,0.003711634,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.271428,1.58E-06,0.000737796,0.00316403,0.009937286,0.1288386,0.2924491,0.06750911,0.04205896,0.007434203,0.003687687,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.285714,1.58E-06,0.000737796,0.00316403,0.009966582,0.1293241,0.2932606,0.06755329,0.04198769,0.007396357,0.003663777,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.3,1.58E-06,0.000737796,0.00316403,0.009996197,0.1298111,0.2940707,0.06759632,0.04191559,0.007358432,0.003639764,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.314286,1.58E-06,0.000737796,0.00316403,0.01002516,0.1302916,0.2948646,0.06763472,0.04184037,0.00732003,0.003615486,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.328571,1.58E-06,0.000737796,0.00316403,0.01005347,0.1307654,0.2956419,0.06766846,0.04176204,0.00728115,0.003590946,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.342857,1.58E-06,0.000737796,0.00316403,0.01008111,0.1312327,0.2964026,0.06769753,0.04168061,0.007241803,0.003566146,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.357143,1.58E-06,0.000737796,0.00316403,0.0101081,0.1316934,0.2971472,0.06772209,0.04159624,0.007202027,0.003541116,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.371429,1.58E-06,0.000737796,0.00316403,0.01013441,0.1321473,0.297875,0.06774199,0.04150881,0.007161806,0.003515848,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.385715,1.58E-06,0.000737796,0.00316403,0.01016007,0.1325946,0.2985864,0.06775735,0.04141847,0.007121175,0.003490356,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.4,1.58E-06,0.000737796,0.00316403,0.01018506,0.1330351,0.2992812,0.06776816,0.04132517,0.007080133,0.003464648,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.414286,1.58E-06,0.000737796,0.00316403,0.01020938,0.1334687,0.2999592,0.06777438,0.04122895,0.007038687,0.003438727,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.428572,1.58E-06,0.000737796,0.00316403,0.01023302,0.1338956,0.3006206,0.06777606,0.04112986,0.006996857,0.003412607,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.442858,1.58E-06,0.000737796,0.00316403,0.01025599,0.1343155,0.3012649,0.06777315,0.04102791,0.006954652,0.003386294,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.457144,1.58E-06,0.000737796,0.00316403,0.01027827,0.1347284,0.3018926,0.06776577,0.04092314,0.006912087,0.003359799,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.471429,1.58E-06,0.000737796,0.00316403,0.01029988,0.1351344,0.3025032,0.06775384,0.04081558,0.006869166,0.003333123,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.485715,1.58E-06,0.000737796,0.00316403,0.01032079,0.1355332,0.3030965,0.06773732,0.04070516,0.006825886,0.003306264,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.500001,1.58E-06,0.000737796,0.00316403,0.010341,0.1359248,0.3036725,0.06771624,0.04059198,0.006782269,0.003279241,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.514287,1.58E-06,0.000737796,0.00316403,0.01036053,0.1363093,0.3042315,0.06769071,0.04047612,0.006738335,0.003252068,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.528573,1.58E-06,0.000737796,0.00316403,0.01037938,0.1366867,0.3047736,0.06766074,0.04035759,0.006694108,0.003224753,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.542858,1.58E-06,0.000737796,0.00316403,0.01039753,0.1370569,0.3052981,0.06762625,0.04023638,0.006649569,0.003197297,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.557144,1.58E-06,0.000737796,0.00316403,0.01041497,0.1374197,0.3058055,0.06758734,0.04011257,0.006604752,0.003169713,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.57143,1.58E-06,0.000737796,0.00316403,0.01043174,0.1377754,0.3062959,0.06754406,0.03998621,0.006559666,0.003142011,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.585716,1.58E-06,0.000737796,0.00316403,0.01044779,0.1381237,0.3067685,0.0674963,0.03985726,0.006514313,0.003114195,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.600002,1.58E-06,0.000737796,0.00316403,0.01046315,0.1384645,0.3072237,0.06744408,0.03972574,0.0064687,0.00308627,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.614287,1.58E-06,0.000737796,0.00316403,0.01047781,0.138798,0.3076618,0.06738763,0.03959182,0.00642286,0.003058252,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.628573,1.58E-06,0.000737796,0.00316403,0.01049176,0.1391241,0.3080821,0.06732668,0.03945539,0.006376786,0.003030145,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.642859,1.58E-06,0.000737796,0.00316403,0.01050501,0.1394426,0.3084849,0.06726147,0.03931657,0.006330498,0.003001957,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.657145,1.58E-06,0.000737796,0.00316403,0.01051754,0.1397534,0.3088696,0.06719174,0.03917523,0.006283978,0.002973681,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.671431,1.58E-06,0.000737796,0.00316403,0.01052935,0.1400565,0.3092365,0.0671177,0.03903152,0.006237258,0.002945337,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.685716,1.58E-06,0.000737796,0.00316403,0.01054045,0.1403519,0.3095855,0.0670393,0.03888544,0.006190342,0.002916931,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.700002,1.58E-06,0.000737796,0.00316403,0.01055085,0.1406398,0.3099172,0.06695667,0.03873713,0.006143265,0.00288848,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.714288,1.58E-06,0.000737796,0.00316403,0.01056053,0.1409199,0.3102309,0.06686974,0.03858651,0.00609601,0.002859981,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.728574,1.58E-06,0.000737796,0.00316403,0.01056949,0.1411922,0.3105265,0.06677851,0.03843361,0.006048593,0.002831443,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.74286,1.58E-06,0.000737796,0.00316403,0.0105808,0.1414839,0.3108556,0.06669465,0.03828572,0.006002241,0.002803414,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.757145,1.58E-06,0.000737796,0.00316403,0.01059209,0.1417741,0.311179,0.06660929,0.03813729,0.005956013,0.002775478,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.771431,1.58E-06,0.000737796,0.00316403,0.01060271,0.1420568,0.3114855,0.06651992,0.03798677,0.005909656,0.002747525,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.785717,1.58E-06,0.000737796,0.00316403,0.01061266,0.1423324,0.3117749,0.06642649,0.0378342,0.005863185,0.002719565,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.800003,1.58E-06,0.000737796,0.00316403,0.01062195,0.1426006,0.3120477,0.06632919,0.03767969,0.005816618,0.00269161,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
2.814289,1.58E-06,0.000737796,0.00316403,0.01063056,0.1428613,0.3123032,0.06622784,0.03752314,0.005769939,0.002663648,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
