EwEVersion,6.6.5.17207 (compiled 12/14/2020),,,,,,,,,,,,,,,,,,,,,
Date,4/18/2024 15:51,,,,,,,,,,,,,,,,,,,,,
ModelName,NWACS AM 7ages,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base_run,,,,,,,,,,,,,,,,,,,,,
TimeSeries,(none),,,,,,,,,,,,,,,,,,,,,
StartYear,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSY run,MSY,,,,,,,,,,,,,,,,,,,,,
Assessment,stationary_stock,,,,,,,,,,,,,,,,,,,,,
Fleet,F.menhaden,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
F,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
0.1142848,1.58E-06,0.000737796,0.00316403,0.000603009,0.007617192,0.02046771,0.006171223,0.00500764,0.001219481,0.000615279,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1285705,1.58E-06,0.000737796,0.00316403,0.000678819,0.00857078,0.0230001,0.006924078,0.0056115,0.001365272,0.000689403,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1428562,1.58E-06,0.000737796,0.00316403,0.000754709,0.009524561,0.02552644,0.007672766,0.006210435,0.001509575,0.000762888,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1571419,1.58E-06,0.000737796,0.00316403,0.000830675,0.0104785,0.0280467,0.008417289,0.00680445,0.001652389,0.000835728,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1714276,1.58E-06,0.000737796,0.00316403,0.000906714,0.01143256,0.03056077,0.009157626,0.007393541,0.001793713,0.00090792,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.1857133,1.58E-06,0.000737796,0.00316403,0.000982818,0.01238669,0.03306859,0.009893768,0.007977705,0.001933543,0.000979456,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.199999,1.58E-06,0.000737796,0.00316403,0.001058985,0.01334086,0.03557007,0.0106257,0.008556929,0.002071875,0.001050331,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2142847,1.58E-06,0.000737796,0.00316403,0.001135208,0.01429504,0.03806519,0.01135341,0.009131232,0.002208711,0.001120541,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2285705,1.58E-06,0.000737796,0.00316403,0.001211483,0.01524918,0.04055381,0.0120769,0.009700602,0.002344047,0.001190082,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2428562,1.58E-06,0.000737796,0.00316403,0.001287805,0.01620323,0.04303592,0.01279614,0.01026503,0.00247788,0.001258944,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2571419,1.58E-06,0.000737796,0.00316403,0.001364171,0.01715716,0.04551138,0.01351114,0.01082452,0.002610208,0.001327127,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2714276,1.58E-06,0.000737796,0.00316403,0.001440571,0.01811093,0.04798015,0.01422186,0.01137906,0.002741028,0.001394622,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.2857133,1.58E-06,0.000737796,0.00316403,0.001517005,0.01906451,0.05044219,0.01492832,0.01192867,0.002870343,0.00146143,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
