,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
1,"striped bass 0",0,0.00097688,0.001985338,0,0,0.000672085,0.001008075,0.00042302,0,0,0,0,0,0,0,
2,"striped bass 2-5",0,0,0.000992669,0,0,0,0,0,0,0,0,0,0,0,0,
3,"striped bass 6+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"menhaden juv",0.01986006,0.0779909,0.07627998,0,0,0.002616561,0.009068341,0.02732076,0.01296298,0.02545697,0,0,0,0,0,
5,"menhaden adult",0.01986006,0.07896091,0.22786,0,0,0.002011423,0,0.04945786,0,0.01778813,0,0,0,0,0,
6,"spiny dogfish",0,0,0,0,0,0.000671414,0,0,0,0,0,0,0,0,0,
7,"bluefish juv",0,0.000977857,0.0009916771,0,0,0,0,0.009804257,0,0,0,0,0,0,0,
8,"bluefish adult",0,0,0.000992669,0,0,0,0,0.000699509,0,0,0,0,0,0,0,
9,"weakfish juv",0.001988157,0.003907519,0,0,0,0,0.001002022,0.00104802,0.001011947,0.005665302,0,0,0,0,0,
10,"weakfish adult",0,0,0,0,0,0,0,0.00140182,0,0.001096131,0,0,0,0,0,
11,"Atlantic herring 0-1",0,0.001722555,0.01077274,0,0,0.0078,0,0.00284321,0,0,0.002573451,0.001573451,0,0,0,
12,"Atlantic herring 2+",0,0.02172256,0.05077274,0,0,0.0618,0,0.02864321,0,0,0.002573451,0.003573451,0,0,0,
13,anchovies,0.1123309,0.2315205,0.2541233,0,0,0.007385553,0.443553,0.2122315,0.4358773,0.4446496,0.02722019,0.02722019,0,0,0,
14,benthos,0.5139385,0.3526535,0.1012523,0,0,0.2176646,0.0241938,0.03203819,0.2038021,0.16938,0.1772083,0.1772083,0.101,0.09028613,0.000722674,
15,zooplankton,0.1461295,0.01563008,0.001985338,0.4204203,0.5700365,0.2339516,0.01108882,0.008580791,0.2379655,0.1638994,0.7839414,0.7839414,0.684,0.02128043,0.2614469,
16,phytoplankton,0,0.00097688,0.002978007,0.3013013,0.2234812,0,0,0.00154695,0.001178047,0.000365377,0,0,0.155,0.2291137,0.4900467,
17,Detritus,0,0,0,0.2782783,0.2064824,0,0,0,0,0,0,0,0.06,0.4131078,0.1993827,
,Import,0.1858927,0.2129598,0.2690133,8E-08,0,0.4654242,0.5100859,0.6241609,0.1072022,0.1716991,0.006483204,0.006483204,0,0.2462119,0.04840104,
,Sum,0.9999999,0.9999999,1,0.9999999,1,0.9999974,0.9999999,1.0002,1,1,1,1,1,0.9999999,1,
,"(1 - Sum)",1.192093E-07,1.192093E-07,0,5.960464E-08,0,2.622604E-06,5.960464E-08,-0.0002000332,0,0,0,0,0,5.960464E-08,0,
