Timestep,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus,
27,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
28,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
29,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
30,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
31,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
32,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
33,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
34,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
35,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
36,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
37,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
38,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
39,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
40,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
41,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
42,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
43,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
44,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
45,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
46,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
47,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
48,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
49,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
50,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
51,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
52,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
53,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
54,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
55,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
56,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
57,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
58,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
59,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
60,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
61,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
62,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
63,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
64,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
65,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
66,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
67,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
68,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
69,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
70,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
71,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
72,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
73,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
74,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
75,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
76,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
77,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
78,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
79,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
80,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
81,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
82,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
83,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
84,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
85,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
